criminal_act_id,offense_id
6,133210
6,133072
6,133049
6,133267
6,133253
3,133238
6,133235
6,134176
3,134599
3,134584
3,134583
3,134403
3,134402
3,134400
6,134399
3,134641
3,134640
3,134639
3,134638
3,134637
3,134636
3,134635
3,134634
3,134632
3,134603
3,134602
3,134601
3,134600
3,134598
3,134597
6,134488
6,133871
6,133855
6,133810
6,133802
6,133753
3,134633
3,134622
3,134621
3,134620
3,134619
3,134618
3,134617
3,134616
3,134615
3,134614
3,134582
3,134580
3,134578
3,134576
6,134339
6,134291
3,134631
3,134630
3,134629
3,134628
3,134627
3,134626
3,134625
3,134624
3,134623
3,134613
3,134612
3,134611
3,134610
3,134609
3,134608
3,134607
3,134606
3,134605
3,134604
3,134596
3,134595
3,134594
3,134593
3,134592
3,134591
3,134590
3,134589
3,134588
3,134587
3,134581
3,134579
3,134577
3,134575
3,134574
3,134573
3,134566
3,134572
3,134571
3,134570
3,134569
3,134568
3,134567
3,134565
6,134554
6,133937
6,133936
8,133914
6,133913
6,133587
6,133547
6,133711
6,133657
6,133652
6,133606
6,133585
6,134975
6,134875
6,135080
6,135075
6,135154
6,135101
6,135272
6,135186
6,135462
6,135455
6,135376
6,135361
6,135360
6,135346
6,135342
6,135762
6,135752
6,135742
6,135741
6,135739
6,135736
6,135656
6,135628
6,135600
6,135591
6,135576
6,135568
6,135924
6,135923
6,135906
6,135759
6,135758
6,135640
6,135637
6,135905
6,135904
6,136199
6,136198
6,136196
6,136183
6,136178
6,136174
6,136173
6,136169
6,136158
6,136086
6,136076
6,136075
6,136074
6,135997
6,135975
6,135972
6,135971
6,135949
6,135879
6,135878
6,136153
6,136152
6,136116
6,136056
6,136052
6,136051
6,135943
6,135942
6,135941
6,135856
6,135855
6,135814
6,135813
6,135803
6,135795
6,135794
6,135793
6,135788
6,136768
6,136759
6,137045
6,136961
6,136960
6,136862
6,136840
6,136837
6,136974
6,136973
6,136899
6,136898
6,136897
6,136896
6,136892
6,136889
6,136880
6,136878
6,136877
6,136876
6,136867
6,136866
6,136717
6,136788
6,136787
6,136696
6,136641
6,136640
6,136639
6,136381
6,136371
6,136626
6,136624
6,136623
6,136622
6,136620
6,136543
6,136542
6,136338
6,136337
6,136325
6,136570
8,136518
6,135564
6,135557
6,135552
6,135549
6,135532
3,135527
6,135525
6,136299
3,136274
6,136272
3,136243
1,137158
6,137157
2,137166
1,137163
6,137112
2,137318
6,137273
3,137543
6,137542
3,137540
3,137539
3,137536
3,137534
3,137533
3,137529
3,137527
3,137521
6,137484
6,137474
6,137525
6,137522
6,137480
6,137519
6,137503
6,137501
3,137499
6,137459
6,137456
6,137471
6,137512
6,137467
6,137465
3,137452
3,137451
3,137450
2,137442
3,137354
3,137379
3,137376
3,137375
3,137360
3,137349
3,137348
3,137333
3,137388
8,137387
3,137344
3,137339
3,137337
3,137335
6,137351
7,137345
3,137343
3,137342
3,137338
3,137336
8,137334
3,137332
3,137331
6,137328
3,137320
3,137429
3,137428
8,137427
6,137424
3,137421
3,137415
3,137405
3,137404
6,137403
3,137400
3,137399
6,137398
3,137397
3,137396
3,137394
6,137389
3,137326
3,137322
6,137426
3,137416
6,137370
6,137321
2,138012
2,137836
2,137988
2,137748
2,137735
2,137717
6,138050
6,138060
6,138052
6,138130
6,138398
6,138594
8,138577
6,138292
6,138552
6,138225
6,138279
3,138276
6,138634
6,138686
6,138680
3,139083
6,140329
2,140422
6,140547
6,140274
6,140252
6,140234
6,140147
6,140144
8,140111
6,140106
8,140077
6,140140
6,140121
6,140560
6,140720
6,140673
8,140651
3,141023
6,141003
3,141000
3,140999
3,140997
1,140842
6,140935
2,140800
2,140781
6,140771
6,140770
6,140768
6,140816
6,140808
6,140807
6,141026
6,141058
6,141079
3,141397
6,141779
6,141614
6,141940
1,141908
1,141716
8,141503
6,141487
6,141478
6,142358
6,142437
6,142600
6,142601
6,142525
6,143865
6,143674
6,143670
6,143665
6,145660
6,145606
6,145604
6,145544
6,145535
6,145456
6,145431
6,145349
6,146047
6,145943
6,145898
6,145855
6,145836
6,145829
6,145749
6,145700
6,145698
6,146292
6,146255
6,146150
6,146132
6,146582
6,146575
6,146559
6,146536
6,146513
6,146510
6,146504
6,146479
6,146472
6,146433
6,146390
6,146373
6,146322
1,147155
6,147136
6,147132
6,147143
6,147141
6,147125
6,147147
6,147101
6,147107
6,147105
6,147104
6,147238
6,147223
2,147353
6,147859
6,147838
3,147384
3,147497
6,147438
6,148063
6,148169
1,148112
6,148218
6,148217
6,148216
6,148215
3,148206
6,148223
6,148222
3,148210
3,148207
6,148220
6,148219
3,148211
3,148209
3,148208
3,148205
3,148214
6,148213
6,148212
6,148204
6,148203
8,148221
2,148283
6,148667
6,148857
6,148864
6,148575
6,149048
6,149072
6,149068
3,149086
6,149058
6,149057
6,149025
6,149043
6,149037
6,149113
6,149132
6,149143
6,149510
6,149504
6,149435
3,149284
3,149269
6,149302
8,149281
2,149280
6,149274
6,149364
6,149356
2,149338
6,149624
6,149685
6,150638
3,150631
6,150645
6,150636
6,150632
6,150637
3,150635
3,150634
3,150633
6,150644
6,150639
2,150649
6,150648
6,150647
6,150646
6,150643
3,150641
3,150640
8,150642
8,150629
6,150630
6,150443
6,150789
6,151436
8,151435
6,151308
6,151037
8,151244
6,151243
6,151100
6,151101
6,150986
6,150985
6,151486
6,151485
6,151484
6,151538
6,151537
6,151536
6,151535
6,152026
6,151925
6,151856
3,152124
6,152194
6,152265
6,152264
6,152261
6,152253
6,152252
6,152242
6,152241
6,152240
6,152631
6,153380
6,153359
6,153346
6,153344
6,153335
6,153324
6,153322
6,153310
6,153309
6,153304
6,153299
6,153298
6,153274
3,153751
3,153750
3,153748
3,153747
3,153746
3,153741
6,153820
6,153815
6,153812
6,153810
6,153807
6,153797
6,153782
3,153781
3,153774
3,153771
3,153767
6,153764
6,153763
6,153762
6,153740
3,153148
6,153582
3,153566
6,153522
6,153519
6,153515
6,153513
6,153512
6,153508
6,153504
6,153091
6,153089
6,153083
3,153072
6,153163
6,153131
6,153126
6,153115
6,153111
6,153105
3,153099
3,153462
6,153461
6,153443
6,153441
6,153440
6,153419
3,153409
6,153408
3,153401
6,154188
6,153470
6,153467
6,153683
6,153680
6,153672
6,153633
6,153624
6,153609
2,152910
2,152887
3,153715
3,153714
3,153713
6,153706
6,153254
3,153240
8,153237
8,153232
6,153231
6,153229
8,153228
6,153224
6,153219
6,153216
6,153213
6,153200
6,153187
6,152942
6,152937
3,152821
3,152818
3,152817
3,152792
3,152791
6,152891
3,152890
6,152876
6,152851
6,152842
6,153030
8,152991
6,152989
6,152985
3,152979
8,152971
6,153953
6,153945
6,153939
6,153937
3,153926
6,153918
6,153903
6,153896
3,153895
3,153894
6,153892
3,153871
6,153839
6,153833
6,154036
6,154032
6,154022
6,154004
6,153996
6,153995
6,153977
6,153974
6,153969
6,153964
6,153962
6,153923
6,154183
6,154159
6,154158
6,154156
6,154122
6,154098
6,154093
6,154090
6,154072
6,154626
3,154549
3,154548
3,154660
3,154659
3,154658
3,154568
3,154567
3,154566
3,154565
3,154564
3,154560
3,154559
3,154558
3,154557
6,154525
6,154774
6,154468
6,154804
6,154802
6,154784
6,154778
6,154777
6,154740
6,154705
6,155241
6,155386
6,155879
6,155494
6,155491
2,156285
2,156496
6,156882
2,156979
6,157581
6,157576
6,157573
6,157562
3,157557
6,157543
6,157542
3,157537
1,157085
1,157084
2,157402
6,157922
6,157920
6,157883
6,157876
3,157679
3,157745
3,157422
3,157409
6,157370
3,157112
1,157068
1,157067
2,157770
2,157750
6,157664
6,157660
6,157648
6,157641
3,157624
6,157608
2,157469
2,157426
2,157098
2,157850
2,157747
2,157508
6,157428
2,157082
2,157081
2,157845
2,157844
6,157790
2,157532
3,157493
2,157492
3,157486
3,157464
6,157457
3,157431
2,157424
2,157193
6,157136
2,157080
2,157079
2,157078
6,157232
6,157230
6,157227
6,157222
2,157214
2,157195
2,157055
6,157337
6,157309
6,157302
6,157283
6,157269
2,157066
2,157947
6,158011
6,158006
6,157992
3,157991
6,157984
2,157960
2,157955
6,157929
2,157107
2,158186
2,157110
2,157109
6,158171
6,158380
6,158379
2,158507
3,159022
6,159017
6,159016
6,159015
6,159014
6,158952
6,158949
6,158899
6,158897
6,159007
6,159001
6,158911
6,158880
6,158879
3,159176
6,159158
3,158822
6,159227
6,159114
3,159690
6,159370
6,159369
6,159067
3,159065
3,159029
6,159758
3,159686
6,159668
6,159667
6,159036
6,159792
6,159786
6,159968
6,159966
6,159963
8,159955
8,159952
3,159657
6,159651
6,159904
2,159898
6,159833
3,159830
6,159816
3,159802
6,159625
6,159623
6,159741
6,159556
6,159543
3,159490
6,159472
6,159445
8,160626
8,160624
3,160628
3,160625
8,160627
6,161492
6,161490
6,161482
6,161481
6,161477
6,161444
6,161424
6,161857
8,161843
6,161825
6,161822
6,161817
6,161816
6,161815
6,161811
6,161810
6,161806
8,161803
6,161658
6,161669
6,161650
6,161641
6,161626
6,161611
6,161606
6,161305
6,161277
6,161263
6,161262
6,161258
6,161256
6,161255
6,161241
6,161240
6,161239
6,161236
3,161231
3,161230
6,161226
6,161717
6,161604
6,161587
6,161584
6,161581
3,161563
6,161541
6,161536
2,161511
6,161784
6,161781
6,161779
6,161752
6,161732
6,161722
6,161702
6,161405
6,161404
6,161387
6,161386
6,161370
