nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
4192046,102,1,2007,U,,,N,F,,C,2007_01_AL0031300_NIBRS,
4213290,102,2,2007,U,,,N,F,,C,2007_02_AL0031300_NIBRS,
4234534,102,3,2007,U,,,N,F,,C,2007_03_AL0031300_NIBRS,
4255778,102,4,2007,U,,,N,F,,C,2007_04_AL0031300_NIBRS,
4277022,102,5,2007,U,,,N,F,,C,2007_05_AL0031300_NIBRS,
4298266,102,6,2007,U,,,N,F,,C,2007_06_AL0031300_NIBRS,
4319510,102,7,2007,U,,,N,F,,C,2007_07_AL0031300_NIBRS,
4340754,102,8,2007,U,,,N,F,,C,2007_08_AL0031300_NIBRS,
4361998,102,9,2007,U,,,N,F,,C,2007_09_AL0031300_NIBRS,
4383242,102,10,2007,U,,,N,F,,C,2007_10_AL0031300_NIBRS,
4404486,102,11,2007,U,,,N,F,,C,2007_11_AL0031300_NIBRS,
4425730,102,12,2007,U,,,N,F,,C,2007_12_AL0031300_NIBRS,
4192047,103,1,2007,U,,,N,F,,C,2007_01_AL0031900_NIBRS,
4213291,103,2,2007,U,,,N,F,,C,2007_02_AL0031900_NIBRS,
4234535,103,3,2007,U,,,N,F,,C,2007_03_AL0031900_NIBRS,
4255779,103,4,2007,U,,,N,F,,C,2007_04_AL0031900_NIBRS,
4277023,103,5,2007,U,,,N,F,,C,2007_05_AL0031900_NIBRS,
4298267,103,6,2007,U,,,N,F,,C,2007_06_AL0031900_NIBRS,
4319511,103,7,2007,U,,,N,F,,C,2007_07_AL0031900_NIBRS,
4340755,103,8,2007,U,,,N,F,,C,2007_08_AL0031900_NIBRS,
4361999,103,9,2007,U,,,N,F,,C,2007_09_AL0031900_NIBRS,
4383243,103,10,2007,U,,,N,F,,C,2007_10_AL0031900_NIBRS,
4404487,103,11,2007,U,,,N,F,,C,2007_11_AL0031900_NIBRS,
4425731,103,12,2007,U,,,N,F,,C,2007_12_AL0031900_NIBRS,
4192048,104,1,2007,U,,,N,F,,C,2007_01_AL0032200_NIBRS,
4213292,104,2,2007,U,,,N,F,,C,2007_02_AL0032200_NIBRS,
4234536,104,3,2007,U,,,N,F,,C,2007_03_AL0032200_NIBRS,
4255780,104,4,2007,U,,,N,F,,C,2007_04_AL0032200_NIBRS,
4277024,104,5,2007,U,,,N,F,,C,2007_05_AL0032200_NIBRS,
4298268,104,6,2007,U,,,N,F,,C,2007_06_AL0032200_NIBRS,
4319512,104,7,2007,U,,,N,F,,C,2007_07_AL0032200_NIBRS,
4340756,104,8,2007,U,,,N,F,,C,2007_08_AL0032200_NIBRS,
4362000,104,9,2007,U,,,N,F,,C,2007_09_AL0032200_NIBRS,
4383244,104,10,2007,U,,,N,F,,C,2007_10_AL0032200_NIBRS,
4404488,104,11,2007,U,,,N,F,,C,2007_11_AL0032200_NIBRS,
4425732,104,12,2007,U,,,N,F,,C,2007_12_AL0032200_NIBRS,
4192049,105,1,2007,U,,,N,F,,C,2007_01_AL003FA00_NIBRS,
4213293,105,2,2007,U,,,N,F,,C,2007_02_AL003FA00_NIBRS,
4234537,105,3,2007,U,,,N,F,,C,2007_03_AL003FA00_NIBRS,
4255781,105,4,2007,U,,,N,F,,C,2007_04_AL003FA00_NIBRS,
4277025,105,5,2007,U,,,N,F,,C,2007_05_AL003FA00_NIBRS,
4298269,105,6,2007,U,,,N,F,,C,2007_06_AL003FA00_NIBRS,
4319513,105,7,2007,U,,,N,F,,C,2007_07_AL003FA00_NIBRS,
4340757,105,8,2007,U,,,N,F,,C,2007_08_AL003FA00_NIBRS,
4362001,105,9,2007,U,,,N,F,,C,2007_09_AL003FA00_NIBRS,
4383245,105,10,2007,U,,,N,F,,C,2007_10_AL003FA00_NIBRS,
4404489,105,11,2007,U,,,N,F,,C,2007_11_AL003FA00_NIBRS,
4425733,105,12,2007,U,,,N,F,,C,2007_12_AL003FA00_NIBRS,
4192050,106,1,2007,U,,,N,F,,C,2007_01_AL0040000_NIBRS,
4213294,106,2,2007,U,,,N,F,,C,2007_02_AL0040000_NIBRS,
4234538,106,3,2007,U,,,N,F,,C,2007_03_AL0040000_NIBRS,
4255782,106,4,2007,U,,,N,F,,C,2007_04_AL0040000_NIBRS,
4277026,106,5,2007,U,,,N,F,,C,2007_05_AL0040000_NIBRS,
4298270,106,6,2007,U,,,N,F,,C,2007_06_AL0040000_NIBRS,
4319514,106,7,2007,U,,,N,F,,C,2007_07_AL0040000_NIBRS,
4340758,106,8,2007,U,,,N,F,,C,2007_08_AL0040000_NIBRS,
4362002,106,9,2007,U,,,N,F,,C,2007_09_AL0040000_NIBRS,
