property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
62768331,26,180,,62701220
62768332,63,10,,62701221
62753639,7,1100,,62743286
62753640,27,360,,62743287
62756960,19,632,,62707721
62753641,6,90,,62743288
62753642,17,150,,62743289
62753643,20,90,,62743290
62753644,63,120,,62743291
62762223,63,250,,62698402
62776396,3,10000,,62849455
62768333,63,220,,62701222
62753645,9,0,,62743292
62753646,20,25,,62743293
62753647,63,45,,62743294
62776397,19,882,,62849456
62776398,13,650,,62849457
62776399,26,900,,62849458
62762224,68,,,62698403
62753648,68,,,62743295
62753649,29,200,,62743296
62753650,38,1000,,62743297
62753651,19,123,,62743298
62770353,10,0,,62714520
62768334,63,92,,62701223
62753652,38,200,,62738386
62768335,10,0,,62701224
62756961,63,92,,62707722
62759513,13,600,,62710275
62770354,9,0,,62714521
62770355,25,65,,62714522
62762225,20,400,,62698404
62759514,38,400,,62710276
62762226,7,950,,62698405
62762227,17,400,,62698406
62762228,38,150,,62698407
62756962,8,1500,,62707723
62770356,11,1,,62714523
62762229,63,350,,62698408
62770357,63,400,,62714524
62756963,17,10,,62707724
62756964,63,120,,62707725
62776400,20,260,,62849459
62756965,19,55,,62707726
62768336,20,200,,62701225
62762230,20,1500,,62698409
62762231,23,200,,62698410
62770358,63,500,,62714525
62762232,36,10,,62698411
62762233,63,14,,62698412
62762234,10,0,,62698413
62762235,11,1,,62698414
62759515,10,0,,62710277
62759516,11,1,,62710278
62768337,17,1200,,62701226
62770359,9,0,,62714526
62770360,20,10,,62714527
62776204,25,20,,62847005
62776401,38,125,,62849460
62768338,63,2000,,62701227
62762236,9,0,,62698415
62762237,13,318,,62698416
62762238,63,42,,62698417
62756966,38,350,,62707727
62756967,63,350,,62707728
62756968,20,350,,62707729
62756969,63,60,,62707730
62759520,21,1,,62710282
62776376,8,71,,62849435
62762203,10,0,,62698382
62753625,20,85,,62743272
62756947,29,100,,62707708
62774660,6,93,,62840937
62776377,8,560,,62849436
62756948,8,900,,62707709
62756949,8,148,,62707710
62776378,19,426,,62849437
62768316,11,1,,62701205
62762204,26,750,,62698383
62756950,10,0,,62707711
62776379,38,200,,62849438
62756951,6,36,,62707712
62762205,26,400,,62698384
62774661,20,300,,62840938
62770346,63,399,,62714513
62770347,63,90000,,62714514
62768317,7,103,,62701206
62768318,38,3200,,62701207
62753626,27,50,,62743273
62768319,8,638,,62701208
62756952,63,59,,62707713
62762206,9,0,,62698385
62762207,63,100,,62698386
62756953,7,2100,,62707714
62774662,3,5000,,62840939
62770348,3,7000,,62714515
62774663,38,200,,62840940
62768320,63,2100,,62701209
62768321,26,1950,,62701210
62756954,20,1500,,62707715
62753627,19,1,,62743274
62762208,63,100,,62698387
62770349,6,200,,62714516
62756973,20,709,,62707734
62768340,17,3000,,62701229
62768341,20,9100,,62701230
62768342,63,1,,62701231
62768343,20,5800,,62701232
62776404,13,350,,62849463
62776405,38,119,,62849464
62759527,63,900,,62710289
62776408,17,17606,,62849467
62774664,63,1,,62840941
62762209,38,200,,62698388
62762210,63,40,,62698389
62753628,38,500,,62743275
62776380,19,5,,62849439
62768322,38,600,,62701211
62768323,10,0,,62701212
62774665,20,50,,62840942
62774666,63,23,,62840943
62776381,20,70,,62849440
62776382,25,25,,62849441
62776383,63,20,,62849442
62756955,20,200,,62707716
62770350,63,200,,62714517
62774667,20,20,,62840944
62756956,7,300,,62707717
62768324,20,20,,62701213
62768325,11,1,,62701214
62753629,11,1,,62743276
62762211,68,,,62698390
62762212,29,600,,62698391
62762213,10,0,,62698392
62762214,11,1,,62698393
62753630,25,550,,62743277
62753631,11,1,,62743278
62762215,63,200,,62698394
62756957,63,2298,,62707718
62768297,38,200,,62701186
62774645,7,2299,,62840922
62774646,22,0,,62840923
62776365,8,9,,62849424
62768298,10,0,,62701187
62768299,17,203,,62701188
62752782,63,50,,62736007
62762194,20,1709,,62698373
62776366,19,57,,62849425
62776367,19,79,,62849426
62756101,3,25000,,62713624
62770332,63,10,,62714499
62774647,9,0,,62840924
62774648,63,25,,62840925
62768300,11,1,,62701189
62768301,63,25,,62701190
62752783,63,110,,62736008
62762195,3,18000,,62698374
62752784,63,60,,62736009
62768302,11,1,,62701191
62770333,38,200,,62714500
62770334,38,25,,62714501
62774649,8,15,,62840926
62752785,11,1,,62736010
62774650,21,400,,62840927
62774651,22,0,,62840928
62768303,8,50,,62701192
62774652,6,36,,62840929
62768304,10,0,,62701193
62776368,6,39,,62849427
62770335,17,36,,62714502
62770336,19,178,,62714503
62768305,10,0,,62701194
62768306,11,1,,62701195
62752786,19,228,,62736011
62756102,10,0,,62713625
62756103,11,1,,62713626
62756104,13,3,,62713627
62756105,19,511,,62713628
62774653,19,19,,62840930
62756106,19,87,,62713629
62768307,10,0,,62701196
62768308,63,2000,,62701197
62762196,3,28000,,62698375
62762197,63,850,,62698376
62776369,63,21600,,62849428
62762198,20,618,,62698377
62770337,9,0,,62714504
62752787,21,50,,62736012
62752788,63,53,,62736013
62768309,63,1,,62701198
62752789,13,500,,62736014
62752790,63,130,,62736015
62762199,35,50,,62698378
62770338,21,968,,62714505
62768310,63,1,,62701199
62762200,20,1267,,62698379
62768311,24,300,,62701200
62770339,20,700,,62714506
62770340,27,40,,62714507
62756939,63,1,,62707700
62762201,6,100,,62698380
62762202,13,1200,,62698381
62753619,21,1960,,62743266
62776370,38,150,,62849429
62770341,6,302,,62714508
62776371,6,35,,62849430
62776372,8,22,,62849431
62768312,20,8350,,62701201
62756940,6,860,,62707701
62756941,7,1000,,62707702
62756942,20,400,,62707703
62756943,26,850,,62707704
62756944,63,475,,62707705
62770342,20,15,,62714509
62768313,10,0,,62701202
62776373,20,400,,62849432
62753620,63,2000,,62743267
62756945,63,120,,62707706
62776374,6,24,,62849433
62774654,16,300,,62840931
62774655,63,300,,62840932
62753621,27,109,,62743268
62753622,63,6,,62743269
62776375,63,1355,,62849434
62770343,7,1500,,62714510
62770344,63,151,,62714511
62770345,7,800,,62714512
62753623,6,90,,62743270
62753624,38,199,,62743271
62768314,25,200,,62701203
62756946,10,0,,62707707
62774656,63,4500,,62840933
62768315,20,20,,62701204
62774657,6,750,,62840934
62774658,36,500,,62840935
62774659,63,135,,62840936
62776215,26,249,,62847016
62776216,36,319,,62847017
62776217,20,94,,62847018
62776218,7,407,,62847019
62776384,68,,,62849443
62774668,19,227,,62840945
62776385,6,124,,62849444
62776386,17,48,,62849445
62776387,38,100,,62849446
62770351,22,0,,62714518
62762216,9,0,,62698395
62762217,63,25,,62698396
62776388,20,350,,62849447
62768326,10,0,,62701215
62753632,9,0,,62743279
62753633,20,60,,62743280
62753634,25,25,,62743281
62753635,63,50,,62743282
62768327,9,0,,62701216
62768328,20,25,,62701217
62768329,63,25,,62701218
62762218,3,35000,,62698397
62776389,3,100,,62849448
62753636,63,100,,62743283
62756958,10,0,,62707719
62770352,63,360,,62714519
62762219,10,0,,62698398
62762220,11,1,,62698399
62776390,63,1,,62849449
62774669,7,1500,,62840946
62774670,17,5000,,62840947
62774671,20,1000,,62840948
62774672,63,600,,62840949
62762221,68,,,62698400
62774673,63,1,,62840950
62774674,10,0,,62840951
