suspect_using_id,offense_id
3,62747812
3,62752870
3,62752871
4,62752872
1,62748925
4,62747813
4,62748926
4,62748927
4,62748557
4,62752873
4,62749208
4,62752874
4,62748558
4,62749209
4,62748559
4,62750564
4,62750565
4,62749964
3,62749210
4,62749211
4,62749965
4,62748928
4,62749966
4,62749212
4,62748560
4,62749967
4,62748929
4,62752875
4,62748561
4,62748562
4,62748930
4,62748563
4,62748564
4,62747814
1,62747815
4,62748565
1,62749968
4,62750566
4,62748931
4,62748932
4,62748933
3,62749213
3,62749214
4,62749969
4,62748934
4,62749970
4,62749215
4,62749971
4,62750567
4,64664247
4,64672515
4,64667877
4,64668324
4,64659429
4,64667878
1,64667879
4,64663238
4,64661860
4,64668325
4,64663239
4,64659430
4,64659431
4,64661861
4,64659432
2,64659433
4,64663770
4,64663240
4,64659441
4,64659442
4,64668329
4,64661865
4,64659443
4,64667880
3,64663775
3,64663776
3,64664231
4,64663247
1,64659444
4,64667881
4,64663771
4,64663772
4,64659434
4,64663773
4,64668326
4,64663774
4,64659435
4,64659436
4,64661862
3,64663241
3,64663242
4,64659437
4,64668327
4,64661863
4,64661864
4,64664228
4,64664229
4,64659438
4,64663243
4,64668328
1,64663244
4,64659439
4,64659440
4,64664230
4,64663245
2,64663246
4,64668330
4,64668331
4,64661866
4,64663777
4,64663248
4,64664232
4,64661867
4,64659445
4,64667882
4,64663249
2,64668332
4,64667883
4,64663250
4,64663251
4,64663778
3,64659446
4,64659447
4,64668333
4,64661868
4,64663779
4,64663252
4,64659448
4,64668334
4,64663780
4,64659449
4,64663253
4,64667884
4,64663781
4,64663782
3,64667885
4,64661869
4,64668335
4,64659450
4,64664233
4,64661870
4,64668336
4,64659451
4,64668337
3,64667886
4,64663783
4,64667887
4,64664235
1,64659453
4,64659456
4,64664237
4,64659459
3,64663254
4,64667888
4,64668340
4,64667890
4,64664226
4,64664227
4,64668323
4,64667857
3,64661843
1,64661843
4,64663215
4,64667542
4,64664205
1,64659405
4,64667858
4,64663216
4,64664206
4,64664207
3,64667543
3,64667544
4,64663749
3,64664208
1,64664208
3,64667545
4,64664209
4,64664210
1,64661844
3,64661845
3,64661846
4,64664211
4,64661847
3,64667546
3,64667547
4,64667859
3,64667548
3,64667549
4,64663217
4,64661848
4,64663218
4,64667860
4,64663219
1,64667550
3,64664212
4,64667551
4,64659406
4,64664213
4,64667552
4,64661849
4,64661850
4,64663220
4,64663750
1,64664214
4,64663751
4,64659407
4,64659408
1,64659409
3,64663752
3,64659410
3,64659411
4,64667553
4,64664215
4,64667861
4,64667862
4,64667863
4,64667554
4,64664216
3,64664217
2,64661851
4,64659412
4,64659413
4,64664218
4,64659414
4,64663221
3,64664219
4,64667555
3,64667556
4,64667557
4,64659415
4,64667864
4,64663222
4,64663223
4,64663224
4,64667558
4,64667559
3,64663225
1,64663225
4,64668310
3,64668311
3,64668312
4,64661852
4,64659416
4,64663753
4,64668313
1,64663226
3,64663227
3,64663228
4,64659417
4,64663754
4,64663229
4,64663755
4,64664220
4,64663230
4,64661853
4,64663231
1,64661854
4,64667865
4,64667866
4,64667867
4,64668314
4,64668315
4,64663756
4,64663757
4,64664221
4,64659418
3,64659419
4,64663232
4,64659420
4,64668316
4,64663758
4,64667868
4,64659421
4,64668317
4,64667869
4,64663759
4,64659422
4,64659423
4,64661855
4,64659424
4,64663760
4,64663761
4,64667870
4,64667871
4,64668318
4,64667872
4,64659425
4,64661856
4,64667873
4,64663233
4,64664222
4,64661857
4,64668319
4,64668320
4,64663234
4,64663762
4,64668321
4,64659426
4,64668322
4,64664223
4,64663763
4,64663235
1,64663764
4,64664224
4,64663765
4,64659427
4,64663236
4,64663766
4,64661858
4,64663767
4,64663768
