weapon_id,offense_id,nibrs_weapon_id
12,62752872,12649930
12,62748925,12650221
12,62749209,12650381
14,62748559,12650761
12,62749211,12650382
12,62749212,12650383
12,62747815,12650214
12,62749968,12649429
12,62750567,12649852
12,64667877,13015071
3,64659429,13016535
12,64667878,13015072
12,64667879,13015073
12,64663247,13017785
12,64659444,13016537
12,64667881,13015074
12,64659438,13016536
12,64663244,13017784
12,64659445,13016538
12,64667882,13015075
12,64659447,13016539
12,64668333,13016237
12,64661869,13017140
3,64668336,13016424
12,64659453,13016540
12,64659405,13016330
12,64664206,13017396
3,64664207,13017397
12,64663218,13017781
18,64667860,13015068
2,64667550,13017424
12,64667552,13017425
12,64664214,13017398
9,64659409,13016331
18,64667861,13015069
18,64659416,13016533
2,64663230,13017782
14,64668315,13016235
12,64668319,13016236
12,64663235,13017783
12,64667874,13015070
12,64659428,13016534
12,64662661,13016186
12,64672535,13015688
12,64668197,13016039
12,64672536,13015689
12,64667920,13015247
12,64663290,13017932
12,64672538,13015690
12,64664047,13017011
3,64675363,13016308
3,64668204,13016040
12,64675366,13016309
3,64672541,13015691
2,64664050,13017012
12,64667927,13015248
12,64675375,13016515
12,64664279,13017608
12,64664248,13017603
12,64667899,13015079
12,64659472,13016544
12,64668349,13016426
12,64668354,13016427
12,64661882,13017145
3,64661884,13017146
12,64672518,13015490
9,64661889,13017147
12,64668185,13015857
12,64661891,13017148
12,64664261,13017604
18,64672530,13015491
12,64672531,13015492
12,64663278,13017931
12,64668368,13016428
12,64662659,13016185
12,64664263,13017605
12,64664265,13017606
12,64664236,13017602
12,64659454,13016541
3,64668338,13016425
12,64663785,13016191
9,64661872,13017141
12,64661873,13017142
12,64663788,13016192
12,64659462,13016542
12,64659463,13016543
12,64672499,13015489
12,64661876,13017143
12,64667892,13015076
12,64667893,13015077
12,64667894,13015078
12,64661877,13017144
12,64675369,13016513
12,64662672,13016187
12,64672549,13015692
12,64662675,13016188
12,64668209,13016041
12,64675374,13016514
12,64667937,13015249
12,64668682,13017426
12,64664277,13017607
12,64668216,13016042
12,64672581,13015696
12,64668241,13016045
12,64668712,13017431
12,64675406,13016518
12,64668713,13017432
3,64668715,13017433
12,64662719,13016357
12,64668716,13017434
12,64664094,13017163
12,64668245,13016046
12,64662720,13016358
12,64668717,13017435
12,64662722,13016359
12,64664095,13017164
12,64673030,13017084
12,64662723,13016360
12,64664097,13017165
12,64664098,13017166
12,64668250,13016047
12,64662726,13016361
12,64668725,13017436
12,64664072,13017013
12,64662687,13016189
12,64668688,13017427
12,64664074,13017014
12,64668692,13017428
12,64668693,13017429
12,64672563,13015693
12,64664079,13017015
3,64672568,13015694
3,64662697,13016352
12,64664088,13017161
12,64664089,13017162
12,64672573,13015695
12,64662706,13016354
12,64668238,13016044
12,64662709,13016355
12,64668232,13016043
12,64662699,13016353
12,64675395,13016516
12,64673011,13016918
12,64664085,13017016
12,64675396,13016517
3,64668704,13017430
12,64673014,13016919
18,64662712,13016356
12,64673020,13016920
18,64673023,13017083
12,65816330,13239044
12,65814177,13238059
12,65814178,13238060
12,65819171,13233088
12,65821367,13232902
12,65819176,13233089
12,65816666,13232187
9,65814186,13238061
18,65819177,13233090
12,65816343,13239046
12,65814193,13238062
12,65819182,13233091
12,65816338,13239045
12,65821371,13232903
12,64664115,13017168
18,64672603,13015895
12,64673045,13017086
12,64668740,13017437
12,64672604,13015896
18,64664116,13017169
12,64676682,13011814
3,64662759,13016364
12,66194640,13328010
12,66193107,13330317
18,66182293,13301738
18,66190933,13326718
12,66178379,13303154
12,66190934,13326719
12,66194645,13328011
18,66182299,13301739
18,66187815,13303045
3,66194650,13328012
9,66190942,13326720
12,66202233,13326868
12,66202234,13326869
12,66187822,13303046
12,64664102,13017167
12,64662736,13016362
12,64673032,13017085
18,64668257,13016048
12,64672593,13015697
12,64672595,13015698
12,64668260,13016049
12,64662746,13016363
12,66202236,13326870
12,65816719,13232401
12,65825157,13231464
12,65815054,13240632
12,65814194,13238063
12,65814196,13238064
12,65808375,13240784
12,65816671,13232188
3,65816672,13232189
12,65814370,13238633
12,65814372,13238634
12,65816675,13232190
12,65814203,13238274
12,65814378,13238635
3,65808384,13240785
12,65808385,13240786
12,65808397,13240788
3,65814391,13238636
12,65819204,13233095
12,65814393,13238637
12,65814985,13240439
12,65808405,13240994
12,65821402,13233121
12,65808406,13240995
12,65819211,13233096
18,65819195,13233092
12,65816352,13239047
12,65808390,13240787
12,65819196,13233093
12,65821383,13232904
12,65816681,13232191
18,65819197,13233094
12,65821387,13232905
3,65816698,13232192
12,65821406,13233122
10,65821409,13233123
18,65819218,13233097
12,65814399,13238638
12,65816701,13232193
12,65821422,13233124
12,65817128,13233684
6,65822185,13232025
3,65814999,13240440
9,65822187,13232026
12,65815016,13240444
12,65817120,13233490
12,65819221,13233098
12,65808422,13240996
18,65815007,13240441
12,65815008,13240442
12,65808428,13240997
12,65816709,13232194
12,65816710,13232195
12,65815012,13240443
12,65822209,13232027
12,65822210,13232028
12,65819243,13233277
12,65822211,13232029
12,65819244,13233278
12,65825156,13231463
12,65822212,13232030
12,65822213,13232031
3,65825159,13231465
18,65825166,13231659
12,65815037,13240445
18,65822221,13232033
18,65814434,13238820
12,65816729,13232402
12,65816730,13232403
12,65819253,13233279
18,65819254,13233280
12,65819259,13233281
12,65816732,13232404
12,65819261,13233282
12,65815047,13240628
14,65817500,13231375
12,65822228,13232034
12,65815059,13240633
12,65822233,13232247
12,65815062,13240634
12,65822235,13232248
12,65817506,13231377
12,65815064,13240635
12,65815231,13241059
12,65815068,13240636
12,65815069,13240637
12,65820044,13232238
12,65825153,13231462
12,65808448,13240998
12,65808453,13240999
12,65808454,13241000
12,65814428,13238819
3,65822217,13232032
12,65819262,13233283
12,65816734,13232405
12,65815048,13240629
12,65825170,13231660
12,65814441,13238821
18,65815051,13240630
