victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
70448357,66036917,1,4,,,,5,45,F,1,2,R,,,,
70448358,66036918,1,4,,,,5,40,M,1,2,R,,,,
70448359,66036919,1,8,,,,,,,,,,,,,
70448360,66036920,1,1,,,,,,,,,,,,,
70448361,66036922,1,1,,,,,,,,,,,,,
70448362,66036923,1,4,,,,5,22,F,1,2,R,,,,
70448363,66036924,1,4,,,,5,32,M,1,2,R,,,,
70448364,66036925,1,4,,,,5,80,F,1,2,R,,,,
70448365,66036927,1,4,,,,5,29,F,2,2,N,,,,
70448366,66036928,1,1,,,,,,,,,,,,,
70448367,66036929,1,1,,,,,,,,,,,,,
70448368,66036930,1,4,,,,5,18,F,1,2,R,,,,
70448369,66036931,1,4,,,,5,24,F,2,2,N,,,,
70448370,66036932,1,1,,,,,,,,,,,,,
70051949,66036933,1,4,,,,5,31,M,2,2,R,,,,
70053143,67276070,1,4,,,,5,46,M,1,2,N,,,,
70053147,67276074,1,4,,,,5,33,M,1,2,R,,,,
70053151,67276078,1,4,,,,5,67,M,1,2,R,,,,
70054075,67276101,1,1,,,,,,,,,,,,,
70056358,67279340,1,1,,,,,,,,,,,,,
70054126,67276145,1,4,,,,5,23,F,2,2,R,,,,
70053015,67275017,1,4,,,,5,28,M,1,2,N,,,,
70053016,67275018,1,4,,,,5,42,F,2,2,R,,,,
70053017,67275019,1,4,,,,5,28,F,2,2,R,,,,
70053018,67275020,1,4,,,,5,51,F,1,2,R,,,,
70057341,67279420,1,1,,,,,,,,,,,,,
70055292,67278248,1,2,,,,,,,,,,,,,
70053019,67275021,1,1,,,,,,,,,,,,,
70053020,67275022,1,4,,,,5,43,M,1,2,R,,,,
70053021,67275023,1,1,,,,,,,,,,,,,
70053022,67275024,1,4,,,,5,32,M,1,2,R,,,,
70053023,67275025,1,8,,,,,,,,,,,,,
70053024,67275026,1,4,,,,5,24,F,1,2,R,,,,
70053025,67275027,1,8,,,,,,,,,,,,,
70053026,67275028,1,4,,,,5,29,M,1,2,N,,,,
70053027,67275029,2,4,,,,5,32,M,1,2,R,,,,
70053028,67275030,1,4,,,,5,38,M,1,2,R,,,,
70053029,67275031,1,8,,,,,,,,,,,,,
70053030,67275032,1,4,,,,5,36,F,1,2,N,,,,
70053031,67275033,1,4,,,,5,55,M,1,2,R,,,,
70053032,67275034,1,4,,,,5,44,F,1,2,R,,,,
70053033,67275035,1,4,,,,5,28,F,2,3,R,,,,
70053034,67275036,1,4,,,,5,25,F,2,2,R,,,,
70053035,67275037,1,4,,,,5,25,F,1,2,N,,,,
70053036,67275038,1,1,,,,,,,,,,,,,
70053038,67275039,2,4,,,,5,39,F,1,3,R,,,,
70053037,67275039,1,4,,,,5,68,F,1,2,R,,,,
70053039,67275040,1,4,,,,5,61,M,1,3,R,,,,
70053040,67275041,1,1,,,,,,,,,,,,,
70053041,67275042,1,4,,,,5,26,F,1,2,N,,,,
70053042,67275043,1,8,,,,,,,,,,,,,
70053043,67275044,1,1,,,,,,,,,,,,,
70053044,67275045,1,1,,,,,,,,,,,,,
70053045,67275046,1,8,,,,,,,,,,,,,
70053046,67275047,1,4,,,,5,47,F,2,2,N,,,,
70053047,67275048,1,8,,,,,,,,,,,,,
70053048,67275049,1,1,,,,,,,,,,,,,
70053049,67275050,1,8,,,,,,,,,,,,,
70053050,67275051,1,4,,,,5,66,F,1,2,R,,,,
70053051,67275052,1,4,,,,5,41,F,1,2,R,,,,
70053052,67275053,1,8,,,,,,,,,,,,,
70053053,67275054,1,4,,,,5,21,F,2,2,R,,,,
70053054,67275055,1,4,,,,5,47,F,1,2,R,,,,
70053055,67275056,1,4,,,,5,57,F,1,2,R,,,,
70053056,67275057,1,1,,,,,,,,,,,,,
70053057,67275058,1,1,,,,,,,,,,,,,
70053058,67275059,1,4,,,,5,52,F,1,2,N,,,,
70053059,67275060,1,4,,,,5,57,F,1,2,R,,,,
70053060,67275061,1,1,,,,,,,,,,,,,
70053061,67275062,1,1,,,,,,,,,,,,,
