victim_id,offense_id
75763587,77053692
75763588,77057262
75763589,77057263
75763589,77057264
75763590,77053834
75763591,77052034
75763592,77049346
75763593,77053693
75763594,77062041
75763595,77049347
75763596,77057265
75763597,77058708
75763597,77058709
75763598,77052035
75763599,77062042
75763600,77049229
75763601,77053835
75763602,77052036
75763602,77052037
75763603,77062043
75763604,77062044
75763604,77062045
75763605,77057266
75763606,77062046
75763607,77053694
75763608,77049348
75763609,77057267
75763610,77049230
75763611,77053695
75763612,77057268
75763613,77052038
75763613,77052039
75763614,77052040
75763615,77049349
75763616,77053836
75763617,77053696
75763618,77053697
75763619,77049231
75763620,77053698
75763621,77062047
75763622,77052041
75763623,77053837
75763624,77053699
75763625,77053838
75764643,77057290
75764609,77057283
75764686,77049371
75764619,77049241
75764624,77061187
75761550,77048432
75761551,77062013
75761552,77051093
75761552,77051094
75761553,77057226
75761554,77047557
75761555,77051095
75761556,77053805
75761557,77053806
75761558,77053807
75761559,77053808
75761560,77048323
75761561,77053809
75761562,77047558
75761565,77057228
75761563,77057227
75761564,77057228
75761566,77048324
75762461,77062014
75762462,77051096
75762463,77048433
75762464,77047559
75762465,77051097
75762466,77051098
75762467,77057229
75762468,77053664
75762469,77058673
75762470,77058674
75762471,77062015
75762472,77051099
75762473,77048434
75762474,77053810
75762475,77053811
75762476,77051100
75762477,77053665
75762478,77053812
75762478,77053813
75762479,77058675
75762480,77062016
75762481,77048435
75762482,77053666
75762483,77048436
75762484,77062017
75762485,77053667
75762486,77048325
75762487,77048437
75762488,77057230
75762489,77058676
75762490,77051101
75762491,77052001
75762492,77052001
75762493,77062018
75762494,77053814
75762495,77057231
75762495,77057232
75762496,77058677
75762497,77048438
75762498,77053668
75762499,77048439
75762500,77048440
75762501,77057233
75762502,77053669
75762503,77048441
75762504,77052002
75762505,77052003
75762506,77048442
75762507,77053670
75762508,77052004
75762509,77057234
75762509,77057235
75762510,77053815
75762511,77053671
75762512,77053816
75762513,77058678
75762514,77053672
75761533,77057223
75761534,77057224
75761535,77053799
75761536,77048430
75761537,77053663
75761538,77048319
75761538,77048320
75761539,77053800
75761541,77048322
75761540,77048321
75761542,77053801
75761543,77047556
75761544,77062012
75761545,77048431
75761546,77057225
75761547,77053802
75761548,77053803
75761549,77053804
75763570,77057259
75763570,77057260
75763571,77053831
75763572,77058706
75763573,77058707
75763574,77052032
75763575,77049345
75763576,77052033
75763577,77053689
75763578,77062039
75763579,77057261
75763580,77049227
75763581,77053832
75763582,77062040
75763583,77049228
75763584,77053833
75763585,77053690
75763586,77053691
75763626,77058710
75763627,77052042
75763628,77062048
75763629,77053700
75763630,77049232
75763631,77053839
75763632,77052043
75763633,77057269
75763634,77052044
75763635,77053840
75763636,77049350
75763637,77049351
75763638,77053841
75763639,77062049
75763640,77053842
75763641,77049352
75763642,77052045
75763643,77052046
75763644,77049353
75763646,77053843
75763647,77058711
75763648,77062050
75763648,77062051
75763652,77058712
75763653,77053844
75763654,77057271
75763655,77057272
75763657,77057273
75763658,77057274
75763694,77057280
75763698,77049236
75763699,77049237
75762515,77053817
75762516,77048326
75762517,77062019
75762517,77062020
75762518,77058679
75762518,77058680
75762519,77057236
75762519,77057237
75762520,77048327
75762521,77053818
75762522,77057238
75762523,77053673
75762524,77058681
75762525,77052005
75762526,77058682
75762527,77048328
75762528,77062021
75762529,77058683
75762530,77053674
75762531,77057239
75762532,77052006
75762533,77053819
75762534,77057240
75762535,77052007
75762536,77058684
75762537,77048443
75762538,77058685
75762539,77052008
75762540,77053675
75762541,77048329
75762542,77048330
75762543,77052009
75762544,77057241
75762545,77058686
75762546,77057242
75762547,77048331
75762548,77062022
75762549,77062022
75762550,77058687
75762551,77057243
75762552,77062023
75762553,77048332
75762554,77052010
75762555,77057244
75762556,77053676
75762557,77053677
75762558,77052011
75762559,77053678
75762560,77048333
75762561,77052012
75762562,77062024
75762563,77053679
75762564,77052013
75762565,77053680
75762566,77062025
75762567,77048334
75762568,77048444
75762569,77053681
75762570,77048445
75762571,77048446
75762572,77048447
75762573,77062026
75762574,77057245
75762575,77053820
75762576,77053821
75762577,77053822
75762578,77048335
75762579,77052014
75762580,77048448
75762581,77048336
75762582,77062027
75762582,77062028
75762583,77057246
75762583,77057247
75762584,77053682
75762585,77053683
75762586,77057248
75762587,77048337
75762588,77052015
75762589,77058688
75762591,77052016
75762590,77052017
75762592,77049217
75762593,77053823
75762594,77048449
75762595,77062029
75762596,77062030
75762597,77057249
75762598,77053684
75762599,77058689
75762600,77048450
75762601,77053824
75762602,77049218
75762603,77058690
75762603,77058691
75762604,77053825
75762605,77048451
75762606,77053826
75762607,77062031
75762608,77052018
75762609,77052019
75762610,77048452
75762611,77048453
75762612,77049219
75762613,77057250
75762614,77049220
75762615,77053685
75762616,77062032
75762617,77048454
75762618,77048455
75762619,77062033
75762620,77052020
75762621,77052021
75762622,77053827
75762623,77048456
75762623,77048457
75762624,77049221
75762625,77052022
75762626,77057251
75762627,77053686
75762628,77052023
75762629,77048458
75762630,77052024
75762631,77057252
75762632,77052025
75762636,77057253
75762637,77048460
75762638,77062034
75762639,77057254
75762640,77057255
75762641,77057256
75763531,77058694
75763532,77053687
75763533,77049223
75763534,77058695
75763535,77052026
75763536,77058696
75763537,77052027
75763538,77049224
75763539,77062035
75763540,77048461
75763541,77052028
75763542,77049225
75763543,77058697
75763544,77053828
75763545,77048462
75763546,77053829
75763547,77058698
75763547,77058699
75762633,77058692
75762633,77058693
75762634,77049222
75762635,77048459
75763548,77058700
75763549,77058701
75763550,77049341
75763551,77062036
75763552,77058702
