property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
88197445,73192928,6,,,
88207322,73192929,7,,,
88206217,73192932,7,,,
88210700,73192933,7,,,
88206617,73192936,7,,,
88197446,73192937,7,,,
88207323,73192939,7,,,
88207324,73192940,7,,,
88207325,73192940,7,,,
88210314,73192941,7,,,
88210315,73192942,7,,,
88206618,73192943,7,0,,
88206619,73192944,7,,,
88206620,73192944,7,,,
88210316,73192945,7,,,
88210317,73192946,7,,,
88210701,73192947,4,,,
88210318,73192948,6,,,
88206218,73192950,7,,,
88188527,73192951,6,,,
88210319,73192952,7,,,
88210320,73192952,7,,,
88210321,73192952,7,,,
88210322,73192952,7,,,
88210323,73192953,6,,,
88210702,73192954,7,,,
88210703,73192954,7,,,
88210324,73192955,7,,,
86003464,73192956,7,,,
86003465,73192956,7,,,
86003466,73192956,7,,,
86017327,77056177,7,0,,
86021039,77055224,7,,,
86021040,77055225,7,,,
86021041,77055225,7,0,,
86021042,77055225,7,,,
86024377,77055226,7,1,,
86019895,77055228,1,,,
86019896,77055229,4,,,
86016511,77055192,7,,,
86016512,77055192,7,,,
86016513,77055193,7,,,
86021036,77055195,4,,,
86013063,77055196,7,0,,
86019891,77055197,4,,,
86005099,77055198,7,,,
86021037,77055199,1,,,
86024370,77055200,7,1,,
86021038,77055201,4,,,
86013064,77055202,7,,,
86005100,77055203,3,,,
86005101,77055203,7,,,
86013065,77055204,7,,,
86016514,77055206,7,,,
86016515,77055206,7,,,
86016516,77055208,7,,,
86019892,77055211,7,,,
86013067,77055220,4,,,
86024376,77055221,7,,,
86013070,77055231,7,,,
86017303,77055238,7,,,
86017304,77055238,7,,,
86021043,77055239,7,,,
86017305,77055242,7,,,
86024382,77055249,7,,,
86019898,77055257,7,,,
86017357,77055261,7,,,
86017360,77055271,7,,,
86017311,77055273,7,1,,
86005107,77055275,7,,,
86021048,77055276,7,,,
86013079,77055277,7,,,
86013080,77055277,7,,,
86013088,77055313,7,,,
86021010,77054245,7,,,
86024352,77054247,7,,,
86021011,77054248,7,,,
86021012,77054249,7,,,
86017274,77054251,7,,,
86017275,77054251,7,,,
86017276,77054251,7,,,
86017277,77054251,7,,,
86003481,77054254,7,,,
86016490,77054255,7,,,
86024353,77054257,7,,,
86017278,77054260,7,,,
86017279,77054261,7,,,
86003482,77054262,3,,,
86003483,77054262,7,,,
86019871,77054264,7,,,
86024354,77054267,7,0,,
86024355,77054268,7,,,
86024356,77054268,7,,,
86024357,77054268,7,,,
86016491,77054269,7,,,
86016492,77054269,7,,,
86016493,77054270,7,,,
86021013,77054271,7,,,
86013038,77054275,7,,,
86013039,77054275,7,,,
86021014,77054276,6,,,
86017291,77054315,6,,,
86017292,77054316,7,,,
86016501,77054317,1,,,
86005084,77054318,4,,,
86019875,77054319,7,,,
86024362,77054320,7,,,
86024363,77054320,7,,,
86005097,77054402,7,,,
86005098,77054402,7,,,
86016510,77054404,7,,,
86003467,77053350,6,,,
86023508,77053351,7,,,
86023509,77053353,7,,,
86019854,77053355,6,,,
86016478,77053356,7,,,
86005063,77053357,7,,,
86023510,77053358,7,,,
86003468,77053359,7,,,
86003469,77053360,7,,,
86019855,77053361,7,,,
86019856,77053361,7,,,
86019857,77053361,7,,,
86020987,77053362,7,,,
86020988,77053362,7,,,
86019858,77053363,7,,,
86019859,77053363,7,,,
86019860,77053363,7,,,
86019861,77053363,7,0,,
86019862,77053364,1,,,
86016479,77053365,7,,,
86023511,77053366,7,,,
86020989,77053367,7,,,
86003470,77053368,7,,,
86003471,77053368,7,,,
86023512,77053369,7,,,
86023513,77053369,7,,,
86023514,77053369,7,,,
86023515,77053369,7,,,
86017253,77053370,6,,,
86023516,77053371,1,,,
86017254,77053372,7,,,
86017255,77053372,7,,,
86017256,77053372,7,,,
86017257,77053372,7,,,
86017258,77053372,7,,,
86023517,77053374,7,,,
86023518,77053374,7,,,
86020990,77053375,7,,,
86020991,77053375,7,,,
86020992,77053375,7,,,
86013040,77054278,4,,,
86005073,77054279,7,,,
86021015,77054280,7,,,
86019872,77054282,6,,,
86017280,77054283,7,,,
86017281,77054283,7,,,
86017282,77054283,7,,,
86019873,77054284,4,,,
86016494,77054285,7,,,
86016495,77054285,7,,,
86016496,77054286,7,,,
86016497,77054286,7,,,
86005074,77054287,7,,,
86005075,77054288,1,,,
86019874,77054290,6,,,
86024358,77054291,7,,,
86017283,77054292,7,,,
86017284,77054292,7,,,
86017285,77054292,7,,,
86017286,77054292,7,,,
86024359,77054293,4,,,
86016498,77054295,7,,,
86016499,77054295,7,,,
86021016,77054296,7,,,
86017287,77054297,7,,,
86017288,77054297,7,,,
86016500,77054298,7,,,
86005076,77054299,7,,,
86005077,77054299,7,,,
86017289,77054300,4,,,
86024360,77054302,5,,0,
86021017,77054303,6,,,
86024361,77054306,4,,,
86017290,77054309,6,,,
86005078,77054310,7,,,
86005079,77054310,7,,,
86013041,77054313,7,,,
86005080,77054314,4,,,
86005081,77054314,7,,,
86005082,77054314,7,0,,
86005083,77054314,7,,,
86005085,77054322,6,,,
86013042,77054323,4,,,
86013043,77054325,7,,,
86013044,77054326,7,,,
86013045,77054327,7,,,
86013046,77054327,7,,,
86013047,77054327,7,,,
86005086,77054328,7,,,
86005087,77054328,7,,,
86005088,77054328,7,,,
86005089,77054328,7,,,
86005090,77054329,7,,,
86013048,77054330,7,,,
86013049,77054330,7,,,
86021018,77054331,7,,,
86005091,77054332,7,,,
86013050,77054333,7,,,
86013051,77054333,7,,,
86013052,77054334,7,,,
86013053,77054334,7,,,
86013054,77054334,7,,,
86005092,77054335,6,,,
86019876,77054336,7,,,
86016502,77054337,7,,,
86016503,77054337,7,,,
86017293,77054338,7,,,
86016504,77054339,7,,,
86016505,77054339,7,,,
86016506,77054340,7,,,
86021019,77054341,7,,,
86024364,77054342,6,,,
86019877,77054343,6,,,
86021020,77054345,6,,,
86017294,77054346,7,0,,
86017295,77054346,7,,,
86021021,77054347,7,,,
86021022,77054348,7,,,
86019878,77054349,7,,,
86013055,77054350,7,,,
86019879,77054351,7,,,
86019880,77054351,7,,,
86019881,77054351,7,,,
86019882,77054353,7,,,
86013056,77054354,7,,,
86013057,77054354,7,,,
86021023,77054356,6,,,
86021024,77054357,7,,,
86013058,77054358,7,,,
86021025,77054359,7,,,
86024365,77054360,7,,,
86017296,77054361,7,,,
86019883,77054362,7,,,
86016507,77054363,7,,,
86021026,77054364,7,,,
86021027,77054364,7,,,
86021028,77054364,7,,,
86021029,77054364,7,,,
86021030,77054365,7,,,
86016508,77054367,7,,,
86019884,77054369,6,,,
86016509,77054370,7,,,
86005093,77054372,1,,,
86019885,77054373,7,,,
86024366,77054374,7,,,
86024367,77054375,6,,,
86021031,77054376,7,,,
86019886,77054377,7,,,
86019887,77054378,7,,,
86024368,77054379,6,,,
86013059,77054380,7,,,
86017297,77054381,7,,,
86017298,77054381,7,,,
86013060,77054382,7,,,
86019888,77054384,4,,,
86005094,77054387,4,,,
86005095,77054387,7,,,
86017299,77054388,7,,,
86019889,77054389,7,,,
86024369,77054390,4,,,
86021032,77054391,7,,,
86017300,77054393,7,,,
86013061,77054394,6,,,
86013062,77054394,6,,,
86021033,77054395,6,,,
86021034,77054396,6,,,
86021035,77054396,6,,,
86005096,77054398,7,,,
86016480,77053376,6,,,
86016481,77053377,7,,,
86016482,77053377,7,,,
86020993,77053378,7,,,
86020994,77053379,1,,,
86019863,77053380,7,0,,
86017259,77053381,7,,,
86017260,77053381,7,,,
86017261,77053382,1,,,
86023519,77053383,7,,,
86016483,77053384,6,,,
86017262,77053385,7,,,
86017263,77053387,7,,,
86017264,77053387,7,,,
86017265,77053387,7,,,
86017266,77053387,7,,,
86017267,77053387,7,,,
86020995,77053388,7,,,
86005064,77053389,7,,,
86016484,77053390,7,,,
86023520,77053391,6,,,
86019864,77053393,7,,,
86016485,77053396,7,,,
86003472,77053397,7,,,
86017268,77053398,4,,,
86016486,77053399,7,,,
86020996,77053400,7,,,
86005065,77053401,7,,,
86017269,77053402,7,,,
86017270,77053403,5,,0,
86020997,77053404,7,0,,
86003473,77053405,7,,,
86016487,77053406,7,,,
86019890,77054401,7,,,
86003474,77053407,7,,,
86003475,77053407,7,,,
86023521,77053408,7,,,
86023522,77053408,7,,,
86005066,77053409,7,,,
86019865,77053411,7,,,
86020998,77053412,7,,,
86017271,77053413,7,,,
86017272,77053413,7,,,
86023523,77053414,1,,,
86023524,77053415,7,,,
86019866,77053416,7,,,
86019867,77053416,7,,,
86023525,77053417,3,,,
86019868,77053418,7,,,
86019869,77053419,6,,,
86020999,77053420,7,0,,
86021000,77053421,7,,,
86016488,77053422,7,,,
86021001,77053423,7,,,
86021002,77053425,7,,,
86021003,77053426,7,,,
86021004,77053426,7,,,
86021005,77053426,7,0,,
86021006,77053427,7,,,
86005067,77053431,7,,,
86021007,77053432,5,,0,
86003476,77053433,6,,,
86003477,77053433,6,,,
86005068,77053434,6,,,
86005069,77053434,6,,,
86003478,77053435,6,,,
86023526,77053437,7,,,
86021008,77053438,7,,,
86017273,77053439,7,,,
86005070,77053441,7,,,
86019870,77053442,7,,,
86003479,77053443,7,,,
86024351,77053445,7,,,
86005071,77053446,7,,,
86005072,77053448,6,,,
86003480,77053449,7,,,
86021009,77053451,7,,,
86016489,77053454,4,,,
86017384,77056144,6,,,
86017385,77056145,6,,,
86017386,77056146,7,,,
86025082,77056147,7,,,
86025083,77056147,7,,,
86025084,77056147,7,,,
86025085,77056147,7,,,
86024413,77056148,7,0,,
86025086,77056149,6,,,
86021878,77056152,7,,,
86017317,77056153,7,,,
86017318,77056154,7,,,
86017319,77056154,7,,,
86024414,77056155,7,,,
86013933,77056156,7,,,
86019905,77056157,7,,,
86021879,77056158,7,,,
86025087,77056159,7,,,
86017320,77056160,7,,,
86017321,77056160,7,0,,
86019906,77056161,7,,,
86005118,77056163,6,,,
86021880,77056164,6,,,
86005119,77056165,4,,,
86017322,77056166,7,,,
86017323,77056166,7,,,
86024415,77056167,7,,,
86017324,77056169,7,,,
86017325,77056169,7,,,
86017326,77056169,7,,,
86021881,77056171,7,,,
86021882,77056172,7,,,
86024416,77056174,7,,,
86024417,77056175,4,,,
86024418,77056175,7,,,
86005120,77056180,7,,,
86005121,77056180,7,,,
86005122,77056182,7,,,
86005123,77056182,7,,,
86005124,77056182,7,,,
86005125,77056182,7,,,
86019907,77056183,1,,,
86013934,77056184,7,1,,
86005126,77056185,7,,,
86005127,77056186,7,,,
86005128,77056187,7,,,
86005129,77056188,7,,,
86021883,77056189,7,0,,
86021884,77056189,7,,,
86021885,77056190,7,,,
86021886,77056191,7,,,
86024419,77056192,6,,,
86024420,77056193,6,,,
86013935,77056194,4,,,
86005130,77056195,7,,,
86017338,77056221,7,,,
86025089,77056223,7,,,
86025090,77056224,6,,,
86013938,77056225,6,,,
86025091,77056226,7,,,
86025092,77056226,7,,,
86025093,77056227,7,,,
86025094,77056227,7,,,
86025095,77056227,7,,,
86021889,77056228,6,,,
86021890,77056228,6,,,
86024424,77056229,7,,,
86025096,77056230,7,,,
86021891,77056231,7,,,
86013939,77056232,7,,,
86013940,77056233,7,,,
86013941,77056233,7,,,
86013942,77056233,7,,,
86025097,77056234,1,,,
86025098,77056235,7,,,
86025099,77056236,7,,,
86021892,77056237,7,,,
86021893,77056238,6,,,
86017339,77056239,7,,,
86019912,77056240,7,,,
86024425,77056241,7,,,
86017340,77056243,7,,,
86019913,77056245,6,,,
86005969,77056246,7,,,
86005970,77056246,7,,,
86005971,77056246,7,,,
86005972,77056246,7,0,,
86005973,77056246,7,,,
86024426,77056247,6,,,
86021894,77056248,7,,,
86021895,77056248,7,,,
86021896,77056248,7,0,,
86021897,77056248,7,,,
86019914,77056249,7,,,
86005974,77056250,7,0,,
86024427,77056251,6,,,
86024428,77056251,6,,,
86005975,77056252,7,,,
86005976,77056253,7,,,
86005977,77056253,7,,,
86005978,77056253,7,,,
86017341,77056255,4,,,
86005979,77056256,7,,,
86013943,77056257,7,0,,
86025100,77056258,7,,,
86021898,77056259,7,,,
86005980,77056260,6,,,
86017301,77055222,7,,,
86013068,77055223,1,,,
86016518,77055227,6,,,
86016519,77055227,6,,,
86013069,77055230,7,,,
86019908,77056196,4,,,
86005963,77056197,7,,,
86005964,77056197,7,,,
86013936,77056198,7,,,
86013937,77056198,7,,,
86019909,77056199,7,,,
86024421,77056200,7,,,
