offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
85655832,77774048,41,C,46,,,
85655833,77774049,7,C,13,,,
85649543,77774050,23,C,8,,,
85649544,77774051,47,C,20,,,
85660696,77774052,49,A,20,0,F,
85653295,77774053,23,C,8,,,
85654339,77774054,49,C,20,0,N,
85660697,77774055,46,C,20,,,
85653296,77774056,35,C,13,,,
85656591,77774057,49,A,20,0,F,
85656592,77774058,5,C,20,,,
85658713,77774059,44,C,20,,,
85653297,77774060,41,C,20,,,
85657230,77774061,14,C,20,,,
85654340,77774062,28,C,13,,,
85654341,77774063,14,C,13,,,
85658714,77774064,16,C,8,,,
85658715,77774064,39,C,8,,,
85657231,77774065,5,C,20,,,
85657232,77774066,14,C,14,,,
85649545,77774067,46,C,8,,,
85656593,77774068,46,C,20,,,
85649546,77774069,45,C,8,,,
85653298,77774070,41,C,8,,,
85656594,77774071,45,C,5,,,
85657233,77774072,5,C,13,,,
85656595,77774073,51,C,25,,,
85657234,77774074,23,C,8,,,
85653299,77774075,16,C,8,,,
85658716,77774076,23,C,8,,,
85656596,77774077,16,C,8,,,
85660698,77774078,23,C,8,,,
85653300,77774080,49,C,20,0,F,
85657235,77774081,40,C,8,,,
85653301,77774082,23,C,24,,,
85653302,77774083,23,C,8,,,
85654342,77774084,23,C,8,,,
85656598,77774085,21,C,20,,,
85649547,77774087,46,C,20,,,
85656550,77774088,46,C,20,,,
85657237,77774089,47,C,8,,,
85656599,77774090,23,C,24,,,
85656600,77774091,23,C,8,,,
85656551,77774093,47,C,8,,,
85656552,77774094,44,C,21,,,
85657238,77774095,51,C,13,,,
85653303,77774096,23,C,24,,,
85656602,77774097,47,C,8,,,
85654343,77774098,47,C,8,,,
85657239,77774099,23,C,8,,,
85653304,77774100,51,C,8,,,
85661494,77776177,16,C,23,,,
85661495,77776177,35,C,23,,,
85654375,77776178,41,C,46,,,
85656590,77776179,23,C,8,,,
85657343,77776180,51,C,20,,,
85657285,77776181,23,C,8,,,
85654097,77776182,5,C,13,,,
85657344,77776183,16,C,20,,,
85657286,77776184,5,C,3,,,
85654376,77776185,45,C,14,,,
85661496,77776187,7,C,8,,,
85654377,77776188,16,C,25,,,
85654098,77776189,16,C,13,,,
85661497,77776190,51,C,20,,,
85661498,77776191,5,C,20,,,
85654072,77775064,11,C,24,,,
85656607,77775065,23,C,8,,,
85654350,77775066,45,C,8,,,
85656608,77775067,45,C,8,,,
85660708,77775068,45,C,25,,,
85656609,77775069,41,C,8,,,
85657252,77775070,16,C,15,,,
85654073,77775071,23,C,8,,,
85654074,77775072,45,C,8,,,
85656610,77775073,16,C,15,,,
85654351,77775074,40,C,20,,,
85660709,77775075,23,C,8,,,
85654075,77775076,41,C,8,,,
85656611,77775077,14,C,25,,,
85654352,77775078,49,C,20,0,F,
85657253,77775079,49,C,20,0,N,
85654353,77775080,14,C,25,,,
85656558,77775081,37,C,8,,,
85657254,77775082,23,C,8,,,
85656559,77775083,23,C,8,,,
85660710,77775084,16,C,13,,,
85654076,77775085,23,C,8,,,
85660711,77775087,23,C,8,,,
85654354,77775088,23,C,8,,,
85656612,77775089,23,C,8,,,
85657255,77775090,16,C,13,,,
85657256,77775090,35,C,13,,,
85656561,77775091,16,C,25,,,
85658720,77775092,23,C,8,,,
85658721,77775093,40,C,20,,,
85658722,77775093,49,C,20,0,N,
85660712,77775094,51,C,20,,,
85656613,77775095,14,C,20,,,
85658723,77775097,47,C,20,,,
85656562,77775098,14,C,12,,,
85654078,77775099,45,C,22,,,
85656614,77775100,28,C,8,,,
85660713,77775101,51,C,20,,,
85657257,77775102,23,C,8,,,
85657258,77775103,16,C,25,,,
85656563,77775104,14,C,20,,,
85656564,77775105,41,C,8,,,
85657259,77775106,44,C,20,,,
85657260,77775107,49,C,20,0,F,
85654079,77775109,41,C,12,,,
85654355,77775110,47,C,20,,,
85654356,77775111,41,C,12,,,
85656615,77775112,51,C,20,,,
85654357,77775113,41,C,8,,,
85660714,77775114,49,C,20,0,N,
85657262,77775115,44,C,20,,,
85657263,77775116,44,C,20,,,
85660715,77775117,35,C,13,,,
85660716,77775117,39,C,13,,,
85660717,77775118,14,C,18,,,
85658724,77775119,14,C,20,,,
85658697,77773950,39,C,20,,,
85653559,77773951,44,C,20,,,
85660681,77773953,16,C,13,,,
85658699,77773954,23,C,24,,,
85658700,77773956,49,C,20,0,N,
85649531,77773957,23,C,8,,,
85653560,77773958,23,C,8,,,
85655818,77773959,49,A,20,0,N,
85649532,77773960,49,C,20,0,N,
85658701,77773961,16,C,13,,,
85657221,77773962,23,C,8,,,
85653282,77773963,16,C,13,,,
85653283,77773963,35,C,13,,,
85660682,77773964,16,C,13,,,
85655819,77773965,16,C,14,,,
85653561,77773967,51,C,20,,,
85654320,77773972,41,C,24,,,
85654321,77773973,2,C,20,,,
85653285,77773974,16,C,25,,,
85660684,77773975,23,C,8,,,
85653286,77773976,16,C,20,,,
85653287,77773976,35,C,20,,,
85654322,77773977,51,C,20,,,
85654324,77773979,23,C,8,,,
85655820,77773980,14,C,20,,,
85658703,77773981,5,C,22,,,
85649534,77773982,5,C,20,,,
85660685,77773983,23,C,8,,,
85654325,77773985,49,C,20,0,F,
85657222,77773986,14,C,20,,,
85654326,77773987,51,C,20,,,
85654327,77773988,14,C,25,,,
85660686,77773989,45,C,21,,,
85660687,77773990,47,C,21,,,
85658704,77773991,16,C,20,,,
85658705,77773991,35,C,20,,,
85660688,77773993,14,C,13,,,
85655821,77773994,51,C,20,,,
85658707,77773995,47,C,12,,,
85656568,77775138,47,C,20,,,
85656616,77775139,46,C,8,,,
85657270,77775140,23,C,8,,,
85659482,77775141,23,C,8,,,
85659483,77775142,23,C,8,,,
85660720,77775143,51,C,20,,,
85660721,77775144,51,C,20,,,
92051588,84263911,37,C,12,,,
92510310,84663600,36,C,20,,,
91619287,83886872,35,C,20,,,
91619286,83886872,16,C,20,,,
90678253,83067301,51,C,20,,,
90678256,83067305,51,C,14,,,
91620378,83887924,41,C,8,,,
90677689,83068635,23,C,8,,,
90677691,83068637,47,C,20,,,
90678252,83067300,51,C,20,,,
90678254,83067304,41,C,8,,,
90677690,83068636,51,C,8,,,
90677686,83067302,5,C,22,,,
90677687,83067303,51,C,20,,,
90678257,83067306,51,C,20,,,
90677695,83067312,37,C,8,,,
85656569,77775145,40,C,21,,,
85660722,77775146,41,C,25,,,
85659484,77775147,47,C,14,,,
85654361,77775148,49,A,20,0,N,
85656570,77775149,23,C,8,,,
85656617,77775150,49,C,20,0,N,
85656571,77775151,49,C,20,0,N,
85660723,77775152,16,C,13,,,
85654362,77775153,14,C,46,,,
85659485,77775154,46,C,20,,,
85660725,77775156,51,C,25,,,
85654363,77775157,23,C,8,,,
85656618,77775158,23,C,8,,,
85656572,77775159,23,C,8,,,
85654081,77775160,23,C,8,,,
85654364,77775161,47,C,20,,,
85654365,77775161,11,C,20,,,
85660726,77775162,23,C,8,,,
85654082,77775163,16,C,8,,,
85654366,77775164,23,C,8,,,
85656619,77775165,16,C,12,,,
85654367,77775166,49,C,14,1,N,
85661476,77775167,7,C,20,,,
85654083,77775168,16,C,10,,,
85654084,77775168,35,C,10,,,
85656620,77775169,11,C,20,,,
85654085,77775170,47,C,8,,,
85657271,77775172,37,C,8,,,
85656573,77775173,23,C,8,,,
85661478,77775175,16,C,13,,,
85656621,77775176,7,C,8,,,
85654086,77775177,16,C,13,,,
85654087,77775179,16,C,46,,,
85656622,77775180,47,C,8,,,
85659486,77775181,51,C,14,,,
85661480,77775182,14,C,20,,,
85656574,77775183,45,C,20,,,
85656623,77775184,47,C,20,,,
85656624,77775185,14,C,20,,,
85656625,77775186,40,C,8,,,
85654088,77775187,16,C,8,,,
85654089,77775187,35,C,8,,,
85659487,77775188,23,C,8,,,
85661481,77775189,2,C,20,,,
85657274,77775191,23,C,24,,,
85656626,77775192,47,C,20,,,
85654090,77775193,51,C,20,,,
85656627,77775194,51,C,20,,,
85654368,77775195,44,C,20,,,
85657275,77775196,51,C,20,,,
85656575,77775197,41,C,23,,,
85657276,77775198,51,C,20,,,
85657277,77775199,51,C,20,,,
85661482,77775200,40,C,25,,,
85654369,77775201,23,C,8,,,
85656576,77775202,14,C,24,,,
