suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,91051866,1,11,6508538
5,91052837,1,11,6508322
16,91068138,1,11,6506938
16,91052812,1,11,6508321
5,91068152,1,11,6506939
16,91038322,10,9,6508338
16,91051835,6,9,6508537
5,91038330,1,11,6508339
16,91038344,1,11,6508340
5,91030256,30.2,1,6505667
2,91038356,1,11,6508341
1,91038358,1,11,6508342
1,91038360,1,11,6923065
4,91038360,1,11,6508343
5,91038369,1,11,6508344
16,91051824,24,9,6508535
16,91051825,1,11,6923094
5,91051825,1,11,6508536
5,91052977,1,11,6508474
5,91038128,1,11,6508117
5,91037293,1,11,6508486
5,91077426,1,11,6508740
5,91077473,1,11,6508744
5,97919719,2000,9,7244956
12,91039488,1,11,6508275
5,91039490,1,11,6923054
12,91039490,34,9,6508276
5,91055393,1,11,6508480
5,91077449,1,11,6508742
5,91077454,1,11,6508743
5,91048803,1,11,6507957
5,91051363,1,11,6508093
5,91051410,1,11,6508095
5,91051412,1,11,6508096
16,91051413,2,9,6923029
2,91051413,1,11,6976045
5,91051413,1,11,6508097
5,91055004,1,11,6508101
16,91055007,1,11,6508102
5,91055011,1,11,6508103
5,91055013,1,11,6508104
16,91039438,14,9,6508271
5,91055048,1,11,6508107
4,91077406,1,11,6508738
4,91077407,1,11,6923130
16,91077407,2,9,6508739
5,91077433,1,11,6508741
5,91061995,1,11,6506927
5,91061934,1,11,6506926
16,91051366,1,9,6508094
5,91038234,1,11,6923053
16,91038234,2,9,6508263
16,91038280,27,9,6508270
5,91039466,1,11,6508272
5,91039468,1,11,6508273
4,91039482,1,11,6508274
5,91052952,1,11,6923084
12,91052952,1,11,6508471
5,91052956,1,11,6923085
16,91052956,1,11,6508472
5,91052970,1,11,6508473
4,91055908,1,11,6922839
1,91055908,1,11,6506919
5,91055026,1,11,6508105
5,91055044,1,11,6508106
16,91037260,1,9,6923087
4,91037260,1,11,6508485
5,91039669,1,11,6508495
5,91040924,1,11,6923089
16,91040924,2,9,6508508
1,91040926,1,11,6508509
5,91055409,1,11,6508481
1,91055411,1,11,6923086
16,91055411,1,11,6508482
5,91040857,1,11,6508506
16,91055424,1,9,6508483
5,91055050,1,11,6508108
5,91055052,1,11,6508109
