victim_id,injury_id
25359518,4
25359520,4
25359526,5
25359528,6
25359530,4
25359534,4
25359537,5
25359538,5
25359541,4
25359542,3
25359551,4
25359552,4
25359553,4
25359565,6
25359566,4
25359654,5
25359672,5
25359390,5
25359391,5
25359393,5
25359409,5
25359412,5
25359413,5
25359415,4
25359426,5
25359432,5
25359442,3
25359461,4
25359468,4
25359567,5
25359570,4
25359577,5
25359580,5
25359582,5
25359598,4
25359602,5
25359611,5
25359612,5
25359613,5
25359617,5
25359619,5
25359623,5
25359629,5
25359688,5
25359689,5
25359692,5
25359693,5
25359698,5
25359699,5
25359481,4
25359485,5
25359487,4
25359490,4
25361132,5
25359386,4
25359643,5
25359646,5
25359653,5
25359673,4
25359675,5
25359809,5
25359814,5
25359817,5
25359837,5
25359838,5
25359840,4
25359845,5
25359680,5
25359681,5
25359690,5
25359713,3
25359715,3
25359716,4
25359732,5
25359733,5
25359736,4
25359738,5
25359769,4
25359775,3
25359777,5
25359780,5
25359781,5
25359782,5
25359783,5
25359851,5
25359852,5
25359862,5
25359880,5
25359881,5
25359897,4
25359904,5
25359905,5
25359906,5
25359756,5
25359760,5
25360315,5
25360113,5
25360115,5
25360117,5
25360118,5
25360127,5
25360140,5
25360142,5
25360161,4
25360162,5
25360163,5
25360166,5
25360167,5
25360174,5
25360175,4
25360192,4
25360199,5
25360209,5
25360210,4
25360211,4
25359953,3
25359953,8
25359947,5
25359948,5
25359950,5
25359959,4
25359974,3
25359988,5
25360019,3
25360020,5
25360021,5
25360023,4
25360024,4
25360025,3
25360032,5
25360043,5
25360047,3
25360055,3
25360073,5
25360074,5
25360077,5
25360078,5
25360087,5
25360091,5
25360095,5
25360096,5
25360108,5
25360295,5
25360304,4
25360319,5
25360323,4
25360326,3
25360326,6
25360334,5
25360335,4
25360336,5
25360341,4
25360342,5
25360344,5
25360346,5
25360354,5
25360362,5
25360374,4
25360384,4
25360395,5
25360410,5
25360433,4
25360439,4
25360440,5
25360443,5
25360448,4
25360455,5
25360221,4
25360229,4
25360230,4
25360231,4
25360243,4
25360244,4
25360247,4
25360248,4
25360289,4
25360290,4
25360463,4
25360472,4
25360474,5
25360475,5
25360476,5
25360479,5
25360484,5
25360649,4
25360658,5
25360663,4
25360664,5
25360671,5
25360670,5
25360674,5
25360678,5
25360693,6
25360697,5
25360698,4
25360709,4
25360711,5
25360712,5
25360715,5
25360730,5
25360736,5
25360737,5
25360738,5
25360739,5
25360743,4
25360744,4
25360748,5
25360761,4
25360769,5
25360771,5
25360778,5
25360780,5
25360809,5
25360494,5
25360496,5
25360497,5
25360498,5
25360504,4
25360502,5
25360505,5
25360506,5
25360511,5
25360515,5
25360516,4
25360517,4
25360540,5
25360542,5
25360551,5
25360552,5
25360553,5
25360557,5
25360563,5
25360568,5
25360572,5
25360574,5
25360579,5
25360590,5
25360595,5
25360602,5
25360606,4
25360608,5
25360611,5
25360624,5
25360635,5
25360632,5
25360633,5
25360634,5
25360638,5
25360850,5
25360868,5
25360875,5
25360879,5
25360884,5
25360894,5
25360895,5
25360896,5
25360904,5
25360905,5
25360921,5
25360928,5
25360934,5
25360937,5
25360939,4
25360940,5
25360957,5
25360967,5
25360968,4
25360973,5
25360996,5
25361007,5
25361021,5
25360795,5
25360799,5
25360800,5
25360815,5
25360818,4
25360823,4
25360829,5
25360834,5
25361034,5
25361038,5
25361045,5
25361115,5
25361088,4
25361439,5
25361443,5
25361444,4
25361445,4
25361446,4
25361447,4
25361448,4
25361450,5
25361452,4
25361454,4
25361467,4
25361468,5
25361486,5
25361487,4
25361488,5
25361489,5
25361490,4
25361491,5
25361498,5
25361532,5
25361533,5
25361534,5
25361545,4
25361505,4
25361505,7
25361156,4
25361164,4
25361167,5
25361168,5
25361169,5
25361170,5
25361171,4
25361180,5
25361181,4
25361183,4
25361184,4
25361186,4
25361191,4
25361192,4
25361197,4
25361197,7
25361199,4
25361208,5
25361240,5
25361243,5
25361244,4
25361254,5
25361263,4
25361264,4
25361270,4
25361278,5
25361279,4
25361280,4
25361281,5
25361284,5
25361289,5
25361290,4
25361292,4
25361293,4
25361301,1
25361302,5
25361310,4
25361321,6
25361325,5
25361335,4
25361336,4
25361340,4
25361347,4
25361349,3
25361350,3
25361350,8
25361351,5
25361352,4
25361372,5
25361378,4
25361379,4
25361381,5
25361389,5
25361388,4
25361392,5
25361394,4
25361406,5
25361412,5
25361413,4
25361420,5
25361421,6
25361424,4
25361436,4
25361437,4
25361551,4
25361552,4
25361553,4
25361556,4
25361557,4
25361558,4
25361559,5
25361571,5
25361570,5
25361581,5
25361591,4
25361596,5
25361597,4
25361606,5
25361607,5
25361613,4
25361622,5
25361623,4
25361624,5
25361627,5
25361628,5
25361633,5
25361632,5
25361636,6
25361637,4
25363443,5
25361902,4
25361908,4
25361915,4
25361916,4
25361918,5
25361925,4
25361658,4
25361668,3
25361707,5
25361716,4
25361718,4
25361719,4
25361721,4
25361722,4
25361729,5
25361728,5
25361816,5
25361817,5
25361823,5
25361829,5
25361672,4
25361673,6
25361678,4
25361679,4
25361695,5
25361696,5
25361702,5
25361751,4
25361753,4
25361757,4
25361761,5
25361767,1
25361770,5
25361771,5
25361772,5
25361778,5
25361788,4
25361795,5
25361839,4
25361874,1
25361892,5
25361896,5
25361897,4
25361944,4
25362287,4
25362288,4
25362295,4
25362296,5
25362297,5
25362167,4
25362180,5
25362196,5
25362200,4
25362203,5
