arrestee_id,weapon_id,nibrs_arrestee_weapon_id
7189037,1,7195018
7189033,7,7195014
7189030,1,7195011
7189029,1,7195010
7189012,1,7194993
7188960,1,7194942
7188942,1,7194924
7188913,1,7194896
7188911,1,7194894
7188900,1,7194883
7188899,1,7194882
7188891,1,7194874
7188888,1,7194871
7188882,1,7194865
7188874,1,7194857
7188854,1,7194837
7684241,1,7688549
7684200,1,7688508
7684152,1,7688263
7686995,1,7683354
7686950,1,7683309
7687959,1,7683127
7685949,1,7683033
7683200,1,7688959
7684278,1,7688782
7684243,1,7688747
7684242,1,7688550
7684216,1,7688524
7684209,1,7688517
7684199,1,7688507
7684120,1,7688231
7684115,1,7688226
7684099,1,7688015
7685075,1,7687544
7685060,1,7687529
7681691,1,7687066
7685177,1,7686201
7682426,1,7685830
7682425,1,7685829
7682418,1,7685822
7683320,1,7685078
7686119,1,7683794
7687040,1,7683596
7687024,1,7683580
7686077,1,7683555
7686036,1,7683514
7686978,1,7683337
7686964,1,7683323
7686948,1,7683110
7686907,1,7683069
7686889,1,7683051
7685950,1,7683034
7687930,1,7682901
7686876,1,7682841
7686874,1,7682839
7686873,1,7682838
7687868,1,7682643
7687867,1,7682642
7687846,1,7682621
7687832,1,7682607
7687817,1,7682592
7688737,1,7682126
7680750,1,7675211
7680736,1,7675003
7680677,1,7674944
7684158,1,7688269
7684121,1,7688232
7684117,1,7688228
7685084,1,7687553
7687044,1,7683600
7686053,1,7683531
7686979,1,7683338
7687901,1,7682872
7687890,1,7682861
7687883,1,7682854
7688759,1,7682148
7189009,3,7194990
7688772,1,7682161
7188993,1,7194974
7686875,1,7682840
7684228,1,7688536
7684248,1,7688752
7684238,1,7688546
7684236,1,7688544
7684217,1,7688525
7684208,1,7688516
7684207,1,7688515
7684197,1,7688505
7684193,1,7688501
7684182,1,7688490
7684181,1,7688489
7685163,7,7688350
7685162,1,7688349
7685159,1,7688346
7685157,1,7688344
7685156,1,7688343
7685149,1,7688336
7685148,1,7688335
7685145,1,7688332
7685144,1,7688331
7685139,1,7688326
7685138,1,7688325
7685135,1,7688322
7685132,1,7688319
7685119,1,7688306
7685114,1,7688301
7685104,1,7688291
7684167,1,7688278
7684160,1,7688271
7684149,1,7688260
7684147,1,7688258
7684145,1,7688256
7684141,1,7688252
7684134,1,7688245
7684132,7,7688243
7684112,1,7688223
7684109,1,7688220
7685083,1,7687552
7685080,1,7687549
7685079,1,7687548
7687853,1,7682628
7687848,1,7682623
7687845,1,7682620
7687835,1,7682610
7687831,1,7682606
7687826,1,7682601
7687824,1,7682599
7687823,1,7682598
7687822,1,7682597
7687805,1,7682384
7688777,1,7682166
7688770,1,7682159
7688758,1,7682147
7688757,1,7682146
7688753,1,7682142
7688749,1,7682138
7688741,1,7682130
7688731,1,7681925
7683194,1,7688953
7684280,1,7688784
7684256,1,7688760
7684249,1,7688753
7685078,1,7687547
7685038,1,7687507
7685037,1,7687506
7681660,1,7686839
7685030,1,7686778
7685026,1,7686774
7685025,1,7686773
7685202,1,7686226
7685187,1,7686211
7685172,1,7686196
7682402,1,7685806
7682373,1,7685581
7682371,1,7685579
7682302,1,7685315
7682277,1,7685290
7686133,1,7683808
7686128,1,7683803
7686124,1,7683799
7686120,1,7683795
7686110,1,7683785
7686109,1,7683784
7686102,1,7683777
7686097,1,7683772
7687054,1,7683610
7687050,1,7683606
7687031,1,7683587
7687021,1,7683577
7687017,1,7683573
7686086,1,7683564
7686073,1,7683551
7686061,1,7683539
7686056,1,7683534
7686055,1,7683533
7686040,1,7683518
7687006,1,7683365
7687001,1,7683360
7686999,1,7683358
7686981,1,7683340
7686975,1,7683334
7686958,1,7683317
7686957,1,7683316
7686023,1,7683304
7686011,1,7683292
7685998,1,7683279
7685994,1,7683275
7685988,1,7683269
7685982,1,7683263
7685964,1,7683245
7685963,1,7683244
7687961,1,7683129
7687957,1,7683125
7686933,1,7683095
7686930,1,7683092
7686922,1,7683084
7686911,1,7683073
7686908,1,7683070
7686905,1,7683067
7686904,1,7683066
7686898,1,7683060
7686890,1,7683052
7686887,1,7683049
7686883,1,7683045
