agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
895,29461509,3588914,050101112,,,2005-01-13 00:00:00,,23,6,,0,C,2005_01_AZ0111300_050101112_INC_NIBRS,,,
895,29461510,3588914,050101122,,,2005-01-13 00:00:00,,23,6,,0,C,2005_01_AZ0111300_050101122_INC_NIBRS,,,
895,29461511,3588914,050101128,,,2005-01-14 00:00:00,,8,6,,0,C,2005_01_AZ0111300_050101128_INC_NIBRS,,,
895,29461512,3588914,050101135,,,2005-01-14 00:00:00,,11,6,,0,C,2005_01_AZ0111300_050101135_INC_NIBRS,,,
895,29461513,3588914,050101138,,,2005-01-14 00:00:00,,11,6,,0,C,2005_01_AZ0111300_050101138_INC_NIBRS,,,
895,29461514,3588914,050101140,,,2005-01-12 00:00:00,,,6,,0,C,2005_01_AZ0111300_050101140_INC_NIBRS,,,
895,29461515,3588914,050101145,,,2005-01-14 00:00:00,,14,6,,0,C,2005_01_AZ0111300_050101145_INC_NIBRS,,,
895,29461516,3588914,050101155,,,2005-01-14 00:00:00,,15,6,,0,C,2005_01_AZ0111300_050101155_INC_NIBRS,,,
895,29461517,3588914,050101169,,,2005-01-14 00:00:00,,17,6,,0,C,2005_01_AZ0111300_050101169_INC_NIBRS,,,
895,29461518,3588914,050101172,,,2005-01-14 00:00:00,,17,6,,0,C,2005_01_AZ0111300_050101172_INC_NIBRS,,,
895,29461519,3588914,050101188,,,2005-01-14 00:00:00,,23,6,,0,C,2005_01_AZ0111300_050101188_INC_NIBRS,,,
895,29461520,3588914,050101208,,,2005-01-14 00:00:00,,20,6,,0,C,2005_01_AZ0111300_050101208_INC_NIBRS,,,
895,29461521,3588914,050101214,,,2005-01-14 00:00:00,,11,6,,0,C,2005_01_AZ0111300_050101214_INC_NIBRS,,,
895,29461522,3588914,050101222,,,2005-01-05 00:00:00,,8,6,,0,C,2005_01_AZ0111300_050101222_INC_NIBRS,,,
895,29461523,3588914,050101226,,,2005-01-15 00:00:00,,12,6,,0,C,2005_01_AZ0111300_050101226_INC_NIBRS,,,
895,29461524,3588914,050101234,,,2005-01-15 00:00:00,,13,6,,0,C,2005_01_AZ0111300_050101234_INC_NIBRS,,,
895,29461526,3588914,050101269,,,2005-01-15 00:00:00,,21,6,,0,C,2005_01_AZ0111300_050101269_INC_NIBRS,,,
895,29461527,3588914,050101283,,,2005-01-16 00:00:00,,1,6,,0,C,2005_01_AZ0111300_050101283_INC_NIBRS,,,
895,29461528,3588914,050101296,,,2005-01-16 00:00:00,,10,6,,0,C,2005_01_AZ0111300_050101296_INC_NIBRS,,,
895,29461529,3588914,050101297,,,2005-01-16 00:00:00,,14,6,,0,C,2005_01_AZ0111300_050101297_INC_NIBRS,,,
895,29461530,3588914,050101299,,,2005-01-15 00:00:00,,23,6,,0,C,2005_01_AZ0111300_050101299_INC_NIBRS,,,
895,29461531,3588914,050101303,,,2005-01-01 00:00:00,,,6,,0,C,2005_01_AZ0111300_050101303_INC_NIBRS,,,
895,29461532,3588914,050101309,,,2005-01-16 00:00:00,,14,6,,0,C,2005_01_AZ0111300_050101309_INC_NIBRS,,,
