property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
32409898,38,10,,32432219
32420193,6,100,,32401517
32418000,36,900,,32405040
32414593,20,5,,32430048
32416181,20,50,,32416827
32416182,25,30,,32416828
32409899,3,200,,32432220
32409900,63,706,,32432221
32409901,26,500,,32432222
32409902,63,120,,32432223
32416183,19,533,2005-01-14 00:00:00,32416829
32416184,10,0,,32416830
32416185,11,10,,32416831
32416186,19,533,,32416832
32418001,9,0,,32405041
32418002,20,40,,32405042
32418003,22,0,,32405043
32418004,25,25,,32405044
32409903,19,307,2005-01-14 00:00:00,32432224
32409904,19,307,,32432225
32420194,67,1,,32401518
32414425,38,200,,32427603
32426682,8,4,,32411649
32418005,13,800,,32405045
32409905,3,500,,32432226
32416187,27,25,,32416833
32414426,10,0,,32427604
32414427,11,10,,32427605
32416188,4,50,,32416834
32414594,8,12,,32430049
32416189,3,200,,32416835
32416190,63,100,,32416836
32416191,63,200,,32416837
32426683,24,7200,,32411650
32426684,38,91,,32411651
32416192,19,70,2005-01-16 00:00:00,32416838
32416193,19,70,,32416839
32409906,36,1200,,32432227
32420195,63,60,,32401519
32420196,19,81,2005-01-16 00:00:00,32401520
32420197,19,81,,32401521
32416194,68,,,32416840
32416195,3,100,,32416841
32426685,38,10,,32411652
32416196,29,150,,32416842
32416197,16,400,,32416843
32416198,36,500,,32416844
32416199,63,20,,32416845
32426686,3,2000,2005-01-17 00:00:00,32411653
32426687,3,2000,,32411654
32426688,7,542,2005-02-10 00:00:00,32411655
32426689,7,542,,32411656
32409907,38,250,,32432228
32409908,4,50,,32432229
32420198,31,50,,32401522
32420199,63,100,,32401523
32426690,63,15,,32411657
32409909,63,1,,32432230
32409910,63,0,,32432231
32414428,19,79,2005-01-18 00:00:00,32427606
32414429,19,79,,32427607
32414595,29,100,,32430050
32426691,20,150,,32411658
32426692,10,0,,32411659
32420265,68,,,32402738
32436272,17,10885,,32467865
32414582,3,8000,2005-01-10 00:00:00,32430037
32414583,3,8000,,32430038
32414414,29,1000,,32426458
32414584,17,1480,,32430039
32414585,68,,,32430040
32414586,3,540,,32430041
32414415,27,95,,32426459
32420187,3,3000,,32401511
32414416,7,224,2005-01-08 00:00:00,32426460
32414417,7,224,,32426461
32414418,3,400,,32426462
32414419,38,250,,32426463
32417999,11,10,,32405039
32409895,67,1,,32432216
32420188,19,84,,32401512
32409896,63,50,,32432217
32409897,27,350,,32432218
32414587,4,100,,32430042
32418784,4,200,,32398935
32414420,63,10,,32426464
32414421,4,200,,32426465
32414588,10,0,,32430043
32414589,31,1823,,32430044
32426670,3,26000,2005-09-18 00:00:00,32411637
32426671,3,26000,,32411638
32420189,11,10,,32401513
32426672,4,80,,32411639
32416179,63,300,,32416825
32420190,3,250,,32401514
32420191,27,350,,32401515
32414590,35,1200,,32430045
32420192,63,20,,32401516
32426673,24,210,,32411640
32426674,3,250,,32411641
32426675,36,40,,32411642
32426676,19,76,2005-01-12 00:00:00,32411643
32426677,10,0,,32411644
32426678,11,10,,32411645
32426679,19,76,,32411646
32426680,8,50,,32411647
32414422,38,35,,32426466
32414423,68,,,32426467
32414424,21,165,,32427602
32414591,29,250,,32430046
32414592,63,100,,32430047
32416180,10,0,,32416826
32426681,20,20,,32411648
32427567,63,1300,,32406813
32413551,68,,,32432445
32413552,3,150,,32432446
32413553,63,298,,32432447
32420178,10,0,,32401502
32409878,10,0,,32432199
32414563,25,20,,32428882
32418771,25,100,,32397778
32418772,26,100,,32397779
32418773,63,300,,32397780
32418774,20,50,,32397781
32409879,37,150,,32432200
32409880,38,3,2005-01-01 00:00:00,32432201
32409881,38,3,,32432202
32409882,17,2684,,32432203
32414564,68,,,32428883
32414565,13,1500,2005-01-02 00:00:00,32428884
32414566,10,0,,32428885
32414567,7,200,,32428886
32414568,13,1500,,32428887
32414569,29,100,,32428888
32414570,63,20,,32428889
32418775,35,200,,32397782
32416172,37,10000,2005-01-02 00:00:00,32435045
32416173,37,10000,,32435046
32416174,36,20,,32435047
32418776,36,200,,32397783
32417989,11,10,,32405029
32420179,11,10,,32401503
32434188,68,,,32414576
32437472,63,0,,32466791
32416200,3,250,,32416846
32416201,38,15,,32416847
32418006,36,2500,,32405046
32414596,4,200,,32430051
32418007,63,3,,32405047
32409911,63,300,,32432232
32418008,3,300,,32405048
32414597,16,1500,,32430052
32414598,20,50,,32430053
32416698,2,8,,32403755
32426693,3,10000,2005-01-20 00:00:00,32411660
32426694,3,10000,,32411661
32414599,4,127,,32430054
32426695,20,800,,32411662
32416202,68,,,32416848
32414430,31,100,,32427608
32414431,63,1,,32427609
32424111,31,100,,32409068
32424112,20,862,,32409069
32424113,63,150,,32409070
32416699,22,0,,32403756
32414600,8,10,2006-09-22 00:00:00,32430055
32414601,8,10,,32430056
32426696,21,50,,32411663
32426697,25,15,,32411664
32426698,29,50,,32411665
32418009,7,200,,32405049
32418010,63,251,,32405050
32414602,4,1000,,32430057
32416700,67,1,,32403757
32414432,63,500,,32427610
32420200,31,700,,32401524
32426699,26,600,,32411666
32414433,63,50,,32427611
32424114,27,320,,32409071
32418011,68,,,32405051
32418012,3,15000,2005-01-23 00:00:00,32405052
32418013,11,10,,32406185
32418014,3,15000,,32406186
32424115,38,5,2005-01-24 00:00:00,32409072
32424116,38,5,,32409073
32426700,8,3,,32411667
32426701,26,140,,32411668
32426702,36,3900,,32411669
32426703,63,440,,32411670
32426704,3,175,,32411671
32426705,36,50,,32411672
32414603,20,90,,32430058
32414604,25,5,,32430059
32414605,37,19000,,32430060
32426706,10,0,,32411673
32426707,11,5,,32411674
32424117,68,,,32409074
32414434,16,400,,32427612
32414435,29,400,,32427613
32426708,4,110,,32411675
32418015,63,250,,32406187
32426709,68,,,32411676
32426710,13,500,2005-02-04 00:00:00,32411677
32426711,13,500,,32411678
32418016,10,0,,32406188
32418017,11,1,,32406189
32418018,31,100,,32406190
32414606,63,100,,32430061
32420201,31,1000,,32401525
32420202,38,75,,32401526
32420203,63,20,,32401527
32414436,63,364,,32427614
32414607,17,2050,,32430062
32414608,20,285,,32430063
32414609,25,25,,32430064
32414437,25,45,2005-01-25 00:00:00,32427615
32414438,25,45,,32427616
32414439,63,20,,32427617
32424118,20,65,,32409075
32424119,25,25,,32409076
32416701,11,10,,32403758
32414610,30,75,,32430065
32426712,20,32,2005-01-25 00:00:00,32411679
32426713,20,32,,32411680
32424957,63,300,,32403050
32414440,11,10,,32427618
32426714,10,0,,32411681
32418019,3,250,,32406191
32418020,6,50,,32406192
32414441,67,1,,32427619
32414442,10,0,,32427620
32414443,11,10,,32427621
32424958,21,88,,32403051
32424959,20,88,,32403052
32414611,33,400,,32430066
32426715,3,350,,32411682
32414444,3,5000,,32427622
32416702,24,1500,2005-03-14 00:00:00,32403759
32416703,24,1500,,32403760
32414612,24,2000,2005-03-28 00:00:00,32430067
32414613,24,2000,,32430068
32414614,38,5,,32430069
32414615,10,0,,32430070
32414616,11,10,,32430071
32418021,16,100,,32406193
32418022,35,230,,32406194
32414617,3,50,,32430072
32414618,10,0,,32430073
32414619,11,10,,32430074
32416704,10,0,,32404896
32420204,2,48,,32401528
32416705,6,200,,32404897
32416706,16,300,,32404898
32416707,63,200,,32404899
32416708,3,475,,32404900
32416709,36,1500,,32404901
32418023,63,6,,32406195
32418024,63,50,,32406196
32424960,63,500,,32403053
32418025,10,0,,32406197
32418026,11,10,,32406198
32416710,26,70,,32404902
32426716,3,250,,32411683
32426717,67,1,,32411684
32424961,3,500,,32403054
32414445,24,500,,32427623
32418027,10,0,,32406199
32418028,11,10,,32406200
32414446,63,1,,32427624
32414447,3,2000,,32427625
32414448,7,170,,32427626
32414449,27,50,,32427627
32414620,11,10,,32430075
32416711,38,10,,32404903
32418029,20,191,,32406201
32414621,63,200,2005-02-03 00:00:00,32430076
32414622,63,200,,32430077
32420205,3,150,,32401529
32420206,24,299,,32401530
32426718,17,7020,,32411685
32426719,20,1000,,32411686
32418030,63,1500,,32406202
32426720,8,300,2005-02-03 00:00:00,32411687
32426721,8,300,,32411688
32416712,10,0,,32404904
32416713,11,10,,32404905
32420209,9,0,,32401533
32409885,3,10000,2005-01-05 00:00:00,32432206
32409886,3,10000,,32432207
32420183,63,200,,32401507
32414580,10,0,,32428899
32414581,11,10,,32430036
32420184,3,250,,32401508
32414464,3,15000,2005-02-08 00:00:00,32427642
32414465,3,15000,,32427643
32426728,20,6000,,32412841
32418889,16,150,,32400193
32418890,20,100,,32400194
32414654,63,189,2005-02-14 00:00:00,32430109
32414655,63,189,,32430110
32426745,63,50,,32412858
32409887,63,1500,,32432208
32418782,10,0,,32398933
32418783,11,10,,32398934
32413558,3,460,,32432452
32409888,29,105,,32432209
32409889,37,400,2005-01-06 00:00:00,32432210
32409890,37,400,,32432211
32409891,17,25,,32432212
32409892,20,200,,32432213
32409893,23,300,,32432214
32409894,63,55,,32432215
32420185,29,10,,32401509
32420186,38,300,,32401510
32425046,63,66,,32404280
32417990,29,75,,32405030
32418777,63,300,,32398928
32417991,3,11600,,32405031
32417992,9,0,,32405032
32414571,63,565,2005-01-03 00:00:00,32428890
32414572,10,0,,32428891
32414573,63,565,,32428892
32413554,63,10,,32432448
32420180,3,250,,32401504
32416175,35,5000,,32416821
32414574,16,1200,,32428893
32416176,37,160,,32416822
32414575,29,500,,32428894
32414576,30,500,,32428895
32418778,20,100,,32398929
32418779,25,10,,32398930
32418780,26,25,,32398931
32418781,63,150,,32398932
32420181,36,1280,,32401505
32413555,17,37,2005-01-03 00:00:00,32432449
32413556,17,37,,32432450
32414577,3,125,,32428896
32409883,19,347,2005-01-04 00:00:00,32432204
32409884,19,347,,32432205
32417993,19,476,2005-01-04 00:00:00,32405033
32417994,10,0,,32405034
32417995,11,10,,32405035
32417996,19,476,,32405036
32414578,10,0,,32428897
32414579,11,10,,32428898
32416177,7,1500,,32416823
32416178,11,10,,32416824
32417997,63,10,,32405037
32417998,36,300,,32405038
32420182,63,250,,32401506
32413557,8,34,,32432451
32414669,20,70,,32431260
32414670,25,20,,32431261
34307004,22,0,,34321566
34307005,21,100,,34321567
32611064,63,1382,,32591295
32618369,19,103,,32590509
32611052,8,214,,32591283
32627203,63,1000,,32594725
32617952,29,4100,,32603906
32624563,63,0,,32592098
32624564,63,0,,32592099
32437473,17,2725,,32466792
32430131,9,0,,32408217
32428826,63,0,,32406918
32426748,3,100,,32412861
32426749,3,8000,,32412862
32414478,63,200,,32427656
32414661,63,350,,32431252
32414479,5,66,,32427657
32426750,4,300,,32412863
32424987,20,2500,,32404221
32426751,26,50,,32412864
32420222,38,5,,32402695
32420223,63,625,,32402696
32424988,3,250,,32404222
32424989,3,8000,2005-02-17 00:00:00,32404223
32424990,3,8000,,32404224
32414662,3,5000,2005-02-18 00:00:00,32431253
32414663,3,5000,,32431254
32418899,10,0,,32400203
32418900,11,10,,32400204
32414480,63,10,,32427658
32414481,3,5000,2005-02-27 00:00:00,32427659
32414482,4,150,2005-02-17 00:00:00,32427660
32414483,3,5000,,32427661
32414484,4,150,,32427662
32416736,3,100,,32404928
32414664,29,50,,32431255
32414485,67,1,,32427663
32424991,63,20000,2005-02-18 00:00:00,32404225
32424992,63,20000,,32404226
32414665,9,0,,32431256
32414666,19,93,,32431257
32420224,8,50,,32402697
32418901,19,242,,32400205
32424993,63,0,,32404227
32416737,63,1,,32404929
32420225,29,50,,32402698
32414486,27,300,,32427664
32426752,20,35,,32412865
32426753,36,356,,32412866
32414667,3,16000,,32431258
32414668,36,7236,,32431259
32435838,20,407,,32460621
32418031,3,50,,32406203
32418032,29,100,,32406204
32418033,63,20,,32406205
32414623,19,107,2005-02-01 00:00:00,32430078
32414624,19,107,,32430079
32424962,19,62,2005-02-01 00:00:00,32403055
32424963,19,62,,32403056
32424964,10,0,,32403057
32424965,11,10,,32403058
32424966,26,240,,32403059
32424967,29,50,,32403060
32418034,37,700,,32406206
32418035,3,300,,32406207
32418036,6,10,,32406208
32418037,63,20,,32406209
32414625,38,350,,32430080
32424968,63,50,,32403061
32424969,20,180,,32403062
32414450,63,6900,,32427628
32426722,63,100,,32411689
32420207,20,500,,32401531
32414626,21,177,,32430081
32414451,63,30,,32427629
32420208,4,95,,32401532
32416714,3,100,,32404906
32414452,63,100,,32427630
32414627,3,5500,2005-02-04 00:00:00,32430082
32414628,3,5500,,32430083
32418038,27,900,,32406210
32418039,63,600,,32406211
32414453,63,200,,32427631
32416715,63,7,2005-02-04 00:00:00,32404907
32416716,63,7,,32404908
32414454,63,0,,32427632
32426723,25,25,,32411690
32416717,10,0,,32404909
32416718,11,10,,32404910
32426724,7,150,,32411691
32426725,27,1125,,32411692
32414629,2,19,,32430084
32414630,10,0,,32430085
32414631,11,10,,32430086
32414455,3,200,,32427633
32414456,4,872,,32427634
32416719,2,12,,32404911
32414457,3,200,,32427635
32414458,25,25,,32427636
32414459,63,757,,32427637
32414632,6,13,2005-02-05 00:00:00,32430087
32414633,8,1,2005-02-05 00:00:00,32430088
32414634,20,92,2005-02-05 00:00:00,32430089
32414635,6,13,,32430090
32414636,8,1,,32430091
32414637,20,92,,32430092
32414638,3,5000,2005-02-06 00:00:00,32430093
32414639,3,5000,,32430094
32418040,2,2,,32406212
32418041,20,50,,32406213
32418042,26,100,,32406214
32418043,29,100,,32406215
32424970,20,40,,32403063
32424971,25,25,,32403064
32418044,20,50,,32406216
32414640,31,25,,32430095
32414641,19,900,,32430096
32414642,20,801,,32430097
32414460,68,,,32427638
32424972,22,0,,32403065
32424973,20,503,,32403066
32420210,10,0,,32401534
32424974,63,15000,2005-02-09 00:00:00,32403067
32424975,63,15000,,32403068
32424976,19,79,2005-02-07 00:00:00,32403069
32424977,19,79,,32403070
32420211,11,10,,32401535
32420212,20,50,,32401536
32414461,4,150,,32427639
32414462,31,200,,32427640
32414463,20,100,,32427641
32420213,29,200,,32401537
32426726,31,120,,32411693
32426727,20,100,,32411694
32424978,7,183,,32403071
32424979,17,80,,32403072
32424980,38,220,,32404214
32414466,63,0,,32427644
32414467,63,0,,32427645
32426729,3,10000,2005-02-08 00:00:00,32412842
32426730,3,10000,,32412843
32414468,68,,,32427646
32414469,31,550,,32427647
32420214,63,0,,32401538
32418045,7,500,,32406217
32418046,17,1005,,32406218
32418047,26,950,,32406219
32418048,27,300,,32406220
32418049,36,50,,32406221
32418050,63,8740,,32406222
32426731,63,1500,,32412844
32414643,63,150,,32430098
32426732,7,800,2005-02-16 00:00:00,32412845
32426733,16,1280,2005-02-16 00:00:00,32412846
32426734,26,1300,2005-02-16 00:00:00,32412847
32426735,36,600,2005-02-16 00:00:00,32412848
32426736,63,10000,2005-02-16 00:00:00,32412849
32426737,7,800,,32412850
32426738,16,1280,,32412851
32426739,26,1300,,32412852
32426740,36,600,,32412853
32426741,63,10000,,32412854
32416720,7,1,,32404912
32416721,26,1,,32404913
32414470,63,250,,32427648
32414471,33,2000,,32427649
32420215,31,2000,,32401539
32414644,63,50,,32430099
32420216,26,200,,32401540
32414645,26,40,,32430100
32414646,27,300,,32430101
32414647,63,50,,32430102
32414648,10,0,,32430103
32414649,63,0,,32430104
32420217,9,0,,32402690
32420218,19,594,,32402691
32414650,31,800,,32430105
32426742,38,5,,32412855
32414651,38,800,,32430106
32420219,38,5,,32402692
