offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
41816728,37237926,0,,,,,,,,
41816731,37237927,3,5,27,M,1,,,,
41816729,37237927,1,5,21,M,1,,,,
41816730,37237927,2,5,29,M,0,,,,
41816732,37237928,0,,,,,,,,
41816733,37237929,0,,,,,,,,
41816734,37237930,0,,,,,,,,
41816735,37237931,1,5,27,M,1,,,,
41816736,37237932,1,5,45,M,1,,,,
41816737,37237933,0,,,,,,,,
41816738,37237934,1,5,22,M,1,,,,
41816739,37237935,1,5,31,M,1,,,,
41816740,37237936,1,5,19,M,1,,,,
41816741,37237937,0,,,,,,,,
41816742,37237938,0,,,,,,,,
41816743,37237939,1,5,25,M,1,,,,
41816744,37237940,0,,,,,,,,
41816745,37237941,1,5,69,F,1,,,,
41816746,37237942,1,5,10,F,1,,,,
41816747,37237942,2,5,9,F,1,,,,
41816748,37237943,1,5,18,M,1,,,,
41816749,37237944,1,5,18,M,1,,,,
41816750,37237945,1,5,18,M,0,,,,
41816751,37237946,0,,,,,,,,
41816752,37237947,0,,,,,,,,
41816753,37237948,0,,,,,,,,
41816754,37237949,1,4,,F,0,,,,
41816755,37237950,0,,,,,,,,
41816756,37237951,0,,,,,,,,
41816757,37237952,0,,,,,,,,
41816758,37237953,0,,,,,,,,
41816759,37237954,0,,,,,,,,
41816760,37237955,0,,,,,,,,
41816761,37237956,0,,,,,,,,
41816762,37237957,0,,,,,,,,
41816763,37237958,0,,,,,,,,
41816764,37237959,0,,,,,,,,
41816765,37237960,0,,,,,,,,
41816766,37237961,0,,,,,,,,
41816767,37237962,0,,,,,,,,
41816768,37237963,1,4,,M,0,,,,
41816769,37237964,1,5,13,M,1,,,,
41816770,37237965,1,5,19,M,1,,,,
41816771,37237966,0,,,,,,,,
41816772,37237967,1,5,21,M,3,,,,
41816773,37237968,0,,,,,,,,
41816774,37237969,0,,,,,,,,
41816775,37237970,0,,,,,,,,
41816776,37237971,0,,,,,,,,
41816777,37237972,1,5,24,F,1,,,,
41814964,37236106,1,5,40,M,1,,,,
41814965,37236107,1,5,31,M,1,,,,
41814966,37236108,0,,,,,,,,
41814967,37236109,0,,,,,,,,
41814968,37236110,1,5,33,M,1,,,,
41814969,37236111,1,5,38,M,1,,,,
41814970,37236112,0,,,,,,,,
41814971,37236113,1,5,53,M,1,,,,
41814972,37236114,1,4,,M,0,,,,
41814973,37236115,1,5,59,M,1,,,,
41814974,37236116,0,,,,,,,,
41814975,37236117,0,,,,,,,,
41814976,37236118,1,5,40,M,1,,,,
41814977,37236119,0,,,,,,,,
41814978,37236120,1,5,44,M,1,,,,
41814979,37236121,0,,,,,,,,
41814980,37236122,1,5,14,F,1,,,,
41814981,37236123,0,,,,,,,,
41814982,37236124,1,5,27,M,1,,,,
41816652,37237057,1,5,13,M,1,,,,
41816653,37237058,1,5,14,M,1,,,,
41816654,37237059,1,5,18,M,1,,,,
41816655,37237060,1,5,52,M,1,,,,
41816656,37237061,1,5,41,M,1,,,,
