victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
40152858,37237926,1,4,,,,5,59,F,1,2,N,,,,
40152859,37237927,1,4,,,,4,,M,1,2,R,,,,
40152860,37237928,1,1,,,,,,,,,,,,,
40152861,37237929,1,4,,,,5,75,M,1,2,N,,,,
40152862,37237930,1,4,,,,5,60,F,1,2,R,,,,
40152863,37237931,1,4,,,,5,63,M,1,2,N,,,,
40152864,37237932,1,1,,,,,,,,,,,,,
40152865,37237933,1,4,,,,5,40,M,1,1,R,,,,
40152866,37237934,1,4,,,,5,19,F,1,2,R,,,,
40152867,37237935,1,4,,,,5,29,M,1,2,N,,,,
40152868,37237936,1,1,,,,,,,,,,,,,
40152869,37237937,1,1,,,,,,,,,,,,,
40152870,37237938,1,4,,,,5,29,F,1,2,R,,,,
40152872,37237939,2,4,,,,5,39,M,1,2,R,,,,
40152871,37237939,1,1,,,,,,,,,,,,,
40152873,37237940,1,1,,,,,,,,,,,,,
40152874,37237941,1,4,,,,5,13,M,1,2,R,,,,
40152875,37237942,1,1,,,,,,,,,,,,,
40152876,37237943,1,4,,,,5,29,M,1,1,R,,,,
40152877,37237943,2,1,,,,,,,,,,,,,
40152878,37237944,1,8,,,,,,,,,,,,,
40152879,37237945,1,4,,,,5,44,M,1,2,R,,,,
40152880,37237946,1,1,,,,,,,,,,,,,
40152881,37237947,1,4,,,,5,65,M,1,2,R,,,,
40152882,37237948,1,1,,,,,,,,,,,,,
40152883,37237949,1,4,,,,5,19,F,1,1,R,,,,
40152884,37237950,1,4,,,,5,73,M,0,2,R,,,,
40152885,37237950,2,1,,,,,,,,,,,,,
40152886,37237951,1,4,,,,5,58,M,1,2,N,,,,
40152887,37237952,1,4,,,,5,65,M,1,2,R,,,,
40152888,37237953,1,4,,,,5,35,F,1,2,R,,,,
40152889,37237954,1,4,,,,5,46,F,1,2,N,,,,
40152890,37237955,1,4,,,,5,75,F,1,2,R,,,,
40152891,37237956,1,4,,,,5,59,M,1,2,R,,,,
40152892,37237957,1,4,,,,5,16,M,1,2,R,,,,
40152893,37237958,1,4,,,,5,43,M,1,2,R,,,,
40152894,37237959,1,4,,,,5,82,M,1,2,R,,,,
40152895,37237960,1,1,,,,,,,,,,,,,
40152896,37237961,1,1,,,,,,,,,,,,,
