suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,54602242,1,1,3581461
13,54602247,11,9,3581462
12,54602254,1,1,3581463
5,54602278,1,1,3581464
4,54602293,2,9,3581465
16,54602299,1,9,3581466
12,54603452,2,9,3581467
5,54603462,2,9,3581468
12,54603463,1,9,3581469
5,54596248,6944,1,3581525
5,54596264,2,1,3581526
5,54603592,1,9,3581551
4,54592955,1,9,3581580
5,54596287,2,9,3581596
5,54596319,3,1,3581597
5,54596321,1,9,3581598
5,54599938,1,9,3581611
5,54599948,1,1,3581612
5,54599962,5,1,3581613
16,54599964,10,9,3581614
12,54599971,8,1,3581615
5,54599981,10,1,3581616
11,54599988,4,9,3581617
16,54599990,5,9,3581618
5,54599998,1,9,3581619
5,54603602,42,1,3581621
5,54592975,1,9,3581652
5,54592978,1,9,3581653
5,54592992,1,9,3581654
8,54593006,1,9,3581655
5,54600000,1,1,3581675
2,54600019,56,1,3581676
5,54600024,1,1,3581677
5,54600028,1,9,3581678
5,54600033,3,9,3581679
5,54600036,1,9,3581680
5,54601272,17,1,3581684
5,54601293,13888,1,3581685
5,54601302,1,1,3581686
5,54601309,1,9,3581687
5,54602497,1,1,3581688
5,54602524,28,1,3581689
5,54602525,1,9,3581690
16,54602527,4,9,3581691
5,54590617,1,1,3581714
5,54676548,1,1,3586012
5,54676559,7,1,3586013
2,54676567,1,1,3586014
5,54665967,2,9,3586047
17,54666007,1,9,3586048
5,54666012,2,9,3586049
5,54666013,1,9,3586050
5,54668385,1,9,3586054
5,54668387,1,1,3586055
5,54668405,28,1,3586056
12,54671842,1,1,3586069
5,54671850,187,1,3586070
5,54671858,1,1,3586071
5,54671892,2,9,3586072
5,54671900,1,1,3586073
5,54672991,1,1,3586074
5,54673026,3,1,3586075
2,54674232,1,9,3586078
8,54676594,0,,3586086
5,54681478,1,1,3586101
5,54664847,1,9,3586111
5,54666050,0.028,1,3586119
5,54668468,4,9,3586128
8,54668501,3,9,3586129
4,54668515,1,9,3586130
5,54673050,1,9,3586154
5,54622070,2,9,3590323
5,54622071,2,1,3590324
5,54623235,1,9,3590325
5,54623240,2,9,3590326
5,54623268,84,1,3590327
5,54623282,3,1,3590328
4,54611081,2,1,3590357
5,54611096,1,9,3590358
5,54611107,1,9,3590359
5,54611111,1,9,3590360
2,54611114,1,9,3590361
5,54611123,1,9,3590362
5,54611127,1,1,3590363
5,54613506,1,9,3590368
5,54613541,1,9,3590369
5,54613549,1,1,3590370
5,54613553,28,1,3590371
5,54613559,1,1,3590372
5,54613578,1,9,3590373
5,54622100,28,1,3590396
5,54622109,1,9,3590397
5,54622117,1,9,3590398
5,54611132,1,9,3590422
5,54611139,1,9,3590423
5,54611168,2,1,3590424
5,54611195,28,1,3590425
16,54613581,0,,3590431
5,54613584,1,1,3590432
5,54614833,1,1,3590435
5,54614839,1,9,3590436
4,54611222,2,9,3590493
5,54611237,1,9,3590494
5,54611243,1,1,3590495
5,54622271,1,9,3590541
5,54622295,1,9,3590542
5,54622306,2,9,3590543
5,54622311,1,1,3590544
4,54608846,1,9,3590563
5,54608862,6,1,3590564
5,54608893,39,1,3590565
5,54608899,1,1,3590566
5,54616233,1,9,3590595
12,54698906,0.058,1,3594754
5,54698913,4.002,1,3594755
5,54700109,1,11,3594757
12,54695265,7.053,1,3594844
5,54695269,12.087,1,3594845
5,54695305,315.072,1,3594846
5,54695311,1.048,1,3594847
5,54698937,1.066,1,3594858
5,54698953,0.068,1,3594859
5,54698960,1.089,1,3594860
12,54698987,0.018,1,3594861
5,54700953,1.001,1,3594879
5,54686844,1,1,3594891
5,54686852,2,9,3594892
17,54686854,3.005,9,3594893
4,54686865,9,1,3594894
5,54686870,1,9,3594895
5,54695348,0.007,1,3594942
12,54695357,0.009,1,3594943
5,54699001,51.076,1,3594956
