criminal_act_id,offense_id
9,64768778
9,64782119
9,64765427
9,64765428
9,64757647
6,64761502
9,64756732
6,64758211
6,64756734
9,64761503
6,64761504
9,64758212
9,64757650
9,64758214
9,64750947
6,64765431
6,64765432
9,64756738
9,64765423
6,64765424
9,64754232
9,64758208
9,64758209
6,64756730
6,64756731
6,64758216
9,64765433
9,64757655
6,64757656
6,64761509
6,64761510
6,64750949
6,64765436
9,64761511
6,64765437
6,64765438
6,64754235
9,64757660
6,64750950
6,64758223
6,64758224
9,64754243
6,64757663
6,64757664
9,64757665
9,64757667
6,64765449
6,64757668
6,64757669
6,64757671
6,64757672
6,64757674
9,64761518
6,64757675
6,64757676
9,64754221
9,64754222
6,64754225
6,64754226
9,64765421
9,64754227
9,64758204
6,64758205
6,64761490
9,64758206
9,64761491
9,64761492
6,64761493
6,64761494
6,64765422
6,64758207
6,64750942
6,64750943
6,64750944
9,64764785
9,64757540
9,64764358
9,64754279
9,64757541
9,64764359
9,64764360
9,64754281
9,64764368
9,64757556
9,64774125
9,64757520
9,64761524
6,64750965
9,64757522
6,64757523
9,64761528
6,64763567
6,64763568
6,64763569
9,64750969
9,64763570
9,64763572
6,64763573
6,64763574
9,64757691
9,64765462
9,64765468
6,64765463
6,64765464
6,64763575
9,64754258
9,64757531
9,64765466
9,64761531
9,64750975
9,64750976
9,64750978
9,64765469
6,64757696
6,64757697
9,64765472
9,64750986
6,64750987
6,64750988
9,64757699
9,64757535
9,64761539
6,64754262
9,64754264
6,64765474
6,64765475
9,64765476
6,64750990
9,64757701
6,64763585
9,64754266
9,64761544
9,64757704
6,64765479
6,64765480
9,64761546
6,64754271
6,64754272
6,64754273
6,64757706
9,64751004
9,64757537
6,64754275
6,64754276
6,64757708
6,64757709
6,64765484
6,64763589
9,64751006
9,64757711
9,64754278
9,64761549
6,64765453
9,64754249
6,64761520
9,64757678
9,64757680
6,64757681
9,64757682
9,64750958
6,64750960
9,64750961
9,64761522
9,64761523
9,64763562
6,64757683
6,64757684
9,64750962
6,64762330
6,64762331
9,64755091
9,64755092
6,64759852
6,64765806
6,64764389
6,64764390
6,64757585
6,64757586
9,64762340
9,64765808
9,64759853
6,64766301
6,64766302
6,64764391
6,64757542
9,64754282
9,64764362
6,64759826
6,64757544
6,64757545
6,64765490
6,64765491
9,64757547
6,64757548
9,64764364
9,64759827
9,64765492
6,64764367
9,64754289
6,64754291
6,64754292
9,64761555
6,64761556
9,64754297
9,64759833
6,64759835
6,64759836
6,64754312
6,64754313
6,64754315
9,64761571
9,64754318
9,64761573
9,64757728
9,64764380
9,64761574
6,64761576
6,64761577
6,64766286
6,64766287
6,64766288
9,64757575
6,64757576
6,64757577
9,64757552
6,64754299
6,64754300
6,64761561
6,64761562
9,64765498
9,64754301
6,64754302
6,64765500
9,64757721
9,64765501
9,64754307
6,64757559
6,64757560
6,64757561
6,64757562
9,64754308
6,64766281
9,64761566
6,64761567
9,64757724
6,64764374
6,64764375
9,64754310
9,64761569
9,64764377
9,64760716
6,64754323
9,64759844
3,64759845
6,64759846
8,64759846
6,64762333
6,64762334
6,64764384
9,64762335
9,64762336
6,64759847
9,64764788
9,64762337
9,64754329
9,64764790
6,64766294
6,64764795
6,64764796
6,64766296
9,64754334
6,64764797
9,64766297
9,64757588
6,64759856
6,64759857
9,64759858
6,64757592
9,64759859
6,64757594
9,64764392
9,64759862
9,64765812
9,64759863
6,64762347
6,64762348
6,64757597
6,64762349
6,64762350
9,64759864
9,64764802
9,64764803
9,64764398
9,64764400
6,64766305
9,64765813
6,64762352
9,64762354
6,64762355
9,64759869
6,64764804
9,64764805
6,64765822
9,64762358
9,64764405
6,64765824
6,64764809
6,64764811
6,64764812
6,64764813
9,64759872
6,64764814
6,64759876
6,64759877
9,64759878
9,64759879
9,64759880
9,64757605
9,64757606
9,64762363
9,64766313
9,64759883
6,64764817
6,64764818
9,64757607
6,64765826
9,64757608
9,64765827
6,64765829
6,64765830
9,64757609
9,64764416
9,64759896
6,64764822
6,64764823
9,64757617
9,64766318
6,64764824
9,64766320
9,64769467
6,64764420
6,64764421
9,64765838
9,64764412
9,64757612
9,64765831
6,64765832
9,64765833
6,64768690
6,64768691
6,64768692
6,64768693
9,64759887
9,64759888
9,64757614
9,64757615
9,64765835
9,64764413
6,64764414
6,64764415
9,64769464
9,64764821
6,64764396
9,64759861
9,64765668
6,64769516
4,64765890
6,64773526
9,64759909
9,64764434
6,64766341
6,64764849
9,64764435
6,64757633
6,64769482
6,64759910
6,64759911
6,64759912
6,64766343
6,64765862
6,64765863
9,64764437
6,64769486
9,64769487
9,64769489
6,64766348
6,64766349
6,64766350
9,64764853
6,64769491
6,64769492
9,64765865
9,64759917
9,64764854
9,64764857
9,64758406
6,64764442
9,64769495
9,64764443
9,64765867
9,64764446
9,64769499
9,64764452
6,64764453
6,64764454
9,64764455
9,64758415
6,64769507
9,64764861
6,64764863
6,64765639
6,64766369
6,64766370
9,64758409
5,64759925
9,64769500
6,64769502
9,64758410
9,64758411
9,64766460
9,64769469
9,64765839
6,64757621
6,64757622
9,64766322
9,64764828
9,64759899
9,64759900
9,64764829
9,64759901
9,64765841
9,64765843
6,64765845
9,64769472
6,64769473
9,64769474
6,64764428
6,64764429
9,64766329
9,64764832
9,64764833
6,64759904
6,64764837
6,64764838
9,64759905
6,64757627
6,64757628
6,64769477
9,64764841
6,64764842
9,64765848
6,64765849
9,64765850
6,64764844
6,64765851
6,64765852
6,64764431
6,64766335
9,64765853
6,64766336
6,64766337
6,64766338
6,64766339
6,64766516
6,64769592
9,64769539
9,64765253
9,64769540
9,64766676
6,64765254
9,64766488
9,64773424
9,64766490
6,64765257
9,64765258
9,64773425
6,64774335
9,64765692
9,64765646
9,64766464
9,64764459
6,64765647
6,64765648
6,64766465
9,64765882
9,64764477
9,64764479
9,64766477
9,64765893
9,64765666
9,64760711
9,64765894
9,64764481
6,64765895
6,64765896
6,64760712
6,64760713
9,64765897
6,64766665
6,64766666
9,64766480
9,64769529
9,64760714
9,64765671
6,64766669
9,64769513
9,64765649
9,64765650
9,64765884
6,64765654
6,64769518
6,64769519
6,64766379
6,64765655
9,64765656
6,64765657
9,64765659
9,64765660
9,64760705
9,64766381
9,64766472
9,64760706
6,64765888
6,64765889
9,64769521
9,64769536
9,64765673
6,64773414
6,64773415
6,64765674
9,64773416
6,64773417
6,64766482
6,64766483
9,64760720
9,64765681
9,64765251
9,64765682
9,64765252
6,64782117
9,64779143
6,64764456
9,64760688
6,64760690
6,64760691
9,64760693
6,64765879
6,64765880
6,64766373
6,64766374
9,64766375
9,64764458
6,64766462
6,64766463
9,64765738
6,64769587
6,64769581
6,64769582
9,64760744
9,64760745
9,64769584
9,64769585
9,64765734
9,64765740
9,64760749
4,64760750
6,64773454
9,64773456
6,64766522
6,64766523
9,64773457
6,64766525
9,64765742
9,64760754
9,64765744
9,64765751
6,64766714
6,64766715
9,64767298
9,64765262
6,64760727
6,64760728
9,64765699
9,64765700
6,64769550
9,64766492
9,64765701
9,64766493
6,64773436
6,64760730
6,64766684
9,64765702
9,64769558
9,64765695
9,64765260
9,64765698
6,64766680
6,64766681
6,64765707
6,64765708
6,64765709
6,64769561
9,64765712
9,64769562
9,64765267
9,64765268
9,64766501
9,64765714
9,64766686
4,64766687
9,64765718
6,64765719
6,64766688
9,64769566
6,64765723
9,64766504
9,64773445
6,64766505
6,64766506
9,64773447
9,64760741
9,64766691
1,64781351
9,64766726
9,64770366
9,64767860
6,64774497
6,64774498
9,64773302
9,64767310
9,64767311
6,64774517
9,64766698
9,64773462
9,64765748
9,64766526
6,64760756
9,64765277
6,64769593
6,64765280
6,64760760
6,64760761
6,64773467
6,64773468
9,64774217
6,64766535
9,64774218
6,64766537
6,64765283
6,64765284
9,64774483
6,64770351
6,64770352
6,64774484
9,64770353
6,64760767
6,64760768
9,64760770
9,64770354
9,64770356
9,64766538
9,64765288
