nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6115870,879,1,2013,U,,,N,F,,C,2013_01_AZ0100400_NIBRS,
6138202,879,2,2013,U,,,N,F,,C,2013_02_AZ0100400_NIBRS,
6160534,879,3,2013,U,,,N,F,,C,2013_03_AZ0100400_NIBRS,
6182866,879,4,2013,U,,,N,F,,C,2013_04_AZ0100400_NIBRS,
6205198,879,5,2013,U,,,N,F,,C,2013_05_AZ0100400_NIBRS,
6227530,879,6,2013,U,,,N,F,,C,2013_06_AZ0100400_NIBRS,
6249862,879,7,2013,U,,,N,F,,C,2013_07_AZ0100400_NIBRS,
6272194,879,8,2013,U,,,N,F,,C,2013_08_AZ0100400_NIBRS,
6294526,879,9,2013,U,,,N,F,,C,2013_09_AZ0100400_NIBRS,
6316858,879,10,2013,U,,,N,F,,C,2013_10_AZ0100400_NIBRS,
6339190,879,11,2013,U,,,N,F,,C,2013_11_AZ0100400_NIBRS,
6361522,879,12,2013,U,,,N,F,,C,2013_12_AZ0100400_NIBRS,
6115871,880,1,2013,U,,,N,F,,C,2013_01_AZ0100600_NIBRS,
6138203,880,2,2013,U,,,N,F,,C,2013_02_AZ0100600_NIBRS,
6160535,880,3,2013,U,,,N,F,,C,2013_03_AZ0100600_NIBRS,
6182867,880,4,2013,U,,,N,F,,C,2013_04_AZ0100600_NIBRS,
6205199,880,5,2013,U,,,N,F,,C,2013_05_AZ0100600_NIBRS,
6227531,880,6,2013,U,,,N,F,,C,2013_06_AZ0100600_NIBRS,
6249863,880,7,2013,U,,,N,F,,C,2013_07_AZ0100600_NIBRS,
6272195,880,8,2013,U,,,N,F,,C,2013_08_AZ0100600_NIBRS,
6294527,880,9,2013,U,,,N,F,,C,2013_09_AZ0100600_NIBRS,
6316859,880,10,2013,U,,,N,F,,C,2013_10_AZ0100600_NIBRS,
6339191,880,11,2013,U,,,N,F,,C,2013_11_AZ0100600_NIBRS,
6361523,880,12,2013,U,,,N,F,,C,2013_12_AZ0100600_NIBRS,
6115872,881,1,2013,U,,,N,F,,C,2013_01_AZ0100700_NIBRS,
6138204,881,2,2013,U,,,N,F,,C,2013_02_AZ0100700_NIBRS,
6160536,881,3,2013,U,,,N,F,,C,2013_03_AZ0100700_NIBRS,
6182868,881,4,2013,U,,,N,F,,C,2013_04_AZ0100700_NIBRS,
6205200,881,5,2013,U,,,N,F,,C,2013_05_AZ0100700_NIBRS,
6227532,881,6,2013,U,,,N,F,,C,2013_06_AZ0100700_NIBRS,
6249864,881,7,2013,U,,,N,F,,C,2013_07_AZ0100700_NIBRS,
6272196,881,8,2013,U,,,N,F,,C,2013_08_AZ0100700_NIBRS,
6294528,881,9,2013,U,,,N,F,,C,2013_09_AZ0100700_NIBRS,
6316860,881,10,2013,U,,,N,F,,C,2013_10_AZ0100700_NIBRS,
6339192,881,11,2013,U,,,N,F,,C,2013_11_AZ0100700_NIBRS,
6361524,881,12,2013,U,,,N,F,,C,2013_12_AZ0100700_NIBRS,
