victim_id,offense_id
84014315,81298274
84014326,81304086
84014340,81305567
84014347,81303501
83998995,81279995
83998996,81274474
83998996,81274475
83998997,81283680
83998998,81276604
83998998,81276605
83998999,81279996
83999000,81279996
83999001,81270603
83999002,81274476
83999003,81274476
83999004,81274477
83999005,81276606
83999006,81291096
83999007,81274478
83999008,81291097
83999008,81291098
83999009,81275236
83999010,81279997
83999011,81283681
83999012,81279998
83999013,81276607
83999014,81279999
83999062,81283689
83999063,81277376
83999064,81278580
83999962,81278581
83999963,81280004
83999964,81277377
83999964,81277378
83999965,81283690
83999965,81283691
83999966,81280005
83999967,81278582
83999968,81280006
83999969,81283692
83999970,81277379
83999971,81277379
83999972,81286044
83999972,81286045
83999973,81286046
83999974,81286047
83999974,81286048
83999974,81286049
83999975,81286050
83999976,81283693
83999977,81281505
83999978,81278583
83999979,81291109
83999980,81280007
83999981,81286326
83999982,81283694
83999983,81281506
83999983,81281507
83999983,81281508
83999984,81286327
83999986,81278585
83999985,81278584
83999987,81286051
83999988,81278586
83999989,81283695
83999990,81278587
83999991,81281509
83999991,81281510
83999992,81281511
83999993,81278588
83999994,81286328
83999994,81286329
83999995,81291110
84000056,81280785
84000057,81283701
84000058,81283702
84000058,81283703
84000059,81286335
84000060,81281531
84000061,81278594
84000062,81280786
84000063,81286336
84000064,81281532
84000064,81281533
84000065,81286337
84000065,81286338
84000066,81283704
84000067,81283705
84000068,81281534
84000069,81286339
84000070,81291120
84000071,81283706
84000072,81291121
84000073,81286057
84000074,81280787
84000076,81278597
84000077,81286058
84000080,81286060
84000089,81287102
84000094,81278601
84001059,81280803
84001060,81280803
84001150,81280815
83999015,81280000
83999016,81276608
83999018,81291100
83999018,81291101
83999017,81291099
83999019,81291102
83999019,81291103
83999020,81283682
83999021,81283684
83999021,81283685
83999022,81283683
83999023,81276609
83999024,81286037
83999025,81286037
83999026,81283686
83999027,81283686
83999028,81275237
83999029,81270604
83999029,81270605
83999030,81276610
83999031,81276611
83999032,81275238
83999033,81275238
83999034,81280001
83999035,81276612
83999035,81276613
83999036,81291104
83999036,81291105
83999036,81291106
83999037,81286038
83999037,81286039
83999038,81277366
83999039,81275239
83999039,81275240
83999040,81277367
83999041,81286040
83999042,81280002
83999044,81277369
83999044,81277370
83999043,81277368
83999045,81291107
83999046,81277371
83999047,81275241
83999047,81275242
83999048,81278579
83999049,81277372
83999050,81280003
83999051,81283687
83999052,81281503
83999053,81277373
83999054,81277374
83999055,81283688
83999056,81291108
83999057,81286041
83999059,81286042
83999059,81286043
83999058,81286042
83999058,81286043
83999060,81277375
83999061,81281504
83999996,81291111
83999997,81280008
83999997,81280009
83999998,81281512
83999999,81278589
83999999,81278590
84000000,81283696
84000001,81286052
84000002,81291112
84000003,81281513
84000004,81281514
84000005,81281514
84000006,81286330
84000007,81281515
84000007,81281516
84000008,81280010
84000009,81286053
84000010,81291113
84000011,81291113
84000012,81280011
84000013,81283697
84000014,81281517
84000014,81281518
84000015,81281519
84000016,81281520
84000016,81281521
84000017,81291114
84000017,81291115
84000018,81278591
84000019,81280012
84000020,81286331
84000021,81280774
84000021,81280775
84000022,81281522
84000023,81291116
84000024,81283698
84000025,81286332
84000026,81281523
84000027,81278592
84000028,81280776
84000029,81281524
84000030,81280777
84000031,81281525
84000032,81280778
84000033,81280779
84000034,81283699
84000035,81291117
84000036,81281526
84000037,81280780
84000038,81280781
84000039,81280782
84000040,81291118
84000041,81291118
84000042,81281527
84000043,81286333
84000044,81283700
84000045,81278593
84000046,81286334
84000047,81286054
84000050,81281529
84000048,81281528
84000049,81281528
84000051,81281528
84000052,81280783
84000052,81280784
84000053,81291119
84000054,81281530
84000055,81286055
84000055,81286056
84007714,81295810
84007712,81295809
84007713,81295809
84007722,81295812
84009901,81296653
84012050,81295996
84001168,81280819
84001169,81287122
84001170,81283740
84001171,81279390
84001172,81279391
84001173,81280820
84001174,81280820
84001175,81287123
84001176,81287124
84001177,81291149
84001178,81291150
84001179,81282309
84001180,81279392
84001180,81279393
84001182,81287126
84001181,81287125
84001183,81280821
84001183,81280822
84001184,81283741
84001185,81286087
84001186,81287127
84001187,81287128
84001188,81287129
84001189,81287130
84001190,81286844
84001191,81279394
84001192,81279394
84001193,81283742
84001193,81283743
84001194,81291151
