property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
91159361,77821811,4,,,
91156784,77821812,4,,,
91163055,77821813,4,,,
91163810,77821814,7,,,
91159540,77821815,4,,,
91155878,77821818,7,1,,
91155879,77821819,7,,,
91163056,77821821,7,,,
91159541,77821822,6,,,
91159542,77821822,6,,,
91156786,77821823,7,,,
91163057,77821825,4,,,
91155880,77821827,7,,,
91155881,77821827,7,,,
91155882,77821828,6,,,
91155883,77821828,6,,,
91155884,77821828,7,,,
91158156,77821829,6,,,
91158157,77821829,6,,,
91156787,77821830,7,,,
91163811,77821831,5,,1,
91163812,77821831,7,1,,
100892869,87908988,7,,,
97193588,83886248,7,,,
91163082,77822893,3,,,
91163083,77822893,7,,,
91163084,77822893,7,,,
91156812,77822894,7,,,
91155901,77822895,4,,,
91159384,77822896,5,,,
91159385,77822896,7,,,
91155902,77822897,5,,,
91155903,77822897,7,,,
91158173,77822898,5,,,
91158174,77822898,7,,,
91155904,77822899,7,,,
91159570,77822900,4,,,
91159571,77822900,7,,,
91163085,77822901,7,,,
91163086,77822901,7,,,
91163087,77822901,7,,,
91163088,77822901,7,,,
91163089,77822901,7,,,
91163090,77822902,7,,,
91159386,77822903,7,,,
91159387,77822904,7,,,
91163838,77822905,7,0,,
91155905,77822906,7,,,
91163091,77822907,7,1,,
91156813,77822908,4,,,
91156814,77822908,7,1,,
91155906,77822909,7,,,
91156815,77822910,7,,,
91159388,77822912,7,,,
91155907,77822913,7,,,
91159572,77822914,7,,,
91163092,77822915,7,,,
91159389,77822916,4,,,
91159390,77822916,7,,,
91159391,77822917,4,,,
91158175,77822918,7,,,
91158176,77822919,7,,,
91163839,77822921,7,,,
91156816,77822922,7,,,
91159403,77822956,7,,,
91155912,77822967,5,,,
91155913,77822967,6,,,
91155914,77822967,7,,,
91159568,77822892,5,,,
91159569,77822892,7,,,
91163853,77822987,7,,,
91163854,77822987,7,,,
91156788,77821832,7,,,
91156789,77821832,7,,,
91156790,77821832,7,,,
91156791,77821833,7,,,
91159543,77821834,4,,,
91163058,77821835,4,,,
91163059,77821835,7,,,
91163060,77821839,4,,,
91159544,77821840,7,,,
91159362,77821841,7,,,
91158158,77821842,7,,,
91158160,77821846,7,,,
91163813,77821848,7,,,
91163814,77821848,7,,,
91158161,77821849,4,,,
91155885,77821850,6,,,
91163061,77821851,7,,,
91163062,77821851,7,,,
91156794,77821854,4,,,
91159545,77821855,4,,,
91159546,77821856,7,,,
91163815,77821858,6,,,
91163816,77821858,6,,,
91155886,77821859,7,,,
91159547,77821860,7,,,
91159548,77821860,7,,,
91163063,77821861,7,,,
91163064,77821861,7,,,
91163065,77821861,7,,,
91155887,77821863,7,,,
91155888,77821864,6,,,
91155889,77821864,6,,,
91155890,77821864,7,,,
91155891,77821864,7,,,
91158162,77821865,7,,,
91159549,77821866,7,,,
91159550,77821866,7,,,
91159551,77821866,7,,,
91159552,77821866,7,,,
91159553,77821866,7,,,
91159364,77821868,7,,,
91156795,77821870,7,,,
91163817,77821871,4,,,
91156796,77821872,7,,,
91156797,77821872,7,0,,
91156799,77821874,4,,,
91163818,77821876,7,0,,
91163819,77821877,7,,,
91163820,77821877,7,,,
91163821,77821878,6,,,
91163822,77821878,6,,,
91158163,77821879,4,,,
91159365,77821881,7,,,
91156800,77821882,7,,,
91159366,77821884,7,,,
91159367,77821884,7,,,
91159368,77821889,7,,,
91159369,77821889,7,,,
91159370,77821889,7,,,
91159371,77821889,7,,,
91158164,77821890,7,,,
91158165,77821893,7,,,
91156801,77821894,7,,,
91159554,77821895,7,,,
91159372,77821896,7,,,
91156802,77821899,7,,,
91156803,77821899,7,,,
91159373,77821900,6,,,
91163823,77821903,7,,,
91163824,77821904,7,,,
91163066,77821905,4,,,
91155895,77821906,7,,,
91155892,77821906,5,,1,
91155893,77821906,7,1,,
91155894,77821906,7,,,
91163067,77821907,7,,,
91163068,77821907,7,,,
91158166,77821908,7,,,
91159555,77821909,7,,,
91159374,77821910,7,,,
91163825,77821911,7,,,
91163069,77822828,7,,,
91158167,77822829,7,,,
91158168,77822829,7,,,
96434727,83069532,7,,,
97193591,83886250,7,,,
97194599,83886250,4,,,
97194600,83886250,5,,,
97193590,83886249,7,1,,
97193589,83886249,5,,1,
96435545,83068754,7,,,
96434724,83069531,7,,,
96435546,83068755,7,,,
96435543,83068753,7,,,
96435542,83068753,4,,,
96434725,83068756,7,,,
91159375,77822832,7,,,
91159556,77822833,4,,,
91163072,77822834,5,,,
91163073,77822834,7,,,
91159557,77822836,5,,,
91159558,77822836,7,,,
91159559,77822837,2,,,
91156804,77822838,7,,,
91163827,77822840,6,,,
91156805,77822842,7,,,
91156806,77822842,7,,,
91155897,77822843,6,,,
91159376,77822844,7,,,
91159377,77822844,7,,,
91159560,77822845,7,,,
91163075,77822847,4,,,
91155898,77822849,7,,,
91159561,77822850,4,,,
91159562,77822851,7,,,
91158169,77822852,7,,,
91158170,77822852,7,,,
91158171,77822853,1,,,
91156807,77822854,7,,,
91163828,77822855,5,,,
91163829,77822855,7,,,
91159563,77822856,7,,,
91163831,77822858,4,,,
91163832,77822858,7,,,
91159378,77822859,7,,,
91155899,77822861,4,,,
91159564,77822862,5,,,
91159565,77822862,7,,,
91159379,77822864,5,,,
91159380,77822864,7,,,
91163833,77822865,4,,,
91156808,77822866,7,,,
91163076,77822867,7,,,
91163834,77822868,6,,,
91156809,77822869,4,,,
91159566,77822871,5,,,
91159567,77822871,7,,,
91158172,77822872,7,,,
91156810,77822874,4,,,
91163077,77822875,7,,,
91155900,77822877,7,,,
91163835,77822881,7,1,,
91163080,77822882,7,,,
91159381,77822883,7,,,
91163836,77822884,7,,,
91163837,77822885,7,,,
91159382,77822889,6,,,
91159383,77822889,6,,,
91156811,77822890,7,,,
91163081,77822891,7,,,
91155974,77825167,7,,,
91155975,77825167,7,,,
98345398,85121423,6,,,
98345386,85122089,6,,,
98345392,85121415,7,,,
98345390,85121415,3,,,
91164792,77827305,7,,,
91164793,77827305,7,,,
91177150,77827307,5,,1,
91177151,77827307,7,1,,
91177152,77827307,8,,,
91175454,77827308,4,,,
91172911,77827309,4,,,
91172912,77827309,4,,,
91170319,77827310,7,,,
91172913,77827311,7,,,
91176454,77827312,7,,,
91176455,77827313,7,,,
