"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2016,109699435,83943232,49,"C",20,0,"N"
2016,109606309,87624417,49,"A",20,0,"N"
2016,109606313,87625373,49,"C",20,0,"F"
2016,109606322,87628431,49,"C",20,0,"N"
2016,109606324,87629308,49,"C",20,0,"N"
2016,109606326,87629368,49,"A",20,0,"F"
2016,109699483,83955061,44,"C",20,,""
2016,109699494,83958101,49,"C",20,0,"F"
2016,109699530,83968576,49,"C",20,0,"N"
2016,109699535,83969684,49,"A",20,0,"F"
2016,109699551,83975267,49,"C",20,0,"N"
2016,109699602,83290889,49,"C",20,0,"F"
2016,109699605,83291005,49,"C",20,0,"N"
2016,109792679,83970809,49,"C",20,0,"N"
2016,109792692,83974201,49,"C",20,0,"N"
2016,109792693,83975241,44,"C",20,,""
2016,109792709,83980884,49,"C",20,0,"N"
2016,109792720,83283464,49,"A",20,0,"N"
2016,109792736,83286734,49,"C",20,0,"F"
2016,109792751,83289862,49,"C",20,0,"F"
2016,109792776,82814276,49,"C",20,0,"N"
2016,109792788,82816424,44,"C",20,,""
2016,109792799,82819563,49,"C",20,0,"F"
2016,109792800,82820453,44,"C",20,,""
2016,109792802,82820523,49,"C",20,0,"F"
2016,109792803,82821428,49,"A",20,0,"F"
2016,109792806,82822473,49,"C",20,0,"N"
2016,109792819,87615329,49,"C",25,0,"F"
2016,109792821,87615379,49,"C",20,0,"N"
2016,109792827,87616425,49,"C",20,0,"N"
2016,109792853,87621391,49,"C",20,0,"N"
2016,109792863,87623389,49,"C",20,0,"N"
2016,109792866,87624401,49,"A",20,0,"N"
2016,109792869,87625350,49,"C",20,0,"F"
2016,109792871,87625480,49,"C",20,0,"F"
2016,109699628,82816398,49,"C",20,0,"N"
2016,109699632,82817447,49,"C",20,0,"F"
2016,109699646,82818541,49,"C",24,0,"F"
2016,109699649,82819450,49,"C",20,0,"N"
2016,109699653,82821495,49,"C",20,0,"F"
2016,109699661,82822508,49,"A",20,0,"N"
2016,109699665,82823626,49,"C",20,0,"F"
2016,109699670,87613454,49,"C",20,0,"N"
2016,109699694,87618380,49,"C",20,0,"F"
2016,109699710,87624343,49,"C",20,0,"N"
2016,109699713,87625466,49,"C",20,0,"N"
2016,103907600,83943185,45,"C",20,,""
2016,103907601,83943187,14,"C",20,,""
2016,103907603,83943189,14,"C",20,,""
2016,103907604,83943190,14,"C",20,,""
2016,103907605,83943191,14,"C",20,,""
2016,103907606,83943192,14,"A",20,,""
2016,103907607,83943192,45,"C",20,,""
2016,103907610,83943195,14,"A",20,,""
2016,103907612,83943197,14,"C",20,,""
2016,103907615,83943201,14,"A",20,,""
2016,103907620,83943205,45,"C",20,,""
2016,103907641,83943221,14,"C",20,,""
2016,103907172,83941026,14,"C",20,,""
2016,103907174,83941028,14,"C",20,,""
2016,103907185,83941036,14,"C",20,,""
2016,103907188,83941041,14,"C",20,,""
2016,103907220,83941067,45,"C",1,,""
2016,103907224,83941071,51,"C",20,,""
2016,103907226,83941073,45,"C",20,,""
2016,103907237,83941086,51,"C",20,,""
2016,103907238,83941087,45,"C",20,,""
2016,103907253,83941105,14,"C",20,,""
2016,103907257,83941110,14,"C",20,,""
2016,103907258,83941111,14,"C",20,,""
2016,103907262,83941114,14,"C",20,,""
2016,103907263,83941115,51,"C",20,,""
2016,103907270,83941124,51,"C",20,,""
2016,103907282,83941135,14,"C",20,,""
2016,103907285,83941138,45,"C",24,,""
2016,103907293,83941147,51,"C",20,,""
2016,103907298,83941153,51,"C",20,,""
2016,103907302,83941155,14,"A",20,,""
2016,103907303,83941156,14,"C",20,,""
2016,103907305,83941158,14,"C",20,,""
2016,103907316,83941168,14,"C",20,,""
2016,103907318,83941171,14,"C",20,,""
2016,103907324,83941177,14,"C",20,,""
2016,103907329,83941180,45,"C",20,,""
2016,103907341,83941191,14,"C",20,,""
2016,103907349,83941198,14,"C",20,,""
2016,103907353,83941203,45,"C",24,,""
2016,103907358,83941210,51,"C",25,,""
2016,103907360,83942067,14,"C",20,,""
2016,103907368,83942075,51,"C",20,,""
2016,103907372,83942079,14,"C",20,,""
2016,103907375,83942082,14,"C",20,,""
2016,103907385,83942092,51,"C",20,,""
2016,103907403,83942113,45,"C",20,,""
2016,103907417,83942126,14,"C",20,,""
2016,103907419,83942128,14,"C",20,,""
2016,103907427,83942137,45,"C",20,,""
2016,103907430,83942139,51,"C",20,,""
2016,103907431,83942140,51,"C",20,,""
