"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2016,89888914,63,360,,95782100
2016,89888917,63,500,27-MAY-16,95782101
2016,89888935,63,1,,95782102
2016,89888944,63,85,09-JUN-16,95782103
2016,89888947,63,500,,95782104
2016,89888949,63,10,,95782105
2016,89888950,63,1,,95782106
2016,89888954,63,424,,95782107
2016,89888958,63,150,,95782108
2016,89888968,63,3000,,95782109
2016,92942559,61,500,,95786864
2016,92942562,23,25,,95786865
2016,92942565,61,2,,95786866
2016,92942654,61,300,,95786903
2016,92942688,23,70,,95786904
2016,92942704,61,500,,95786905
2016,92942707,23,70,02-APR-16,95786906
2016,92943750,61,150,,95787028
2016,92329898,61,584,17-APR-16,95838318
2016,91109957,23,500,,95838319
2016,90499303,61,1,,95838350
2016,92330816,61,50,,95838351
2016,89278811,61,10,,95838352
2016,89888896,61,180,,95838385
2016,91720144,61,799,,95838386
2016,89278873,61,800,,95838387
2016,91720182,23,850,,95838418
2016,89888965,61,750,,95838419
2016,89277993,61,1,,95838420
2016,90499440,61,800,,95838421
2016,89278918,61,130,,95838422
2016,89889944,61,600,,95838423
2016,92942958,23,750,02-JUL-16,95838457
2016,90499467,23,750,,95838458
2016,92943066,61,650,,95838492
2016,91720385,61,220,,95838508
2016,93553916,61,100,,95838536
2016,92943149,61,168,,95838537
2016,93553990,23,25,,95838566
2016,91110458,23,300,,95838597
2016,90500566,63,1501,,95933901
2016,90500569,63,400,,95933902
2016,90500571,63,100,,95933903
2016,90500572,63,0,,95933904
2016,90500592,63,460,,95933905
2016,90500601,63,0,,95933906
2016,90500605,63,300,,95933907
2016,90500617,63,102,29-FEB-16,95933908
2016,90500629,63,600,,95933909
2016,90500630,63,2500,,95933910
2016,90500631,63,8000,,95933911
2016,90500637,63,75,,95933912
2016,90500640,63,56,14-MAR-16,95933913
2016,90500642,63,0,,95933914
2016,90500650,63,50,,95933915
2016,90500654,63,250,,95933916
2016,90500659,63,50,26-MAR-16,95933917
2016,90500660,63,2200,,95933918
2016,90500662,63,600,,95933919
2016,90500672,63,300,,95933920
2016,90500677,63,38,,95933921
2016,90500695,63,1,,95933922
2016,90500703,63,2,,95933923
2016,90500707,63,250,,95933995
2016,90500708,63,50,,95933996
2016,90500709,63,150,,95933997
2016,90500716,63,1604,26-APR-16,95933998
2016,90500718,63,500,,95933999
2016,90500719,63,0,,95934000
2016,90500726,63,250,,95934001
2016,90500733,63,75,,95934002
2016,90500742,63,50,,95934003
2016,90500754,63,51271,,95934004
2016,90500756,63,5995,,95934005
2016,90500757,63,50,,95934006
2016,90500759,63,961,,95934007
2016,90500760,63,15,,95934008
2016,90500763,63,120,24-MAY-16,95934009
2016,90500767,63,1,,95934010
2016,90500769,63,5,,95934011
2016,93524457,61,1000,,96021768
2016,91691066,61,300,12-DEC-16,96021769
2016,92301112,61,300,,96021770
2016,92330419,23,14,,95838624
2016,92330428,23,25,,95838625
2016,93554087,61,600,,95838626
2016,93554161,23,300,,95838653
2016,92943408,61,600,,95838654
2016,92329644,61,100,24-JAN-16,95838682
2016,91109706,61,40,,95838683
2016,90460298,63,100,,95915464
2016,90460312,63,150,,95915465
2016,90460314,63,1100,,95915466
2016,90460319,63,35,,95915467
2016,92943166,23,1,,95926839
2016,89277798,61,600,,95930169
2016,89889414,61,500,,95930170
2016,92291684,61,100,24-JAN-16,95930375
2016,92291687,61,1,,95930376
2016,90500770,63,252,,95934012
2016,90500774,63,2600,,95934013
2016,90500796,63,670,,95934014
2016,90500799,63,180,,95934015
2016,90500805,63,8,14-JUN-16,95934016
2016,90500809,63,20,,95934017
2016,90500815,63,18,,95934018
2016,90500816,63,0,,95934019
2016,90500827,63,175,23-JUN-16,95934020
2016,90500828,63,100,,95934021
2016,90500830,63,664,,95934104
2016,90500846,63,25,,95934105
2016,90500849,63,100,,95934106
2016,90500863,63,0,11-JUL-16,95934107
2016,90500864,63,34,,95934108
2016,90500868,63,610,,95934109
2016,90500886,63,148,21-JUL-16,95934110
2016,90500887,63,300,,95934111
2016,90500891,63,300,,95934112
2016,90500900,63,570,,95934113
2016,90500903,63,750,,95934114
2016,90500907,63,35,,95934115
2016,90500910,63,300,,95934116
2016,90500923,63,120,,95934117
2016,92943215,20,15,,95974440
2016,92943219,20,300,,95974441
2016,92943235,3,10000,22-OCT-16,95974442
2016,92943249,20,78,,95974443
2016,92943282,20,50,,95974444
2016,92943291,3,2500,,95974445
2016,92942852,61,1818,,95923738
2016,91110471,23,150,,95923739
2016,90499219,63,1,,95927120
2016,90499235,63,1,,95927121
2016,90499237,63,665,,95927122
2016,90499238,63,300,20-APR-16,95927123
2016,90499241,63,200,21-APR-16,95927124
2016,90499242,63,200,,95927125
2016,90499260,63,10000,06-MAY-16,95927126
2016,90499262,63,1,,95927127
2016,90499267,63,1000,,95927128
2016,90499273,63,500,,95927130
2016,90500395,63,300,,95927131
2016,90500411,63,400,,95927132
2016,90500447,63,500,,95927133
2016,90500461,63,170,,95927134
2016,90500463,63,1000,,95927135
2016,90500465,63,1000,,95927136
2016,90500481,63,24,04-JAN-16,95927137
2016,90500486,63,100,,95927138
2016,90500497,63,109,14-JAN-16,95927139
2016,90500500,63,60,,95927140
2016,90500503,63,135,,95927141
2016,90500510,63,0,19-JAN-16,95927142
2016,90500518,63,140,,95927143
2016,90500540,63,120,,95927144
2016,90500555,63,350,,95927145
2016,90500558,63,60,,95927146
2016,90499292,63,1,,95927151
2016,90499309,63,1,,95927152
2016,90499323,63,1000,,95927154
2016,90499328,63,1,,95927155
2016,90499342,63,500,,95927156
2016,90499377,63,1,,95927157
2016,90499399,63,50,,95927158
2016,90499404,63,370,,95927159
2016,90499411,63,70,,95927160
2016,90499412,63,80,,95927161
2016,90499433,63,1325,,95927162
2016,90499442,63,1385,25-JUN-16,95927184
2016,90499445,63,1,,95927185
2016,90499449,63,2,,95927186
2016,90499456,63,40,,95927187
2016,90499457,63,1,,95927188
2016,90500954,63,19,,95930644
2016,90500956,63,1,,95930645
2016,90500961,63,1595,,95930646
2016,90500968,63,8,01-DEC-16,95930647
2016,90500970,63,89,,95930648
2016,90500983,63,100,,95930649
2016,90500985,63,3000,,95930650
2016,90501005,63,100,,95930651
2016,90501010,63,150,,95930652
2016,90501014,63,97,,95930653
2016,90501017,63,18,,95930654
2016,92310423,61,1000,,95938712
2016,92943400,3,200,,95974661
2016,92943410,3,100,,95974663
2016,92943423,3,8000,,95974665
2016,92943436,20,100,,95974666
2016,92943455,20,10,,95974667
2016,92943457,20,13107,,95974668
2016,91681373,10,0,,96049779
2016,92291697,10,0,,96049781
2016,89889193,10,0,,95783060
2016,91720461,10,0,,95783061
2016,89278243,10,0,,95783062
2016,92330312,10,0,,95783064
2016,90499693,10,0,,95783065
2016,91720486,10,0,,95783066
2016,91110397,10,0,,95783067
2016,89890223,10,85,,95783068
2016,92331268,10,0,,95783069
2016,89890236,10,0,,95783070
2016,92944185,10,0,,95783071
2016,93554953,10,0,,95783072
2016,92944191,10,0,,95783073
2016,92331292,10,0,,95783074
2016,90499737,10,0,,95783171
2016,89278283,10,0,,95783172
2016,91110462,10,0,,95783173
2016,90499790,10,0,,95783174
2016,92944241,10,0,,95783175
2016,89890295,10,0,,95783176
2016,89890320,10,0,,95783177
2016,91111512,10,0,,95783178
2016,93554059,61,700,,95801954
2016,93553344,61,300,18-FEB-16,95801977
2016,90499458,63,198,,95927189
2016,90499469,63,20,,95927190
2016,90499476,63,3000,,95927191
2016,90499494,63,45,,95927192
2016,90499504,63,200,,95927193
2016,90499511,63,50,,95927195
2016,90499555,63,20,,95927197
2016,90499558,63,153,,95927198
2016,90499568,63,350,,95927199
2016,90499584,63,35,,95927200
2016,90500560,63,56,,95927201
2016,90500563,63,127,,95927202
2016,90499631,63,1,,95927220
2016,90499647,63,14,,95927221
2016,90499659,63,130,,95927223
2016,90499662,63,42,,95927224
2016,90499687,63,150,,95927225
2016,90499701,63,10,,95927226
2016,90499721,63,10,,95927227
2016,90500256,63,101,,95927228
2016,90500264,63,529,,95927229
2016,90500285,63,5,,95927230
2016,90500301,63,700,,95927231
2016,90500303,63,200,,95927232
2016,90500320,63,300,,95927233
2016,90500321,63,400,,95927234
2016,90500335,63,300,,95927235
2016,90500341,63,1,,95927236
2016,90500345,63,1,,95927237
2016,90500352,63,0,,95927238
2016,90500355,63,45,,95927239
2016,90500369,63,300,,95927240
2016,90500389,63,200,,95927241
2016,90489018,63,3,,95927364
2016,90489019,63,390,,95927365
2016,90489032,63,3000,,95927366
2016,90489043,63,90,,95927367
2016,90489051,63,1,,95927368
2016,92942581,20,3,,95964264
2016,92942585,20,202,,95964265
2016,92942616,3,1,,95964508
2016,92942637,20,20,,95964509
2016,92942655,3,6000,,95964510
2016,92942655,20,4000,,95964511
2016,92942657,20,86,,95964512
2016,92942720,20,120,,95964513
2016,92942732,3,500,,95964514
2016,92943675,20,400,,95967763
2016,92943677,3,100000,08-JAN-16,95967764
2016,92943686,3,3000,,95967765
2016,92943694,3,32000,,95967766
2016,92943698,3,6000,,95967767
2016,92943702,20,3500,,95967768
2016,92943712,3,200,,95967769
2016,92943726,20,980,,95967770
2016,92943743,3,1,,95967771
2016,91111760,10,0,,96056446
2016,92944310,20,300,,96057843
2016,92944329,3,300,,96057844
2016,92944334,3,13000,,96058009
2016,92944367,3,2500,,96058010
2016,92944379,3,500,,96058011
2016,92944394,31,500,,96058012
2016,92944404,3,650,,96058013
2016,92944406,20,650,,96058014
2016,92944431,20,250,,96058015
2016,92944437,20,42,,96058016
2016,92944439,20,185,,96058017
2016,92944444,3,5000,,96058018
2016,92944450,3,500,,96058019
2016,92944453,3,250,,96058020
2016,89878906,63,2,,95773801
2016,89878907,63,1,,95773802
2016,89878909,63,10,,95773803
2016,89878910,63,1,,95773804
2016,89878927,63,1856,,95773805
2016,91720590,10,0,,95783262
2016,91720600,10,0,,95783263
2016,90499831,10,0,,95783264
2016,91110522,10,0,,95783265
2016,90499837,10,0,,95783266
2016,91720630,10,0,,95783267
2016,91110539,10,0,,95783268
2016,91721580,10,0,,95783269
2016,89279405,10,0,,95783270
2016,89277874,10,0,,95787960
2016,90499318,10,0,,95787961
2016,92329980,10,0,,95787962
2016,93553634,10,0,,95787963
2016,92943813,10,1,21-JUL-16,95787964
2016,92330907,10,0,,95787965
2016,89278912,10,0,,95787966
2016,91111085,10,0,,95787967
2016,89888906,10,0,,95788056
2016,90499346,10,0,,95788057
2016,93553655,10,0,,95788058
2016,93553683,10,0,,95788060
2016,91111101,10,0,,95788061
2016,89889947,10,0,,95788062
2016,92330981,10,0,,95788063
2016,91721167,10,0,,95788064
2016,92330996,10,0,,95788065
2016,91111155,10,0,,95788066
2016,91111161,10,0,,95788067
2016,89277989,10,0,,95788173
2016,89888969,10,0,,95788174
2016,93553723,10,0,,95788175
2016,91110124,10,0,,95788177
2016,91110133,10,0,,95788179
2016,91721218,10,0,,95788180
2016,92943965,10,0,,95788181
2016,91111221,10,0,,95788182
2016,92942836,31,1,,95967918
2016,92942846,20,1500,,95967919
2016,92942847,3,1,,95967920
2016,92942861,3,3000,26-MAY-16,95967921
2016,92942871,20,100,,95967922
2016,92942884,20,67,,95967923
2016,92943757,20,64,,95967974
2016,92943788,3,800,,95967975
2016,92943795,20,1200,,95967976
2016,92943806,20,2,,95967977
2016,92943825,3,20000,,95967978
2016,92943838,20,10,,95967979
2016,92943846,3,50,,95967980
2016,92943870,3,38995,,95967981
2016,92943876,20,300,,95967982
2016,92943897,31,100,,95967983
2016,92943915,3,10000,,95967984
2016,92944484,20,20,,96059484
2016,92944490,20,50,,96059485
2016,92944496,3,200,,96059486
2016,90499098,10,0,,96059859
2016,92943271,10,0,,96059860
2016,92330836,10,0,,96059862
2016,91071097,63,1,,96060735
2016,91071102,63,1000,,96060736
2016,91071103,63,1000,,96060737
2016,91071107,63,1068,,96060738
2016,91071112,63,900,,96060739
2016,91071113,63,100,,96060740
2016,91071114,63,100,,96060741
2016,91080643,63,150,,96060760
2016,91080654,63,295,,96060761
2016,91090176,63,60,,96062401
2016,91090185,63,1500,,96062402
2016,91090191,63,130,,96062403
2016,89888555,63,70,,95778973
2016,89888564,63,45,,95778974
2016,89888569,63,50,,95778975
2016,89888597,63,21,,95778976
2016,89888599,63,296,03-FEB-16,95778977
2016,89888601,63,1,,95778978
2016,89888606,63,56,,95778979
2016,89888607,63,500,,95778980
2016,89888626,63,150,,95778981
2016,89888628,63,1,,95778982
2016,89888635,63,467,,95778983
2016,89888638,63,100,,95778984
