"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2017,113521942,91328827,51,"C",13,,""
2017,113522314,91329146,35,"C",20,,""
2017,113522497,91329304,27,"C",13,,""
2017,113522561,91329359,16,"C",13,,""
2017,113522554,91329359,35,"C",13,,""
2017,113522818,91329606,41,"C",47,,""
2017,113522815,91329606,21,"C",18,,""
2017,113522809,91329606,49,"C",25,,"N"
2017,113522822,91329606,28,"C",13,,""
2017,113522813,91329606,45,"C",18,,""
2017,113522821,91329606,63,"C",13,,""
2017,113522825,91329606,5,"C",25,,""
2017,113522870,91329626,44,"C",20,,""
2017,113522900,91329659,51,"C",20,,""
2017,113522902,91329659,5,"C",20,,""
2017,113523195,91329913,14,"C",18,,""
2017,113523212,91329936,14,"C",20,,""
2017,113523217,91329936,5,"C",20,,""
2017,113523251,91329961,23,"C",12,,""
2017,113523261,91329967,35,"C",18,,""
2017,113523316,91330014,14,"C",20,,""
2017,113523327,91330023,45,"C",12,,""
2017,113523420,91330094,5,"C",13,,""
2017,113523457,91330123,5,"C",13,,""
2017,113523499,91330157,45,"C",21,,""
2017,113523697,91330336,14,"C",18,,""
2017,113523701,91330336,5,"C",18,,""
2017,113523861,91330452,41,"C",8,,""
2017,113523933,91330517,49,"A",24,,"N"
2017,113523983,91330565,21,"C",20,,""
2017,113524119,91330675,44,"C",20,,""
2017,113524138,91330696,23,"C",24,,""
2017,113521965,91328869,35,"C",13,,""
2017,113521961,91328869,16,"C",13,,""
2017,113521958,91328869,40,"A",13,,""
2017,113522020,91328911,45,"C",20,,""
2017,113522055,91328924,51,"C",20,,""
2017,113522233,91329078,49,"C",20,,"N"
2017,113522504,91329303,51,"C",20,,""
2017,113522553,91329348,35,"C",13,,""
2017,113522581,91329374,21,"C",20,,""
2017,113522861,91329617,5,"C",20,,""
2017,113522883,91329645,14,"C",18,,""
2017,113522917,91329676,5,"C",25,,""
2017,113522940,91329700,41,"C",7,,""
2017,113522937,91329700,18,"C",25,,""
2017,113523062,91329794,5,"C",18,,""
2017,113523149,91329868,5,"C",18,,""
2017,113523174,91329891,49,"C",20,,"N"
2017,113523207,91329921,45,"C",36,,""
2017,113523223,91329939,21,"C",41,,""
2017,113523297,91329995,49,"C",20,,"N"
2017,113523315,91330012,45,"C",20,,""
2017,113523407,91330080,41,"C",12,,""
2017,113523533,91330185,45,"C",23,,""
2017,113523638,91330265,23,"C",8,,""
2017,113523698,91330320,51,"C",20,,""
2017,113523735,91330348,45,"A",21,,""
2017,113523812,91330415,2,"C",20,,""
2017,113524061,91330630,23,"C",23,,""
2017,113524187,91330737,23,"C",24,,""
2017,113524235,91330772,5,"C",13,,""
2017,113524256,91330791,5,"C",20,,""
2017,115386041,92969413,47,"C",20,,""
2017,115386067,92969452,28,"C",25,,""
2017,115386063,92969452,47,"C",20,,""
2017,115386070,92969452,16,"C",20,,""
2017,115386105,92969479,11,"C",20,,""
2017,115386113,92969479,41,"C",23,,""
2017,115386102,92969479,47,"C",20,,""
2017,115386117,92969479,63,"C",20,,""
2017,115386133,92969487,23,"C",8,,""
2017,115386175,92969526,14,"C",18,,""
2017,115386177,92969526,5,"C",18,,""
2017,115386252,92969602,35,"C",21,,""
2017,115386274,92969610,44,"C",46,,""
2017,115386287,92969625,35,"C",20,,""
2017,115386284,92969625,16,"C",20,,""
2017,115386335,92969660,5,"C",24,,""
2017,115386393,92969715,23,"C",43,,""
2017,115386428,92969742,51,"C",41,,""
2017,115386488,92969794,35,"C",20,,""
2017,115386485,92969794,5,"C",20,,""
2017,115386629,92969911,5,"C",13,,""
2017,115386734,92969992,5,"C",20,,""
2017,115386733,92969992,14,"C",20,,""
2017,115386773,92970031,14,"C",18,,""
2017,115386775,92970031,5,"C",18,,""
2017,115386820,92970060,16,"C",13,,""
2017,115386823,92970060,35,"C",13,,""
2017,115386852,92970083,51,"C",21,,""
2017,115386898,92970120,5,"C",18,,""
2017,115386971,92970181,51,"C",20,,""
2017,115387007,92970212,35,"C",13,,""
2017,115387027,92970232,45,"C",25,,""
2017,115387028,92970232,5,"C",25,,""
2017,115387105,92970289,51,"C",20,,""
2017,115387119,92970301,35,"C",13,,""
2017,115387221,92970391,45,"C",25,,""
2017,115387222,92970391,5,"C",25,,""
2017,115387255,92970423,35,"C",13,,""
2017,115387249,92970423,63,"C",13,,""
2017,115387253,92970423,16,"C",13,,""
2017,115387403,92970535,45,"C",20,,""
2017,115387492,92970620,23,"C",7,,""
2017,115387590,92970699,5,"C",34,,""
2017,115387627,92970731,2,"C",7,,""
2017,115387677,92970769,5,"C",38,,""
2017,115387702,92970794,14,"C",20,,""
2017,115387730,92970818,40,"C",20,,""
2017,114337472,92049038,5,"C",18,,""
2017,114337471,92049038,14,"C",18,,""
2017,114337541,92049087,5,"C",13,,""
2017,114337566,92049111,14,"C",20,,""
2017,114337577,92049118,2,"C",20,,""
2017,114337627,92049160,5,"C",20,,""
2017,115381444,92965889,49,"C",20,,"F"
2017,115381443,92965889,45,"C",20,,""
2017,115381475,92965908,5,"C",38,,""
2017,115381524,92965954,16,"C",13,,""
2017,115381522,92965952,35,"C",13,,""
2017,115381523,92965952,16,"C",13,,""
2017,115381563,92965981,2,"C",20,,""
2017,114915655,92557530,39,"C",18,,""
