offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
20073417,16515274,45,C,20,,,
20067388,16515275,45,C,7,,,
20071769,16515276,39,C,20,,,
20079865,16515277,5,C,25,,,
20071770,16515278,27,C,13,,,
20067389,16515279,11,C,17,,,
20073418,16515280,27,C,25,,,
20073894,16515281,51,C,25,,,
20067390,16515282,5,C,25,,,
20079866,16515283,11,C,25,,,
20071771,16515284,5,C,25,,,
20071772,16515285,5,C,25,,,
20067391,16515286,51,C,20,,,
20079867,16515287,45,C,25,,,
20073419,16515288,5,C,25,,,
20067392,16515289,45,C,20,,,
20073420,16515290,45,C,25,,,
20067393,16515291,51,C,25,,,
20071773,16515292,45,C,25,,,
20073895,16515293,51,C,20,,,
20073896,16515294,45,C,25,,,
20079868,16515295,14,C,25,,,
20079869,16515296,45,C,25,,,
20071774,16515297,5,C,25,,,
20079870,16515298,5,C,25,,,
20073421,16515299,45,C,25,,,
20073422,16515300,45,C,25,,,
20071775,16515301,45,C,25,,,
20073423,16515302,51,C,25,,,
20073897,16515303,5,C,25,,,
20079871,16515304,47,C,19,,,
20073424,16515305,2,C,25,,,
20079872,16515306,21,C,6,,,
20067394,16515307,11,C,25,,,
20071776,16515308,44,C,25,,,
20073425,16515309,45,C,25,,,
20073426,16515310,45,C,25,,,
20071777,16515311,47,C,25,,,
20073898,16515312,21,C,25,,,
20071778,16515313,14,C,25,,,
20073899,16515314,5,C,25,,,
20073900,16515315,45,C,20,,,
20073427,16515316,45,C,25,,,
20071779,16515317,39,C,22,,,
20073901,16515318,27,C,25,,,
20073428,16515319,23,C,25,,,
20073429,16515319,16,C,25,,,
20073430,16515319,35,C,25,,,
20067395,16515320,45,C,25,,,
20073431,16515321,13,C,25,,,
20067396,16515322,45,C,24,,,
20079873,16515323,5,C,25,,,
20073902,16515324,45,C,25,,,
20071780,16515325,47,C,25,,,
20079874,16515326,5,C,25,,,
20067397,16515327,47,C,25,,,
20073903,16515328,51,C,25,,,
20067398,16515329,51,C,25,,,
20067399,16515330,5,C,25,,,
20067400,16515331,5,C,25,,,
20079875,16515332,47,C,25,,,
20079876,16515333,47,C,25,,,
20079877,16515334,47,C,25,,,
20073432,16515335,45,C,25,,,
20067401,16515336,51,C,25,,,
20079878,16515337,47,C,20,,,
20073904,16515338,35,C,25,,,
20067402,16515339,35,C,25,,,
20079879,16515340,45,C,25,,,
20073905,16515341,27,C,20,,,
20079880,16515342,39,C,25,,,
20073906,16515343,11,C,25,,,
20079881,16515344,14,C,18,,,
20073433,16515345,51,C,25,,,
20073907,16515346,45,C,25,,,
20073434,16515347,45,C,18,,,
20071781,16515348,45,C,8,,,
20067403,16515349,45,C,18,,,
20073435,16515350,47,C,24,,,
20073436,16515351,51,C,25,,,
20073908,16515352,45,C,25,,,
20079882,16515353,51,C,25,,,
20073909,16515354,51,C,25,,,
20071782,16515355,45,C,25,,,
20073437,16515356,45,C,25,,,
20067404,16515357,45,C,25,,,
20073910,16515358,45,C,25,,,
20079883,16515359,47,C,7,,,
20073911,16515360,7,C,18,,,
20067405,16515361,23,C,25,,,
20067406,16515362,23,C,25,,,
20073912,16515363,44,C,20,,,
20073438,16515364,45,C,25,,,
20079884,16515365,5,C,25,,,
20071783,16515366,16,C,25,,,
20071784,16515367,16,C,25,,,
20073439,16515368,45,C,25,,,
20067407,16515369,45,C,25,,,
20071785,16515370,47,C,25,,,
20079885,16515371,45,C,25,,,
20079886,16515372,45,C,25,,,
20077760,16515373,5,C,25,,,
20067408,16515374,47,C,25,,,
20071786,16515375,44,C,25,,,
20077761,16515376,5,C,25,,,
20077762,16515377,5,C,25,,,
20079887,16515378,51,C,25,,,
20073440,16515379,16,C,25,,,
20079888,16515380,51,C,25,,,
20077763,16515381,5,C,25,,,
20073441,16515382,47,C,25,,,
20073442,16515383,47,C,25,,,
20077764,16515384,45,C,25,,,
20067409,16515385,47,C,25,,,
20067410,16515386,5,C,25,,,
20071787,16515387,5,C,25,,,
20079889,16515388,47,C,25,,,
20071788,16515389,35,A,25,,,
20071789,16515392,5,C,25,,,
20067411,16515390,5,C,11,,,
20077765,16515391,47,C,25,,,
20067412,16515393,35,A,25,,,
20071790,16515394,16,C,25,,,
20071791,16515394,35,C,25,,,
20071792,16515395,47,C,25,,,
20079890,16515396,44,C,25,,,
20077766,16515397,16,A,25,,,
20077767,16515397,35,C,25,,,
20073443,16515398,23,C,25,,,
20077768,16515399,5,C,25,,,
20073444,16515400,5,C,25,,,
20077769,16515401,5,C,25,,,
20073445,16515402,45,C,25,,,
20071793,16515403,45,C,23,,,
20073446,16515404,5,C,11,,,
20073447,16515405,45,C,23,,,
20073448,16515406,45,C,23,,,
20073449,16515407,51,C,21,,,
20077770,16515408,5,C,25,,,
20067413,16515409,45,C,25,,,
20079891,16515410,5,C,25,,,
20079892,16515411,44,C,25,,,
20073450,16515412,47,C,25,,,
20071794,16515413,27,C,25,,,
20079893,16515414,45,C,25,,,
20077771,16515415,45,C,25,,,
20073451,16515416,45,A,8,,,
20077772,16515417,45,C,25,,,
20071795,16515418,45,C,25,,,
20077773,16515419,47,C,25,,,
20067414,16515420,45,C,25,,,
20077774,16515421,47,C,25,,,
20071796,16515422,45,C,25,,,
20077775,16515423,5,C,25,,,
20071797,16515424,45,C,25,,,
20073452,16515425,44,C,25,,,
20067415,16515426,51,C,25,,,
20079894,16515427,51,C,25,,,
20077776,16515428,45,C,25,,,
20077777,16515429,35,C,25,,,
20073453,16515430,45,C,25,,,
20071798,16515431,45,C,25,,,
20071799,16515432,47,C,25,,,
20079895,16515433,45,C,25,,,
20067416,16515434,47,C,25,,,
20071800,16515435,45,C,25,,,
20067417,16515436,45,C,24,,,
20077778,16515437,45,C,24,,,
20077779,16515438,16,C,25,,,
20073454,16515439,51,C,25,,,
20067418,16515440,47,C,25,,,
20077780,16515441,45,C,25,,,
20067419,16515442,47,C,8,,,
20073455,16515443,44,C,20,,,
