year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2003,Arkansas,AR,572,AR0170200,Alma,4284,6,"Cities from 2,500 thru 9,999",0,11,0,9,0,0,0
2003,Arkansas,AR,543,AR0100100,Arkadelphia,11107,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2003,Arkansas,AR,497,AR0010000,Arkansas,7419,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2003,Arkansas,AR,800,ARASP0000,Arkansas State Police,0,8D,"Non-MSA counties under 10,000",0,0,0,0,0,0,0
2003,Arkansas,AR,567,AR0160500,Arkansas State University: Jonesboro,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2003,Arkansas,AR,654,AR0410100,Ashdown,4726,6,"Cities from 2,500 thru 9,999",0,9,0,9,0,0,0
2003,Arkansas,AR,501,AR0020000,Ashley,14236,8C,"Non-MSA counties from 10,000 thru 24,999",0,11,0,0,0,0,0
2003,Arkansas,AR,717,AR0580200,Atkins,2869,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,793,AR0740100,Augusta,2580,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,0,0
2003,Arkansas,AR,782,AR0730200,Bald Knob,3301,6,"Cities from 2,500 thru 9,999",0,11,0,11,0,0,0
2003,Arkansas,AR,751,AR0660300,Barling,4313,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,621,AR0320100,Batesville,9556,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
2003,Arkansas,AR,505,AR0030000,Baxter,26911,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2003,Arkansas,AR,566,AR0160400,Bay,1907,7,"Cities under 2,500",0,0,0,0,1,1,1
2003,Arkansas,AR,783,AR0730300,Beebe,5316,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,743,AR0630100,Benton,23411,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Arkansas,AR,510,AR0040000,Benton,77601,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2003,Arkansas,AR,511,AR0040100,Bentonville,24225,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Arkansas,AR,535,AR0080100,Berryville,4648,6,"Cities from 2,500 thru 9,999",1,12,0,2,0,1,0
2003,Arkansas,AR,675,AR0470100,Blytheville,17656,5,"Cities from 10,000 thru 24,999",0,11,0,0,0,0,0
2003,Arkansas,AR,526,AR0050000,Boone,22489,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,0,0,0,1,0
2003,Arkansas,AR,657,AR0420100,Booneville,4095,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,788,AR0730800,Bradford,820,7,"Cities under 2,500",0,0,0,0,1,0,0
