victim_id,offense_id
31704100,31147969
31704100,31147970
31704101,31151401
31704102,31151934
31704103,31151935
31704103,31151936
31704104,31151402
31704162,31151408
31704163,31152700
31704163,31152701
31704164,31148152
31704165,31150353
31704166,31146308
31704167,31152702
31704105,31146297
31704106,31151937
31704107,31144027
31704108,31147971
31704110,31150341
31704168,31148153
31704168,31148154
31703388,31144022
31703389,31144023
31703389,31144024
31704109,31147972
31704109,31147973
31704111,31144028
31704112,31148146
31704113,31148147
31704114,31146298
31704114,31146299
31704114,31146300
31704115,31144029
31704116,31151938
31704116,31151939
31704127,31152692
31704169,31148742
31704169,31148743
31704097,31144025
31704097,31144026
31704098,31151933
31704117,31144030
31704118,31151403
31704119,31146301
31704120,31144031
31704121,31147974
31704122,31146302
31704124,31150342
31704126,31147975
31704170,31151409
31704171,31151410
31704172,31151411
31704172,31151412
31704099,31150340
31704123,31152691
31704125,31150343
31704128,31147976
31704129,31152693
31704159,31144034
31704160,31148741
31704173,31148744
31704174,31150354
31704175,31144790
31704176,31144791
31704176,31144792
31704177,31148745
31704130,31151404
31704131,31148148
31704132,31150344
31704178,31148746
31704179,31144793
31704133,31148149
31704134,31144032
31704135,31152694
31704136,31146303
31704137,31151405
31704138,31146304
31704161,31150352
31704139,31152695
31704140,31151406
31704141,31146305
31704142,31150345
31704143,31150346
31704144,31150347
31704145,31146306
31704149,31152697
31704180,31148747
31704146,31150348
31704147,31152696
31704153,31150351
31704181,31150355
31704182,31152703
31704188,31152704
31704188,31152705
31704148,31150349
31704150,31150350
31704151,31152698
31704151,31152699
31704152,31148150
31704152,31148151
31704183,31150356
31704183,31150357
31704184,31150358
31704185,31151413
31704186,31148155
31704186,31148156
31704187,31148748
31704187,31148749
31704189,31151414
31704189,31151415
31704154,31147977
31704155,31146307
31704156,31146307
31704157,31144033
31704158,31151407
31704190,31152706
31704191,31150359
31704191,31150360
31704192,31152707
31704193,31150361
31704194,31148750
31704194,31148751
31704194,31148752
31704195,31144794
31704196,31148157
31704197,31147076
31704198,31148753
31704199,31150362
31704200,31148158
31704201,31144795
31704202,31150363
31704203,31152708
31704204,31150364
31704204,31150365
31704205,31148159
31704205,31148160
31704206,31147077
31704207,31148754
31704208,31144796
31704211,31147081
31704209,31147078
31704209,31147079
31704209,31147080
31704210,31147078
31704210,31147079
31704210,31147080
31704213,31144798
31704212,31144797
31704215,31148755
31704216,31148162
31704219,31148756
31704220,31147082
31704990,31147094
31704214,31148161
31704217,31150366
31704218,31148163
31704221,31150367
31704222,31148757
31704223,31151416
31704224,31148164
31704225,31151417
31704226,31151417
31704227,31152709
31704228,31152710
31704229,31152711
31704230,31152712
31704230,31152713
31704231,31148165
31704231,31148166
31704231,31148167
31704232,31147083
31704233,31151418
31704235,31148168
31704234,31148168
31704239,31150368
31704240,31152715
31704268,31147090
31704236,31148758
31704237,31152714
31704238,31144799
31704241,31152716
31704242,31148759
31704243,31150369
31704244,31148760
31704245,31150370
31704246,31147084
31704247,31148169
31704247,31148170
31704248,31144800
31704248,31144801
31704249,31144802
31704250,31148761
31704251,31150371
31704252,31148762
31704253,31147085
31704254,31152717
31704255,31152718
31704256,31148763
31704257,31148764
31704258,31152719
31704259,31147086
31704260,31152720
31704985,31152726
31704986,31144803
31704989,31148765
31704261,31150372
31704262,31152721
31704263,31147087
31704264,31148171
31704265,31147088
31704266,31152722
31704267,31147089
31704269,31148172
31704270,31147091
31704271,31147092
31704272,31147093
31704273,31148173
31704274,31152723
31704275,31151419
31704276,31151420
31704277,31152724
31704278,31151421
31704279,31151422
31704984,31152725
31704987,31144804
31704998,31147098
31704999,31148767
31704988,31150373
31704988,31150374
31704991,31148766
31704992,31147095
31704993,31152727
31704993,31152728
31704994,31151423
31704995,31148174
31704996,31147096
31704997,31147097
31705000,31148175
31705001,31148176
31705002,31151424
31705002,31151425
31705003,31148768
31705003,31148769
31705004,31144805
31705005,31150375
31705005,31150376
31705006,31144806
31705007,31150377
31705008,31144807
31705009,31147099
31705011,31152729
31705014,31147102
31705016,31148177
31705017,31152730
31705018,31152731
31705019,31150378
31705020,31147103
31705010,31148770
31705012,31147100
31705013,31147101
31705015,31151426
31705021,31150379
31705022,31150380
31705023,31151427
31705024,31148771
31705025,31148771
31705026,31148772
31705027,31147104
31705028,31152189
31705029,31150381
31705030,31144808
31705031,31148178
31705031,31148179
31705032,31147105
31705033,31147106
31705034,31152190
31705035,31148773
31705036,31144809
31705037,31147107
31705039,31147108
31705038,31144810
31705038,31144811
31705040,31148180
31705041,31148181
31705042,31152732
31705043,31144812
31705043,31144813
31705044,31148774
31705045,31148775
31705046,31144814
31705047,31147109
31705048,31147110
31705049,31144815
31705050,31144816
31705051,31147111
31705052,31152191
31705053,31147112
31705054,31147113
31705055,31152733
31705060,31148777
31705061,31152193
31705062,31144817
31705063,31148778
31705071,31152194
31705072,31152737
31705073,31150387
31705074,31144819
31705075,31152738
31705076,31148183
31705077,31148779
31705078,31150388
31705079,31147115
31705080,31147116
31705081,31152195
31705082,31152196
31705083,31144820
31705084,31144821
31705085,31147117
31705086,31148184
31705087,31152197
31705088,31152198
31705089,31152199
31705090,31148185
31705091,31152739
31705056,31152734
31705057,31152192
31705058,31147114
31705059,31148776
31705064,31144818
31705065,31150382
31705065,31150383
31705066,31148182
31705067,31150384
31705068,31152735
31705069,31150385
31705069,31150386
31705070,31152736
31705092,31152740
31705093,31152741
31705094,31147118
31705095,31144822
31705096,31147119
31705097,31150389
31705098,31150390
31705099,31148780
31705100,31152742
31705101,31152743
31705102,31148186
31705103,31147120
31705104,31144823
31705105,31150391
31705106,31144824
31705107,31144825
31705108,31148781
31705110,31148782
31705111,31148782
31705109,31148782
31705112,31147121
31705113,31150392
31705114,31144826
31705115,31152744
31705116,31144827
31705117,31152745
31705118,31148187
31705119,31148188
31705119,31148189
31705120,31150393
31705121,31152746
31705122,31152200
31705123,31152201
31705124,31148783
31705125,31152747
31705126,31147122
31705127,31152748
31705128,31148784
31705129,31144828
31705130,31148785
31705131,31148786
31705132,31152749
31705133,31144829
31705134,31152202
31705135,31148190
31705136,31148191
31705137,31152203
31705138,31148787
31705139,31147123
31705140,31152204
31705142,31152750
31705145,31147124
31705156,31152751
31705141,31152205
31705143,31148192
31705144,31148788
31705146,31144830
31705147,31147125
31705147,31147126
31705147,31147127
31705148,31152206
31705149,31148789
31705150,31148790
31705151,31144831
31705152,31150394
31705152,31150395
31705153,31148193
31705154,31147128
31705155,31147129
31705157,31147130
31705157,31147131
31705157,31147132
31705158,31148791
31705159,31152752
31705867,31148194
31705868,31152753
31705869,31144832
31705870,31147133
31705870,31147134
31705871,31148792
31705872,31150396
31705873,31148793
31705874,31144833
31705875,31152754
31705876,31148794
31705876,31148795
31705877,31148796
31705878,31150397
31705879,31147135
31705880,31148797
31705881,31147136
31705882,31144834
31705883,31147137
31705884,31152207
31705885,31147138
31705886,31147139
31705951,31159197
31705952,31159198
31705953,31152216
31705954,31144844
31705954,31144845
31705955,31152217
31705956,31144846
31705957,31148809
31705958,31148810
31705977,31144849
31705977,31144850
31706828,31148998
31705887,31152755
31705887,31152756
31705888,31150398
31705889,31147140
