weapon_id,offense_id,nibrs_weapon_id
12,31150341,6350956
10,31150343,6350957
12,31151404,6350768
4,31148149,6344757
12,31152695,6351144
12,31150355,6350958
20,31148157,6344758
18,31147076,6344918
20,31148158,6344759
19,31150364,6350959
20,31147077,6344919
2,31148754,6346481
3,31147078,6344920
3,31147079,6344921
3,31147081,6344922
18,31144797,6344718
20,31147082,6344923
20,31147094,6344927
20,31148161,6344760
20,31148163,6344761
20,31148757,6346482
20,31151417,6350769
3,31152713,6351145
18,31147090,6344926
20,31152716,6351146
19,31148759,6346483
20,31150369,6350960
20,31148760,6346484
20,31148170,6344931
19,31148763,6346485
19,31148764,6346486
19,31152719,6351147
20,31152720,6351148
20,31148171,6344932
20,31147088,6344924
22,31147089,6344925
20,31152723,6351327
20,31151420,6350770
20,31152724,6351328
18,31151422,6350771
20,31152725,6351329
9,31148766,6346487
20,31151423,6350772
20,31148174,6344933
20,31148175,6344934
9,31151424,6350773
20,31148768,6346488
20,31150377,6350961
20,31147099,6344928
10,31152729,6351330
20,31148177,6344935
20,31152730,6351331
19,31147100,6344929
20,31151426,6350774
20,31148771,6346489
20,31148772,6346490
20,31147105,6344930
18,31152190,6349850
9,31148773,6346491
20,31144810,6344889
20,31148180,6344936
20,31148181,6344937
20,31152732,6351332
18,31147109,6345131
18,31144815,6344890
20,31144816,6344891
10,31147113,6345132
20,31152733,6351333
20,31152737,6351335
20,31150387,6350962
20,31147116,6345133
20,31147117,6345134
20,31152198,6349851
20,31144818,6344892
20,31148182,6344938
20,31152736,6351334
20,31152741,6351336
20,31152743,6351337
20,31150391,6350963
20,31144825,6344893
20,31148782,6346492
20,31147121,6345135
20,31152745,6351338
20,31150393,6350964
20,31152200,6349852
20,31152201,6349853
20,31148783,6346493
20,31152202,6349854
6,31148191,6344939
20,31148787,6346494
20,31147123,6345136
18,31147129,6345137
20,31150396,6350965
22,31144833,6344894
20,31147135,6345138
20,31148797,6346495
20,31152207,6349855
20,31147138,6345139
20,31152216,6349857
20,31144844,6344898
20,31152209,6349856
10,31150400,6350966
3,31159190,6350475
20,31144835,6344895
20,31159195,6350476
20,31144839,6344896
20,31144841,6344897
20,31148806,6343560
20,31148199,6344940
5,31148814,6343561
20,31148816,6343562
20,31147157,6345140
20,31148818,6343563
19,31147159,6345141
20,31159202,6350477
11,31148205,6344941
20,31148206,6344942
20,31147160,6345142
20,31148208,6344943
20,31147163,6345143
20,31148210,6344944
20,31152774,6351339
20,31152775,6351340
20,31147165,6345144
20,31152231,6349858
20,31152784,6351341
22,31147170,6345145
22,31148221,6344945
20,31147173,6345146
20,31152791,6351342
20,31148231,6344946
20,31148832,6343564
18,31144855,6344899
20,31152233,6349859
20,31147177,6345147
20,31152234,6349860
20,31147178,6345148
20,31152794,6351530
18,31144859,6344900
20,31152797,6351531
20,31159222,6350478
18,31148835,6343565
9,31152235,6349861
20,31152237,6350042
9,31148837,6343566
18,31152239,6350043
20,31147183,6345316
3,31152803,6351532
3,31152804,6351533
20,31148840,6343567
3,31147184,6345317
9,31152244,6350044
20,31148845,6343568
20,31144871,6345099
20,31144872,6345100
6,31149008,6344360
16,31149008,7097524
20,31149009,6344361
20,31159247,6350658
20,31160285,6350296
20,31159231,6350653
20,31152254,6350045
20,31149010,6344362
20,31159235,6350654
20,31152815,6351534
20,31149012,6344363
20,31144875,6345101
20,31159237,6350655
18,31149013,6344364
20,31148850,6343569
20,31149014,6344365
20,31159241,6350656
20,31153564,6350582
3,31148851,6343570
20,31159243,6350657
20,31144880,6345102
20,31144881,6345103
20,31153566,6350583
20,31144882,6345104
10,31156959,6350455
20,31144883,6345105
20,31149017,6344366
20,31153568,6350584
20,31149021,6344367
20,31159251,6350659
22,31159257,6350660
20,31144893,6345108
20,31159259,6350661
20,31161616,6351057
20,31161620,6351058
20,31160299,6350479
5,31149639,6346129
4,31149639,7097554
3,31149639,7111256
20,31149023,6344368
20,31156964,6350456
20,31156965,6350457
20,31144890,6345106
20,31144892,6345107
20,31159271,6350663
20,31161632,6351059
20,31159281,6350664
20,31149650,6346131
20,31156982,6350458
20,31149040,6344369
20,31159267,6350662
20,31149041,6344370
20,31156378,6352101
20,31149043,6344371
20,31149641,6346130
20,31161633,6351060
20,31161634,6351061
20,31156389,6352102
20,31161162,6349761
20,31156391,6352103
20,31156392,6352104
20,31159285,6350665
20,31157087,6350832
20,31159287,6350666
20,31156990,6350629
20,31157088,6350833
20,31161085,6352504
18,31161086,6352505
20,31160059,6349752
9,31161093,6352506
20,31161641,6351062
20,31160061,6349753
3,31161094,6352507
20,31157099,6350834
20,31161648,6351063
20,31161650,6351064
3,31161677,6351068
3,31161678,6351069
9,31156412,6352107
20,31161682,6351070
20,31160079,6349938
20,31161664,6351065
20,31157780,6349730
20,31157111,6350836
20,31157783,6349731
20,31161667,6351066
20,31161668,6351067
20,31161105,6352508
20,31161106,6352509
3,31156410,6352105
3,31156411,6352106
20,31149682,6346132
20,31160070,6349754
20,31157108,6350835
20,31157771,6349729
20,31160077,6349936
20,31157120,6350837
9,31156414,6352108
20,31157729,6352478
19,31157794,6349732
20,31157796,6349733
20,31160078,6349937
20,31157735,6352479
20,31157736,6352480
20,31160081,6349939
20,31157800,6349734
3,31156419,6352109
20,31157801,6349735
20,31157896,6349922
20,31161122,6352510
20,31161124,6352511
20,31161699,6351228
20,31161132,6349757
10,31162459,6350308
20,31162460,6350309
20,31160093,6349940
20,31161129,6349755
20,31157742,6352481
20,31161130,6349756
20,31157745,6352482
20,31161134,6349758
20,31156426,6352284
20,31162463,6350310
20,31156427,6352285
20,31157750,6352483
20,31157751,6352484
20,31157752,6352485
20,31157910,6350088
20,31156428,6352286
20,31160095,6349941
3,31157818,6349736
20,31160100,6349942
18,31162471,6350311
20,31162474,6350312
20,31161150,6349759
20,31157763,6349727
19,31161152,6349760
20,31162476,6350313
20,31160102,6349943
20,31157764,6349728
12,31156440,6352287
20,31157920,6350089
12,31157830,6349737
6,31157924,6350090
12,31157837,6349913
19,31158533,6351747
12,31156455,6352288
12,31160121,6349944
12,31160122,6349945
12,31158539,6351748
12,31156460,6352289
20,31157845,6349914
20,31157846,6349915
20,31157934,6350091
18,31157935,6350092
12,31162498,6350314
10,31158544,6351749
20,31161177,6349762
12,31158545,6351750
12,31157942,6350093
20,31160126,6349946
12,31157856,6349916
2,31156476,6352290
12,31158548,6351751
16,31158558,6351752
20,31160131,6349947
9,31161187,6349763
3,31161187,7097586
20,31157953,6350094
12,31157870,6349917
10,31157871,6349918
20,31162512,6350316
20,31162513,6350317
20,31162516,6350318
20,31157875,6349919
9,31160140,6349948
20,31162508,6350315
10,31158562,6351753
10,31157260,6351195
9,31157261,6351196
20,31162518,6350319
20,31158564,6351754
19,31158566,6351755
9,31157884,6349920
12,31157885,6349921
12,31160151,6350107
20,31162526,6350502
20,31161975,6351972
20,31157269,6351377
12,31157270,6351378
3,31157968,6350095
