criminal_act_id,offense_id
6,39734954
6,39734955
6,39749814
6,39741458
6,39740828
4,39735020
8,39735028
6,39741466
3,39740835
8,39743339
6,39734956
6,39749815
6,39740829
8,39740841
6,39741491
8,39741084
6,39741084
1,39735042
8,39743360
6,39743360
8,39735043
3,39735043
6,39743363
1,39741627
8,39741090
1,39749848
1,39743372
1,39741098
6,39734989
1,39734993
1,39742261
1,39740851
6,39735057
1,39735057
6,39735058
1,39735058
6,39740853
8,39740857
1,39740857
1,39741106
1,39741624
1,39743381
1,39742265
1,39741625
8,39741111
8,39743385
6,39743385
1,39743387
8,39735007
6,39735007
6,39743390
1,39743390
1,39741873
5,39756914
1,39756914
1,39756919
8,39741635
6,39741635
3,39741635
8,39756920
1,39756920
1,39743393
1,39756921
1,39735780
7,39741882
6,39741882
3,39741882
1,39756931
6,39741884
8,39739426
6,39739426
6,39739427
6,39735096
8,39741652
6,39741652
6,39739432
6,39744175
3,39744175
1,39744175
5,39756940
2,39739433
6,39742296
5,39742296
3,39741656
6,39756941
6,39744177
8,39735108
6,39735108
6,39735110
3,39735110
6,39735111
3,39735113
8,39739438
7,39739438
6,39739438
6,39739439
6,39741663
8,39741899
7,39741899
6,39741899
8,39742301
6,39742301
8,39744180
6,39744180
3,39744180
6,39735114
1,39744182
6,39735117
8,39741922
6,39741922
8,39739462
1,39739462
8,39741923
1,39741923
8,39757712
6,39757712
6,39757713
8,39742308
7,39742308
6,39742308
6,39735119
3,39735119
8,39739446
6,39739446
8,39735125
8,39744189
6,39744189
6,39739448
6,39757717
6,39741674
8,39757718
8,39757720
8,39735127
6,39735127
6,39757721
3,39757721
8,39739451
6,39757723
6,39735130
6,39735131
3,39735131
6,39735132
3,39735132
6,39744194
3,39744194
6,39744195
3,39744195
6,39739455
3,39739455
6,39739456
8,39739457
6,39739457
8,39739458
6,39739458
8,39741920
1,39741920
6,39735905
8,39741683
6,39741683
6,39740222
8,39753075
8,39744918
8,39742334
6,39742334
6,39741932
6,39742335
3,39742335
6,39741933
6,39744904
6,39742337
6,39742338
8,39741935
6,39741935
8,39742340
6,39742340
6,39742341
8,39757748
6,39757748
8,39741939
6,39741939
3,39741939
8,39741940
6,39741940
6,39741941
6,39741946
8,39742329
6,39742329
3,39742329
6,39742330
8,39741955
6,39741955
8,39740245
6,39740245
3,39740245
8,39740246
6,39740246
3,39740246
6,39741711
8,39757754
6,39757754
8,39757832
1,39757832
6,39741959
6,39744920
8,39744227
6,39744227
6,39741714
8,39741963
6,39744234
8,39749987
6,39749987
8,39742374
6,39740258
8,39750778
6,39742377
6,39750498
6,39757783
8,39757784
6,39757784
8,39750749
6,39750749
6,39742381
8,39740262
6,39740262
8,39744253
8,39744254
8,39745710
8,39757791
6,39757791
8,39750502
6,39750502
7,39740270
6,39740270
6,39750509
8,39750510
6,39750510
6,39757792
7,39740285
6,39740285
1,39750526
8,39740294
8,39740297
6,39740297
6,39740300
6,39745716
