property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
47527757,37274602,4,,,
47507256,37274603,5,,,
47507257,37274603,5,,,
47507258,37274603,5,,,
47507259,37274603,7,,,
47507260,37274603,7,,,
47507261,37274603,7,,,
47527756,37273791,7,,,
47512534,37273793,7,,,
47512535,37273793,7,,,
47512536,37273793,7,,,
47522363,37273794,7,,,
47522364,37273794,7,,,
47498344,37273795,7,,,
47498345,37273795,7,0,,
47525022,37273796,7,,,
47525023,37273796,7,,,
47507255,37273797,4,,,
47498354,37274642,7,,,
47522375,37274690,7,,,
47522376,37274690,7,,,
47522377,37274691,7,,,
47522378,37274691,7,,,
47531497,37274604,7,1,,
47527758,37274605,5,,0,
47527759,37274605,5,,,
47512537,37274606,4,,,
47498346,37274607,7,,,
47522365,37274608,4,,,
47522366,37274609,4,,,
47522367,37274610,4,,,
47512538,37274611,4,,,
47527770,37274693,5,,,
47527771,37274693,5,,,
47527772,37274693,5,,,
47527773,37274693,7,,,
47527774,37274693,7,,,
47527775,37274693,7,,,
47527776,37274693,7,,,
47512539,37274612,4,,,
47507262,37274613,7,0,,
47498347,37274614,7,,,
47498348,37274615,4,,,
47527760,37274616,7,,,
47498349,37274619,7,,,
47522368,37274623,4,,,
47522379,37274694,7,,,
47507273,37274695,5,,,
47507274,37274695,7,,,
47507275,37274695,7,,,
47507276,37274696,5,,1,
47507277,37274696,7,1,,
47525038,37274697,7,0,,
47507263,37274618,7,,,
47498350,37274620,7,,,
47532333,37274621,7,,,
47531498,37274621,7,1,,
47512540,37274622,7,,,
47522369,37274624,4,,,
47527761,37274625,7,,,
47507264,37274626,5,,1,
47507265,37274626,7,1,,
47507266,37274627,7,,,
47532342,37274699,7,,,
47532343,37274699,7,,,
47525039,37274700,5,,1,
47525040,37274700,7,1,,
47498361,37274701,7,,,
47498362,37274701,7,,,
47498364,37274715,7,,,
47498365,37274715,7,,,
47498366,37274715,7,,,
47525024,37274629,5,,,
47525025,37274629,7,,,
47522370,37274630,4,,,
47522371,37274631,7,,,
47498351,37274632,4,,,
47512541,37274633,4,,,
47498352,37274634,4,,,
47527762,37274635,4,,,
47527763,37274635,4,,,
47522380,37274703,7,,,
47512547,37274704,7,,,
47512548,37274704,7,,,
47512549,37274704,7,,,
47507278,37274705,7,,,
47532344,37274706,7,,,
47532345,37274706,7,,,
47512550,37274707,7,,,
47532346,37274708,7,,,
47512551,37274709,7,,,
47498363,37274710,7,,,
47498353,37274636,7,,,
47522372,37274638,4,,,
47532334,37274639,7,,,
47525026,37274640,4,,,
47525027,37274640,4,,,
47527764,37274641,7,,,
47532335,37274643,7,,,
47532336,37274645,7,,,
47498355,37274649,7,,,
47498356,37274649,7,,,
47525029,37274656,4,,,
47525030,37274657,7,,,
47532339,37274661,7,,,
47532340,37274661,7,,,
47532347,37274711,7,,,
47525041,37274712,7,,,
47522381,37274713,5,,,
47522382,37274713,7,,,
47522383,37274713,7,,,
47532348,37274714,7,,,
47512552,37274716,4,,,
47512553,37274716,7,,,
47507267,37274647,5,,2,
47507268,37274647,7,2,,
47532337,37274648,7,1,,
47512542,37274650,7,,,
47522373,37274651,7,,,
47525028,37274652,7,,,
47532338,37274655,7,,,
47525042,37274717,7,,,
47507279,37274718,5,,1,
47507280,37274718,7,1,,
47498368,37274720,7,,,
47498369,37274720,7,,,
47498370,37274720,7,,,
47522384,37274723,7,0,,
47527765,37274653,7,,,
47507269,37274659,4,,,
47507270,37274659,5,,1,
47507271,37274659,7,1,,
47525031,37274660,7,,,
47498367,37274719,2,,,
47527777,37274721,7,,,
47527778,37274721,7,,,
47525043,37274722,7,0,,
47512554,37274724,4,,,
47525044,37274725,5,,,
47525045,37274725,7,,,
47525046,37274725,7,,,
47525047,37274725,7,,,
47525048,37274725,7,,,
47512555,37274726,7,,,
47512556,37274726,7,,,
47512557,37274726,7,,,
47525032,37274664,5,,1,
47525033,37274664,7,1,,
47498357,37274665,7,,,
47525034,37274666,7,0,,
47522374,37274668,7,,,
47532341,37274669,7,,,
47525035,37274670,5,,,
47525036,37274670,7,,,
47512543,37274672,4,,,
47512544,37274673,4,,,
47525037,37274675,7,0,,
47498360,37274687,7,,,
47498371,37274727,7,,,
47498372,37274727,7,0,,
47498373,37274727,7,,,
47498374,37274727,7,,,
47527779,37274728,4,,,
47532349,37274729,7,,,
47532350,37274729,7,,,
47512558,37274730,7,,,
47527766,37274674,4,,,
47512545,37274676,7,,,
47527767,37274678,7,,,
47527768,37274679,7,,,
47498358,37274680,7,,,
47498359,37274685,7,,,
47512559,37274731,4,,,
47507272,37274683,7,,,
47512546,37274684,7,0,,
47527769,37274686,7,,,
47512560,37274733,4,,,
47512561,37274733,4,,,
47507940,37274734,7,,,
47522385,37274736,6,,,
47507281,37274737,4,,,
47507282,37274737,7,,,
47532351,37274738,7,,,
47507283,37274740,7,,,
47507284,37274741,7,,,
47525049,37274742,7,,,
47522386,37274743,7,,,
47527780,37274744,7,,,
47532352,37274746,7,,,
47527781,37274747,7,,,
47527782,37274747,7,0,,
47525050,37274748,7,,,
47525051,37274748,7,,,
47525052,37274748,7,,,
47532353,37274751,7,,,
47525053,37274752,7,,,
47522387,37274754,7,,,
47525054,37274755,7,,,
47527783,37274758,4,,,
47507285,37274753,7,,,
47507286,37274753,7,,,
47507287,37274753,7,,,
47512562,37274756,7,,,
47507941,37274757,7,0,,
47512563,37274760,7,,,
47512564,37274761,7,,,
47507288,37274762,1,,,
47507942,37274763,7,,,
47527784,37274764,7,,,
47527785,37274764,7,,,
47525055,37274767,7,,,
47507289,37274768,7,,,
47522388,37274769,7,0,,
47525056,37274770,4,,,
47525057,37274770,7,,,
47507943,37275576,1,,,
47527786,37275577,6,,,
47532354,37275578,7,,,
47507290,37275579,5,,,
47507291,37275579,7,,,
47512565,37275581,6,,,
47527787,37275582,6,,,
47507292,37275583,6,,,
47507944,37275584,7,,,
47527788,37275586,7,,,
47532355,37275587,4,,,
47532356,37275587,4,,,
47512566,37275588,7,,,
47507293,37275593,7,,,
47525058,37275597,7,,,
47525059,37275597,7,,,
47525060,37275597,7,,,
47525061,37275597,7,,,
47525062,37275597,7,,,
47507294,37275598,7,,,
47507295,37275598,7,,,
47532357,37275600,7,,,
47532358,37275601,7,,,
47532359,37275601,7,,,
47512567,37275602,7,,,
47507946,37275610,4,,,
47507947,37275610,7,,,
47507948,37275610,7,,,
47507307,37275647,7,,,
47507945,37275603,4,,,
47527789,37275604,7,,,
47532360,37275605,7,,,
47522389,37275606,7,,,
47525063,37275607,7,,,
47512568,37275611,7,,,
47522390,37275612,4,,,
47507296,37275613,1,,,
47532361,37275615,5,,,
47532362,37275615,7,,,
47522391,37275616,7,,,
47525064,37275617,4,,,
