arrestee_id,weapon_id,nibrs_arrestee_weapon_id
12580526,1,12574651
12580525,1,12574650
12577098,1,12570238
12577057,1,12570198
12574919,1,12570073
12574918,1,12570072
12575902,1,12569057
12575901,1,12569056
12572699,1,12568868
12572635,1,12567813
12570429,1,12567680
12568200,1,12566478
12568146,1,12565432
12564794,1,12563125
12563662,1,12562008
11888559,1,11891573
11888552,1,11891566
11888548,1,11891562
11887498,1,11891497
11886416,1,11891403
11885362,1,11891341
11887407,1,11890436
11887406,1,11890435
11886374,1,11890390
11886370,1,11890386
11885336,1,11890344
11885330,1,11890338
11885316,1,11890324
11885315,1,11890323
11885314,1,11890322
11886321,1,11889367
11885283,1,11889320
11885227,1,11889264
11885218,1,11888282
11849233,1,11849558
11841791,1,11849107
11562433,1,11569791
11561364,1,11569710
11561359,1,11569705
11561358,1,11569704
11561350,1,11569696
11561349,1,11569695
11561340,1,11569686
11561339,1,11569685
11561324,1,11569472
11561322,1,11569470
11561320,1,11569468
11559062,1,11569289
11562279,1,11569243
11562278,1,11569242
11561222,1,11569173
11561213,1,11569164
11560115,1,11568876
11849232,1,11848582
11848174,1,11848513
12529601,1,12676213
12528461,1,12675871
12574905,1,12570059
12574892,1,12570046
12577024,1,12569173
12577020,1,12569169
12577019,1,12569168
12575949,1,12569104
12575929,1,12569084
12575928,1,12569083
12575927,1,12569082
12575917,1,12569072
12575916,1,12569071
12575915,1,12569070
12575910,1,12569065
12575899,1,12569054
12574874,1,12569038
12574849,1,12569013
12574843,1,12569007
12574836,1,12569000
12573760,1,12568927
12573759,1,12568926
12573757,1,12568924
12572698,1,12568867
12572697,1,12568866
12571555,1,12568795
12571554,1,12568794
12571553,1,12568793
12571546,1,12568786
12571545,1,12568785
12571543,1,12568783
12571540,1,12568780
12573725,1,12567901
12573724,1,12567900
12573713,1,12567889
12573712,1,12567888
12573711,1,12567887
12573707,1,12567883
12573698,1,12567874
12573697,1,12567873
12573687,1,12567863
12573678,1,12567854
12572672,1,12567850
12572671,1,12567849
12572669,1,12567847
12572663,1,12567841
12572653,1,12567831
12572645,1,12567823
12572639,1,12567817
12572637,1,12567815
12572636,1,12567814
12571521,1,12567770
12571515,1,12567764
12571514,1,12567763
12571498,1,12567747
12571497,1,12567746
12571484,1,12567733
12571480,1,12567729
12570432,1,12567683
11600505,1,11597129
11585276,1,11594359
11591587,1,11590660
11576394,1,11588378
11576392,1,11588376
11576391,1,11588375
11860001,1,11807807
11858998,1,11807724
11858966,1,11807692
11858905,1,11806663
11857930,1,11806606
11858859,1,11805644
11857888,1,11805592
11609439,1,11620037
11616074,1,11617425
11617140,1,11613669
11585220,1,11594303
11589421,1,11590288
11578590,1,11588528
11578483,1,11588224
11578482,1,11588223
11620588,1,11626902
11620576,1,11626890
11620575,1,11626889
11620574,1,11626888
11620562,1,11626876
11620543,1,11626657
11620509,1,11626623
11620508,1,11626622
11620507,1,11626621
11620501,1,11626615
11620500,1,11626614
11620499,1,11626613
11620498,1,11626612
11620494,1,11626608
11619463,1,11626571
11619457,1,11626565
11619452,1,11626560
11619442,1,11626550
11620493,1,11626407
11620489,1,11626404
11620482,1,11626397
11620477,1,11626392
11620462,1,11626377
11620450,1,11626365
11620437,1,11626352
11620436,7,11626351
11620431,1,11626346
11619428,1,11626336
11619399,1,11626307
11619382,1,11626290
11619373,1,11626281
11618350,1,11626256
11618347,1,11626253
11617238,1,11626200
11617234,1,11626196
11617221,1,11626183
11617207,1,11626169
11617204,1,11626166
11617187,1,11626149
11617183,1,11626145
11620410,1,11626127
11619319,1,11626030
11619302,1,11626013
11618298,1,11626007
11618257,1,11625966
11618210,1,11625727
11624824,1,11623132
11624821,1,11623129
11624811,1,11623119
11624807,1,11623115
11624806,1,11623114
11624803,1,11623111
11621653,1,11622929
11621648,1,11622924
11621644,1,11622920
11621642,1,11622918
11621625,1,11622901
11624764,1,11622875
11624740,1,11622851
11624727,1,11622838
11623726,1,11622822
11623684,1,11622780
11623676,1,11622772
11622614,1,11622700
11621613,1,11622691
11621611,1,11622689
11621610,1,11622688
11621579,1,11622657
11621576,1,11622654
11621556,1,11622634
11624696,1,11622609
11624688,1,11622601
11624682,1,11622595
11624674,1,11622587
11624662,1,11622575
11624657,1,11622570
11624656,1,11622569
11623670,1,11622567
11623663,1,11622561
11623659,1,11622557
11623634,1,11622532
11623614,1,11622512
11623609,1,11622507
11622608,1,11622497
11622606,1,11622495
11622601,1,11622490
11622593,1,11622482
11622568,1,11622457
11622549,1,11622438
11621529,1,11622410
11624651,1,11622367
11623586,1,11622289
11623578,1,11622281
11623576,1,11622279
11623575,1,11622278
11623543,1,11622246
11622508,1,11622202
11622501,1,11622195
11622500,1,11622194
11622488,1,11622182
11612838,1,11621265
11612788,1,11621015
11612761,1,11620789
11611656,1,11620671
11610627,1,11620365
11610623,1,11620361
11610606,1,11620344
11609498,1,11620291
11609473,1,11620070
11609437,1,11620035
11609430,1,11620028
11609419,1,11620017
11609418,1,11620016
11609417,1,11620015
11609413,1,11620011
11609412,1,11620010
11609410,1,11620008
11609409,1,11620007
11609408,1,11620006
11610510,1,11619857
11610485,1,11619832
11610484,1,11619831
11610474,1,11619821
11609406,1,11619811
11609403,1,11619808
11609402,1,11619807
11609401,1,11619806
11609400,1,11619805
11609399,1,11619804
11609398,1,11619803
11609397,1,11619802
11609396,1,11619801
11609394,1,11619799
11609392,1,11619797
11609382,1,11619787
11609381,1,11619786
11609376,1,11619781
11609375,1,11619780
11609374,1,11619779
11609372,1,11619777
11609371,1,11619776
11609368,1,11619773
11609367,1,11619772
11609366,1,11619771
11616126,1,11617477
11616107,1,11617458
11616100,1,11617451
11616081,1,11617432
11616072,1,11617423
11616069,1,11617420
11616067,1,11617418
11616063,1,11617414
11615061,1,11617399
11615023,1,11617361
11613961,1,11617285
11613960,1,11617284
11613959,1,11617283
11617111,1,11617276
11617108,1,11617273
11617102,4,11617267
11616054,1,11617207
11616002,1,11617155
11616001,1,11617154
11615996,1,11617149
11615005,1,11617145
11615004,1,11617144
11615003,1,11617143
11614996,1,11617136
11614969,1,11617109
11614948,1,11617088
11613953,1,11617080
11613950,1,11617078
11613928,1,11617056
11613900,1,11617028
11613892,1,11617020
11615989,1,11616946
11615988,1,11616945
11614934,1,11616879
11614901,1,11616846
11614880,1,11616825
11614878,23,11616823
11614877,1,11616822
11613862,1,11616796
11613855,1,11616789
11613840,1,11616774
11572147,1,12696711
11572082,1,12696707
11625771,1,12695992
11562453,1,12695942
12546834,1,12599806
12546826,7,12599798
12546824,7,12599796
12546821,1,12599793
12546818,1,12599790
12545807,1,12599774
12545798,1,12599765
12545791,1,12599758
12545782,1,12599749
12545761,1,12599728
12561350,1,12599705
12561327,1,12599682
12561319,1,12599674
12561306,1,12599661
12561305,1,12599660
12561298,1,12599653
12561297,1,12599652
12546789,1,12598783
12546784,1,12598778
12546780,1,12598774
12561276,1,12598652
12561275,1,12598651
12561271,1,12598647
11561195,1,12695224
11540156,1,11539974
11539158,1,11539969
11539129,1,11539941
11539128,1,11539940
11539108,1,11539920
11539100,1,11539912
11539095,1,11539907
11538038,1,11539844
11540130,1,11539750
11540129,1,11539749
11539069,1,11539683
11539065,1,11539679
11539048,1,11539662
11541138,1,11539566
11540033,1,11539456
11539018,1,11539435
11539014,1,11539431
11539005,1,11539422
11520539,1,11528404
11518421,1,11528274
11518375,1,11528033
11522751,1,11524741
11521684,1,11524677
11521683,1,11524676
11521682,1,11524675
12601334,1,12552969
12601306,1,12551962
12605594,1,12539668
12605593,1,12539667
12605520,1,12538609
11527318,1,11538625
11526178,1,11538546
11526071,1,11538045
11530457,7,11534520
11530425,1,11534488
11532378,1,11533855
11522789,1,11524974
12605582,1,12538671
12521738,1,12517690
11857795,1,11804524
11529329,1,11538253
11529328,1,11538252
11583011,1,11581415
12605583,1,12538672
12524049,1,12504100
12540325,1,12480074
12540324,1,12480073
12539293,1,12480034
11588596,1,11591255
11588595,1,11591254
11588583,1,11591242
11588576,1,11591035
11588575,1,11591034
11588565,1,11591025
11588553,1,11591013
11588552,1,11591012
11588547,1,11591007
11588529,1,11590989
11591644,1,11590917
11591643,1,11590916
11591642,1,11590915
11590600,1,11590870
11588496,1,11590755
11588495,1,11590754
11588489,1,11590748
11588478,1,11590737
11588459,1,11590718
11588450,1,11590709
11588448,1,11590707
11588445,1,11590704
11588443,1,11590702
11591623,1,11590696
11588440,1,11590497
11588434,1,11590492
11588426,1,11590484
11588417,1,11590475
11588416,1,11590474
11588415,1,11590473
11622446,1,11621948
11589427,1,11590294
11589424,1,11590291
11589423,1,11590290
11589422,1,11590289
11589419,1,11590286
11589418,1,11590285
11589414,7,11590281
11589413,1,11590280
11589412,1,11590279
11589408,1,11590275
11589406,1,11590273
11589405,1,11590272
11589404,1,11590271
11589403,1,11590270
11589396,1,11590263
11589391,1,11590258
11589390,1,11590257
11589388,1,11590255
11589371,1,11590238
11589353,1,11590025
11589351,1,11590023
11589350,1,11590022
11589341,1,11590013
11589340,1,11590012
11576433,1,11588615
11576432,1,11588614
11576430,1,11588612
11576429,1,11588611
11576427,1,11588609
11576426,1,11588608
11576422,1,11588604
11576421,1,11588603
11579652,1,11588594
11579651,1,11588593
11579649,1,11588591
11579646,1,11588588
11579645,1,11588587
11579634,1,11588576
11579626,1,11588568
11577529,1,11588454
11577526,5,11588451
11577524,2,11588449
11577524,5,12722965
11577523,1,11588448
11577521,1,11588446
11577520,1,11588445
11577519,1,11588444
11577518,1,11588443
11577517,1,11588442
11577515,1,11588440
11577514,23,11588439
11577508,1,11588433
11577504,1,11588429
11577501,1,11588426
11577500,1,11588425
11577498,1,11588423
11577497,1,11588422
11577493,1,11588418
11577492,1,11588417
11577490,1,11588415
11577482,1,11588407
11577480,2,11588405
11577479,1,11588404
11576419,1,11588403
11576417,1,11588401
11576416,1,11588400
11576415,1,11588399
11576414,1,11588398
11576413,1,11588397
11576412,1,11588396
11576411,1,11588395
11576410,1,11588394
11576408,7,11588392
11576406,1,11588390
11576405,1,11588389
11576404,1,11588388
11576364,1,11588348
11579593,7,11588336
11579592,7,11588335
11579591,7,11588334
11579583,1,11588327
11579578,1,11588322
11579577,1,11588321
11578519,1,11588260
11578515,1,11588256
11578489,1,11588230
11578478,1,11588219
11578470,1,11588211
11578469,1,11588210
11578468,1,11588209
11577478,1,11588205
11577472,1,11588200
11577471,5,11588199
11577471,4,12722963
11577467,1,11588195
11577465,1,11588193
11577463,1,11588191
11577459,1,11588187
11577458,1,11588186
11577457,1,11588185
11577455,1,11588183
11577454,1,11588182
11577453,1,11588181
