victim_id,offender_id,relationship_id,nibrs_victim_offender_id
56753680,58976283,18,18375552
56753755,58976362,18,17244599
56753755,58976363,18,18491643
56753755,58976364,18,18744265
56753671,58976275,18,17270204
56753756,58976365,18,17244598
56753760,58976369,18,17244597
56753760,58976370,18,18491642
56753760,58976371,18,18744264
56753772,58976382,18,17244595
56753690,58976293,18,17270203
56753692,58976296,18,18375551
56753768,58976378,5,17244596
56753781,58976391,18,18375510
56753781,58976392,18,18715999
56753698,58976303,18,18375550
56753698,58976304,18,18716012
56753783,58976395,18,17244594
56753785,58976397,18,17244593
56753789,58976401,18,17244592
56753791,58976403,18,17244591
56753794,58976404,18,17244588
56753794,58976405,18,18491639
56753795,58976404,18,17244587
56753795,58976405,18,18491638
56753796,58976404,18,17244586
56753796,58976405,18,18491637
56753793,58976404,18,17244589
56753793,58976405,18,18491640
56753792,58976404,18,17244590
56753792,58976405,18,18491641
56753807,58977950,18,17270247
56753807,58977951,18,18496693
56753708,58976314,18,17738486
56753824,58977967,18,18375567
56753825,58977968,18,18375566
56753826,58977968,18,18375565
56753838,58977980,18,17270246
56753839,58977981,18,17270245
56753741,58976349,18,18375549
56753742,58976350,18,17270202
56753845,58977987,19,17270244
56754753,58977997,18,18375564
56754755,58977999,3,18375563
56754768,58978015,18,17270243
56754775,58978023,18,18412374
56754775,58978024,18,18716015
56754779,58978028,18,18146017
56754786,58978035,18,18375562
56754791,58978040,18,18375548
56754792,58978041,21,18375547
56754793,58978042,18,18375546
56754801,58978051,16,18252876
56754802,58978052,5,17270201
56754811,58978063,18,18342547
56754811,58978064,18,18716011
56754812,58978063,18,18342546
56754812,58978064,18,18716010
56754822,58978074,18,18375545
56754858,58978116,3,17738485
56754817,58978069,18,17270200
56754834,58978089,18,18375543
56754834,58978090,18,18716009
56754841,58978097,18,18375541
56754841,58978098,18,18716008
56754841,58978099,18,18790991
56754860,58978118,13,17270193
56754862,58978120,3,18375540
56754864,58978122,18,18375539
56754826,58978078,18,18375544
56754827,58978079,17,17270199
56754828,58978080,22,17270198
56754829,58978081,18,17270197
56754829,58978082,18,18496683
56754833,58978086,18,17270196
56754833,58978087,18,18496682
56754833,58978088,18,18746465
56754837,58978093,18,18375542
56754848,58978106,16,17270195
56754849,58978107,26,17270194
56754877,58978134,18,18375538
56754877,58978135,18,18716007
56754880,58978139,18,18375537
56754881,58978139,18,18375536
56754882,58978140,3,17270192
56754887,58978147,18,18375535
56754889,58978148,18,18146015
56754889,58978149,18,18716005
56754888,58978148,18,18146016
56754888,58978149,18,18716006
56754890,58978150,18,18375499
56754890,58978151,18,18715993
56754890,58978152,18,18790987
56754897,58978158,15,17244583
56754896,58978158,15,17244584
56754899,58978160,18,18375498
56754900,58978161,18,17113154
56754904,58978164,18,18375497
56754905,58978165,18,18375496
56754908,58978168,18,18375495
56754916,58978181,18,17244582
56754917,58978182,18,18252875
56754918,58978183,18,17244581
56754918,58978184,18,18491636
56754922,58978188,18,17244580
56754924,58978190,18,17244579
56754926,58978192,18,17244578
56754929,58978195,18,17244577
56755825,58978196,18,18375494
56755826,58978197,18,18252874
56755829,58978200,3,17244576
56755831,58978202,18,17244575
56755833,58978204,18,17244574
56755835,58978206,18,17244573
56755836,58978206,18,17244572
56755837,58978206,18,17244571
56755844,58978213,18,18375493
56755847,58978215,18,17244570
56755851,58978218,18,18369618
56755855,58978222,24,18369617
56755855,58978226,18,18824761
56755855,58978225,18,18821005
56755855,58978223,18,18714283
56755855,58978224,18,18783000
56755858,58978229,18,18369616
56755858,58978230,18,18668640
56755866,58978240,18,17450581
56755869,58978243,18,17244569
