nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
6448865,497,1,2014,I,,,N,F,,C,2014_01_AR0010000_NIBRS,
6471315,497,2,2014,I,,,N,F,,C,2014_02_AR0010000_NIBRS,
6493765,497,3,2014,I,,,N,F,,C,2014_03_AR0010000_NIBRS,
6516215,497,4,2014,I,,,N,F,,C,2014_04_AR0010000_NIBRS,
6538665,497,5,2014,I,,,N,F,,C,2014_05_AR0010000_NIBRS,
6561115,497,6,2014,I,,,N,F,,C,2014_06_AR0010000_NIBRS,
6583565,497,7,2014,I,,,N,F,,C,2014_07_AR0010000_NIBRS,
6606015,497,8,2014,I,,,N,F,,C,2014_08_AR0010000_NIBRS,
6628465,497,9,2014,I,,,N,F,,C,2014_09_AR0010000_NIBRS,
6650915,497,10,2014,I,,,N,F,,C,2014_10_AR0010000_NIBRS,
6673365,497,11,2014,I,,,N,F,,C,2014_11_AR0010000_NIBRS,
6695815,497,12,2014,I,,,N,F,,C,2014_12_AR0010000_NIBRS,
6448866,498,1,2014,I,,,N,F,,C,2014_01_AR0010100_NIBRS,
6471316,498,2,2014,I,,,N,F,,C,2014_02_AR0010100_NIBRS,
6493766,498,3,2014,I,,,N,F,,C,2014_03_AR0010100_NIBRS,
6516216,498,4,2014,I,,,N,F,,C,2014_04_AR0010100_NIBRS,
6538666,498,5,2014,I,,,N,F,,C,2014_05_AR0010100_NIBRS,
6561116,498,6,2014,I,,,N,F,,C,2014_06_AR0010100_NIBRS,
6583566,498,7,2014,I,,,N,F,,C,2014_07_AR0010100_NIBRS,
6606016,498,8,2014,I,,,N,F,,C,2014_08_AR0010100_NIBRS,
6628466,498,9,2014,I,,,N,F,,C,2014_09_AR0010100_NIBRS,
6650916,498,10,2014,I,,,N,F,,C,2014_10_AR0010100_NIBRS,
6673366,498,11,2014,I,,,N,F,,C,2014_11_AR0010100_NIBRS,
6695816,498,12,2014,I,,,N,F,,C,2014_12_AR0010100_NIBRS,
6448867,499,1,2014,I,,,N,F,,C,2014_01_AR0010200_NIBRS,
6471317,499,2,2014,I,,,N,F,,C,2014_02_AR0010200_NIBRS,
6493767,499,3,2014,I,,,N,F,,C,2014_03_AR0010200_NIBRS,
6516217,499,4,2014,I,,,N,F,,C,2014_04_AR0010200_NIBRS,
6538667,499,5,2014,I,,,N,F,,C,2014_05_AR0010200_NIBRS,
6561117,499,6,2014,I,,,N,F,,C,2014_06_AR0010200_NIBRS,
6583567,499,7,2014,I,,,N,F,,C,2014_07_AR0010200_NIBRS,
6606017,499,8,2014,I,,,N,F,,C,2014_08_AR0010200_NIBRS,
6628467,499,9,2014,I,,,N,F,,C,2014_09_AR0010200_NIBRS,
6650917,499,10,2014,I,,,N,F,,C,2014_10_AR0010200_NIBRS,
6673367,499,11,2014,I,,,N,F,,C,2014_11_AR0010200_NIBRS,
6695817,499,12,2014,I,,,N,F,,C,2014_12_AR0010200_NIBRS,
6448868,500,1,2014,U,,,N,F,,C,2014_01_AR0010300_NIBRS,
6471318,500,2,2014,U,,,N,F,,C,2014_02_AR0010300_NIBRS,
6493768,500,3,2014,U,,,N,F,,C,2014_03_AR0010300_NIBRS,
6516218,500,4,2014,U,,,N,F,,C,2014_04_AR0010300_NIBRS,
6538668,500,5,2014,U,,,N,F,,C,2014_05_AR0010300_NIBRS,
6561118,500,6,2014,U,,,N,F,,C,2014_06_AR0010300_NIBRS,
6583568,500,7,2014,U,,,N,F,,C,2014_07_AR0010300_NIBRS,
6606018,500,8,2014,U,,,N,F,,C,2014_08_AR0010300_NIBRS,
6628468,500,9,2014,U,,,N,F,,C,2014_09_AR0010300_NIBRS,
6650918,500,10,2014,U,,,N,F,,C,2014_10_AR0010300_NIBRS,
6673368,500,11,2014,U,,,N,F,,C,2014_11_AR0010300_NIBRS,
6695818,500,12,2014,U,,,N,F,,C,2014_12_AR0010300_NIBRS,
6448869,501,1,2014,I,,,N,F,,C,2014_01_AR0020000_NIBRS,
6471319,501,2,2014,I,,,N,F,,C,2014_02_AR0020000_NIBRS,
6493769,501,3,2014,I,,,N,F,,C,2014_03_AR0020000_NIBRS,
6516219,501,4,2014,I,,,N,F,,C,2014_04_AR0020000_NIBRS,
6538669,501,5,2014,I,,,N,F,,C,2014_05_AR0020000_NIBRS,
6561119,501,6,2014,I,,,N,F,,C,2014_06_AR0020000_NIBRS,
6583569,501,7,2014,I,,,N,F,,C,2014_07_AR0020000_NIBRS,
6606019,501,8,2014,I,,,N,F,,C,2014_08_AR0020000_NIBRS,
6628469,501,9,2014,I,,,N,F,,C,2014_09_AR0020000_NIBRS,
6650919,501,10,2014,I,,,N,F,,C,2014_10_AR0020000_NIBRS,
6673369,501,11,2014,I,,,N,F,,C,2014_11_AR0020000_NIBRS,
6695819,501,12,2014,I,,,N,F,,C,2014_12_AR0020000_NIBRS,
6448870,502,1,2014,I,,,N,F,,C,2014_01_AR0020100_NIBRS,
6471320,502,2,2014,I,,,N,F,,C,2014_02_AR0020100_NIBRS,
6493770,502,3,2014,I,,,N,F,,C,2014_03_AR0020100_NIBRS,
6516220,502,4,2014,I,,,N,F,,C,2014_04_AR0020100_NIBRS,
6538670,502,5,2014,I,,,N,F,,C,2014_05_AR0020100_NIBRS,
6561120,502,6,2014,I,,,N,F,,C,2014_06_AR0020100_NIBRS,
6583570,502,7,2014,I,,,N,F,,C,2014_07_AR0020100_NIBRS,
6606020,502,8,2014,I,,,N,F,,C,2014_08_AR0020100_NIBRS,
6628470,502,9,2014,I,,,N,F,,C,2014_09_AR0020100_NIBRS,
6650920,502,10,2014,I,,,N,F,,C,2014_10_AR0020100_NIBRS,
6673370,502,11,2014,I,,,N,F,,C,2014_11_AR0020100_NIBRS,
6695820,502,12,2014,I,,,N,F,,C,2014_12_AR0020100_NIBRS,
6448871,503,1,2014,I,,,N,F,,C,2014_01_AR0020200_NIBRS,
6471321,503,2,2014,I,,,N,F,,C,2014_02_AR0020200_NIBRS,
6493771,503,3,2014,I,,,N,F,,C,2014_03_AR0020200_NIBRS,
6516221,503,4,2014,I,,,N,F,,C,2014_04_AR0020200_NIBRS,
6538671,503,5,2014,I,,,N,F,,C,2014_05_AR0020200_NIBRS,
6561121,503,6,2014,I,,,N,F,,C,2014_06_AR0020200_NIBRS,
6583571,503,7,2014,I,,,N,F,,C,2014_07_AR0020200_NIBRS,
6606021,503,8,2014,I,,,N,F,,C,2014_08_AR0020200_NIBRS,
6628471,503,9,2014,I,,,N,F,,C,2014_09_AR0020200_NIBRS,
6650921,503,10,2014,I,,,N,F,,C,2014_10_AR0020200_NIBRS,
6673371,503,11,2014,I,,,N,F,,C,2014_11_AR0020200_NIBRS,
6695821,503,12,2014,I,,,N,F,,C,2014_12_AR0020200_NIBRS,
6448872,504,1,2014,U,,,N,F,,C,2014_01_AR0020300_NIBRS,
6471322,504,2,2014,U,,,N,F,,C,2014_02_AR0020300_NIBRS,
6493772,504,3,2014,U,,,N,F,,C,2014_03_AR0020300_NIBRS,
6516222,504,4,2014,U,,,N,F,,C,2014_04_AR0020300_NIBRS,
6538672,504,5,2014,U,,,N,F,,C,2014_05_AR0020300_NIBRS,
