victim_id,circumstances_id,justifiable_force_id
80306156,10,
80309348,10,
80309371,1,
80306222,2,
80309387,9,
80309422,9,
80300683,2,
80303899,6,
80303925,9,
80303940,10,
80307142,1,
80307184,1,
80307185,1,
80307206,1,
80310378,10,
80307307,1,
80310492,1,
80310517,1,
80301759,2,
80301768,9,
80320052,1,
80320066,9,
80313736,1,
80316881,10,
80320081,1,
80323274,1,
80323281,1,
80323282,9,
80323283,9,
80316931,1,
80320135,1,
80320141,9,
80320160,10,
80323291,10,
80323303,10,
80323304,1,
80323322,10,
80316956,1,
80323342,1,
80314659,10,
80314670,10,
80323409,10,
80323420,1,
80314700,1,
80317861,1,
80317872,6,
80321103,1,
80321106,5,
80325533,1,
80314746,9,
80317892,1,
80317898,1,
80317899,9,
80317901,2,
80317902,2,
80317929,1,
80321112,6,
80321113,6,
80317938,1,
80317981,1,
80317982,1,
80317985,1,
80321192,5,
80324356,9,
80324374,1,
80318010,1,
80321211,1,
80324397,1,
80324400,6,
80324401,6,
80324407,1,
80321263,9,
80321264,3,
80321266,1,
80324434,1,
80494856,9,
80494857,9,
80494858,9,
80500433,1,
80491729,1,
80498143,1,
80498154,1,
80498187,10,
80494989,1,
80494990,1,
80498202,1,
80498212,1,
80498222,1,
80489469,9,
80498268,10,
80498290,1,
80498291,10,
80489508,9,
80489517,9,
80492711,10,
80492712,10,
80492713,10,
80492714,10,
80492715,10,
80489551,9,
80489587,9,
80489589,9,
80489599,9,
80492808,10,
80495963,1,
80495982,1,
80492839,2,
80496020,10,
80496036,1,
80496047,10,
80499248,1,
80499255,1,
80496059,9,
80496067,1,
80496079,1,
80499297,1,
80499298,1,
80499300,1,
80499305,1,
80499316,1,
80501356,10,
80501379,1,
80496110,1,
80496111,1,
80496115,10,
80496116,10,
80496117,10,
80496121,1,
80499345,10,
80499359,10,
80499360,10,
80499384,1,
80501425,9,
80501437,1,
80501447,1,
80501452,1,
80501453,1,
80490602,9,
80490603,10,
80490604,9,
80490635,9,
80493808,1,
80497050,10,
80501474,10,
80497070,1,
80497085,1,
80493871,17,
80493875,1,
80493893,2,
80493911,1,
80315772,3,
80324483,1,
80315777,1,
80315786,1,
80315787,8,
80318953,10,
80318954,10,
80322179,1,
80322181,10,
80322182,10,
80322183,10,
80322191,6,
80315837,1,
80315854,1,
80315862,1,
80315863,1,
80318993,1,
80318994,9,
80319007,1,
80319023,1,
80319024,1,
80322202,1,
80322226,1,
80315890,1,
80319063,1,
80319075,9,
80322262,1,
80319093,10,
80319095,1,
80319098,10,
80319105,1,
80319106,1,
80319107,1,
80322338,1,
80322339,1,
80313613,1,
80313614,1,
80313638,10,
80316805,1,
80316815,1,
80316846,10,
80316848,9,
80316853,1,
80289920,8,
80289921,8,
80296343,10,
80296430,1,
80287690,6,
80290856,1,
80290857,1,
80287705,6,
80287711,1,
80287716,10,
80287720,1,
80290901,1,
80290972,9,
80290973,10,
80294131,10,
80294133,2,
80290988,1,
80291015,10,
80291022,1,
80291023,1,
80294187,2,
80288673,6,
80294255,6,
80297470,6,
80294259,9,
80294260,9,
80294261,9,
80294262,9,
80297491,9,
80297492,9,
80297509,1,
80299572,1,
80299589,1,
80299601,10,
80299602,10,
80288776,1,
80288783,2,
80291950,2,
80114461,9,
80117652,1,
80117658,2,
80117659,2,
80117683,1,
80093741,1,
80093746,1,
80093752,10,
80093758,9,
80093762,10,
80096972,1,
80088163,1,
80088165,9,
80088179,9,
80088183,1,
80097023,9,
80097024,9,
80097036,1,
80085014,9,
80085015,9,
80088248,2,
80091404,9,
80091417,10,
80088280,2,
80088289,6,
80091451,9,
80091457,1,
80091461,2,
80091464,1,
80091478,10,
80091480,2,
80091482,1,
80094712,9,
80094713,9,
80094720,9,
80085927,6,
80085930,1,
80085951,9,
80091504,9,
80091508,10,
80091520,9,
80091532,2,
80094747,6,
80094750,10,
80094768,9,
80094787,1,
80085991,1,
80091566,10,
80091569,10,
80094820,1,
80086020,1,
80089228,2,
80089230,6,
80089232,9,
80094854,10,
80094856,10,
80094858,9,
80086054,1,
80086056,10,
80086057,10,
80086058,10,
80089251,9,
80092508,1,
80092510,9,
80092525,1,
80092537,1,
80089302,9,
80089308,1,
80089309,1,
80089328,1,
80089333,6,
80089335,1,
80092581,9,
80092582,9,
80092583,9,
80092584,9,
80095785,1,
80089348,1,
80092618,1,
80095806,1,
80095810,1,
80095814,9,
80095815,1,
80095832,9,
80095833,1,
80095835,9,
80087022,2,
80087035,10,
80087048,10,
80092649,9,
80092650,9,
80095850,1,
80095874,1,
80095885,1,
80087080,8,
80087093,1,
80087096,8,
80095912,10,
80095933,1,
80095943,1,
80087124,1,
80087139,1,
80090327,1,
80093589,1,
80087157,2,
80090380,2,
80093622,1,
80093631,9,
80093632,6,
80090409,9,
80090426,2,
80090432,2,
80090435,1,
80090447,10,
80093652,1,
80093656,1,
80093670,17,
80093673,1,
80093676,10,
80093689,1,
80096870,9,
80090448,10,
80090471,6,
80090472,9,
80090473,9,
80090474,9,
80093713,9,
80093732,2,
80093733,1,
80093738,10,
80096888,1,
80096905,10,
80096911,9,
80088147,1,
80182351,1,
80182352,1,
80182353,1,
80182354,1,
80182360,6,
80182369,1,
80182370,6,
80182385,1,
80182386,1,
80177002,1,
80177003,1,
80177004,1,
80177009,9,
80177014,6,
80182405,6,
80182412,1,
80177029,1,
80177050,6,
80177068,6,
80182446,10,
80182476,1,
80182477,1,
80182482,10,
80174736,1,
80174738,10,
80299615,10,
80288799,9,
80291983,2,
80291984,2,
80295219,10,
80295220,10,
80295239,10,
80295276,1,
80292105,9,
80298505,10,
80298511,9,
80298512,9,
80289766,9,
80289781,9,
80298533,1,
80289822,10,
80289875,1,
80289880,3,
80289882,1,
80293019,10,
80293056,6,
80383173,1,
80386337,9,
80386357,9,
80386358,9,
80386366,9,
80377777,1,
80377786,9,
80377787,9,
80377788,9,
80377789,9,
80380899,9,
80380906,9,
80380907,9,
80380908,9,
80380910,9,
