"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
4972018,497,2018,"AR0010000","AR0010000","","N","N",,"I","ARKANSAS","ARKANSAS CO SO STUTTGART","Arkansas","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",5834,23355,"ARUCR0001","Arkansas Crime Information Center","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",11,0,11,0,0,0,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","ARKANSAS","Non-MSA","Y","Y","Y"
4982018,498,2018,"AR0010100","AR0010100","","N","N",,"I","DEWITT","DE WITT PD","DeWitt","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",3058,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,0,4,4,0,0,01-FEB-99,01-OCT-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","ARKANSAS","Non-MSA","Y","Y","Y"
4992018,499,2018,"AR0010200","AR0010200","","N","N",,"I","STUTTGART","STUTTGART PD","Stuttgart","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",8696,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",18,1,19,5,8,13,0,0,01-FEB-99,01-JAN-04,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","ARKANSAS","Non-MSA","Y","Y","Y"
5012018,501,2018,"AR0020000","AR0020000","","N","N",,"I","ASHLEY","ASHLEY CO SO HAMBURG","Ashley","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",12453,23355,"ARUCR0001","Arkansas Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,9,28,2,13,15,0,0,01-FEB-99,01-JAN-08,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","ASHLEY","Non-MSA","Y","Y","Y"
5022018,502,2018,"AR0020100","AR0020100","","N","N",,"I","CROSSETT","CROSSETT PD","Crossett","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",4920,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,3,16,4,7,11,0,0,01-FEB-99,01-JUL-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","ASHLEY","Non-MSA","Y","Y","Y"
5032018,503,2018,"AR0020200","AR0020200","","N","N",,"I","HAMBURG","HAMBURG PD","Hamburg","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",2672,23355,"ARUCR0001","Arkansas Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,0,1,1,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","ASHLEY","Non-MSA","Y","Y","Y"
5052018,505,2018,"AR0030000","AR0030000","","N","N",,"I","BAXTER","BAXTER CO SO MOUNTAIN HOME","Baxter","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",24643,23355,"ARUCR0001","Arkansas Crime Information Center","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",31,7,38,2,14,16,0,0,01-FEB-99,01-OCT-02,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BAXTER","Non-MSA","Y","Y","Y"
5062018,506,2018,"AR0030100","AR0030100","","N","N",,"I","MOUNTAIN HOME","MOUNTAIN HOME PD","Mountain Home","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",12315,23355,"ARUCR0001","Arkansas Crime Information Center","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,5,30,2,3,5,0,0,01-FEB-99,01-OCT-02,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BAXTER","Non-MSA","Y","Y","Y"
5072018,507,2018,"AR0030200","AR0030200","","N","N",,"I","COTTER","COTTER PD","Cotter","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",935,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,1,1,0,0,01-FEB-99,01-OCT-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BAXTER","Non-MSA","Y","Y","Y"
5082018,508,2018,"AR0030300","AR0030300","","N","N",,"I","GASSVILLE","GASSVILLE PD","Gassville","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",2145,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BAXTER","Non-MSA","Y","Y","Y"
5092018,509,2018,"AR0030400","AR0030400","","N","N",,"I","LAKEVIEW","LAKEVIEW POLICE DEPARTMENT LAKEVIEW","Lakeview","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",713,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BAXTER","Non-MSA","Y","Y","Y"
5102018,510,2018,"AR0040000","AR0040000","","N","N",,"I","BENTON","BENTON CO SO BENTONVILLE","Benton","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",48960,23355,"ARUCR0001","Arkansas Crime Information Center","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",106,98,204,9,35,44,0,0,01-FEB-99,01-JAN-06,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
