property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
1499137,1348168,7,,,
1499136,1348167,7,1,,
1499135,1348166,7,,,
1499134,1348165,4,,,
1499133,1348164,4,,,
1499131,1348163,5,,1,
1499132,1348163,7,1,,
1499130,1348162,1,,,
1499129,1348161,7,,,
1499128,1348160,7,,,
1499127,1348158,4,,,
1499126,1348157,4,,,
1499124,1348156,5,,,
1499125,1348156,7,,,
1499123,1348154,7,0,,
1499122,1348152,7,,,
1499120,1348151,5,,,
1499121,1348151,7,,,
1499119,1348150,7,,,
1499118,1348149,4,,,
1499117,1348148,7,,,
1499116,1348147,1,,,
1499115,1348146,6,,,
1499114,1348145,7,0,,
1499112,1348144,7,,,
1499113,1348144,7,,,
1499111,1348142,7,,,
1499110,1348141,4,,,
1499109,1348140,7,,,
1499108,1348139,7,,,
1499107,1348138,7,,,
1499106,1348137,7,,,
1499105,1348136,3,,,
1499103,1348135,5,,,
1499104,1348135,7,,,
1499101,1348132,1,,,
1499102,1348132,4,,,
1499099,1348131,7,,,
1499100,1348131,7,,,
1499098,1348129,7,,,
1499097,1348127,7,,,
1499096,1348126,2,,,
1499095,1348125,7,,,
1499093,1348124,5,,,
1499094,1348124,7,,,
1499092,1348123,7,,,
1499091,1348122,7,,,
1499086,1348121,7,,,
1499087,1348121,7,,,
1499088,1348121,7,,,
1499089,1348121,7,,,
1499090,1348121,7,,,
1499084,1348120,7,,,
1499085,1348120,7,,,
1499083,1348118,7,,,
1499082,1348117,7,,,
1499081,1348116,7,,,
1499080,1348115,7,0,,
1499079,1348114,1,,,
1499078,1348113,7,,,
1499076,1348112,5,,,
1499077,1348112,7,,,
1499075,1348110,7,,,
1499074,1348108,3,,,
1499072,1348107,5,,,
1499073,1348107,7,,,
1499070,1348106,5,,,
1499071,1348106,7,,,
1499069,1348105,4,,,
1499068,1348104,7,,,
1499067,1348100,7,,,
1499066,1348099,1,,,
1499065,1348098,7,,,
1499064,1348097,1,,,
1499062,1348096,7,,,
1499063,1348096,7,,,
1499061,1348095,7,0,,
1499059,1348094,5,,1,
1499060,1348094,7,1,,
1499058,1348093,7,,,
1499055,1348092,5,,,
1499056,1348092,7,,,
1499057,1348092,7,,,
1499053,1348091,7,,,
1499054,1348091,7,,,
1499052,1348090,6,,,
1499051,1348089,7,,,
1499050,1348088,7,,,
1499049,1348087,7,,,
1499047,1348086,5,,,
1499048,1348086,7,,,
1499045,1348085,5,,,
1499046,1348085,7,,,
1499043,1348084,5,,,
1499044,1348084,7,,,
1499041,1348083,5,,1,
1499042,1348083,7,1,,
1499040,1348082,1,,,
1499039,1348081,7,,,
1499037,1348080,1,,,
1499038,1348080,4,,,
1499036,1348079,4,,,
1499034,1348078,7,,,
1499035,1348078,7,,,
1499033,1348077,7,,,
1499032,1348075,7,,,
1499030,1348073,5,,,
1499031,1348073,7,,,
1499029,1348071,7,,,
1499028,1348068,7,,,
1499027,1348067,7,,,
1499026,1348065,4,,,
1499025,1348064,4,,,
1499024,1348063,7,,,
1499022,1348062,5,,,
1499023,1348062,7,,,
1499021,1348061,6,,,
1499019,1348060,5,,1,
1499020,1348060,7,1,,
1499017,1348059,5,,,
1499018,1348059,7,,,
1499016,1348058,1,,,
1499015,1348057,4,,,
1499014,1348056,4,,,
1499010,1348055,7,,,
1499011,1348055,7,,,
1499012,1348055,7,,,
1499013,1348055,7,,,
1499009,1348054,4,,,
1499008,1348053,4,,,
1499005,1348051,4,,,
1499006,1348051,4,,,
1499007,1348051,7,,,
1499004,1348050,7,,,
