property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
1499137,8,18,,1498975
1499136,3,1000,,1498974
1499135,6,83,,1498973
1499134,38,65,,1498972
1499133,38,1,,1498971
1499131,3,8500,1993-01-18 00:00:00,1499371
1499132,3,8500,,1499372
1499130,68,,,1499370
1499129,63,150,,1499369
1499128,20,10,,1499368
1499127,30,1,,1499367
1499126,38,200,,1499366
1499124,19,120,1993-01-12 00:00:00,1499364
1499125,19,120,,1499365
1499123,38,160,,1499363
1499122,8,13,,1499362
1499120,16,150,1993-01-12 00:00:00,1499360
1499121,16,150,,1499361
1499119,20,631,,1499359
1499118,31,1,,1499358
1499117,20,180,,1499357
1499116,68,,,1499356
1499115,10,0,,1499355
1499114,38,1,,1499354
1499112,6,6,,1499352
1499113,16,10,,1499353
1499111,26,500,,1499351
1499110,3,1,,1499350
1499109,26,1,,1499349
1499108,20,150,,1499348
1499107,8,9,,1499347
1499106,6,70,,1499346
1499105,22,0,,1499345
1499103,18,30,1993-01-10 00:00:00,1499343
1499104,18,30,,1499344
1499101,68,,,1499341
1499102,38,1000,,1499342
1499099,6,90,,1499339
1499100,26,560,,1499340
1499098,20,840,,1499338
1499097,26,1,,1499337
1499096,31,1,,1499336
1499095,63,25,,1499335
1499093,6,30,1993-01-08 00:00:00,1499333
1499094,6,30,,1499334
1499092,6,255,,1499332
1499091,36,700,,1499331
1499086,6,150,,1499326
1499087,25,200,,1499327
1499088,26,780,,1499328
1499089,27,15,,1499329
1499090,63,119,,1499330
1499084,16,250,,1499324
1499085,26,500,,1499325
1499083,36,400,,1499323
1499082,20,137,,1499322
1499081,63,400,,1499321
1499080,38,1,,1499320
1499079,68,,,1499319
1499078,36,4170,,1499318
1499076,8,14,1993-01-07 00:00:00,1499316
1499077,8,28,,1499317
1499075,21,2016,,1499315
1499074,22,0,,1499314
1499072,27,31,1993-01-07 00:00:00,1499312
1499073,27,31,,1499313
1499070,20,436,1993-01-29 00:00:00,1499310
1499071,20,436,,1499311
1499069,38,80,,1499309
1499068,8,18,,1499308
1499067,6,400,,1499307
1499066,68,,,1499306
1499065,63,1050,,1499305
1499064,68,,,1499304
1499062,19,1480,,1499302
1499063,20,126,,1499303
1499061,38,1,,1499301
1499059,3,1500,1993-01-30 00:00:00,1499299
1499060,3,1500,,1499300
1499058,8,25,,1499298
1499055,25,25,1993-01-06 00:00:00,1499295
1499056,22,0,,1499296
1499057,25,25,,1499297
1499053,13,500,,1499293
1499054,63,50,,1499294
1499052,10,0,,1499292
1499051,8,6,,1499291
1499050,8,13,,1499290
1499049,16,1,,1499289
1499047,16,8,1993-01-05 00:00:00,1499287
1499048,16,8,,1499288
1499045,2,11,1993-01-05 00:00:00,1499285
1499046,2,11,,1499286
1499043,19,6,1993-01-05 00:00:00,1499283
1499044,19,6,,1499284
1499041,3,8000,1993-01-08 00:00:00,1499281
1499042,3,8000,,1499282
1499040,68,,,1499280
1499039,36,1700,,1499279
1499037,68,,,1499277
1499038,3,400,,1499278
1499036,29,30,,1499276
1499034,6,100,,1499274
1499035,63,1,,1499275
1499033,8,25,,1499273
1499032,8,9,,1499272
1499030,19,76,1993-01-04 00:00:00,1499270
1499031,19,76,,1499271
1499029,8,7,,1499269
1499028,63,1800,,1499268
1499027,19,14,,1499267
1499026,38,1,,1499266
1499025,38,1,,1499265
1499024,36,497,,1499264
1499022,8,25,1993-01-11 00:00:00,1499262
1499023,8,25,,1499263
1499021,10,0,,1499261
1499019,24,700,1993-01-03 00:00:00,1499259
1499020,24,700,,1499260
1499017,6,35,1993-01-03 00:00:00,1499257
1499018,6,35,,1499258
1499016,68,,,1499256
1499015,38,38,,1499255
1499014,30,1,,1499254
1499010,6,200,,1499250
1499011,13,210,,1499251
1499012,16,35,,1499252
1499013,26,300,,1499253
1499009,38,75,,1499249
1499008,30,1,,1499248
1499005,32,400,,1499245
1499006,63,2100,,1499246
1499007,20,1,,1499247
1499004,26,1,,1499244
1499003,6,100,,1499243
1499000,9,0,,1499240
1499001,20,10,,1499241
1499002,25,10,,1499242
1498999,8,33,,1499239
1498998,3,100,,1499238
1498997,19,390,,1499237
1498996,8,4,,1499236
1498995,36,600,,1499235
1498993,27,15,,1499233
1498994,63,10,,1499234
1498992,38,1,,1499232
1498991,3,500,,1499231
1498988,9,0,,1499228
1498989,20,550,,1499229
1498990,63,40,,1499230
1498987,16,800,,1499227
1498986,38,300,,1499226
1498985,20,40,,1499225
1498981,8,25,1993-01-01 00:00:00,1499221
1498982,63,10,1993-01-01 00:00:00,1499222
1498983,8,25,,1499223
1498984,63,10,,1499224
1498980,68,,,1499220
1498979,8,3,,1499219
1498978,68,,,1499218
1498977,68,,,1499217
1498976,10,0,,1499216
1498975,63,5,,1499215
1499463,3,319,,1499783
1499460,26,600,,1499780
1499461,36,200,,1499781
1499462,38,600,,1499782
1499457,31,100,,1499777
1499456,26,200,,1499776
1499454,26,600,,1499774
1499455,63,150,,1499775
1499452,26,500,,1499772
1499453,27,105,,1499773
1499451,13,150,,1499771
1499449,26,800,,1499769
1499450,36,500,,1499770
1499448,38,150,,1499768
1499446,6,16,1993-01-31 00:00:00,1499766
1499447,6,16,,1499767
1499444,3,16000,1993-02-22 00:00:00,1499764
1499445,3,16000,,1499765
1499442,8,22,1993-01-30 00:00:00,1499762
1499443,8,22,,1499763
1499440,2,8,1993-01-30 00:00:00,1499760
1499441,2,8,,1499761
1499438,17,38,1993-01-30 00:00:00,1499758
1499439,17,38,,1499759
1499437,38,100,,1499757
1499436,38,200,,1499756
1499435,68,,,1499755
1499434,29,100,,1499754
1499433,38,1,,1499753
1499427,6,180,,1499747
1499428,9,0,,1499748
1499429,17,60,,1499749
1499430,20,128,,1499750
1499431,25,1,,1499751
1499432,63,1,,1499752
1499426,22,0,,1499746
1499424,6,50,1993-01-29 00:00:00,1499744
1499425,6,50,,1499745
1499422,8,6,1993-01-29 00:00:00,1499742
1499423,8,6,,1499743
1499420,23,200,,1499740
1499421,36,100,,1499741
1499419,31,50,,1499739
1499418,8,13,,1499738
1499417,8,12,,1499737
1499413,8,2,,1499733
1499414,27,18,,1499734
1499415,36,3,,1499735
1499416,63,100,,1499736
1499411,17,1775,1993-02-04 00:00:00,1499731
1499412,17,1775,,1499732
1499408,25,60,1993-01-28 00:00:00,1499728
1499409,20,500,,1499729
1499410,25,60,,1499730
1499405,25,15,1993-01-28 00:00:00,1499725
1499406,20,8,,1499726
1499407,25,15,,1499727
1499404,8,5,,1499724
1499403,2,1,,1499723
1499401,20,40,,1499721
1499402,63,50,,1499722
1499400,38,5,,1499720
1499399,63,200,,1499719
1499398,21,1,,1499718
1499397,36,50,,1499717
1499396,4,263,,1499716
1499395,8,4,,1499715
1499394,29,100,,1499714
1499393,20,80,,1499713
1499392,8,14,,1499712
1499391,26,250,,1499711
1499389,3,4000,1993-01-27 00:00:00,1499709
1499390,3,4000,,1499710
1499379,3,5000,1993-01-27 00:00:00,1499699
1499380,6,10,1993-01-27 00:00:00,1499700
1499381,7,300,1993-01-27 00:00:00,1499701
1499382,26,1000,1993-01-27 00:00:00,1499702
1499383,36,2700,1993-01-27 00:00:00,1499703
1499384,3,5000,,1499704
1499385,6,10,,1499705
1499386,7,300,,1499706
1499387,26,1000,,1499707
1499388,36,2700,,1499708
1499377,8,1,1993-01-27 00:00:00,1499697
1499378,8,1,,1499698
1499376,29,50,,1499696
1499375,63,1000,,1499695
