victim_id,injury_id
1383003,4
1382982,5
1382976,4
1382972,3
1382966,4
1382963,4
1382960,4
1382961,4
1382943,3
1382941,5
1382934,4
1382933,4
1382932,5
1382930,5
1382907,4
1382905,4
1382901,4
1382900,5
1382881,4
1382875,4
1382863,4
1382862,5
1382861,5
1382856,2
1382856,3
1383261,4
1383256,5
1383243,5
1383239,4
1383240,4
1383227,1
1383214,1
1383210,5
1383209,5
1383201,4
1383199,5
1383182,5
1383179,5
1383180,5
1383168,4
1383162,4
1383163,4
1383164,4
1383157,4
1383154,5
1383155,5
1383129,4
1383122,4
1383117,4
1383110,3
1383107,4
1383097,5
1383098,5
1383093,4
1383092,5
1383090,5
1383073,4
1383072,5
1383071,5
1383068,5
1383042,4
1383041,5
1383035,4
1383034,3
1383021,5
1383022,5
1383020,4
1383019,1
1383018,3
1383506,3
1383506,6
1383505,4
1383504,4
1383501,4
1383484,5
1383485,5
1383481,5
1383478,5
1383476,4
1383475,4
1383468,4
1383464,4
1383454,4
1383442,5
1383413,4
1383411,4
1383409,4
1383405,5
1383403,4
1383391,4
1383376,5
1383377,5
1383375,5
1383374,4
1383360,4
1383351,4
1383350,4
1383343,4
1383337,5
1383338,5
1383339,5
1383336,4
1383334,4
1383333,4
1383303,4
1383302,4
1383299,5
1383300,5
1383296,4
1383290,5
1383285,4
1383282,5
1383139,4
1383618,4
1383619,4
1383620,5
1383617,4
1383612,4
1383609,4
1383607,4
1383608,4
1383600,4
1383599,4
1383590,4
1383588,4
1383572,4
1383570,4
1383571,4
1383568,5
1383564,5
1383558,5
1383540,4
1383523,4
1383521,4
1384072,4
1384073,4
1383662,4
1383655,3
1383654,4
1383653,4
1383651,5
1383634,4
1384057,4
1384050,4
1384051,4
1384047,4
1384042,4
1384040,4
1384038,4
1384031,4
1384023,4
1384019,4
1384018,4
1384010,4
1384009,4
1384007,4
1384003,4
1383998,5
1383997,4
1383995,5
1383987,5
1383986,4
1383979,4
1383978,5
1383970,4
1383962,5
1383928,4
1383927,4
1383913,4
1383913,7
1383907,4
1383902,5
1383901,4
1383895,5
1383896,5
1383897,5
1383898,5
1383899,5
1383893,4
1383894,4
1383892,4
1383891,4
1383889,4
1383874,5
1383865,4
1383859,6
1383855,4
1383856,5
1383857,5
1383843,4
1383838,4
1383829,4
1383822,5
1383823,5
1383824,5
1383825,5
1383810,1
1383810,4
1383811,4
1383798,4
1383792,5
1383782,5
1383781,5
1383771,5
1383769,5
1383758,4
1383757,4
1383748,4
1383743,5
1383736,5
1383718,5
1383716,4
1383710,5
1383708,5
1383705,5
1383706,4
1383697,4
1383696,4
1383693,5
1383694,5
1383692,5
1383689,4
1383687,2
1383687,4
1384391,4
1384387,4
1384388,4
1384389,4
1384370,5
1384369,1
1384369,4
1384368,4
1384360,4
1384357,5
1384358,5
1384359,5
1384349,4
1384341,4
1384339,5
1384327,5
1384314,4
1384311,4
1384307,5
1384299,4
1384286,4
