offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
2349664,2231892,23,C,12,,,
2349663,2231891,5,C,13,,,
2349662,2231890,40,C,20,,,
2349661,2231889,45,A,20,,,
2349660,2231888,14,C,18,,,
2349659,2231887,7,C,18,,,
2349658,2231886,49,C,18,0,F,
2349657,2231885,45,C,7,,,
2349656,2231884,37,C,24,,,
2349655,2231883,7,C,24,,,
2349654,2231882,45,C,18,,,
2349653,2231881,23,C,12,,,
2349652,2231880,23,C,23,,,
2349651,2231879,23,C,24,,,
2349650,2231878,21,C,13,,,
2349649,2231877,45,C,23,,,
2349648,2231876,21,C,18,,,
2349647,2231875,21,C,20,,,
2349646,2231874,14,C,20,,,
2349645,2231873,49,C,20,0,F,
2349644,2231872,44,C,20,,,
2349643,2231871,51,C,20,,,
2349642,2231870,49,C,20,0,F,
2349641,2231869,49,C,25,0,F,
2349640,2231868,45,C,20,,,
2349639,2231867,49,C,20,0,N,
2349638,2231866,49,C,20,0,N,
2349637,2231865,23,C,7,,,
2349636,2231864,37,C,25,,,
2349635,2231863,23,C,8,,,
2349634,2231862,23,C,8,,,
2349633,2231861,50,C,18,,,
2349632,2231860,21,C,18,,,
2349631,2231859,5,C,13,,,
2349630,2231858,44,C,20,,,
2349629,2231857,51,C,20,,,
2349628,2231856,5,C,20,,,
2349626,2231855,27,C,20,,,
2349627,2231855,51,C,20,,,
2349625,2231854,47,C,20,,,
2349624,2231853,49,C,20,0,N,
2349623,2231852,51,C,20,,,
2349621,2231851,27,C,20,,,
2349622,2231851,44,C,20,,,
2349620,2231850,14,C,18,,,
2349619,2231849,51,C,20,,,
2349618,2231848,45,C,7,,,
2349617,2231847,11,C,24,,,
2349978,2232201,14,C,20,,,
2349972,2232195,14,C,20,,,
2349968,2232191,5,C,14,,,
2349964,2232187,23,C,8,,,
2349963,2232186,21,C,24,,,
2349961,2232185,27,C,8,,,
2349962,2232185,23,C,8,,,
2349960,2232184,51,C,18,,,
2349959,2232183,14,C,20,,,
2349958,2232182,27,C,20,,,
2349957,2232181,23,C,8,,,
2349955,2232180,51,C,12,,,
2349956,2232180,23,C,12,,,
2349954,2232179,5,C,20,,,
2349953,2232178,14,C,20,,,
2349952,2232177,14,C,20,,,
2349951,2232176,5,C,20,,,
2349950,2232175,14,C,18,,,
2349949,2232174,49,C,24,0,F,
2349948,2232173,45,C,7,,,
2349947,2232172,51,C,20,,,
2349946,2232171,51,C,20,,,
2349945,2232170,23,C,8,,,
2349944,2232169,20,C,20,,,
2349942,2232167,49,C,18,0,F,
2349941,2232166,7,C,25,,,
2349940,2232165,27,C,24,,,
2349939,2232164,51,C,13,,,
2349938,2232163,51,C,18,,,
2349937,2232162,51,C,20,,,
2349936,2232161,16,C,20,,,
2349935,2232160,21,C,18,,,
2349934,2232159,47,C,2,,,
2349933,2232158,49,C,20,0,F,
2349932,2232157,51,C,13,,,
2349931,2232156,23,C,12,,,
2349930,2232155,47,C,22,,,
2349929,2232154,49,C,20,0,N,
2349928,2232153,45,C,46,,,
2349927,2232152,23,C,25,,,
2349926,2232151,5,C,13,,,
2349925,2232150,51,C,22,,,
2349924,2232149,45,C,23,,,
2349923,2232148,49,C,25,0,F,
2349922,2232147,47,C,23,,,
2349921,2232146,20,C,19,,,
2349920,2232145,7,C,18,,,
2349919,2232144,27,C,3,,,
2349918,2232143,47,C,20,,,
2349917,2232142,14,C,20,,,
2349916,2232141,44,C,20,,,
2349915,2232140,47,C,24,,,
2349914,2232139,49,C,20,0,N,
2349913,2232138,45,C,23,,,
2349912,2232137,23,C,8,,,
2349911,2232136,7,C,18,,,
2349910,2232135,47,C,11,,,
2349909,2232134,51,C,13,,,
2349908,2232133,47,C,25,,,
2349907,2232132,5,C,20,,,
2349906,2232131,45,C,23,,,
2349905,2232130,27,C,20,,,
2349904,2232129,5,C,20,,,
2349903,2232128,23,C,12,,,
2349902,2232127,47,C,12,,,
2349901,2232126,49,C,12,0,F,
2349900,2232125,14,C,12,,,
2349899,2232124,5,C,20,,,
2349898,2232123,45,C,20,,,
2349897,2232122,5,C,18,,,
2349896,2232121,23,C,24,,,
2349895,2232120,46,C,13,,,
2349894,2232119,5,C,20,,,
2349893,2232118,49,C,20,0,N,
2349892,2232117,27,C,13,,,
2349891,2232116,2,C,46,,,
2349890,2232115,45,C,23,,,
2349889,2232114,49,C,20,0,F,
2349888,2232113,49,C,25,0,F,
2349887,2232112,51,C,20,,,
2349886,2232111,45,C,23,,,
2349885,2232110,45,C,22,,,
2349884,2232109,7,C,24,,,
2349883,2232108,7,C,18,,,
2349882,2232107,45,C,20,,,
2349881,2232106,7,C,24,,,
2349880,2232105,51,C,20,,,
2349879,2232104,5,C,13,,,
2349878,2232103,51,C,20,,,
2349877,2232102,51,C,20,,,
2349876,2232101,14,C,20,,,
2349875,2232100,45,C,23,,,
2349874,2232099,45,C,23,,,
2349873,2232098,51,C,20,,,
2349872,2232097,49,C,20,0,N,
2349871,2232096,49,C,20,0,F,
2349870,2232095,51,C,20,,,
2349869,2232094,5,C,20,,,
2349868,2232093,5,C,24,,,
2349867,2232092,51,C,20,,,
2349866,2232091,35,C,13,,,
2349865,2232090,45,C,23,,,
2349864,2232089,5,C,20,,,
2349863,2232088,5,C,18,,,
2349862,2232087,51,C,18,,,
2349861,2232086,14,C,18,,,
2349860,2232085,2,C,25,,,
2349859,2232084,47,C,12,,,
2349858,2232083,5,C,20,,,
2349857,2232082,51,C,13,,,
2349856,2232081,44,C,20,,,
2349855,2232080,5,C,20,,,
2349854,2232079,45,C,23,,,
2349853,2232078,23,C,12,,,
2349852,2232077,51,C,22,,,
2349851,2232076,5,C,18,,,
2349850,2232075,5,C,20,,,
2349849,2232074,7,C,25,,,
2349848,2232073,46,C,23,,,
2349847,2232072,7,C,20,,,
2349846,2232071,45,C,23,,,
2349845,2232070,40,C,13,,,
2349844,2232069,16,A,13,,,
2349843,2232068,45,C,23,,,
2349842,2232067,13,C,46,,,
2349841,2232066,51,C,20,,,
2349840,2232065,7,C,18,,,
2349839,2232064,2,C,24,,,
2349838,2232063,5,C,22,,,
2349837,2232062,47,C,46,,,
2349836,2232061,16,C,22,,,
2349835,2232060,45,C,20,,,
2349834,2232059,36,C,22,,,
2349833,2232058,47,C,20,,,
2349832,2232057,7,C,20,,,
2349831,2232056,45,C,23,,,
2349830,2232055,7,C,20,,,
2349829,2232054,21,C,20,,,
2349828,2232053,21,C,20,,,
2349827,2232052,23,C,23,,,
2349826,2232051,7,C,8,,,
2349825,2232050,23,C,8,,,
2349824,2232049,7,C,18,,,
2349823,2232048,45,C,23,,,
2349822,2232047,21,C,18,,,
2349821,2232046,21,C,8,,,
2349820,2232045,2,C,24,,,
2349819,2232044,14,C,18,,,
2349818,2232043,44,C,20,,,
2349817,2232042,5,C,13,,,
2349816,2232041,49,C,5,0,F,
2349815,2232040,51,C,20,,,
2349814,2232039,37,C,8,,,
2349813,2232038,5,C,18,,,
2349812,2232037,7,C,24,,,
2349811,2232036,49,C,20,0,F,
2349810,2232035,23,C,12,,,
2349809,2232034,5,C,5,,,
2349808,2232033,21,C,24,,,
2349807,2232032,5,C,20,,,
2349806,2232031,14,C,8,,,
2349805,2232030,5,C,18,,,
2349804,2232029,23,C,12,,,
2349803,2232028,23,C,8,,,
2349802,2232027,2,C,8,,,
2349801,2232026,49,C,20,0,F,
2349800,2232025,11,C,12,,,
2349799,2232024,11,C,12,,,
2349798,2232023,51,C,8,,,
2349797,2232022,5,C,23,,,
2349796,2232021,49,C,5,0,N,
2349795,2232020,45,C,13,,,
2349794,2232019,45,C,23,,,
2349793,2232018,45,C,23,,,
2349792,2232017,45,C,23,,,
2349791,2232016,5,C,20,,,
2349790,2232015,5,C,5,,,
2349789,2232014,5,C,20,,,
2349788,2232013,5,C,13,,,
2349787,2232012,44,C,20,,,
2349786,2232011,23,C,8,,,
2349785,2232010,23,C,12,,,
2349784,2232009,23,C,24,,,
2349783,2232008,27,C,12,,,
2349782,2232007,49,C,20,0,N,
