suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,5656598,0.173,3,227673
5,5657894,5.3,1,227674
5,5657912,9,1,227675
5,5659141,3.2,1,227676
5,5659145,2.1,1,227677
5,5659167,0,,227678
5,5659185,1,9,227679
5,5659205,1,9,227680
5,5655425,0.075,3,227681
5,5656636,0.26,1,227682
2,5657968,7.4,1,227683
5,5658007,22,1,227684
2,5659238,7.6,1,227685
12,5656754,0.58,1,227686
5,5658077,1,9,227687
5,5660029,1,9,227688
2,5660054,1,9,227689
2,5660073,10.9,1,227690
5,5655597,0.57,3,227691
5,5655625,0.3,3,227692
5,5655639,0.06,3,227693
5,5655659,0.03,3,227694
5,5656823,0.516,3,227695
5,5656832,0.01,1,227696
5,5656847,0.32,1,227697
5,5656857,0.08,3,227698
2,5658124,12.3,1,227699
5,5658127,26.6,1,227700
5,5658143,1,9,227701
5,5660104,1,9,227702
2,5660107,1,9,227703
5,5660136,1,9,227704
5,5655678,0.011,3,227705
5,5655681,0.011,3,227706
5,5656915,0.002,1,227707
5,5658186,1,9,227708
5,5658215,1,9,227709
5,5658246,1,9,227710
5,5659304,13.4,1,227711
5,5655756,0.005,1,227712
5,5655757,0.169,3,227713
5,5655785,0.776,3,227714
12,5657010,0.06,1,227715
13,5657029,0.002,1,227716
5,5658252,1,9,227717
5,5659406,1,9,227718
5,5659409,3.6,1,227719
5,5655831,0.24,3,227720
5,5655840,0.025,3,227721
5,5655853,0.017,3,227722
5,5655892,2.99,1,227723
5,5655903,0.234,3,227724
5,5658359,3.1,1,227725
2,5658374,3,3,227726
5,5659468,1,9,227727
5,5655929,2.58,1,227728
5,5655951,0.15,3,227729
5,5655965,0.007,3,227730
5,5657158,0.21,3,227731
5,5657183,0.505,3,227732
5,5657186,0.259,3,227733
5,5657191,0.076,3,227734
5,5657196,0.049,3,227735
2,5658425,7.2,1,227736
5,5659576,15.8,1,227737
5,5656008,11,10,227738
2,5657205,0.48,1,227739
5,5657214,0.135,3,227740
12,5657233,0.03,1,227741
12,5657241,0.23,1,227742
2,5658537,1,9,227743
5,5658541,1,9,227744
5,5658550,15.8,1,227745
17,5659687,0,,227746
5,5656086,0.04,3,227747
5,5657291,0.158,3,227748
12,5657352,0.82,1,227749
5,5658572,0.6,1,227750
2,5658585,1,9,227751
17,5658648,1,9,227752
5,5659743,1,9,227753
5,5656151,0.002,3,227754
5,5656210,2.95,1,227755
2,5657362,0.03,1,227756
5,5657393,3.82,1,227757
5,5657408,0.22,3,227758
5,5657414,0.054,3,227759
5,5657436,0.001,1,227760
17,5658686,10,9,227761
5,5658699,1,9,227762
12,5659785,2,1,227763
17,5659810,1,9,227764
1,5659816,0.5,1,227765
5,5659844,5.4,1,227766
5,5656278,0.74,3,227767
12,5657509,0.62,1,227768
5,5657517,0.109,3,227769
5,5658731,1,9,227770
5,5658742,2,1,227771
16,5658751,20,9,227772
5,5656320,0.197,3,227773
5,5656384,0.028,3,227774
5,5657558,0.029,3,227775
5,5657563,0.003,1,227776
5,5657589,0.021,3,227777
5,5658819,1,9,227778
17,5658833,1,9,227779
1,5658874,1,9,227780
5,5659953,12.7,1,227781
5,5660011,6.1,1,227782
12,5656399,0.008,3,227783
12,5656411,0.002,3,227784
5,5656423,0.024,3,227785
5,5656425,0.357,3,227786
5,5656450,0.39,1,227787
12,5656459,0.57,1,227788
5,5656469,0.008,3,227789
12,5657632,21.2,1,227790
