arrestee_id,weapon_id,nibrs_arrestee_weapon_id
4225361,1,4235109
4228465,1,4235087
4228434,1,4235056
4227561,1,4235000
4226435,1,4234961
4226420,1,4234946
4226393,1,4234919
4226389,1,4234915
4226388,1,4234914
4226374,1,4234900
4225342,1,4234890
4225341,1,4234889
4225330,1,4234878
4225312,1,4234860
4225310,1,4234858
4225303,1,4234851
4225302,1,4234850
4225299,1,4234847
4225294,1,4234842
4228260,1,4234817
4228241,1,4234798
4226362,1,4234687
4226320,1,4234645
4228577,1,4234526
4228554,1,4234503
4228553,1,4234502
4228546,1,4234495
4227413,1,4234451
4227409,1,4234447
4226301,1,4234425
4226293,1,4234418
4226291,1,4234416
4226290,1,4234415
4226284,1,4234409
4226250,1,4234375
4226244,1,4234369
4228394,1,4234277
4228377,1,4234260
4227356,1,4234192
4227354,1,4234190
4227337,1,4234173
4227336,1,4234172
4226229,1,4234152
4226220,1,4234143
4226218,1,4234141
4226195,1,4234118
4226189,1,4234112
4225101,1,4234049
4225084,1,4234032
4225082,1,4234030
4227311,1,4233946
4227270,1,4233905
4226156,1,4233878
4226131,1,4233853
4226130,1,4233852
4226105,1,4233827
4228507,1,4233716
4227247,1,4233681
4227239,1,4233673
4227220,1,4233654
4227219,1,4233653
4227193,1,4233627
4227191,1,4233625
4227186,1,4233620
4226083,1,4233604
4226062,1,4233583
4228333,1,4233477
4228330,1,4233474
4227168,1,4233401
4227153,1,4233386
4226015,1,4233336
4225995,1,4233316
4225994,1,4233315
4225993,1,4233314
4225992,1,4233313
4225988,1,4233309
4228745,1,4233212
4228738,1,4233205
4228737,1,4233204
4227102,1,4233132
4228113,1,4232924
4228087,1,4232898
4225845,1,4232765
4225835,1,4232755
4228059,1,4232670
4228001,1,4232612
4226983,1,4232610
4226976,1,4232603
4226958,1,4232585
4226937,1,4232564
4225804,1,4232524
4225774,1,4232494
4225769,1,4232489
4224692,1,4232443
4224691,1,4232442
4224690,1,4232441
4224687,1,4232438
4224667,1,4232418
4224666,1,4232417
4224665,1,4232416
4224664,1,4232415
4227996,1,4232407
4227958,1,4232369
4227947,1,4232358
4226893,1,4232319
4226884,1,4232310
4226883,1,4232309
4226869,1,4232295
4208871,1,4217049
4228746,1,5036549
4229358,1,5035551
4229222,1,5035543
4224378,1,5033599
4224311,1,5033595
4219238,1,4223571
4218169,1,4223538
4218167,1,4223536
4218164,1,4223533
4218158,1,4223527
4216956,1,4223427
4219160,1,4223290
4220234,1,4223195
4221281,1,4223004
4223319,1,4222843
4223318,1,4222842
4207676,1,4216473
4209426,1,4214688
4209425,1,4214687
4212744,1,4211000
4223291,1,4222815
4222200,1,4222757
4221203,1,4222723
4221185,1,4222705
4221175,1,4222695
4224341,1,4222629
4224316,1,4222604
4222174,1,4222528
4222169,1,4222523
4222138,1,4222492
4222115,1,4222469
4221143,1,4222460
4224306,1,4222391
4224297,1,4222382
4224294,1,4222379
4224271,1,4222356
4222084,1,4222235
4222080,1,4222231
4221048,1,4222162
4221045,1,4222159
4221014,1,4222128
4223120,1,4222034
4223081,1,4221995
4222042,1,4221989
4222040,1,4221987
4222004,1,4221952
4222003,1,4221951
4221003,1,4221914
4224139,1,4221818
4223022,1,4221733
4221969,1,4221713
4221966,1,4221710
4220889,1,4221597
4222958,1,4221467
4221895,1,4221437
4221869,1,4221411
4221861,1,4221403
4221854,1,4221396
4220860,1,4221366
4220858,1,4221364
4220853,1,4221359
4221827,1,4221166
4221822,1,4221161
4220762,1,4221065
4223916,1,4220986
4223915,1,4220985
4222839,1,4220942
4222832,1,4220935
4221767,1,4220902
4221766,1,4220901
4221708,1,4220844
4220694,1,4220794
4223862,1,4220729
4222789,1,4220688
4221686,1,4220619
4221654,1,4220587
4221649,1,4220582
4221648,1,4220581
4222668,1,4220364
4221580,1,4220309
4221577,1,4220306
4220564,1,4220257
4222639,1,4220132
4222635,1,4220128
4221537,1,4220063
4221512,1,4220038
4220512,1,4220002
4223695,1,4219951
4223691,1,4219947
4223650,1,4219906
4221431,1,4219754
4220461,1,4219747
4222461,1,4219548
4220370,1,4219454
4220348,1,4219432
4220346,1,4219430
4220341,1,4219425
4223526,1,4219376
4223499,1,4219349
4221304,1,4219219
4220278,1,4219159
4223454,1,4219101
4222377,1,4219058
4209404,1,4218991
4209381,1,4218968
4208311,1,4218922
4208310,1,4218921
4208309,1,4218920
4208278,1,4218889
4210483,1,4218768
4210477,1,4218762
4210474,1,4218759
4210458,1,4218743
4210457,1,4218742
4210456,1,4218741
4210454,1,4218739
4209341,1,4218725
4209334,1,4218719
4209325,1,4218710
4209303,1,4218688
4209302,1,4218687
4208250,1,4218658
4208249,1,4218657
4208211,1,4218619
4210421,1,4218505
4209268,1,4218452
4209257,1,4218441
4209225,1,4218409
4210253,1,4217936
4208959,1,4217338
4208860,1,4216836
4212688,1,4210742
4209386,1,4218973
4218730,1,4225723
4218181,1,5034543
4208185,1,4218390
4208174,1,4218380
4208158,1,4218364
4208150,1,4218356
4208147,1,4218353
4208146,1,4218352
4208139,1,4218345
4208123,1,4218329
4210359,1,4218243
4210356,1,4218240
4210342,1,4218226
4210328,1,4218212
4209153,1,4218137
4209152,1,4218136
4209151,1,4218135
4209141,1,4218125
4208113,1,4218118
4208105,1,4218110
4208100,1,4218105
4208098,1,4218103
4208094,1,4218099
4208069,1,4218074
4208067,1,4218072
4211153,1,4218008
4210304,1,4217986
4210293,1,4217976
4210267,1,4217950
4210258,1,4217941
4210257,1,4217940
4210256,1,4217939
4210245,1,4217928
4210244,1,4217927
4209082,1,4217865
4208050,1,4217853
4208049,1,4217852
4208036,1,4217839
4208035,1,4217838
4207983,1,4217786
4210992,1,4217782
4210987,1,4217777
4210964,1,4217754
4210948,1,4217738
4210233,1,4217713
4210212,1,4217693
4210194,1,4217675
4210191,1,4217672
4209058,1,4217638
4209050,1,4217630
4209029,1,4217609
4210158,1,4217438
4210132,1,4217412
4208974,1,4217353
4208952,1,4217331
4208946,1,4217325
4208945,1,4217324
4208940,1,4217319
4208939,1,4217318
4207880,1,4217280
4207864,1,4217264
4207852,1,4217252
4210089,1,4217168
4210078,1,4217157
4210077,1,4217156
4208923,1,4217101
4208918,1,4217096
4208892,1,4217070
4208887,1,4217065
4207824,1,4217023
4210870,1,4216920
4208859,1,4216835
4208827,1,4216803
4208822,1,4216798
4208820,1,4216796
4208819,1,4216795
4208818,1,4216794
4208817,1,4216793
4208805,1,4216781
4208745,1,4216520
4208744,1,4216519
4208742,1,4216517
4208741,1,4216516
4208735,1,4216510
4209868,1,4216341
4209867,1,4216340
4209861,1,4216334
4208720,1,4216292
4208701,1,4216273
4207627,1,4216222
4209823,1,4216095
4209802,1,4216074
4208662,1,4216031
4208659,1,4216029
4208658,1,4216028
4208656,1,4216026
4208650,1,4216020
4208641,1,4216011
4208635,1,4216005
4208630,1,4216000
4208629,1,4215999
4208626,1,4215996
4208624,1,4215994
4208621,1,4215991
4208619,1,4215989
4207531,1,4215925
4210792,1,4215831
4208560,1,4215727
4208545,1,4215712
4208535,1,4215702
4208531,1,4215698
4210769,1,4215606
4210736,1,4215573
4209627,1,4215495
4208520,1,4215484
