victim_id,offense_id
17839818,18267695
17839819,18267694
17839819,18267695
17839820,18267694
17839820,18267695
17839821,18267694
17839821,18267695
17839822,18270455
17839823,18268370
17839824,18268371
17760554,17881484
17760554,17881485
17760561,17881779
17760559,17882904
17760560,17882904
17760555,17881486
17760556,17881421
17760557,17881967
17760558,17881487
17760568,17881488
17760569,17881971
17760570,17881781
17760571,17881972
17760572,17881424
17760573,17881973
17760574,17881425
17760575,17881426
17760576,17881974
17760577,17882905
17760578,17881975
17760579,17882906
17760580,17881782
17760581,17882907
17760582,17881489
17760583,17882908
17760584,17882909
17760585,17881783
17760586,17881784
17760587,17881785
17760588,17882910
17760589,17881976
17760590,17881490
17760591,17881786
17760592,17881787
17760593,17882911
17760594,17881977
17760595,17882912
17760596,17882913
17760597,17881491
17760598,17882914
17760562,17881780
17760563,17881968
17760564,17881969
17760565,17881422
17760566,17881970
17760567,17881423
17760599,17881978
17760600,17881788
17760601,17881492
17760602,17881789
17760603,17882915
17760604,17881790
17760605,17881791
17760606,17881493
17760607,17881979
17760608,17881792
17760609,17881793
17760610,17881427
17760610,17881428
17760611,17881980
17760612,17881429
17760613,17881430
17760614,17882916
17760615,17882917
17760616,17881794
17760617,17881981
17760618,17881795
17760619,17881431
17760620,17881432
17760621,17881796
17760622,17881797
17760623,17882918
17760624,17881798
17760624,17881799
17760625,17881800
17760626,17882919
17760627,17881801
17760628,17881494
17760629,17881982
17760630,17881495
17760631,17882920
17760632,17881496
17760633,17881802
17760634,17881497
17760635,17882921
17760636,17882922
17760637,17881498
17760638,17881499
17760639,17881500
17760640,17881803
17760641,17881804
17760642,17881805
17760643,17881433
17760644,17882923
17760645,17881501
17760646,17881502
17760646,17881503
17760647,17881504
17760648,17881505
17760649,17882924
17760650,17881434
17760651,17881983
17760652,17881984
17760653,17881806
17760654,17881985
17760655,17881986
17760656,17881987
17760657,17881807
17760658,17881506
17760659,17881988
17760660,17881507
17760661,17881435
17760662,17881808
17760663,17881989
17760664,17881508
17760665,17881809
17760667,17881990
17760668,17881436
17760669,17881810
17760666,17882925
17760670,17881811
17761017,17881584
17761018,17884916
17761019,17884917
17761020,17885882
17761021,17882576
17761022,17882576
17761023,17881585
17761024,17882577
17761025,17882397
17761026,17885883
17761027,17881586
17761028,17881586
17761029,17881587
17761030,17885884
17761031,17882398
17761032,17881588
17761033,17881589
17761034,17882399
17761035,17882400
17761036,17884918
17761037,17884919
17761038,17885885
17761039,17885886
17761040,17882401
17761041,17881590
17761042,17881591
17761043,17881591
17761044,17881591
17761045,17884920
17761046,17882402
17761047,17884921
17761048,17882403
17761049,17882578
17761050,17882404
17761051,17881592
17761052,17882405
17761053,17881593
17761054,17885887
17761055,17882406
17761056,17882407
17761057,17882408
17761058,17881594
17761059,17884922
17761060,17882579
17761061,17882409
17761062,17885888
17761063,17882580
17761064,17885889
17761065,17882410
17761066,17882581
17761067,17881595
17761069,17882583
17761070,17881596
17761071,17881597
17761072,17885890
17761073,17881598
17761074,17881599
17761075,17882411
17761076,17885891
17761077,17885892
17761078,17884923
17761079,17882412
17761080,17884924
17761081,17884925
17761082,17884926
17761083,17882413
17761084,17882414
17761084,17882415
17761085,17884927
17761086,17882416
17761087,17882417
17761087,17882418
17761088,17882419
17761089,17882584
17761090,17882585
17761091,17882121
17761091,17882122
17761091,17882123
17761092,17882420
17761093,17882420
17761094,17882420
17760721,17881823
17760722,17882517
17760723,17882518
17760724,17881824
17760725,17881825
17760727,17882934
17760726,17882934
17760728,17882935
17760729,17881826
17760730,17881826
17760731,17882519
17760732,17882936
17760734,17881827
17760733,17881827
17760735,17881828
17760736,17881828
17760737,17882520
17760738,17881521
17760739,17882937
17760740,17881522
17760741,17881523
17760742,17881446
17760743,17881524
17760744,17881447
17760745,17881448
17760746,17882938
17760747,17882521
17760748,17882939
17760749,17881525
17760750,17882940
17760751,17881449
17760752,17881526
17761520,17885820
17761553,17886494
17761204,17885472
17761217,17882446
17761219,17885914
17761219,17885915
17761221,17886707
17761224,17885916
17761224,17885917
17760753,17881527
17760754,17882941
17760755,17882522
17760756,17881528
17760757,17881529
17760758,17881450
17760759,17881451
17760760,17881829
17760761,17881452
17760762,17881530
17760763,17881531
17760764,17881453
17760765,17882942
17760766,17882523
17760767,17882943
17760768,17881830
17760769,17881454
17760770,17882524
17760771,17881532
17760772,17882525
17760773,17882944
17760774,17882526
17760775,17882945
17760776,17882527
17760777,17882528
17760778,17881533
17760779,17881534
17760780,17882529
17760781,17881455
17760782,17882530
17760783,17881456
17760784,17881457
17760786,17882531
17760787,17882531
17760785,17882531
17760788,17881535
17760789,17881536
17760790,17881537
17760791,17881831
17760792,17882946
17760793,17882532
17760794,17882533
17760795,17881458
17760796,17881832
17760797,17882947
17760798,17881459
17760799,17881460
17760800,17882948
17760801,17882949
17760802,17881833
17760803,17882534
17760804,17882535
17760805,17882535
17760806,17881538
17760807,17881834
17760808,17881461
17760808,17881462
17760809,17881835
17760810,17881836
17760811,17881539
17760916,17881562
17760917,17882963
17760918,17882556
17760918,17882557
17760919,17882964
17760919,17882965
17760920,17881563
17760921,17882966
17760922,17882005
17760923,17881859
17760924,17882967
17760924,17882968
17760925,17881860
17760926,17882558
17760927,17882379
17760928,17882380
17760929,17882381
17760930,17881564
17760931,17882969
17760932,17881565
17760933,17882970
17760934,17882971
17761281,17882461
17762211,17891800
17762211,17891801
17762218,17892561
17762225,17891409
17762226,17891805
17762227,17892563
17762228,17891410
17762230,17891574
17762234,17891010
17760935,17882972
17760936,17881566
17760937,17885863
17760938,17882559
17760939,17884903
17760940,17885864
17760941,17882560
17760942,17882382
17760943,17885865
17760943,17885866
17760944,17882561
17760946,17882562
17760945,17882563
17760947,17882383
17760948,17882384
17760949,17882564
17760950,17881567
17760951,17884904
17760952,17881568
17760953,17884905
17760954,17881569
17760955,17882385
17760956,17885867
17760957,17884906
17760958,17884907
17760959,17881570
17760960,17882565
17760961,17882566
17760961,17882567
17760962,17882568
17760963,17881571
17760963,17881572
17760964,17885868
17760965,17884908
17760966,17882386
17760967,17882386
17760968,17882569
17760969,17881573
17760969,17881574
17760970,17884909
17760971,17882387
17760972,17885869
17760973,17885870
17760974,17885870
17760975,17885871
17760976,17882570
17760977,17882388
17760979,17881575
17760978,17881575
17760980,17881576
17760981,17882389
17760982,17885872
17760983,17885873
17760983,17885874
17760984,17885875
17760985,17881577
17760986,17881577
17760987,17881577
17760988,17884910
17760989,17882571
17760990,17885876
17760991,17882390
17760992,17885877
17760992,17885878
17760993,17882572
17760994,17884911
17760995,17884912
17760996,17882573
17760997,17882391
17760998,17881578
17760999,17885879
17761000,17882392
17761001,17882574
17761002,17885880
17761003,17882393
17761005,17881579
17761004,17881580
17761006,17882575
17761007,17881581
17761447,17887270
17761447,17887271
17760672,17881437
17760673,17881509
17760676,17881812
17760674,17881812
17760675,17881812
17761105,17884929
17760677,17881991
17760677,17881992
17760678,17882928
17760679,17881510
17760680,17881813
17760681,17882929
17760682,17881438
17760683,17881814
17760684,17881511
17760685,17882507
17760686,17881815
17760687,17882508
17760688,17882930
17760689,17881512
17760690,17881513
17760691,17882931
17760692,17882509
17760692,17882510
17760693,17881439
17760694,17881816
17760695,17881440
17760696,17881441
17760697,17881514
17760698,17881817
17760699,17881515
17760700,17881818
17760701,17881516
17760703,17881820
17760702,17881819
17760704,17882511
17760705,17882512
17760706,17881821
17760707,17882513
17760708,17881517
17760709,17881822
17760710,17882514
17760711,17881442
17760712,17882932
17760713,17881518
17760714,17882933
17760715,17882515
17760716,17881519
17760717,17881443
17760717,17881444
17760718,17881520
17760719,17881445
17760720,17882516
17760812,17882950
17760813,17882951
17760814,17882952
17760815,17881540
17760816,17881463
17760817,17881541
17760817,17881542
17760818,17881543
17760819,17882536
17760820,17882536
17760821,17881837
17760823,17881464
17760822,17881465
17760824,17881466
17760825,17881544
17760826,17881544
17760827,17881544
17760828,17881544
17760829,17881544
17760830,17881544
17760831,17881544
17760831,17881545
17760832,17881544
17760833,17881544
17760834,17881544
17760835,17882537
17760836,17881838
17760837,17881546
17760838,17881467
17760839,17882538
17760840,17881839
17760841,17881468
17760842,17881469
17760843,17882539
17760844,17882953
17760845,17881547
17760846,17881470
17760847,17881993
17760848,17881993
17760849,17882540
17760850,17882540
17760851,17882954
17760852,17881840
17760853,17881841
17760854,17881548
17760855,17881549
17760856,17882541
17760857,17882955
17760858,17882956
17760859,17882542
17760860,17882957
17760861,17881550
17760862,17882543
17760862,17882544
17760863,17881842
17760864,17881994
17760865,17881843
17760866,17881551
17760867,17882545
17760868,17882546
17760869,17882958
17760870,17881995
17760871,17881996
17760872,17881844
17760873,17881844
17760874,17881997
17760875,17881998
17760876,17881845
17760877,17881846
17760878,17881847
17760878,17881848
17760879,17881552
17760880,17881553
17760881,17881554
17760882,17881999
17760882,17882000
17760883,17881849
17760884,17881850
17760885,17882959
17760886,17882547
17760887,17881851
17760887,17881852
17760888,17881853
17760889,17882548
17760890,17882001
17760891,17882549
17760892,17882550
17760893,17881555
17760894,17882551
17760895,17881854
17760896,17881855
17760897,17882552
17760898,17881856
17760899,17882002
17760902,17882553
17760900,17882553
17760901,17882553
17760903,17882554
17760904,17882960
17760905,17882555
17760906,17882961
17760907,17881556
17760907,17881557
17760908,17882962
17760909,17881857
17760910,17882003
17760910,17882004
17760911,17881858
17760912,17881558
17760913,17881559
17760914,17881559
17760915,17881560
17760915,17881561
17761008,17885881
17761009,17882394
17761010,17882395
17761011,17881582
17761012,17884913
17761013,17881583
17761014,17884914
17761015,17884915
17761016,17882396
17761095,17884928
17761096,17882124
17761097,17882125
17761098,17882586
17761099,17882587
17761100,17882588
17761101,17882421
17761517,17886874
17761518,17885540
17761519,17885541
17761521,17885542
