weapon_id,offense_id,nibrs_weapon_id
12,31449660,6404197
12,31453343,6399379
18,31447120,6403276
12,31452997,6402306
12,31452999,6402308
12,31449662,6404198
12,31452998,6402307
12,31453734,6400298
12,31453735,6400299
12,31448153,6403108
12,31449663,6404199
3,31740700,6455184
22,31740700,7099078
12,31745281,6455472
12,31740703,6455185
12,31740704,6455186
12,31748970,6452735
12,31749252,6453710
12,31753467,6453014
12,31749254,6453712
12,31753468,6453015
12,31740362,6454039
12,31748974,6452737
12,31745049,6454799
12,31740363,6454040
12,31748973,6452736
5,31749253,6453711
3,31749253,7099061
12,31740707,6455187
12,31740365,6454041
12,31749255,6453713
12,31745050,6454800
19,31740713,6455188
12,31753476,6453016
12,31745055,6454801
12,31753482,6453017
12,31745291,6455711
12,31749267,6453714
12,31745056,6454802
12,31740716,6455189
11,31740717,6455190
12,31749269,6453947
10,31753486,6453018
12,31748987,6452738
3,31753487,6453019
12,31745060,6454803
12,31745062,6454804
12,31753488,6453020
12,31745301,6455712
9,31749273,6453948
18,31745303,6455713
3,31740380,6454042
12,31745063,6454805
12,31745064,6454806
18,31749274,6453949
12,31740382,6454043
12,31740383,6454044
12,31749277,6453951
12,31740389,6454045
12,31753492,6453021
11,31749750,6455304
9,31749276,6453950
18,31748996,6452956
12,31753493,6453022
12,31749281,6453952
12,31749283,6453953
12,31740727,6455191
9,31749285,6453954
12,31753502,6453023
12,31753503,6453024
12,31740729,6455192
12,31740730,6455193
12,31745315,6455714
12,31753504,6453025
9,31740732,6455194
18,31741155,6452841
12,31741160,6453096
12,31740736,6455195
12,31745323,6455715
18,31749292,6453956
12,31749291,6453955
12,31740738,6455393
12,31752131,6455800
12,31753511,6453026
12,31745324,6455716
12,31749760,6455546
12,31752134,6455801
12,31745327,6455717
12,31758181,6446681
12,31758186,6446682
12,31752332,6452758
9,31752324,6452757
12,31761458,6446998
12,31761470,6446999
12,31758673,6448382
12,31758197,6446683
3,31749763,6455547
12,31745328,6455718
12,31761479,6447000
12,31758202,6446684
6,31753826,6454231
6,31750418,6453960
12,31752353,6453001
12,31749782,6455548
10,31740753,6455394
12,31740759,6455395
12,31753551,6453283
12,31754313,6455820
12,31754345,6455822
12,31757318,6447662
12,31754319,6455821
12,31746130,6454573
12,31752945,6454878
12,31757321,6447663
12,31752957,6454879
12,31746146,6454574
12,31746147,6454575
12,31758090,6446436
12,31754350,6455823
12,31749221,6453707
12,31754352,6455824
10,31749229,6453708
12,31750009,6452537
12,31741572,6454302
12,31751494,6453735
12,31752357,6453002
12,31749855,6455770
12,31758122,6446438
12,31750015,6452538
12,31749868,6455771
18,31751516,6453963
12,31749584,6454848
12,31751510,6453962
12,31758121,6446437
12,31752292,6452755
12,31750023,6452539
12,31750645,6454645
10,31749609,6454849
12,31750032,6452540
12,31752311,6452756
12,31750039,6452739
12,31753030,6455102
12,31766222,6448265
12,31752361,6453003
12,31758209,6446943
12,31758689,6448383
12,31761495,6447001
12,31750112,6452968
12,31750114,6452969
12,31758698,6448384
18,31752369,6453004
10,31750115,6452970
12,31758699,6448385
12,31758701,6448386
12,31750443,6453961
12,31750116,6452971
12,31758703,6448387
12,31758704,6448388
12,31758705,6448389
12,31750118,6452972
12,31761502,6447002
5,31758992,6445673
12,31766247,6448266
18,31766247,7098983
12,31766249,6448267
12,31761506,6447222
12,31750126,6452973
4,31752379,6453005
12,31758716,6448607
12,31752384,6453006
12,31758997,6445674
12,31752387,6453007
3,31750128,6452974
9,31750129,6452975
12,31758724,6448608
12,31759005,6445675
12,31750900,6455552
9,31766257,6448268
3,31766258,6448269
9,31750901,6455553
12,31758729,6448609
12,31750463,6454181
12,31752391,6453008
12,31766266,6448491
12,31758736,6448610
12,31752395,6453009
12,31750470,6454182
10,31750471,6454183
12,31752398,6453010
12,31750913,6455554
12,31758906,6445216
12,31759496,6447433
12,31759014,6445676
12,31766273,6448492
12,31759507,6447434
18,31759508,6447435
12,31759016,6445677
12,31752413,6453011
12,31758917,6445430
12,31759018,6445678
9,31762309,6446286
12,31752414,6453012
12,31752415,6453013
3,31750491,6454184
3,31762315,6446287
12,31759028,6445679
12,31759521,6447438
12,31753177,6455596
12,31750494,6454185
12,31759525,6447439
12,31762320,6446288
18,31758925,6445431
18,31766281,6448493
2,31766282,6448494
10,31753185,6455597
12,31750512,6454186
12,31759553,6447683
6,31758934,6445432
12,31758935,6445433
12,31750514,6454187
12,31753189,6455802
12,31762332,6446289
12,31766292,6448495
10,31751282,6452996
11,31758945,6445434
12,31758947,6445435
12,31751287,6452997
9,31762337,6446290
12,31758950,6445436
12,31758951,6445437
12,31759540,6447440
12,31753193,6455803
12,31753194,6455804
6,31751288,6452998
12,31759543,6447441
12,31759517,6447436
12,31759518,6447437
12,31751301,6453000
12,31758962,6445440
18,31759556,6447684
12,31758960,6445438
12,31751298,6452999
12,31758961,6445439
12,31762348,6446291
4,31759558,6447685
12,31771490,6447128
12,31762352,6446477
12,31761190,6445986
12,31761191,6445987
18,31762930,6448435
12,31762931,6448436
12,31762932,6448437
12,31766308,6448496
12,31761194,6445988
12,31771494,6447129
12,31766309,6448497
12,31762356,6446478
2,31761200,6445989
12,31762361,6446479
12,31759564,6447686
