victim_id,circumstances_id,justifiable_force_id
56944620,2,
56944658,2,
56942563,9,
56943578,10,
56948984,2,
56947822,2,
56947875,2,
56947916,2,
56945741,2,
56945752,1,
56946803,9,
56955438,1,
56955453,9,
56955454,10,
56955466,1,
56955468,1,
56955470,10,
56955495,1,
56955502,6,
56955534,10,
56955535,10,
56956427,6,
56956479,1,
56956480,1,
56956496,1,
56956497,9,
56956513,10,
56956541,9,
56957525,1,
56957599,1,
56957600,1,
56957616,1,
56957620,1,
56957632,1,
56957644,9,
56957645,9,
56957655,10,
56957656,10,
56957657,8,
56957661,1,
56952303,1,
56952304,1,
56952305,1,
56954403,1,
56954408,1,
56954409,9,
56954412,10,
56954419,9,
56954426,1,
56954429,10,
56954431,9,
56954432,1,
56954438,8,
56954446,10,
56954452,10,
56954463,1,
56954476,1,
56954480,6,
56952248,2,
56963878,1,
56961761,1,
56961788,1,
56961791,6,
56961796,1,
56961799,10,
56961808,1,
56961838,1,
56961839,9,
56961854,1,
56961858,1,
56961863,9,
56961890,9,
56961891,9,
56962806,1,
56962807,1,
56962811,1,
56962815,10,
56962816,1,
56962840,10,
56962879,6,
56962883,1,
56962887,2,
56962888,2,
56962911,8,
56962971,9,
56960822,1,
56960835,9,
56960838,10,
56960852,10,
56958579,2,
56958590,10,
56958591,2,
56958594,1,
56958600,9,
56958601,1,
56958617,1,
56958645,10,
56958665,9,
56958719,9,
56958722,1,
56959626,10,
56959627,10,
56959628,10,
56959631,10,
56959676,9,
56960736,2,
56960738,1,
56960746,10,
56969238,9,
56969242,1,
56969248,10,
56969250,10,
56969251,10,
56969252,10,
56969289,9,
56969299,1,
56969311,9,
56969316,10,
56969319,1,
56969323,10,
56967098,1,
56967099,9,
56967101,1,
56967107,1,
56967108,1,
56967128,2,
56967134,1,
56967135,1,
56967145,1,
56967173,1,
56967194,1,
56967195,10,
56967197,6,
56967204,1,
56968114,1,
56968135,1,
56968136,1,
56968137,1,
56968138,1,
56968141,1,
56968147,1,
56968148,1,
56968160,1,
56968163,1,
56968164,1,
56968179,10,
56968198,10,
56968199,6,
56968206,1,
56968209,1,
56968224,10,
56968262,1,
56963902,1,
56963903,10,
56963916,1,
56963932,9,
56963945,1,
56963976,1,
56964023,1,
56964026,1,
56964932,9,
56964933,9,
56964943,1,
56964948,9,
56964949,10,
56964961,9,
56964971,1,
56964974,1,
56964985,1,
56965051,6,
56965069,10,
56965070,10,
56965071,10,
56965074,10,
56965075,9,
56965079,10,
56965994,10,
56965999,10,
56966007,5,
56966018,1,
56966040,1,
56966136,6,
56975481,9,
56975505,10,
56975506,10,
56975555,1,
56975578,2,
56975600,9,
56975619,1,
56975641,6,
56973371,1,
56973381,1,
56973383,1,
56973425,9,
56973432,1,
56973435,1,
56973439,6,
56973455,1,
56973456,1,
56973457,1,
56973466,1,
56973479,1,
56973493,1,
56973505,1,
56973528,1,
56973530,1,
56973531,5,
56974427,1,
56974433,6,
56974434,6,
56974463,1,
56974464,1,
56974499,1,
56974512,1,
56974545,1,
56974561,8,
56974576,6,
56972350,9,
56972351,9,
56972421,10,
56972466,9,
56972467,1,
56972471,9,
56972475,10,
56970241,6,
56970275,9,
56970276,1,
56970279,10,
56970337,1,
56970358,1,
56970363,9,
56970364,1,
56970365,10,
56970366,10,
56970367,10,
56971273,9,
56971274,1,
56971313,1,
56971316,1,
56971317,1,
56971318,1,
56971320,9,
56971348,1,
56971365,9,
56971420,2,
56980831,1,
56980832,2,
56980862,9,
56980863,9,
56980879,2,
56980886,1,
56981772,1,
56981839,1,
56981840,1,
56981853,1,
56981855,1,
56981908,10,
56981942,10,
56979700,1,
56979701,10,
56979707,6,
56979740,10,
56979741,10,
56979742,10,
56979744,9,
56979749,9,
56979761,1,
56979782,10,
56979783,10,
56979784,10,
56979809,1,
56979827,1,
56979832,2,
56979836,6,
56980719,1,
56980727,1,
56980731,6,
56980752,9,
56980753,9,
56977706,9,
56977715,1,
56977718,1,
56977726,1,
56978622,1,
56978627,1,
56978637,1,
56978641,9,
56978660,10,
56978661,6,
56978690,9,
