nibrs_month_id,agency_id,month_num,data_year,reported_status,report_date,prepared_date,update_flag,orig_format,ff_line_number,data_home,ddocname,did
5785511,1971,1,2012,I,,,N,F,,C,2012_01_CO0320000_NIBRS,
5807712,1971,2,2012,I,,,N,F,,C,2012_02_CO0320000_NIBRS,
5829913,1971,3,2012,I,,,N,F,,C,2012_03_CO0320000_NIBRS,
5852114,1971,4,2012,I,,,N,F,,C,2012_04_CO0320000_NIBRS,
5874315,1971,5,2012,I,,,N,F,,C,2012_05_CO0320000_NIBRS,
5896516,1971,6,2012,I,,,N,F,,C,2012_06_CO0320000_NIBRS,
5918717,1971,7,2012,I,,,N,F,,C,2012_07_CO0320000_NIBRS,
5940918,1971,8,2012,I,,,N,F,,C,2012_08_CO0320000_NIBRS,
5963119,1971,9,2012,I,,,N,F,,C,2012_09_CO0320000_NIBRS,
5985320,1971,10,2012,I,,,N,F,,C,2012_10_CO0320000_NIBRS,
6007521,1971,11,2012,I,,,N,F,,C,2012_11_CO0320000_NIBRS,
6029722,1971,12,2012,I,,,N,F,,C,2012_12_CO0320000_NIBRS,
5785405,1865,1,2012,I,,,N,F,,C,2012_01_CO0070300_NIBRS,
5807606,1865,2,2012,I,,,N,F,,C,2012_02_CO0070300_NIBRS,
5829807,1865,3,2012,I,,,N,F,,C,2012_03_CO0070300_NIBRS,
5852008,1865,4,2012,I,,,N,F,,C,2012_04_CO0070300_NIBRS,
5874209,1865,5,2012,I,,,N,F,,C,2012_05_CO0070300_NIBRS,
5896410,1865,6,2012,I,,,N,F,,C,2012_06_CO0070300_NIBRS,
5918611,1865,7,2012,I,,,N,F,,C,2012_07_CO0070300_NIBRS,
5940812,1865,8,2012,I,,,N,F,,C,2012_08_CO0070300_NIBRS,
5963013,1865,9,2012,I,,,N,F,,C,2012_09_CO0070300_NIBRS,
5985214,1865,10,2012,I,,,N,F,,C,2012_10_CO0070300_NIBRS,
6007415,1865,11,2012,I,,,N,F,,C,2012_11_CO0070300_NIBRS,
6029616,1865,12,2012,I,,,N,F,,C,2012_12_CO0070300_NIBRS,
5785395,1855,1,2012,I,,,N,F,,C,2012_01_CO0050000_NIBRS,
5807596,1855,2,2012,I,,,N,F,,C,2012_02_CO0050000_NIBRS,
5829797,1855,3,2012,I,,,N,F,,C,2012_03_CO0050000_NIBRS,
5851998,1855,4,2012,I,,,N,F,,C,2012_04_CO0050000_NIBRS,
5874199,1855,5,2012,I,,,N,F,,C,2012_05_CO0050000_NIBRS,
5896400,1855,6,2012,I,,,N,F,,C,2012_06_CO0050000_NIBRS,
5918601,1855,7,2012,I,,,N,F,,C,2012_07_CO0050000_NIBRS,
5940802,1855,8,2012,I,,,N,F,,C,2012_08_CO0050000_NIBRS,
5963003,1855,9,2012,I,,,N,F,,C,2012_09_CO0050000_NIBRS,
5985204,1855,10,2012,I,,,N,F,,C,2012_10_CO0050000_NIBRS,
6007405,1855,11,2012,I,,,N,F,,C,2012_11_CO0050000_NIBRS,
6029606,1855,12,2012,I,,,N,F,,C,2012_12_CO0050000_NIBRS,
5785396,1856,1,2012,I,,,N,F,,C,2012_01_CO0050100_NIBRS,
5807597,1856,2,2012,I,,,N,F,,C,2012_02_CO0050100_NIBRS,
5829798,1856,3,2012,Z,,,N,F,,C,2012_03_CO0050100_NIBRS,
5851999,1856,4,2012,I,,,N,F,,C,2012_04_CO0050100_NIBRS,
5874200,1856,5,2012,I,,,N,F,,C,2012_05_CO0050100_NIBRS,
5896401,1856,6,2012,I,,,N,F,,C,2012_06_CO0050100_NIBRS,
5918602,1856,7,2012,I,,,N,F,,C,2012_07_CO0050100_NIBRS,
5940803,1856,8,2012,I,,,N,F,,C,2012_08_CO0050100_NIBRS,
5963004,1856,9,2012,I,,,N,F,,C,2012_09_CO0050100_NIBRS,
5985205,1856,10,2012,I,,,N,F,,C,2012_10_CO0050100_NIBRS,
6007406,1856,11,2012,Z,,,N,F,,C,2012_11_CO0050100_NIBRS,
6029607,1856,12,2012,Z,,,N,F,,C,2012_12_CO0050100_NIBRS,
5785397,1857,1,2012,U,,,N,F,,C,2012_01_CO0050200_NIBRS,
5807598,1857,2,2012,U,,,N,F,,C,2012_02_CO0050200_NIBRS,
5829799,1857,3,2012,U,,,N,F,,C,2012_03_CO0050200_NIBRS,
5852000,1857,4,2012,U,,,N,F,,C,2012_04_CO0050200_NIBRS,
5874201,1857,5,2012,U,,,N,F,,C,2012_05_CO0050200_NIBRS,
5896402,1857,6,2012,U,,,N,F,,C,2012_06_CO0050200_NIBRS,
5918603,1857,7,2012,U,,,N,F,,C,2012_07_CO0050200_NIBRS,
5940804,1857,8,2012,U,,,N,F,,C,2012_08_CO0050200_NIBRS,
5963005,1857,9,2012,U,,,N,F,,C,2012_09_CO0050200_NIBRS,
5985206,1857,10,2012,U,,,N,F,,C,2012_10_CO0050200_NIBRS,
6007407,1857,11,2012,U,,,N,F,,C,2012_11_CO0050200_NIBRS,
6029608,1857,12,2012,U,,,N,F,,C,2012_12_CO0050200_NIBRS,
5785398,1858,1,2012,Z,,,N,F,,C,2012_01_CO0050300_NIBRS,
5807599,1858,2,2012,I,,,N,F,,C,2012_02_CO0050300_NIBRS,
5829800,1858,3,2012,I,,,N,F,,C,2012_03_CO0050300_NIBRS,
5852001,1858,4,2012,I,,,N,F,,C,2012_04_CO0050300_NIBRS,
5874202,1858,5,2012,I,,,N,F,,C,2012_05_CO0050300_NIBRS,
5896403,1858,6,2012,I,,,N,F,,C,2012_06_CO0050300_NIBRS,
5918604,1858,7,2012,I,,,N,F,,C,2012_07_CO0050300_NIBRS,
5940805,1858,8,2012,I,,,N,F,,C,2012_08_CO0050300_NIBRS,
5963006,1858,9,2012,Z,,,N,F,,C,2012_09_CO0050300_NIBRS,
5985207,1858,10,2012,I,,,N,F,,C,2012_10_CO0050300_NIBRS,
6007408,1858,11,2012,Z,,,N,F,,C,2012_11_CO0050300_NIBRS,
6029609,1858,12,2012,Z,,,N,F,,C,2012_12_CO0050300_NIBRS,
5785399,1859,1,2012,I,,,N,F,,C,2012_01_CO0050700_NIBRS,
5807600,1859,2,2012,I,,,N,F,,C,2012_02_CO0050700_NIBRS,
5829801,1859,3,2012,Z,,,N,F,,C,2012_03_CO0050700_NIBRS,
5852002,1859,4,2012,Z,,,N,F,,C,2012_04_CO0050700_NIBRS,
5874203,1859,5,2012,I,,,N,F,,C,2012_05_CO0050700_NIBRS,
5896404,1859,6,2012,I,,,N,F,,C,2012_06_CO0050700_NIBRS,
5918605,1859,7,2012,Z,,,N,F,,C,2012_07_CO0050700_NIBRS,
5940806,1859,8,2012,I,,,N,F,,C,2012_08_CO0050700_NIBRS,
5963007,1859,9,2012,I,,,N,F,,C,2012_09_CO0050700_NIBRS,
5985208,1859,10,2012,I,,,N,F,,C,2012_10_CO0050700_NIBRS,
6007409,1859,11,2012,I,,,N,F,,C,2012_11_CO0050700_NIBRS,
6029610,1859,12,2012,I,,,N,F,,C,2012_12_CO0050700_NIBRS,
5785400,1860,1,2012,I,,,N,F,,C,2012_01_CO0060000_NIBRS,
5807601,1860,2,2012,I,,,N,F,,C,2012_02_CO0060000_NIBRS,
5829802,1860,3,2012,I,,,N,F,,C,2012_03_CO0060000_NIBRS,
5852003,1860,4,2012,I,,,N,F,,C,2012_04_CO0060000_NIBRS,
5874204,1860,5,2012,I,,,N,F,,C,2012_05_CO0060000_NIBRS,
5896405,1860,6,2012,I,,,N,F,,C,2012_06_CO0060000_NIBRS,
5918606,1860,7,2012,I,,,N,F,,C,2012_07_CO0060000_NIBRS,
5940807,1860,8,2012,I,,,N,F,,C,2012_08_CO0060000_NIBRS,
5963008,1860,9,2012,I,,,N,F,,C,2012_09_CO0060000_NIBRS,
5985209,1860,10,2012,I,,,N,F,,C,2012_10_CO0060000_NIBRS,
6007410,1860,11,2012,I,,,N,F,,C,2012_11_CO0060000_NIBRS,
6029611,1860,12,2012,I,,,N,F,,C,2012_12_CO0060000_NIBRS,
5785401,1861,1,2012,I,,,N,F,,C,2012_01_CO0060100_NIBRS,
5807602,1861,2,2012,I,,,N,F,,C,2012_02_CO0060100_NIBRS,
5829803,1861,3,2012,I,,,N,F,,C,2012_03_CO0060100_NIBRS,
5852004,1861,4,2012,U,,,N,F,,C,2012_04_CO0060100_NIBRS,
5874205,1861,5,2012,U,,,N,F,,C,2012_05_CO0060100_NIBRS,
5896406,1861,6,2012,U,,,N,F,,C,2012_06_CO0060100_NIBRS,
5918607,1861,7,2012,U,,,N,F,,C,2012_07_CO0060100_NIBRS,
5940808,1861,8,2012,U,,,N,F,,C,2012_08_CO0060100_NIBRS,
5963009,1861,9,2012,U,,,N,F,,C,2012_09_CO0060100_NIBRS,
5985210,1861,10,2012,U,,,N,F,,C,2012_10_CO0060100_NIBRS,
6007411,1861,11,2012,U,,,N,F,,C,2012_11_CO0060100_NIBRS,
6029612,1861,12,2012,U,,,N,F,,C,2012_12_CO0060100_NIBRS,
5785402,1862,1,2012,U,,,N,F,,C,2012_01_CO0070000_NIBRS,
5807603,1862,2,2012,U,,,N,F,,C,2012_02_CO0070000_NIBRS,
5829804,1862,3,2012,U,,,N,F,,C,2012_03_CO0070000_NIBRS,
5852005,1862,4,2012,U,,,N,F,,C,2012_04_CO0070000_NIBRS,
5874206,1862,5,2012,U,,,N,F,,C,2012_05_CO0070000_NIBRS,
5896407,1862,6,2012,U,,,N,F,,C,2012_06_CO0070000_NIBRS,
5918608,1862,7,2012,U,,,N,F,,C,2012_07_CO0070000_NIBRS,
5940809,1862,8,2012,U,,,N,F,,C,2012_08_CO0070000_NIBRS,
5963010,1862,9,2012,U,,,N,F,,C,2012_09_CO0070000_NIBRS,
5985211,1862,10,2012,U,,,N,F,,C,2012_10_CO0070000_NIBRS,
6007412,1862,11,2012,U,,,N,F,,C,2012_11_CO0070000_NIBRS,
6029613,1862,12,2012,U,,,N,F,,C,2012_12_CO0070000_NIBRS,
5785403,1863,1,2012,I,,,N,F,,C,2012_01_CO0070100_NIBRS,
5807604,1863,2,2012,I,,,N,F,,C,2012_02_CO0070100_NIBRS,
5829805,1863,3,2012,I,,,N,F,,C,2012_03_CO0070100_NIBRS,
5852006,1863,4,2012,I,,,N,F,,C,2012_04_CO0070100_NIBRS,
5874207,1863,5,2012,I,,,N,F,,C,2012_05_CO0070100_NIBRS,
5896408,1863,6,2012,I,,,N,F,,C,2012_06_CO0070100_NIBRS,
5918609,1863,7,2012,I,,,N,F,,C,2012_07_CO0070100_NIBRS,
5940810,1863,8,2012,I,,,N,F,,C,2012_08_CO0070100_NIBRS,
5963011,1863,9,2012,I,,,N,F,,C,2012_09_CO0070100_NIBRS,
5985212,1863,10,2012,I,,,N,F,,C,2012_10_CO0070100_NIBRS,
6007413,1863,11,2012,I,,,N,F,,C,2012_11_CO0070100_NIBRS,
6029614,1863,12,2012,I,,,N,F,,C,2012_12_CO0070100_NIBRS,
5785404,1864,1,2012,U,,,N,F,,C,2012_01_CO0070200_NIBRS,
5807605,1864,2,2012,U,,,N,F,,C,2012_02_CO0070200_NIBRS,
5829806,1864,3,2012,U,,,N,F,,C,2012_03_CO0070200_NIBRS,
5852007,1864,4,2012,U,,,N,F,,C,2012_04_CO0070200_NIBRS,
5874208,1864,5,2012,U,,,N,F,,C,2012_05_CO0070200_NIBRS,
5896409,1864,6,2012,U,,,N,F,,C,2012_06_CO0070200_NIBRS,
5918610,1864,7,2012,U,,,N,F,,C,2012_07_CO0070200_NIBRS,
5940811,1864,8,2012,U,,,N,F,,C,2012_08_CO0070200_NIBRS,
5963012,1864,9,2012,U,,,N,F,,C,2012_09_CO0070200_NIBRS,
5985213,1864,10,2012,U,,,N,F,,C,2012_10_CO0070200_NIBRS,
6007414,1864,11,2012,U,,,N,F,,C,2012_11_CO0070200_NIBRS,
6029615,1864,12,2012,U,,,N,F,,C,2012_12_CO0070200_NIBRS,
5785406,1866,1,2012,I,,,N,F,,C,2012_01_CO0070400_NIBRS,
5807607,1866,2,2012,I,,,N,F,,C,2012_02_CO0070400_NIBRS,
5829808,1866,3,2012,I,,,N,F,,C,2012_03_CO0070400_NIBRS,
5852009,1866,4,2012,I,,,N,F,,C,2012_04_CO0070400_NIBRS,
5874210,1866,5,2012,I,,,N,F,,C,2012_05_CO0070400_NIBRS,
5896411,1866,6,2012,I,,,N,F,,C,2012_06_CO0070400_NIBRS,
5918612,1866,7,2012,I,,,N,F,,C,2012_07_CO0070400_NIBRS,
5940813,1866,8,2012,I,,,N,F,,C,2012_08_CO0070400_NIBRS,
5963014,1866,9,2012,I,,,N,F,,C,2012_09_CO0070400_NIBRS,
5985215,1866,10,2012,I,,,N,F,,C,2012_10_CO0070400_NIBRS,
6007416,1866,11,2012,I,,,N,F,,C,2012_11_CO0070400_NIBRS,
6029617,1866,12,2012,I,,,N,F,,C,2012_12_CO0070400_NIBRS,
