victim_id,offender_id,relationship_id,nibrs_victim_offender_id
70630080,73277640,5,21622294
70630083,73277644,21,21026934
70630091,73277653,3,21026933
70630095,73277658,20,21026932
70630102,73277665,21,21026931
70630116,73277682,3,21295909
70630118,73277684,3,21295908
70630120,73277686,16,21295907
70630122,73277688,21,21295906
70630124,73277691,5,21295905
70630125,73277692,1,21295904
70630127,73277694,12,21295903
70630128,73277695,3,21295902
70630129,73277696,16,21295901
70630142,73277709,3,21295900
70630147,73277714,3,21295899
69166327,71775148,21,20989251
69166422,71776761,3,21399234
69171717,71780636,26,20952568
69171724,71780643,3,20952567
69169650,71778845,12,20989195
69166470,71776810,3,21369779
69168560,71778638,3,21337568
69167499,71776960,16,20954647
69167504,71776965,3,20954644
69168474,71778553,1,21369761
69168474,71778554,25,22084184
69168475,71778553,25,21369760
69168475,71778554,1,22084183
69168479,71778558,12,21369759
69168496,71778575,1,21369757
69168508,71778587,19,21337585
69168508,71778588,15,22079946
69168509,71778587,25,21337584
69168509,71778588,15,22079945
69167494,71776956,15,20954649
69171829,71782252,26,21402137
69171830,71782252,16,21402136
69167403,71776852,17,21369765
69168623,71778698,3,20954633
69169535,71778726,3,20954626
69169544,71778735,1,20954621
69169556,71778748,1,20954619
69171775,71782198,3,21335797
69171776,71782199,1,21751798
69171784,71782207,24,21335796
69171784,71782208,24,22079943
69171678,71780600,3,20952578
69171681,71780603,7,20952576
69171716,71780635,3,20952569
69171730,71780650,16,20952566
69171735,71780655,16,20952565
69171736,71780656,17,20952564
69171751,71780671,15,20952563
69171753,71780673,1,20952562
69171754,71780674,3,20952561
69171760,71780680,24,21467164
69171762,71782184,3,21335798
69170663,71780470,1,20952592
69171791,71782215,3,21751797
69171798,71782224,24,21335795
69170775,71780583,17,20952584
69172769,71782310,15,21402132
69172775,71782316,18,20820712
69172776,71782317,24,21627582
69172795,71782338,17,21402131
69172800,71782343,1,21755658
69172800,71782345,1,22245104
69172800,71782344,1,22206484
69172801,71782343,1,21755657
69172801,71782345,1,22245103
69172801,71782344,1,22206483
69172802,71782343,1,21755656
69172802,71782345,1,22245102
69172802,71782344,1,22206482
69172806,71782349,3,21402130
69171801,71782227,25,21751796
69171801,71782228,19,22079942
69171802,71782227,19,21751795
69171802,71782228,25,22079941
69171803,71782229,1,21335794
69171806,71782232,20,21691266
69171807,71782232,1,21691265
69171810,71782233,3,21335793
69171814,71782237,21,21402138
69171818,71782241,3,20613300
69171836,71782257,21,21402135
69171843,71782264,1,20820713
69172757,71782293,1,21402134
69172758,71782293,3,21402133
69165412,71775107,1,20989257
69165414,71775109,17,21915679
69165415,71775110,1,20989256
69165421,71775117,21,20989255
69166312,71775130,1,21529825
69166315,71775133,1,20989254
69166316,71775134,3,20989253
69166325,71775142,1,20989252
69166325,71775145,1,22275919
69166325,71775143,1,22016247
69166325,71775144,1,22226713
69166329,71775150,1,20989250
69166330,71775151,1,20989249
69166331,71775152,1,20989248
69166337,71775158,9,20989247
69166339,71775160,3,20989245
69166342,71775163,1,20989244
69166349,71775170,25,20989243
69166349,71775171,1,22016246
69166350,71775170,1,20989242
69166350,71775171,25,22016245
69165379,71775072,24,20954666
69166368,71776702,5,20991418
69165367,71775060,3,20954668
69165372,71775065,3,21627589
69165373,71775066,1,20954667
69165397,71775092,1,21030060
69172817,71782360,24,20952560
69165351,71775041,21,20954669
69166360,71775184,14,20989241
69166361,71775185,1,21865689
69166369,71776703,21,20991417
69166378,71776713,1,20991416
69166385,71776720,16,20991415
69166391,71776726,1,20991414
69166394,71776728,24,20991412
69166393,71776728,24,20991413
69166400,71776733,21,20991411
69166407,71776741,9,20991410
69166408,71776741,9,20989395
69166418,71776757,25,20989394
69166418,71776758,9,22018284
69166419,71776757,9,20989393
69166419,71776758,25,22018283
69166421,71776760,2,21755695
69166426,71776765,16,21921295
69166427,71776766,5,21369787
69166431,71776770,1,21369786
69166434,71776773,3,21369785
69166435,71776774,9,21369784
69166438,71776777,21,21921294
69166439,71776777,13,21921293
69166444,71776783,3,21921292
69166444,71776784,25,22208825
69166451,71776792,19,21369783
69166452,71776793,21,21369782
69166455,71776796,3,21369781
69166459,71776800,1,20820722
69166460,71776800,1,20820721
69166461,71776801,19,21369780
69166477,71776816,17,21369778
69166480,71776819,24,21369777
69166481,71776819,24,21369776
69166482,71776819,24,21369775
69166483,71776819,24,21369774
69166484,71776819,24,21369773
69167458,71776915,18,21915710
69167457,71776915,1,21915711
69167466,71776923,1,20954656
69167466,71776924,1,22009361
69167466,71776925,1,22224855
69170772,71780580,6,20989184
69166489,71776824,21,21369772
69166491,71776826,3,21508714
69166494,71776829,17,21369771
69167382,71776834,16,21369770
69167383,71776835,14,21369769
69167390,71776842,21,21369768
69167393,71776845,21,21369767
69167395,71776846,24,21369766
69167398,71776849,14,21751806
69167399,71776849,14,21751805
69167400,71776849,14,21751804
69167416,71776868,18,21369764
69167416,71776869,18,21958358
69167416,71776870,18,22217384
69167418,71776873,5,21369763
69167421,71776875,17,21369762
69167422,71776876,5,21751803
69167430,71776884,14,20954665
69167430,71776885,14,22009363
69167431,71776884,25,20954664
69167431,71776885,3,22009362
69167434,71776888,21,20954663
69167435,71776889,1,20954662
69167437,71776891,1,20954661
69167441,71776896,24,20954660
69167441,71776897,24,21958356
69167443,71776898,1,20954659
69167448,71776905,1,20954658
69167449,71776905,1,20954657
69167547,71777009,19,20989230
69167554,71777016,3,20989229
69167555,71777017,24,20989228
69167557,71778528,3,21399231
69167560,71778530,3,20989381
69168449,71778534,3,20989380
69167498,71776959,3,21627588
69167500,71776961,3,20954646
69167501,71776962,1,20954645
69167519,71776980,12,20954643
69167525,71776986,16,21627587
69167527,71776988,24,20954642
69167528,71776988,24,20954641
69167532,71776992,1,21627586
69167532,71776993,1,22009359
69167532,71776995,1,22275920
69167532,71776996,1,22295900
69167532,71776994,1,22224853
69167536,71777000,3,20989234
69167537,71777000,9,20989233
69167541,71777003,3,20989232
69167544,71777006,17,20989231
69168462,71778546,9,20989379
69168464,71778546,24,20989377
69168465,71778546,24,20989376
69168463,71778546,24,20989378
69168466,71778547,24,20989375
69168467,71778547,24,20989374
69168468,71778547,24,20989373
69168483,71778562,15,20613306
69168494,71778573,15,21369758
69167473,71776932,1,20954655
69167473,71776933,1,22009360
69167473,71776934,1,22224854
69167482,71776943,24,20954654
69167483,71776943,24,20954653
69167487,71776949,3,20954652
69167489,71776951,24,20954651
69167493,71776955,17,20954650
69167496,71776957,5,20954648
69168569,71778644,19,21337564
69168571,71778646,3,21337563
69168551,71778631,3,21751802
69168555,71778635,1,21337570
69168556,71778635,1,21337569
69168557,71778636,2,21751801
69168559,71778637,1,21921291
69168562,71778640,15,21337567
69168563,71778640,15,21337566
69168564,71778640,15,21337565
69168584,71778659,3,21751800
69168587,71778664,20,21751799
69168589,71778666,20,21337562
69168600,71778677,3,20954640
69168601,71778677,16,20954639
69168602,71778678,21,20954638
69168603,71778678,9,20954637
69168606,71778681,1,20954636
69168612,71778686,24,20954635
69168615,71778689,3,20954634
69168501,71778580,5,21369756
69168502,71778581,5,21337586
69168513,71778591,21,21337583
69168515,71778593,1,21337582
69168516,71778594,1,21337581
69168517,71778595,16,21337580
69168519,71778597,21,21337579
69168522,71778600,5,21337578
69168524,71778602,3,21337577
69168527,71778604,15,21337576
69168528,71778605,3,21337575
