"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,4,113125228,7.45,1,10791440
2018,2,113120731,0.42,1,10785702
2018,5,106802029,2.5,1,9737485
2018,12,106794083,0.25,1,9732923
2018,12,106802181,6.61,1,9737503
2018,4,106798474,0.37,1,9737509
2018,12,106798474,3.62,1,9737510
2018,5,106798791,5.01,1,9729730
2018,12,106804592,1.4,1,9737579
2018,5,106804755,6.32,1,9733010
2018,5,106804896,259.1,1,9733032
2018,12,106809324,1,9,9729806
2018,17,106809348,,,9733060
2018,12,106809361,2.5,1,9733065
2018,4,106805442,1,1,9733121
2018,12,106805826,0.85,1,9737716
2018,12,106814243,0.2,1,9737752
2018,4,106814243,2.9,1,9737751
2018,16,106810621,1,9,9729916
2018,12,106806208,1.3,1,9733181
2018,5,106814463,9.72,1,9737786
2018,5,106814471,13.65,3,9733225
2018,5,106814483,5.57,1,9737789
2018,17,106806782,,,9733252
2018,17,106806847,,,9733259
2018,17,106811394,,,9737820
2018,2,106819518,0.9,1,9733477
2018,12,106824241,0.7,1,9738061
2018,5,106824366,2,1,9730280
2018,12,106818050,0.5,1,9738095
2018,11,106824548,3.17,1,9738098
2018,2,106818546,1.31,1,9738140
2018,5,106818568,36.84,1,9738141
2018,4,106820243,33.4,1,9733551
2018,5,106820292,0.25,1,9730342
2018,12,106825236,2.7,1,9730351
2018,13,106818868,0.001,1,9733569
2018,5,106819122,0.9,1,9733586
2018,12,106820776,1,9,9730388
2018,12,106820809,0.016,1,9738197
2018,4,106820809,1,1,9738196
2018,5,106826081,5.6,1,9730407
2018,4,106821073,2.1,1,9733616
2018,12,106826586,4.7,1,9733626
2018,4,106830013,0.37,1,9733627
2018,12,106826755,4.43,1,9733638
2018,2,106826755,6.28,1,9730440
2018,5,106821676,8.5,3,9738270
2018,5,106836667,68,4,9730938
2018,5,106836689,0.05,3,9730943
2018,17,106840267,1,9,9733995
2018,12,106840318,4,9,9738717
2018,5,106836824,1.8,1,9730964
2018,12,106840418,0.6,1,9730983
2018,5,106840434,1,1,9730988
2018,12,106837002,0.8,1,9731010
2018,5,106840483,11.84,3,9738762
2018,14,106840483,3.5,9,9734057
2018,5,106845026,101.8,1,9738764
2018,5,106845719,1,11,9741258
2018,5,106840984,1,11,9734133
2018,12,106838769,1,11,9741280
2018,4,106838880,1,11,9741288
2018,12,106846122,1,11,9738916
2018,4,106849525,1,11,9738922
2018,12,106849525,1,11,9734184
2018,2,106849608,1,11,9741385
2018,1,106849616,1,11,9734192
2018,1,106849770,1,11,9741415
2018,16,106849770,1,11,9741416
2018,1,106841428,1,11,9734205
2018,12,105060982,0.7,1,9351589
2018,12,105057205,166.8,1,9351604
2018,5,105057234,9.2,1,9348515
2018,12,105057483,0.66,1,9348545
2018,12,105061904,6,1,9351662
2018,8,105062082,3,9,9348604
2018,12,105062442,1,1,9351685
2018,5,105063597,1,1,9348628
2018,12,105063597,1,1,9348629
2018,5,105063673,1,1,9348635
2018,2,105064746,0.1,1,9351754
2018,12,105068965,2.6,1,9348728
2018,12,105069870,5.4,1,9351837
2018,5,105070031,152.5,1,9351851
2018,5,105070814,0.86,1,9351894
2018,12,105066860,2.14,1,9348826
2018,2,105072119,2.4,1,9352058
2018,1,105067803,2.7,1,9348917
2018,16,105072493,3,9,9352106
2018,4,105072493,0.6,1,9348949
2018,2,105068086,0.6,1,9352120
2018,5,105068190,11.4,1,9352131
2018,5,105072886,3.4,1,9348972
2018,12,105073976,9.5,1,9352193
2018,12,105074007,0.5,1,9354045
2018,12,105074052,0.2,1,9352214
2018,4,105074052,0.4,1,9352213
2018,12,105074670,5.3,1,9354112
2018,5,105074680,1,1,9352287
2018,12,105075363,1,11,9354211
2018,5,105075524,,,9352436
2018,12,105075973,1,11,9354280
2018,4,106849935,1,11,9741440
2018,12,106849985,1,11,9741445
2018,5,106846487,1,11,9741453
2018,12,105060161,0.02,1,9351525
2018,2,105060491,7.1,1,9351550
2018,12,105060532,20,5,9351553
2018,4,105060532,22,5,9348456
2018,4,105060532,0.24,1,9348455
2018,16,105060594,1.14,1,9351557
2018,12,105060813,0.6,1,9351570
2018,2,105057081,4.4,1,9348488
2018,12,105061037,14.2,1,9348500
2018,5,105057271,,,9351611
2018,5,105061308,1,1,9351622
2018,12,105061337,2.78,1,9348537
2018,12,105061517,1.78,1,9348556
2018,5,105058483,,,9351682
2018,12,105063177,5.8,1,9351726
2018,12,105068603,2.7,1,9348698
2018,12,105068921,0.75,1,9348722
2018,12,105065049,0.2,1,9348726
2018,12,105065474,2.07,1,9348752
2018,12,105069941,19.9,1,9348777
2018,2,105069941,14.4,1,9351842
2018,16,105069941,1,9,9351843
2018,16,105071189,20,1,9351950
2018,12,105071189,9.53,1,9351949
2018,5,105071219,0.05,1,9351952
2018,5,105066936,5.31,1,9348834
2018,12,105071859,1,9,9348887
2018,5,105067567,,,9352019
2018,12,105073464,1.3,1,9352187
2018,5,105073922,0.003,1,9354025
2018,8,105073585,28.5,9,9352209
2018,4,105074046,0,1,9352210
2018,12,105078806,0.56,1,9354077
2018,1,105075115,1,11,9354185
2018,5,105079850,1,11,9352395
2018,12,105076024,1,11,9354283
2018,5,105076181,1,11,9354306
2018,5,105060333,0.6,1,9351534
2018,12,105061014,0.036,1,9351596
2018,12,105061142,7,4,9351607
2018,12,105061190,9.8,1,9351612
2018,12,105061339,1.62,1,9348538
2018,8,105061438,6,9,9351634
2018,12,105062591,26.78,1,9351689
2018,4,105062591,12.45,1,9348637
2018,12,105064615,0.3,1,9351749
2018,4,105071169,0.82,1,9351945
2018,12,105071299,1,5,9348839
2018,12,105067000,1.13,1,9348840
2018,16,105071379,28,9,9351972
2018,12,105067495,0.8,1,9348881
2018,12,105068313,7.4,1,9352144
2018,5,105068318,13.5,1,9348969
2018,4,105073564,0.1,1,9352205
2018,12,105074031,0.3,1,9354050
2018,4,105078692,2723,1,9354066
2018,12,105078812,11.33,1,9352233
2018,5,105079097,0.01,1,9354098
2018,4,105079115,8.7,1,9352263
2018,12,105079115,1.3,1,9352264
2018,17,105079196,,,9352275
2018,12,105079199,0.001,1,9354111
2018,2,105080348,1,11,9354245
2018,12,105080677,1,11,9352480
2018,12,105076114,1,11,9354296
2018,4,105076114,1,11,9352491
2018,12,106797426,0.6,1,9732848
2018,17,106793662,,,9729614
2018,5,106794200,1.57,1,9732943
