year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
1999,Connecticut,CT,2120,CT0000200,Ansonia,17759,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2121,CT0000400,Avon,14127,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2122,CT0000500,Beacon Falls,5211,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
1999,Connecticut,CT,2123,CT0000700,Berlin,17288,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2124,CT0000900,Bethel,17917,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
1999,Connecticut,CT,2125,CT0001100,Bloomfield,19046,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2126,CT0001400,Branford,27212,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
1999,Connecticut,CT,2127,CT0001500,Bridgeport,137728,2,"Cities from 100,000 thru 249,000",1,12,0,0,0,1,0
1999,Connecticut,CT,2128,CT0001700,Bristol,59302,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
1999,Connecticut,CT,2129,CT0001800,Brookfield,14700,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2130,CT0002300,Canton,8135,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2223,CT0019000,Central Connecticut State University,0,7,"Cities under 2,500",1,12,1,12,0,1,1
1999,Connecticut,CT,2131,CT0002500,Cheshire,26535,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
1999,Connecticut,CT,2132,CT0002700,Clinton,13143,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2239,CTCSP0000,Connecticut State Police,479001,8A,"Non-MSA counties 100,000 or over",1,12,0,0,0,1,0
1999,Connecticut,CT,2133,CT0003200,Coventry,11104,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2134,CT0003300,Cromwell,12620,5,"Cities from 10,000 thru 24,999",1,12,0,1,0,1,0
1999,Connecticut,CT,2135,CT0003400,Danbury,65989,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
1999,Connecticut,CT,2155,CT0006900,Danielson,4503,6,"Cities from 2,500 thru 9,999",0,0,0,0,1,1,0
1999,Connecticut,CT,2136,CT0003500,Darien,18129,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2137,CT0003700,Derby,11971,5,"Cities from 10,000 thru 24,999",1,12,0,7,0,1,0
1999,Connecticut,CT,2224,CT0019100,Eastern Connecticut State University,0,7,"Cities under 2,500",1,12,0,0,0,1,0
1999,Connecticut,CT,2138,CT0004200,East Hampton,11079,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2139,CT0004300,East Hartford,47484,4,"Cities from 25,000 thru 49,999",1,12,0,1,0,1,0
1999,Connecticut,CT,2140,CT0004400,East Haven,26805,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
1999,Connecticut,CT,2141,CT0004500,East Lyme,15862,5,"Cities from 10,000 thru 24,999",0,0,0,0,1,1,0
1999,Connecticut,CT,2142,CT0004600,Easton,6761,6,"Cities from 2,500 thru 9,999",1,12,0,4,0,1,0
1999,Connecticut,CT,2143,CT0004700,East Windsor,10050,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
1999,Connecticut,CT,2144,CT0004900,Enfield,43204,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2145,CT0005100,Fairfield,53871,3,"Cities from 50,000 thru 99,000",1,12,0,0,0,1,0
1999,Connecticut,CT,2228,CT001SP00,Fairfield,0,9D,"MSA counties under 10,000",0,0,0,0,1,1,0
1999,Connecticut,CT,2146,CT0005200,Farmington,21212,5,"Cities from 10,000 thru 24,999",1,12,0,0,0,1,0
1999,Connecticut,CT,2147,CT0005400,Glastonbury,28902,4,"Cities from 25,000 thru 49,999",1,12,0,0,0,1,0
