victim_id,circumstances_id,justifiable_force_id
8961890,1,
8961992,1,
8961993,1,
8962026,9,
8960532,1,
8960633,2,
8961373,7,
8962244,2,
8960773,10,
8961580,6,
8963292,1,
8960970,4,
8960323,1,
8960235,1,
8968238,1,
8968245,1,
8968246,1,
8968247,1,
8968249,9,
8968259,1,
8969035,1,
8969036,1,
8969037,1,
8969038,1,
8969039,1,
8969040,1,
8969041,1,
8969042,1,
8969046,1,
8966752,10,
8966754,10,
8967481,2,
8967482,1,
8967490,1,
8967502,6,
8967503,2,
8967504,2,
8968288,17,
8968318,1,
8969081,6,
8969123,10,
8966770,8,
8967519,6,
8967526,9,
8967566,1,
8966854,6,
8966855,6,
8967598,9,
8967600,1,
8968395,1,
8968421,1,
8969179,1,
8969180,1,
8969206,1,
8969209,1,
8967621,9,
8967627,1,
8967629,1,
8967643,1,
8967646,1,
8967647,1,
8967662,1,
8968450,6,
8968465,10,
8969231,10,
8969233,10,
8969236,10,
8969237,10,
8969261,1,
8967679,2,
8967687,2,
8967700,1,
8968485,1,
8969287,1,
8969310,10,
8966976,6,
8966993,1,
8967719,6,
8967720,6,
8967742,1,
8968569,1,
8968580,2,
8968581,2,
8969352,1,
8967771,6,
8967778,1,
8969379,1,
8969409,1,
8967834,2,
8968648,1,
8968649,1,
8968655,10,
8968657,1,
8968663,1,
8968670,1,
8968671,1,
8967127,6,
8967151,9,
8968683,1,
8968690,1,
8968712,10,
8969505,1,
8969516,9,
8967956,1,
8967958,2,
8968761,9,
8969559,1,
8967254,17,
8967260,1,
8968004,9,
8968011,9,
8968021,1,
8968795,1,
8968823,9,
8967286,6,
8967287,6,
8967288,10,
8968041,6,
8969627,1,
8969665,1,
8969667,1,
8967341,2,
8967342,2,
8969710,1,
8969711,1,
8969713,9,
8967410,9,
8968931,1,
8968976,1,
8967458,1,
8967459,1,
8967461,2,
8968193,1,
8968208,1,
8969018,1,
8969019,1,
8966669,10,
8966670,10,
8966696,10,
8965114,2,
8965140,17,
8963526,9,
8964319,1,
8964345,1,
8964346,1,
8965196,9,
8964347,1,
8964388,1,
8965208,10,
8963590,10,
8964435,1,
8966095,10,
8966098,10,
8963634,1,
8963635,1,
8964470,10,
8964481,1,
8964483,1,
8964488,1,
8963682,1,
8963709,1,
8963716,1,
8963719,1,
8963720,1,
8963731,1,
8964514,6,
8964515,6,
