victim_id,offense_id
8975416,9065147
8975426,9065157
8975427,9065158
8975428,9065159
8975429,9065160
8975430,9065161
8975431,9065162
8975432,9065163
8975433,9065164
8975434,9065165
8975435,9065166
8975436,9065167
8975437,9065168
8975438,9065169
8975439,9065170
8975440,9065171
8975441,9065172
8975442,9065173
8975443,9065174
8975444,9065175
8975445,9065176
8975446,9065177
8975447,9065178
8975448,9065178
8975449,9065179
8975449,9065180
8975450,9065179
8975450,9065181
8975451,9065179
8975452,9065179
8975453,9065182
8975454,9065183
8975455,9065184
8975456,9065185
8975457,9065186
8975458,9065187
8975459,9065188
8975460,9065189
8975461,9065189
8975462,9065190
8975463,9065191
8975464,9065192
8975465,9065193
8975466,9065194
8975467,9065195
8975468,9065196
8975469,9065197
8975469,9065200
8975469,9065201
8975469,9065202
8975470,9065197
8975470,9065200
8975470,9065201
8975470,9065202
8975471,9065198
8975471,9065199
8975471,9065200
8975471,9065201
8975471,9065202
8975472,9065203
8975473,9065204
8975474,9065205
8975475,9065206
8975476,9065207
8975477,9065207
8975478,9065208
8975479,9065209
8975480,9065210
8975481,9065211
8975482,9065212
8975483,9065213
8975484,9065214
8975485,9065215
8975486,9065216
8975487,9065217
8975488,9065218
8975489,9065219
8975490,9065220
8975491,9065221
8975492,9065222
8975493,9065223
8975494,9065224
8975495,9065225
8975496,9065226
8975497,9065227
8975498,9065228
8975500,9065230
8975500,9065231
8975499,9065229
8975501,9065232
8975502,9065233
8975509,9065234
8975507,9065234
8975508,9065234
8975510,9065234
8975511,9065234
8975503,9065234
8975504,9065234
8975506,9065234
8975505,9065234
8975512,9065235
8975513,9065236
8975514,9065237
8975515,9065238
8975516,9065238
8975517,9065238
8975518,9065239
8975519,9065240
8975520,9065241
8975521,9065242
8975522,9065243
8975523,9065243
8975524,9065243
8975525,9065244
8975526,9065245
8975527,9065246
8975528,9065247
8975529,9065248
8975530,9065249
8975531,9065250
8975532,9065251
8975533,9065252
8975534,9065253
8975535,9065254
8975536,9065255
8975537,9065256
8975538,9065256
8975539,9065257
8975540,9065258
8975541,9065259
8975542,9065260
8975543,9065261
8975544,9065262
8975545,9065263
8975546,9065264
8975547,9065264
8975548,9065265
8975549,9065266
8975550,9065267
8975551,9065268
8975552,9065269
8975553,9065270
8975554,9065271
8975555,9065272
8975556,9065273
8975557,9065274
