criminal_act_id,offense_id
6,17297863
6,17294474
6,17297865
6,17294479
6,17294480
8,17297869
8,17298061
8,17298064
8,17294485
6,17298032
6,17298033
8,17297855
6,17298041
6,17289750
8,17290145
6,17298068
6,17298069
6,17298070
8,17298072
6,17297881
6,17298076
6,17298078
6,17298262
8,17298084
6,17298267
6,17298274
6,17294890
6,17298282
6,17290153
6,17294907
6,17298296
6,17298108
8,17294917
6,17294918
8,17298109
8,17290184
8,17296240
6,17298122
8,17298328
8,17301266
6,17298130
8,17294944
6,17294949
8,17298330
6,17298334
6,17298365
6,17301002
6,17301006
6,17294995
8,17298372
8,17293633
8,17294999
6,17298374
6,17298375
6,17298376
6,17298377
6,17301012
6,17295006
6,17298343
6,17294975
8,17290226
8,17290227
6,17300620
6,17293620
6,17300626
8,17293645
8,17293651
6,17293652
8,17293659
6,17295406
6,17295407
6,17295408
6,17295409
6,17298783
6,17301050
8,17293720
6,17298475
6,17301269
6,17301270
8,17301275
6,17298489
6,17298490
6,17293695
6,17301061
6,17298461
8,17301257
6,17293713
8,17301078
8,17301103
6,17301106
8,17301120
6,17301126
8,17294136
6,17294142
8,17301308
8,17298520
8,17294157
8,17301319
6,17301322
8,17301325
8,17304513
8,17301358
6,17301564
6,17301565
8,17298927
6,17298927
6,17294187
8,17301388
6,17294200
6,17295738
6,17295739
6,17298965
6,17298966
6,17298971
6,17295753
6,17295756
6,17298976
6,17298977
6,17298978
8,17296209
6,17304082
6,17304083
8,17301458
6,17301458
6,17296178
6,17301476
6,17298995
8,17298997
8,17296153
6,17304060
8,17299000
6,17299002
6,17296163
8,17301807
6,17301812
6,17304266
6,17304274
8,17296208
6,17304122
8,17301493
6,17304283
6,17296229
8,17301465
6,17301826
6,17301827
6,17301499
8,17296235
8,17304298
6,17304512
8,17304512
9,17307027
8,17304377
6,17301973
9,17307032
6,17299710
6,17299711
9,17307034
9,17307036
9,17301979
6,17307037
9,17299714
9,17304516
9,17296241
9,17301983
9,17301984
9,17299716
9,17299718
7,17307039
9,17307040
8,17304766
6,17304769
2,17304769
6,17304770
9,17304771
8,17304773
9,17301988
9,17307047
11,17307048
6,17307050
9,17304776
9,17301991
6,17304777
6,17299727
8,17299727
8,17299728
6,17299729
9,17301993
9,17304778
9,17301996
6,17299735
6,17301998
9,17296649
6,17307056
9,17307058
6,17307059
6,17307060
9,17302002
6,17302003
9,17299740
9,17307069
9,17307070
6,17299744
9,17307078
9,17304791
9,17304792
9,17299749
9,17307081
9,17304794
9,17304796
9,17299752
9,17299753
9,17304799
1,17304800
1,17304803
9,17299756
6,17302018
6,17302019
9,17307090
9,17302021
6,17302023
9,17302025
6,17300133
8,17299764
9,17302027
9,17300176
9,17307262
8,17300154
6,17300155
6,17307264
6,17307267
6,17307268
9,17307495
9,17307496
6,17307273
6,17307499
6,17307274
9,17307276
8,17307278
9,17300167
9,17307504
9,17307280
9,17300169
6,17304496
9,17304497
8,17307097
6,17307098
9,17304469
6,17304811
6,17304812
2,17300137
9,17304472
2,17304813
9,17304473
9,17304476
9,17304815
2,17304816
6,17304817
9,17304819
6,17304484
9,17300152
9,17304501
6,17304502
9,17300201
6,17304905
6,17304907
6,17300204
9,17304910
9,17307306
1,17304923
9,17300212
9,17307544
9,17300215
9,17307511
9,17307287
6,17307288
6,17304887
6,17304888
6,17304889
6,17304890
6,17304891
6,17304892
6,17304899
6,17304900
9,17307292
6,17307293
6,17307294
9,17300207
9,17300208
9,17307310
9,17307536
9,17304922
9,17307541
9,17307317
6,17300217
9,17300218
6,17300220
6,17300221
9,17307325
6,17307547
6,17307548
9,17300222
9,17304931
11,17307329
8,17304933
9,17304935
6,17302708
6,17307330
6,17307331
9,17304944
6,17307340
6,17307341
9,17300232
8,17307345
9,17300238
6,17307561
6,17307562
9,17307563
9,17304954
9,17307565
9,17300246
6,17304957
9,17304959
9,17311559
9,17307758
9,17304980
8,17307760
6,17307761
6,17307762
6,17307766
6,17307767
9,17302734
9,17311561
9,17304987
9,17307770
9,17304988
9,17302742
9,17311566
9,17311567
9,17311568
9,17304994
9,17304997
9,17307353
6,17307356
6,17307572
6,17307573
3,17304965
6,17307747
6,17307749
9,17307753
6,17304972
6,17304975
6,17311550
9,17311552
8,17311592
6,17305391
6,17307818
6,17305392
6,17305393
9,17303153
9,17305395
1,17307823
9,17302752
9,17302758
9,17307824
6,17307825
6,17307826
6,17305397
6,17305398
9,17311599
6,17303158
6,17303159
1,17307831
6,17307787
1,17302760
9,17307788
6,17307790
6,17307791
9,17305009
9,17311582
6,17303134
1,17303135
6,17305384
9,17307808
6,17311590
6,17305386
9,17303148
6,17303175
6,17303176
6,17311981
9,17310289
8,17310290
6,17310291
9,17311601
9,17307832
9,17311604
9,17303165
6,17303166
6,17303167
9,17307474
6,17311608
6,17311609
9,17307837
9,17307477
6,17307870
8,17307489
9,17310300
9,17303181
6,17310305
9,17310309
9,17310310
9,17303186
6,17310313
9,17303196
6,17307889
6,17312010
6,17307896
6,17307897
6,17310325
9,17312012
9,17312016
9,17307906
9,17303214
6,17310338
6,17310339
9,17310340
9,17310341
9,17312027
6,17303217
9,17310342
6,17303218
9,17312032
6,17303221
9,17312034
9,17310348
6,17312036
9,17310353
6,17310355
9,17312041
6,17303225
9,17312045
9,17312046
9,17307924
9,17312049
9,17312050
9,17307929
9,17307930
9,17310747
