weapon_id,offense_id,nibrs_weapon_id
20,25563730,5249942
12,25564707,5250590
12,25564011,5249341
22,25562514,5249828
18,25558824,5248846
12,25564410,5250348
9,25563466,5249722
9,25567404,5250913
12,25563982,5249336
12,25561238,5249692
11,25567412,5250916
20,25563765,5249988
12,25563042,5249436
12,25563737,5249943
12,25563048,5249481
12,25563050,5249482
12,25562504,5249825
10,25561248,5249693
18,25563745,5249944
12,25562506,5249826
12,25563747,5249945
20,25561249,5249694
12,25563454,5249720
12,25563055,5249483
12,25564007,5249340
12,25563459,5249721
12,25567372,5250909
12,25563987,5249337
10,25562496,5249823
6,25563044,5249437
12,25563063,5249485
12,25563064,5249486
6,25563066,5249487
20,25564679,5250533
12,25563071,5249488
18,25564417,5250349
20,25563075,5249489
12,25563991,5249338
12,25567384,5250910
12,25564687,5250534
12,25564424,5250350
20,25564690,5250535
6,25567396,5250911
12,25562503,5249824
12,25563996,5249339
12,25564427,5250351
10,25563085,5249490
12,25567398,5250912
12,25562530,5249829
12,25563478,5249777
12,25563479,5249778
20,25563089,5249491
12,25562509,5249827
18,25562538,5249830
10,25564434,5250352
12,25564699,5250589
20,25567406,5250914
20,25563493,5249779
12,25567407,5250915
20,25564440,5250353
12,25563098,5249492
11,25564441,5250354
12,25563057,5249484
12,25564449,5250355
12,25563757,5249946
12,25564149,5249439
12,25563762,5249987
2,25567415,5250917
18,25562555,5249888
12,25564450,5250356
12,25563766,5249989
12,25564713,5250592
12,25563771,5249991
12,25567428,5250919
12,25567445,5250320
12,25563234,5249592
12,25567446,5250321
12,25564731,5250594
12,25563798,5249996
12,25563241,5249593
12,25563242,5249594
12,25564478,5250402
12,25564735,5250595
12,25564481,5250403
12,25564482,5250404
18,25564483,5250405
20,25567449,5250322
12,25564712,5250591
12,25564452,5250357
20,25567418,5250918
9,25563767,5249990
10,25563767,6103075
12,25564714,5250593
12,25563773,5249992
12,25563774,5249993
12,25564463,5250358
12,25562573,5249889
12,25567437,5250319
12,25562574,5249890
12,25562575,5249891
12,25563785,5249994
12,25564470,5250359
12,25562578,5249892
12,25563789,5249995
12,25563819,5249998
12,25567470,5250323
12,25568109,5250811
12,25563820,5249999
12,25563821,5250000
18,25564761,5250596
12,25563822,5250001
12,25564492,5250406
12,25564493,5250407
20,25564499,5250408
22,25563262,5249631
12,25563810,5249997
12,25568129,5250851
12,25564253,5251034
12,25564511,5250409
12,25564771,5250644
12,25564773,5250645
12,25564776,5250646
12,25568117,5250812
3,25572293,5251408
12,25564520,5250410
12,25572300,5251409
12,25564225,5251031
12,25564230,5251032
12,25564537,5250411
12,25564795,5250647
12,25564796,5250648
12,25568130,5250852
12,25563297,5249632
12,25568134,5250853
6,25564238,5251033
9,25568139,5250854
9,25565452,5250171
12,25563305,5249633
12,25568147,5250855
20,25570906,5251170
12,25572317,5251453
12,25569782,5251167
12,25570911,5251171
12,25570918,5251172
12,25571590,5251677
12,25568174,5250856
12,25571591,5251678
12,25569832,5251208
12,25571617,5251721
12,25572335,5251454
12,25564266,5250208
12,25569806,5251168
12,25570932,5251173
12,25572340,5251455
12,25569813,5251205
12,25569816,5251206
