property_id,incident_id,prop_loss_id,stolen_count,recovered_count,ff_line_number
39062679,33681163,4,,,
39059617,33681185,7,,,
39060243,33681192,7,1,,
39060245,33681198,7,,,
39072094,33681203,4,,,
39072095,33681203,4,,,
39072096,33681203,4,,,
39082403,33681208,6,,,
39083223,33681208,6,,,
39057224,33681079,7,1,,
39059603,33681086,5,,1,
39059604,33681086,7,1,,
39082377,33681095,6,,,
39060234,33681108,6,,,
39060235,33681108,6,,,
39060236,33681108,6,,,
39060237,33681108,6,,,
39059608,33681117,7,,,
39072078,33681118,6,,,
39072079,33681118,6,,,
39072080,33681118,6,,,
39059612,33681150,4,,,
39071335,33680242,4,,,
39057223,33681063,7,,,
39071359,33682021,4,,,
39057237,33682027,6,,,
39069971,33682036,7,,,
39069994,33682986,4,,,
39060475,33683006,7,1,,
39072101,33682053,7,1,,
39057242,33682059,7,0,,
39057244,33682079,4,,,
39057245,33682079,4,,,
39069992,33682175,5,,1,
39069993,33682175,7,1,,
39071385,33683015,1,,,
39062732,33683022,7,,,
39057270,33683028,7,0,,
39060461,33682102,4,,,
39060462,33682102,4,,,
39072118,33682119,7,1,,
39083240,33682127,1,,,
39070004,33683047,7,,,
39060477,33683053,6,,,
39071388,33683054,1,,,
39071389,33683055,7,,,
39071390,33683056,4,,,
39072134,33683058,4,,,
39071382,33682161,7,0,,
39057260,33682169,5,,1,
39057261,33682169,7,1,,
39060230,33681073,7,0,,
39059601,33681075,3,,,
39059602,33681075,7,,,
39061829,33681076,7,,,
39082374,33681077,2,,,
39072067,33680254,6,,,
39072068,33680254,6,,,
39059593,33680244,1,,,
39059594,33680244,4,,,
39059595,33680245,6,,,
39061822,33680246,4,,,
39057222,33680247,4,,,
39082367,33680252,7,0,,
39082368,33680255,6,,,
39082369,33680255,6,,,
39061823,33680256,7,,,
39072070,33680259,7,,,
39061824,33681058,4,,,
39061825,33681058,7,,,
39061826,33681058,7,,,
39061827,33681058,7,,,
39061828,33681058,7,,,
39071336,33681059,7,,,
39059597,33681062,7,,,
39059598,33681065,7,,,
39059599,33681065,7,,,
39059600,33681065,7,,,
39082370,33681066,4,,,
39072071,33681067,7,,,
39060229,33681070,1,,,
39082371,33681071,1,,,
39082372,33681071,4,,,
39071365,33682044,6,,,
39071366,33682044,6,,,
39083230,33682078,4,,,
39071371,33682084,6,,,
39072119,33682126,5,,,
39070006,33683059,7,,,
39071391,33683061,7,,,
39060480,33683063,7,,,
39060481,33683065,4,,,
39061830,33681078,7,,,
39072072,33681080,1,,,
39072073,33681080,4,,,
39060231,33681085,4,,,
39057225,33681087,7,,,
39060232,33681092,4,,,
39061831,33681096,4,,,
39072076,33681097,4,,,
39059605,33681098,4,,,
39082378,33681099,4,,,
39082379,33681099,4,,,
39082380,33681100,4,,,
39082381,33681100,7,1,,
39082382,33681102,7,,,
39072077,33681104,7,0,,
39057226,33681106,5,,0,
39057227,33681106,7,0,,
39060238,33681110,7,1,,
39082383,33681112,7,,,
39062677,33681116,4,,,
39082384,33681121,6,,,
39082385,33681121,6,,,
39059609,33681122,5,,,
39059610,33681122,7,,,
39071338,33681125,4,,,
39062724,33682998,6,,,
39062725,33682998,6,,,
39057274,33683036,6,,,
39072124,33682168,6,,,
39072125,33682168,6,,,
39059613,33681160,1,,,
39059614,33681160,7,,,
39071344,33681162,7,,,
39071345,33681162,7,,,
39071346,33681162,7,,,
39071347,33681162,7,,,
39071348,33681162,7,,,
39071349,33681162,7,,,
39062680,33681164,7,,,
39062681,33681164,7,,,
39062682,33681164,7,,,
39059615,33681165,7,0,,
39082396,33681173,4,,,
39059616,33681178,1,,,
39060242,33681181,4,,,
39062683,33681183,5,,1,
39062684,33681183,7,1,,
39071351,33681184,7,,,
39059618,33681187,2,,,
39057229,33681127,7,0,,
39082386,33681129,7,,,
39082389,33681133,7,2,,
39082390,33681133,7,2,,
39082387,33681133,5,,2,
39082388,33681133,5,,2,
39072081,33681134,4,,,
39082391,33681137,4,,,
39082392,33681138,1,,,
39082393,33681138,7,,,
39082394,33681140,6,,,
39071339,33681142,5,,,
39071340,33681142,7,,,
39072084,33681143,7,,,
39072085,33681143,7,,,
39071341,33681146,6,,,
39059611,33681147,7,,,
39071342,33681148,7,,,
39071343,33681148,7,,,
39072086,33681149,7,,,
39072087,33681149,7,,,
39072088,33681149,7,,,
39072089,33681149,7,,,
39072090,33681154,7,,,
39060478,33683060,5,,2,
39060479,33683060,7,2,,
39057279,33683064,6,,,
39057280,33683064,6,,,
39071392,33683066,6,,,
39059619,33681190,4,,,
39057231,33681193,7,,,
39057232,33681193,7,,,
39057233,33681193,7,,,
39071352,33681195,7,,,
39060244,33681196,4,,,
39062685,33681197,5,,1,
39062686,33681197,7,,,
39062687,33681197,7,3,,
39062688,33681197,7,,,
39071353,33681199,2,,,
39071354,33681200,7,0,,
39082400,33681202,7,1,,
39082401,33681204,4,,,
39082402,33681204,4,,,
39057234,33681205,4,,,
39057235,33681206,1,,,
39057236,33681206,4,,,
39062689,33681207,4,,,
39071355,33681210,1,,,
39071356,33681210,4,,,
39071357,33681211,4,,,
39083224,33681212,7,,,
39062690,33681213,7,,,
39072097,33681214,1,,,
39059596,33680251,6,,,
39072066,33680253,6,,,
39072069,33680257,6,,,
39059620,33681215,7,,,
39059621,33681216,7,,,
39059622,33681216,7,,,
39060246,33681217,7,,,
39062691,33681219,4,,,
39069967,33681220,6,,,
39069968,33681220,6,,,
39082373,33681072,4,,,
39083225,33682019,4,,,
39071358,33682020,7,0,,
39069969,33682022,7,,,
39071360,33682023,7,,,
39071361,33682023,7,,,
39071362,33682023,7,,,
39071363,33682023,7,,,
39059623,33682024,4,,,
39069970,33682025,4,,,
39072098,33682026,7,,,
39083226,33682029,7,,,
39083227,33682029,7,,,
39083228,33682029,7,,,
39057238,33682031,7,,,
39059624,33682032,7,1,,
39059625,33682032,7,,,
39059626,33682032,7,,,
39057239,33682034,6,,,
39057240,33682034,6,,,
39071364,33682035,1,,,
39072099,33682037,7,,,
39062692,33682038,7,1,,
39062693,33682039,7,,,
39057241,33682043,7,0,,
39069972,33682047,7,,,
39082375,33681088,6,,,
39082376,33681088,6,,,
39072074,33681091,6,,,
39072075,33681091,6,,,
39071337,33681093,6,,,
39072100,33682049,4,,,
39059627,33682051,4,,,
39062694,33682054,4,,,
39071367,33682055,6,,,
39069973,33682057,4,,,
39069974,33682057,4,,,
39069975,33682058,4,,,
39069976,33682058,5,,,
39069977,33682058,7,,,
39060455,33682060,4,,,
39060456,33682060,7,,,
39060457,33682060,7,,,
39062695,33682061,7,,,
39062696,33682062,7,,,
39072102,33682063,4,,,
39083229,33682065,4,,,
39057243,33682066,7,,,
39062697,33682068,6,,,
39071368,33682069,7,,,
39071369,33682072,5,,,
39071370,33682072,7,,,
39060458,33682073,7,,,
39083231,33682080,6,,,
39069978,33682081,7,,,
39062698,33682083,7,,,
39072103,33682085,5,,,
39072104,33682085,5,,,
39072105,33682085,7,,,
39072106,33682085,7,,,
39057246,33682086,4,,,
39057247,33682087,7,,,
39062699,33682088,5,,1,
39062700,33682088,7,1,,
39060233,33681101,6,,,
39071372,33682089,7,,,
39071373,33682089,7,,,
39083232,33682091,7,,,
39060459,33682092,7,,,
39060460,33682092,7,,,
39062701,33682096,6,,,
39071374,33682098,4,,,
39062702,33682100,4,,,
39069979,33682103,4,,,
39083233,33682104,7,,,
39072107,33682108,4,,,
39072108,33682108,5,,1,
39072109,33682108,7,1,,
39083234,33682109,7,,,
39083235,33682109,7,,,
39083236,33682109,7,,,
39072110,33682110,7,,,
39072111,33682111,7,,,
39072112,33682111,7,,,
39072113,33682111,7,,,
39072114,33682111,7,,,
39057248,33682112,7,,,
39057249,33682112,7,,,
39057250,33682112,7,,,
39057251,33682112,7,,,
39060463,33682113,7,,,
39069980,33682114,7,,,
39083237,33682115,4,,,
39072115,33682116,7,,,
39072116,33682117,7,,,
39072117,33682117,7,,,
39083238,33682118,4,,,
39071375,33682120,7,,,
39071376,33682120,7,,,
39083239,33682121,7,,,
39069981,33682122,4,,,
39059606,33681114,6,,,
39059607,33681114,6,,,
39057228,33681124,6,,,
39060239,33681128,4,,,
39060464,33682123,4,,,
39060465,33682124,7,,,
39071377,33682125,1,,,
39071378,33682125,4,,,
39060466,33682128,4,,,
39062703,33682129,7,,,
39062704,33682129,7,,,
39083241,33682130,1,,,
39069982,33682131,7,,,
39069983,33682131,7,,,
39069984,33682131,7,,,
39069985,33682133,4,,,
39060467,33682136,7,,,
39062705,33682137,7,,,
39060468,33682138,7,,,
39083242,33682139,7,0,,
39069986,33682141,7,,,
39057252,33682142,7,,,
39083243,33682143,7,,,
39072120,33682144,4,,,
39057253,33682145,4,,,
39083244,33682146,5,,,
39083245,33682146,7,,,
39071379,33682147,7,,,
39062706,33682148,7,,,
39062707,33682148,7,,,
