property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
39062679,3,100,,39028531
39059617,9,0,,39037898
39060243,3,3000,,39028369
39060245,63,40,,39028371
39072094,26,50,,39099931
39072095,38,50,,39099932
39072096,63,119,,39099933
39082403,10,0,,39089689
39083223,11,10,,39103044
39057224,3,5000,,39037759
39059603,3,2000,2006-01-05 00:00:00,39037884
39059604,3,5000,,39037885
39082377,11,10,,39088535
39060234,9,0,,39028360
39060235,10,0,,39028361
39060236,11,5,,39028362
39060237,63,284,,39028363
39059608,9,0,,39037889
39072078,2,45,,39099915
39072079,10,0,,39099916
39072080,11,20,,39099917
39059612,3,5000,,39037893
39071335,63,450,,39087804
39057223,36,980,,39037758
39071359,63,50,,39087828
39057237,10,0,,39037772
39069971,20,1200,,39085288
39069994,29,50,,39085311
39060475,3,1000,,39031987
39072101,3,5000,,39099938
39057242,38,500,,39037777
39057244,6,4745,,39037779
39057245,63,100,,39037780
39069992,3,8380,2006-01-25 00:00:00,39085309
39069993,3,8380,,39085310
39071385,68,,,39087854
39062732,27,1306,,39029726
39057270,38,60,,39037805
39060461,15,7138,,39031973
39060462,63,200,,39031974
39072118,3,10000,,39099955
39083240,68,,,39103061
39070004,19,300,,39085321
39060477,10,0,,39031989
39071388,68,,,39087857
39071389,63,250,,39087858
39071390,38,350,,39087859
39072134,29,10000,,39099971
39071382,38,3475,,39087851
39057260,3,525,2006-01-25 00:00:00,39037795
39057261,3,525,,39037796
39060230,38,1,,39028356
39059601,63,30,,39037882
39059602,20,30,,39037883
39061829,27,250,,39034475
39082374,23,30000,,39088532
39072067,2,10,,39098764
39072068,10,0,,39098765
39059593,68,,,39036745
39059594,29,800,,39036746
39059595,10,0,,39036747
39061822,63,100,,39034468
39057222,38,2050,,39037757
39082367,38,50,,39088525
39082368,10,0,,39088526
39082369,11,40,,39088527
39061823,7,676,,39034469
39072070,21,3800,,39098767
39061824,35,50,,39034470
39061825,16,2675,,39034471
39061826,26,500,,39034472
39061827,27,50,,39034473
39061828,63,200,,39034474
39071336,9,0,,39087805
39059597,63,30,,39036749
39059598,17,10,,39036750
39059599,20,160,,39036751
39059600,63,200,,39036752
39082370,63,200,,39088528
39072071,20,35,,39098768
39060229,68,,,39028355
39082371,68,,,39088529
39082372,29,200,,39088530
39071365,10,0,,39087834
39071366,11,1,,39087835
39083230,3,200,,39103051
39071371,10,0,,39087840
39072119,63,35,2006-02-27 00:00:00,39099956
39070006,36,500,,39085323
39071391,63,300,,39087860
39060480,22,0,,39031992
39060481,63,200,,39031993
39061830,27,300,,39034476
39072072,68,,,39098769
39072073,28,350,,39098770
39060231,30,50,,39028357
39057225,13,750,,39037760
39060232,38,30,,39028358
39061831,3,12,,39034477
39072076,3,300,,39099913
39059605,3,200,,39037886
39082378,3,200,,39088536
39082379,38,200,,39088537
39082380,63,5,,39088538
39082381,24,4000,,39088539
39082382,20,39,,39088540
39072077,38,65,,39099914
39057226,38,50,2006-03-22 00:00:00,39037761
39057227,38,50,,39037762
39060238,28,3300,,39028364
39082383,8,20,,39088541
39062677,63,1,,39028529
39082384,10,0,,39088542
39082385,11,15,,39088543
39059609,63,100,2006-03-30 00:00:00,39037890
39059610,63,100,,39037891
39071338,24,4000,,39087807
39062724,10,0,,39029718
39062725,11,86,,39029719
39057274,11,20,,39038938
39072124,10,0,,39099961
39072125,11,20,,39099962
39059613,68,,,39037894
39059614,10,4,,39037895
39071344,9,0,,39087813
39071345,17,75,,39087814
39071346,20,80,,39087815
39071347,25,205,,39087816
39071348,27,200,,39087817
39071349,63,50,,39087818
39062680,8,1,,39028532
39062681,26,1,,39028533
39062682,36,1,,39028534
39059615,38,75,,39037896
39082396,63,1000,,39089682
39059616,68,,,39037897
39060242,3,200,,39028368
39062683,3,1600,2006-04-27 00:00:00,39028535
39062684,3,1600,,39028536
39071351,9,0,,39087820
39059618,34,100000,,39037899
39057229,38,300,,39037764
39082386,20,750,,39088544
39082389,3,4000,,39089675
39082390,24,9540,,39089676
39082387,3,4000,2006-05-07 00:00:00,39088545
39082388,24,9540,2006-05-07 00:00:00,39088546
39072081,29,80,,39099918
39082391,33,500,,39089677
39082392,68,,,39089678
39082393,63,1,,39089679
39082394,10,0,,39089680
39071339,36,100,2006-04-07 00:00:00,39087808
39071340,36,175,,39087809
39072084,7,1040,,39099921
39072085,17,300,,39099922
39071341,11,27,,39087810
39059611,63,1550,,39037892
39071342,19,30,,39087811
39071343,20,3,,39087812
39072086,7,180,,39099923
39072087,19,100,,39099924
39072088,20,2,,39099925
39072089,21,10,,39099926
39072090,63,1,,39099927
39060478,3,28335,2006-04-09 00:00:00,39031990
39060479,3,28335,,39031991
39057279,10,0,,39038943
39057280,11,5,,39038944
39071392,10,0,,39088999
39059619,63,1000,,39037900
39057231,17,1500,,39037766
39057232,20,300,,39037767
39057233,36,500,,39037768
39071352,12,2300,,39087821
39060244,35,300,,39028370
39062685,24,630,2006-05-11 00:00:00,39028537
39062686,15,1900,,39028538
39062687,24,3260,,39028539
39062688,36,1259,,39028540
39071353,23,30000,,39087822
39071354,38,2000,,39087823
39082400,3,2500,,39089686
39082401,3,250,,39089687
39082402,38,250,,39089688
39057234,28,3000,,39037769
39057235,68,,,39037770
39057236,63,10,,39037771
39062689,3,7500,,39028541
39071355,68,,,39087824
39071356,33,100,,39087825
39071357,31,200,,39087826
39083224,20,300,,39103045
39062690,63,450,,39028542
