arrestee_id,weapon_id,nibrs_arrestee_weapon_id
11200802,1,11237540
11200798,1,11237536
11200779,1,11237517
11199601,1,11235383
11199600,1,11235382
11197374,1,11234245
11197373,1,11234244
11197365,1,11234236
11159621,1,11155969
11154124,1,11136728
11143079,1,11130815
11182819,1,11124028
11150822,1,11134453
11136534,1,11178632
11131129,1,11178269
11131128,1,11178268
11131126,1,11178266
11130954,1,11175150
11128820,1,11175012
11127735,1,11174919
11126635,1,11173825
11124377,1,11171593
11136584,1,11162989
11136582,1,11162987
11134483,1,11162869
11171689,1,11161906
11168372,8,11159629
11168371,1,11159628
11169408,1,11158685
11169403,1,11158680
11165050,1,11158389
11169344,1,11157638
11160625,1,11154988
11160624,1,11154987
11158450,1,11154811
11183966,1,11125156
11183965,2,11125155
11183942,7,11124146
11183942,8,11276374
11183941,8,11124145
11179417,1,11118571
11179416,1,11118570
11178409,1,11117515
11178358,1,11117464
11178357,1,11117463
11178336,1,11116453
11176076,1,11114221
11174931,1,11113095
11090158,1,11093203
11096921,1,11083217
11082427,1,11070833
11082411,1,11070817
11114429,1,11047084
11113384,1,11047029
11114323,1,11046002
11001854,1,11044229
10999661,1,11043032
11004024,7,11034958
11003039,1,11029735
11036003,1,11019236
11035837,1,11016149
11034782,1,11016088
11033642,1,11014969
11031504,1,11013835
11019448,1,11006775
11017243,1,11004585
11015119,1,11003448
11015031,1,11002385
11006314,1,10997743
11005253,1,10997664
11004153,1,10996575
11047912,7,10994290
11047911,7,10994289
11047904,1,10994282
11042453,1,10988707
11039256,1,10988497
11039255,1,10988496
11039249,1,10988490
11039248,1,10988489
11038122,1,10987374
11038121,1,10987373
10985401,1,10918449
10982243,1,10918260
10984270,1,10917322
10984269,1,10917321
11135548,1,11162940
11170615,1,11161831
11170454,1,11158731
11206343,1,11235804
11196350,1,11235187
11199527,1,11234336
11196216,1,11233106
11125490,1,11172690
11125489,1,11172689
11125488,1,11172688
11125474,1,11172674
11166118,1,11157411
11167098,1,11156403
11089185,1,11094201
11098020,1,11083254
11086866,1,11074226
11083523,1,11071916
11112176,1,11059381
11121092,1,11058923
11108799,1,11055001
11105478,1,11052692
11118802,1,11049431
11118789,1,11049418
11115592,1,11049196
11113391,1,11048008
11115467,1,11047128
11115466,1,11047127
11115465,1,11047126
11029269,1,11029204
11024915,1,11026841
11022826,1,11026732
11007474,1,10999852
11005151,1,10996589
10984293,1,10917345
11205214,1,11239928
11203029,1,11239738
11205140,1,11238872
11205138,1,11238870
11201881,1,11237621
11197388,1,11235232
11196363,1,11235200
11196334,1,11235171
11196329,1,11235166
11195219,1,11234078
11196213,1,11233103
11193001,1,11232881
11196183,1,11232094
11195118,1,11232025
11195077,1,11231984
11194053,1,11231955
11192938,1,11231841
11191902,1,11231811
11206229,1,11231587
11193996,1,11230917
11190757,1,11230695
11205237,1,11240934
11035838,1,11016150
11034792,1,11016098
11034788,1,11016094
11019538,1,11007839
11019488,1,11006815
11019469,1,11006796
11019468,1,11006795
11018459,1,11006763
11018436,1,11006740
11018431,1,11006735
11018425,1,11006729
11018424,1,11006728
11018421,1,11006725
11017360,1,11006645
11019437,1,11005790
11019398,1,11005751
11019384,1,11005737
11019382,1,11005735
11016276,1,11005568
11018309,1,11004668
11017259,1,11004601
11016234,1,11004556
11156304,1,11259482
11180554,1,11120743
11037015,1,11024514
11017202,1,11003571
11012964,1,11003327
11190629,1,11245278
11190617,1,11245266
11190616,1,11245265
11190615,1,11245264
11206211,1,11245230
11115429,1,11256687
11021590,1,11023554
11021569,1,11023533
11036953,1,11023480
11036942,1,11023469
10999718,1,11044065
10989753,1,11037209
11205143,1,11238875
11205142,1,11238874
11036010,1,11019243
11036009,1,11019242
11036006,1,11019239
11035995,1,11019228
11035970,1,11018230
11035944,1,11018204
11035935,1,11018195
11034898,1,11018151
11034897,1,11018150
11034896,1,11018149
11035918,1,11017204
11035900,1,11017186
11035899,1,11017185
11035898,1,11017184
11035897,1,11017183
11035879,1,11017165
11035878,1,11017164
11035877,1,11017163
11035858,1,11017144
11034847,1,11017126
11034846,1,11017125
