victim_id,injury_id
52234353,5
52234352,4
52236497,5
52233380,5
52235375,4
52235444,4
52236490,4
52236495,5
52236496,4
52236502,5
52236503,5
52236509,4
52236515,5
52234292,5
52234293,5
52235473,5
52234296,4
52234297,4
52234301,5
52234303,5
52234304,4
52234309,4
52234312,4
52235523,5
52234336,5
52234339,5
52234345,4
52234346,5
52234354,5
52234373,5
52236511,5
52234390,5
52233384,4
52233390,4
52234289,5
52234290,5
52234291,5
52234402,4
52234413,5
52234414,4
52234428,5
52234441,4
52235379,5
52234313,4
52234314,4
52234318,2
52234318,3
52234318,8
52234445,5
52234451,4
52234455,4
52234456,4
52234459,4
52234460,5
52235362,4
52235363,4
52235364,4
52234332,4
52234333,4
52234334,5
52235403,4
52235434,4
52235435,4
52234343,4
52234344,4
52235469,4
52235470,5
52235481,4
52235482,5
52235483,5
52235525,5
52235526,5
52235527,4
52235529,5
52234387,5
52236485,5
52236486,5
52236518,4
52236605,5
52237550,4
52237551,4
52237657,4
52237663,5
52237666,4
52237671,4
52237672,5
52237678,5
52237683,5
52237685,5
52237690,5
52237691,4
52237669,4
52238597,5
52238598,5
52238602,5
52238603,5
52238605,4
52238606,5
52236535,5
52236536,5
52236537,5
52236543,5
52236544,4
52236545,4
52236551,4
52236554,4
52236560,4
52236561,5
52236563,4
52236566,5
52236569,4
52236570,4
52236572,4
52236578,5
52236579,4
52236583,5
52236584,4
52236585,5
52236587,4
52236597,5
52237514,4
52237526,5
52237527,5
52237543,4
52237548,4
52237549,5
52237563,5
52237564,5
52237584,5
52237585,5
52237590,4
52237591,4
52237596,4
52237604,4
52237610,5
52237614,4
52237618,5
52242942,3
52242966,5
52245200,5
52245229,4
52245228,4
52243989,5
52244055,4
52244072,5
52248355,4
52248384,4
52248410,4
52248441,5
52248442,5
52239818,4
52239819,4
52240810,4
52238759,4
52241876,4
52241895,4
52241896,5
52241913,4
52238678,5
52238701,4
52238717,5
52238720,5
52246216,4
52248304,4
52248303,5
52248318,5
52248352,5
52248353,4
52248359,4
52248362,5
52248380,5
52248382,4
52248391,7
