victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,agency_data_year,ff_line_number,age_range_low_num,age_range_high_num
76426225,70268303,1,4,,,,5,50,F,1,2,R,,,,
76426226,70268303,2,4,,,,5,46,M,1,3,R,,,,
76426229,70268306,1,4,,,,5,77,F,1,2,R,,,,
76426230,70268307,1,4,,,,5,60,M,1,2,R,,,,
76426233,70268310,1,4,,,,5,39,F,1,2,R,,,,
76426241,70268315,2,6,,,,,,,,,,,,,
76426240,70268315,1,4,,,,5,50,M,1,2,R,,,,
76426266,70268339,1,7,,,,,,,,,,,,,
76426267,70268339,2,8,,,,,,,,,,,,,
76426278,70268349,1,4,,,,5,43,M,1,2,R,,,,
76426287,70268356,1,8,,,,,,,,,,,,,
76426299,70268365,1,4,,,,5,55,M,1,2,R,,,,
76426312,70268377,1,4,,,,5,18,F,1,2,R,,,,
76426317,70268383,1,4,,,,5,45,M,1,2,R,,,,
76425179,70267377,1,4,,,,5,16,M,1,2,R,,,,
76425185,70267382,1,4,,,,5,64,F,1,2,R,,,,
76425194,70267391,1,4,,,,5,79,F,1,2,R,,,,
76425210,70267405,1,4,,,,5,26,F,1,2,R,,,,
76425219,70267413,1,8,,,,,,,,,,,,,
76425230,70267422,1,4,,,,5,52,M,1,2,R,,,,
76425257,70267444,1,4,,,,5,18,F,1,2,R,,,,
76425263,70267449,1,4,,,,5,44,M,1,2,R,,,,
76425269,70267454,1,4,,,,5,61,M,1,2,R,,,,
76425274,70267459,1,4,,,,5,92,M,1,2,R,,,,
76425283,70267467,1,4,,,,5,16,M,1,2,R,,,,
76425284,70267467,2,4,,,,5,48,M,1,2,R,,,,
76425290,70267473,1,4,,,,5,72,M,1,2,R,,,,
76425291,70267473,2,4,,,,5,65,M,1,2,R,,,,
76426303,70268369,1,4,,,,5,40,M,1,2,R,,,,
76426305,70268371,1,4,,,,5,41,M,1,2,R,,,,
76426307,70268373,1,4,,,,5,36,M,1,2,R,,,,
76426308,70268373,2,4,,,,5,31,F,1,2,R,,,,
76426309,70268374,1,1,,,,,,,,,,,,,
76426310,70268375,1,3,,,,,,,,,,,,,
76426311,70268376,1,4,,,,5,56,M,1,2,R,,,,
76426314,70268379,1,4,,,,5,45,F,1,2,N,,,,
76426315,70268380,1,4,,,,5,41,F,1,2,N,,,,
76426318,70268384,1,4,,,,5,38,F,1,2,R,,,,
76426319,70268385,1,4,,,,5,76,F,1,2,R,,,,
76426321,70268387,1,4,,,,5,46,F,1,2,R,,,,
76426322,70268387,2,4,,,,5,47,M,1,2,R,,,,
76425181,70267379,1,4,,,,5,79,M,1,2,R,,,,
76425182,70267380,1,4,,,,5,53,M,1,2,R,,,,
76425183,70267381,1,4,,,,5,35,F,1,2,N,,,,
76425184,70267381,2,4,,,,5,32,M,1,2,R,,,,
76425186,70267383,1,4,,,,5,51,F,1,2,N,,,,
76425189,70267386,1,4,,,,5,36,F,1,2,N,,,,
76425191,70267388,1,4,,,,5,21,F,1,2,N,,,,
76425193,70267390,1,4,,,,5,65,M,1,2,R,,,,
76425197,70267394,1,4,,,,5,64,M,1,2,R,,,,
76425198,70267395,1,8,,,,,,,,,,,,,
76425202,70267398,1,4,,,,5,78,F,1,1,R,,,,
76425207,70267402,1,1,,,,,,,,,,,,,
76425208,70267403,1,4,,,,5,36,F,1,3,R,,,,
76425209,70267404,1,1,,,,,,,,,,,,,
76425218,70267412,1,4,,,,5,73,F,1,2,R,,,,
76425268,70267453,1,4,,,,5,42,F,1,2,R,,,,
76425273,70267458,1,8,,,,,,,,,,,,,
76426302,70268368,1,4,,,,5,26,M,1,2,R,,,,
76426304,70268370,1,4,,,,5,29,F,1,2,R,,,,
76425214,70267408,1,4,,,,5,39,F,1,2,R,,,,
76425215,70267409,1,4,,,,5,14,F,1,2,R,,,,
76425216,70267410,1,4,,,,5,49,M,1,2,R,,,,
76425217,70267411,1,4,,,,5,23,F,1,2,R,,,,
76425220,70267414,1,4,,,,5,26,M,1,2,R,,,,
76425221,70267415,1,4,,,,5,63,M,1,2,R,,,,
76425222,70267416,1,4,,,,5,61,M,1,2,R,,,,
76425223,70267417,1,4,,,,5,44,F,2,2,R,,,,
76425224,70267418,1,4,,,,5,47,F,1,2,R,,,,
76425225,70267418,2,4,,,,5,48,M,1,2,R,,,,
76425226,70267419,1,4,,,,5,40,M,1,2,R,,,,
