victim_id,offender_id,relationship_id,nibrs_victim_offender_id
76426233,79191881,1,22479360
76426312,79191962,16,22363317
76425179,79191724,3,22440667
76425210,79191758,18,22402073
76425257,79191802,3,22402071
76425183,79191728,3,22374913
76425184,79191728,9,22374912
76425189,79191733,15,22440664
76425191,79191735,3,22440663
76425197,79191741,7,22440660
76425268,79191812,3,22598495
76426302,79191953,3,22479351
76426304,79191955,3,22479350
76425215,79191763,1,22402072
76425220,79191769,3,22598505
76425227,79191775,21,22598504
76425227,79191776,25,23674204
76425228,79191775,25,22598503
76425228,79191776,21,23674203
76425229,79191777,17,22598502
76425236,79191784,19,23127329
76425250,79191794,5,22598501
76426306,79191957,3,22479349
76425251,79191795,25,22598500
76425251,79191796,9,23674202
76425252,79191795,9,22598499
76425252,79191796,25,23674201
76426316,79191966,3,22545798
76425255,79191799,21,22598498
76425255,79191800,17,23674200
76425265,79191809,25,22598497
76425265,79191810,21,23674199
76425266,79191809,21,22598496
76425266,79191810,25,23674198
76426323,79191972,21,22545797
76425180,79191725,16,22440666
76425292,79191840,3,22676831
76425292,79191841,25,23674197
76425293,79191840,25,22676830
76425293,79191841,3,23674196
76425294,79191842,1,22598494
76425297,79191844,5,22598493
76425297,79191845,18,23674195
76425299,79191847,16,22598492
76426224,79191873,21,22479361
76425188,79191732,3,22440665
76425192,79191736,17,22440662
76425312,79191857,1,22676828
76425312,79191858,25,23674193
76425311,79191857,25,22676829
76425311,79191858,1,23674194
76425315,79191861,16,22598491
76425320,79191864,16,22598490
76426237,79191884,17,22479359
76426237,79191885,25,23651602
76426238,79191884,25,22479358
76426238,79191885,5,23651601
76425195,79191739,5,22440661
76425196,79191740,3,22374911
76425201,79191749,15,22440659
76425201,79191750,18,23634514
76426261,79191906,16,23127296
76425203,79191752,17,23127330
76425204,79191753,1,22598510
76425205,79191753,1,22598509
76426268,79191913,26,22479357
76426271,79191916,5,22479356
76426275,79191921,16,22479355
76426276,79191921,16,22479354
76426289,79191937,3,22479353
76426289,79191938,25,23651600
76426290,79191937,25,22479352
76426290,79191938,3,23651599
76426294,79191944,16,22962949
76426294,79191945,25,23637590
76426293,79191944,25,22962950
76426293,79191945,16,23637591
76425211,79191759,17,22598508
76425212,79191759,11,22598507
76425213,79191760,3,22598506
76425213,79191761,18,23674205
76427340,79193624,25,22479336
76427340,79193625,21,23651591
76427341,79193624,21,22479335
76427341,79193625,25,23651590
76426327,79191976,3,22479348
76426330,79191979,17,22479347
76427383,79193668,21,23522810
76427386,79193673,15,23522809
76427389,79193675,4,23522808
76427402,79193691,17,23522807
76427413,79193701,16,23522806
76427413,79193702,25,23831061
76427414,79193701,25,23522805
76427414,79193702,16,23831060
76427415,79193703,4,23522804
76427421,79193709,20,23522803
76427425,79193715,15,23522802
76426338,79191987,1,22562297
76426342,79191991,21,22562296
76426346,79191995,17,22562294
76426347,79191996,16,22562293
76426347,79191997,16,23666573
76426348,79191996,16,22562292
76426348,79191997,16,23666572
76426349,79191998,21,22562291
76426360,79192009,17,22562290
76426363,79192012,17,22562289
76426372,79192022,3,22562288
76426372,79192023,25,23666571
76426373,79192022,25,22562287
76426373,79192023,3,23666570
76426344,79191993,17,22562295
76426379,79192029,13,22562286
76426389,79193567,16,22479343
76426389,79193568,16,23651594
76427294,79193579,17,22479342
76427295,79193579,19,22479341
76426401,79193579,17,22479340
76427314,79193598,4,22479339
76427314,79193599,25,23651593
76427315,79193598,4,22479338
76427315,79193599,4,23651592
76427320,79193605,4,22479337
76427343,79193627,25,22479334
76427343,79193628,3,23663509
76427344,79193627,3,22479333
76427344,79193628,25,23663508
76427345,79193629,17,22479332
76427355,79193640,16,22545796
76427380,79193665,21,22479329
76427369,79193653,17,22479331
76427378,79193663,4,22479330
76431629,79197480,16,22520916
