suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
13,86126044,5,9,6043020
5,86127232,3.3,3,6043021
4,86127236,11.4,1,6043022
8,86127250,4.5,9,6043023
4,86133269,0.1,1,6043063
4,86136700,2,1,6043088
5,86136729,2.6,1,6043089
5,86136733,2.3,1,6043090
5,86136738,1.3,1,6043091
5,86136761,7,9,6043092
2,86133286,0.2,1,6043163
4,86133355,1,1,6043164
2,86133358,0.6,1,6043165
5,86134493,23,1,6043170
5,86134497,8.37,1,6043171
4,86134509,2.29,1,6043172
5,86136782,88.2,1,6043175
1,86100980,4.2,1,6043288
4,86101002,5.1,1,6043289
5,86101013,35.5,1,6043290
5,86091403,1.2,1,6043354
1,86091425,3,1,6043355
5,86091438,0.4,1,6043356
1,86099891,34.9,1,6043399
5,86101082,0.5,3,6043400
5,86101087,6.025,1,6043401
1,86089107,5,1,6043437
4,86093898,0.6,1,6043459
1,86093916,2.9,1,6043460
17,86098724,20,9,6043477
4,86098740,1.5,1,6043478
5,86089130,5.1,3,6043519
5,86089135,2.7,1,6043520
2,86089140,1,11,6043521
17,86089170,11,9,6043522
1,86089181,1.1,1,6043523
4,86089185,5,1,6043524
12,86077957,1,9,6047724
5,86077989,21,1,6047725
5,86075601,0.3,1,6047826
5,86075637,0.5,1,6047827
5,86075648,2.7,1,6047828
5,86076802,8,3,6047829
1,86076804,1,11,6047830
8,86076826,33,9,6047831
5,86076837,7,1,6047832
11,86078013,17.2,1,6047833
5,86078023,1,11,6047834
5,86075683,61.3,1,6047931
5,86076867,25,3,6047933
5,86076879,4,3,6047934
1,86212278,3,1,6047946
5,86212283,2.5,1,6047947
5,86212288,0.5,3,6047948
5,86212320,0.5,3,6047949
1,86212326,0.3,1,6047950
5,86212347,3.3,1,6047951
5,86214697,0.2,1,6047956
5,86214702,7,1,6047957
5,86214707,4,1,6047958
5,86214715,0.2,1,6047959
16,86202971,5,3,6047992
6,86202976,1,1,6047993
5,86202992,0,,6047994
8,86202993,10.1,9,6047995
8,86204166,0,,6047998
5,86204206,3.6,1,6047999
5,86204208,0.28,3,6048000
5,86204209,1,11,6048001
5,86198712,0.4,1,6052228
1,86198719,2.3,1,6052229
5,86198726,2.1,1,6052230
1,86198739,2.9,1,6052231
12,86198742,1.6,1,6052232
1,86198749,0,,6052233
1,86198759,16,1,6052234
5,86198764,6.3,1,6052235
5,86198768,22.3,1,6052236
5,86199909,1,3,6052237
2,86199923,2,3,6052238
5,86199931,0.7,1,6052239
1,86199972,1,1,6052240
5,86183210,316.4,1,6052244
4,86183219,1.7,1,6052245
1,86183239,10.5,1,6052246
8,86183246,0,,6052247
8,86183248,37,9,6052248
5,86183252,15.6,1,6052249
5,86183256,2.2,3,6052250
1,86183264,0.4,1,6052251
5,86183268,7.37,3,6052252
5,86183274,3.9,1,6052253
5,86183277,357,1,6052254
2,86183280,11.8,1,6052255
5,86191564,4.1,1,6052305
5,86192783,6.5,1,6052322
5,86198833,18.1,1,6052341
5,86198840,1.65,3,6052342
1,86199989,2,1,6052343
1,86199993,26,1,6052344
5,86183285,6.1,1,6052348
1,86183286,0.3,1,6052349
5,86183293,5.1,1,6052350
5,86183299,19.7,1,6052351
5,86189241,0,,6052396
5,86189244,1.06,1,6052397
11,86189267,0.385,3,6052398
10,86278825,2,9,6061229
2,86278832,1,1,6061230
5,86278856,1,1,6061231
1,86278874,0.5,1,6061232
4,86278880,5,1,6061233
5,86278890,1.4,1,6061234
1,86278894,3,1,6061235
1,86278896,0.3,1,6061236
4,86098808,0.025,1,6043566
4,86089216,0.001,1,6043613
4,86089223,88.8,1,6043614
4,86090424,10.8,1,6043618
5,86090506,3,1,6043724
5,86088217,2.9,1,6043818
2,86090551,1,1,6043838
8,86090563,1,9,6043839
5,86204210,0.3,1,6048002
8,86204219,2,9,6048003
3,86204221,1,9,6048004
5,86204236,0,,6048005
2,86210055,1,1,6048041
2,86210062,0.5,1,6048042
4,86210065,6,1,6048043
5,86212354,0.44,3,6048049
5,86212382,18,1,6048050
10,86212400,0.2,1,6048051
5,86212403,0.2,1,6048052
1,86212405,0.2,1,6048053
1,86212409,1,1,6048054
8,86212411,5.5,9,6048055
1,86212412,4,1,6048056
1,86212413,2,1,6048057
1,86212419,0.13,1,6048058
11,86212421,1,1,6048059
5,86219607,0.5,3,6048091
1,86219612,5,1,6048092
5,86210087,1.5,1,6048141
4,86210094,77.8,1,6048142
5,86211264,25.1,3,6048151
5,86211267,10.7,1,6048152
16,86211279,10,9,6048153
5,86211286,1.13,3,6048154
5,86197660,3,1,6052426
5,86197664,49,1,6052427
5,86197667,0.2,1,6052428
11,86189273,0.6,1,6052500
11,86189277,0.605,3,6052501
5,86189279,1.1,1,6052502
1,86189283,1,11,6052503
4,86189315,3.3,1,6052504
1,86189332,0.4,1,6052505
2,86189335,6.6,1,6052506
5,86189339,1.6,1,6052507
4,86197758,0.3,1,6052550
4,86197774,1,11,6052551
4,86197778,4,9,6052552
1,86197789,0.6,1,6052553
4,86189374,2,1,6052626
5,86189381,0,,6052627
5,86189383,1.1,1,6052628
5,86189400,2.5,1,6052629
5,86189404,5.1,3,6052630
1,86189405,0.4,1,6052631
5,86189415,32.1,3,6052632
5,86189416,7.1,3,6052633
16,86278901,1,9,6061321
5,86278905,4,3,6061322
