offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,ff_line_number,age_range_low_num,age_range_high_num
88319005,78342106,1,5,40,M,1,,,,
88319006,78342107,1,5,40,U,0,,,,
88319008,78342109,1,5,40,U,0,,,,
88319009,78342110,0,,,,,,,,
88319010,78342111,0,,,,,,,,
88319011,78342112,0,,,,,,,,
88319012,78342113,0,,,,,,,,
88319013,78342114,0,,,,,,,,
88319014,78342115,0,,,,,,,,
88319015,78342116,0,,,,,,,,
88319016,78342117,1,5,35,U,0,,,,
88319017,78342118,0,,,,,,,,
88319097,78342191,0,,,,,,,,
88319098,78342192,0,,,,,,,,
88319099,78342193,0,,,,,,,,
88319100,78342194,0,,,,,,,,
88320629,78342197,0,,,,,,,,
88320631,78342199,0,,,,,,,,
88320638,78342206,1,5,34,F,1,,,,
88318964,78341182,1,5,40,M,1,,,,
88318965,78341183,1,5,49,M,1,,,,
88318967,78341185,1,5,16,F,1,,,,
88318969,78341187,1,5,14,F,1,,,,
88318987,78342089,0,,,,,,,,
88318988,78342090,1,5,37,U,0,,,,
88318989,78342091,0,,,,,,,,
88318990,78342092,0,,,,,,,,
88318991,78342093,0,,,,,,,,
88318992,78342094,0,,,,,,,,
88318993,78342095,1,5,28,M,1,,,,
88318994,78342095,2,5,55,M,1,,,,
88318995,78342096,0,,,,,,,,
88318996,78342097,0,,,,,,,,
88318997,78342098,0,,,,,,,,
88318998,78342099,0,,,,,,,,
88318999,78342100,0,,,,,,,,
88319001,78342102,1,5,25,M,1,,,,
88319002,78342103,0,,,,,,,,
88319003,78342104,1,5,44,M,1,,,,
88319095,78342190,1,5,19,M,1,,,,
88319096,78342190,2,5,19,M,1,,,,
88320627,78342195,1,5,34,M,1,,,,
88320636,78342204,1,5,15,M,1,,,,
88320673,78342238,1,5,52,M,1,,,,
88320680,78342245,1,5,36,M,1,,,,
88319018,78342119,1,5,45,M,1,,,,
88319020,78342120,2,5,45,M,0,,,,
88319019,78342120,1,5,45,M,0,,,,
88319021,78342121,0,,,,,,,,
88319022,78342122,0,,,,,,,,
88319025,78342125,1,5,38,M,1,,,,
88319026,78342126,1,5,40,M,1,,,,
88319028,78342128,0,,,,,,,,
88319029,78342129,0,,,,,,,,
88319030,78342130,0,,,,,,,,
88319031,78342131,0,,,,,,,,
88319032,78342132,0,,,,,,,,
88319035,78342135,0,,,,,,,,
88320632,78342200,0,,,,,,,,
88320633,78342201,0,,,,,,,,
88320634,78342202,0,,,,,,,,
88320637,78342205,1,5,28,M,1,,,,
88320639,78342207,0,,,,,,,,
88320640,78342208,1,5,51,M,1,,,,
88318971,78341189,1,5,28,M,1,,,,
95046939,84298796,0,,,,,,,,
88318981,78342083,1,5,25,F,1,,,,
88320659,78342224,1,5,28,M,1,,,,
88320667,78342232,0,,,,,,,,
88320668,78342233,0,,,,,,,,
88320670,78342235,1,5,15,F,1,,,,
88320671,78342236,0,,,,,,,,
88320672,78342237,0,,,,,,,,
88320674,78342239,0,,,,,,,,
88320675,78342240,0,,,,,,,,
88320676,78342241,0,,,,,,,,
88320677,78342242,0,,,,,,,,
88320678,78342243,1,5,41,F,1,,,,
88318977,78341193,1,5,33,M,1,,,,
88319091,78342186,0,,,,,,,,
88320628,78342196,0,,,,,,,,
88320630,78342198,1,5,27,M,1,,,,
88319073,78342170,0,,,,,,,,
88319074,78342171,0,,,,,,,,
88319075,78342172,0,,,,,,,,
88319076,78342173,0,,,,,,,,
88319077,78342174,0,,,,,,,,
88319078,78342175,0,,,,,,,,
88319079,78342176,0,,,,,,,,
88319080,78342177,1,5,33,F,1,,,,
88319082,78342179,1,5,26,M,1,,,,
88319083,78342179,2,5,28,F,1,,,,
88319084,78342180,0,,,,,,,,
88319085,78342181,1,5,50,M,1,,,,
88319086,78342181,2,5,25,M,1,,,,
88319087,78342182,0,,,,,,,,
88319088,78342183,0,,,,,,,,
88319089,78342184,0,,,,,,,,
88319092,78342187,1,5,43,F,1,,,,
88319093,78342188,0,,,,,,,,
88319094,78342189,0,,,,,,,,
88319057,78342155,1,5,31,M,1,,,,
88319058,78342156,0,,,,,,,,
88319060,78342158,1,5,35,U,0,,,,
88319061,78342159,0,,,,,,,,
88319062,78342160,0,,,,,,,,
88319063,78342161,0,,,,,,,,
88319064,78342162,0,,,,,,,,
88319065,78342163,0,,,,,,,,
88319068,78342165,0,,,,,,,,
88319069,78342166,0,,,,,,,,
88319070,78342167,1,5,45,U,0,,,,
88319072,78342169,0,,,,,,,,
88318960,78341178,1,5,24,M,1,,,,
98200341,87035916,0,,,,,,,,
88318986,78342088,1,5,18,F,1,,,,
88319007,78342108,1,5,16,M,1,,,,
88319024,78342124,0,,,,,,,,
88319027,78342127,1,5,30,M,1,,,,
88319042,78342142,1,5,17,F,2,,,,
88319059,78342157,1,5,24,M,1,,,,
88319066,78342164,1,5,22,M,1,,,,
88319067,78342164,2,5,25,F,1,,,,
88319071,78342168,1,5,28,M,1,,,,
88319081,78342178,0,,,,,,,,
88320669,78342234,0,,,,,,,,
88320688,78342251,1,5,22,M,1,,,,
88320689,78342252,1,5,48,F,1,,,,
88318978,78341194,1,5,17,M,1,,,,
88318979,78341194,2,5,17,F,1,,,,
88320645,78342212,0,,,,,,,,
88320646,78342213,1,5,21,M,2,,,,
88320647,78342214,1,5,27,F,1,,,,
88320648,78342214,2,5,34,M,1,,,,
88320649,78342215,0,,,,,,,,
88320651,78342217,0,,,,,,,,
88320652,78342218,1,5,67,M,1,,,,
88320653,78342218,2,5,53,M,1,,,,
88320654,78342219,0,,,,,,,,
88320655,78342220,0,,,,,,,,
88320656,78342221,0,,,,,,,,
88320658,78342223,1,5,31,M,1,,,,
88320660,78342225,0,,,,,,,,
88320661,78342226,0,,,,,,,,
88320662,78342227,1,5,48,M,1,,,,
88320663,78342228,1,5,48,M,1,,,,
88320664,78342229,0,,,,,,,,
88320665,78342230,0,,,,,,,,
88320666,78342231,1,5,28,M,1,,,,
88320692,78342255,1,5,17,M,1,,,,
88320693,78342256,0,,,,,,,,
88320694,78342257,0,,,,,,,,
88318984,78342086,1,5,49,F,1,,,,
88320641,78342209,1,5,28,M,1,,,,
88320642,78342210,1,5,30,M,1,,,,
88320643,78342210,2,5,30,F,1,,,,
95047923,84298794,1,5,18,M,2,,,18,0
96663243,85694443,1,5,43,F,1,,,43,0
98200351,87036657,1,5,27,M,1,,,27,0
88318957,78341176,1,5,14,M,1,,,,
88318958,78341176,2,5,16,M,1,,,,
88318959,78341177,0,,,,,,,,
88318961,78341179,1,5,40,M,1,,,,
88319000,78342101,1,5,23,M,1,,,,
88319004,78342105,1,5,30,M,1,,,,
88319023,78342123,1,5,34,M,1,,,,
88320679,78342244,0,,,,,,,,
88320682,78342247,1,5,15,M,1,,,,
88320683,78342247,2,5,14,F,2,,,,
88320684,78342247,3,5,14,F,1,,,,
88320685,78342248,0,,,,,,,,
88320686,78342249,0,,,,,,,,
88320687,78342250,0,,,,,,,,
88320690,78342253,0,,,,,,,,
88320691,78342254,0,,,,,,,,
88318980,78342082,1,5,45,M,1,,,,
88318982,78342084,0,,,,,,,,
88320695,78342258,0,,,,,,,,
88318962,78341180,0,,,,,,,,
88318963,78341181,0,,,,,,,,
88318966,78341184,1,5,31,M,1,,,,
88318968,78341186,1,5,56,F,1,,,,
88318970,78341188,0,,,,,,,,
88318972,78341190,0,,,,,,,,
88318973,78341191,1,5,14,M,1,,,,
88318974,78341191,2,5,15,F,1,,,,
88318975,78341191,3,5,16,M,1,,,,
88318976,78341192,0,,,,,,,,
88318983,78342085,0,,,,,,,,
88318985,78342087,0,,,,,,,,
88319041,78342141,1,5,31,M,1,,,,
98199433,87036610,1,5,32,M,1,,,32,0
88319033,78342133,1,5,28,M,1,,,,
88319034,78342134,0,,,,,,,,
88319036,78342136,1,5,68,M,1,,,,
88319037,78342137,1,5,49,M,1,,,,
88319038,78342138,0,,,,,,,,
88319040,78342140,1,5,46,M,1,,,,
88319043,78342143,0,,,,,,,,
88319044,78342144,1,5,40,U,0,,,,
88319045,78342144,2,5,40,U,0,,,,
88319046,78342144,3,5,40,U,0,,,,
88319047,78342145,1,5,47,M,1,,,,
88319048,78342146,1,5,24,F,1,,,,
88319049,78342147,0,,,,,,,,
88319050,78342148,0,,,,,,,,
88319051,78342149,0,,,,,,,,
88319052,78342150,0,,,,,,,,
88319053,78342151,0,,,,,,,,
88319054,78342152,0,,,,,,,,
88319055,78342153,0,,,,,,,,
88319056,78342154,1,5,39,U,0,,,,
88320681,78342246,1,5,21,M,1,,,,
88320915,78343364,0,,,,,,,,
88320916,78343365,1,5,19,M,1,,,,
88320917,78343365,2,5,17,M,1,,,,
88320918,78343366,1,5,24,M,1,,,,
88320919,78343367,0,,,,,,,,
88320920,78343368,0,,,,,,,,
88320921,78343369,0,,,,,,,,
88320922,78343370,0,,,,,,,,
88320697,78342263,0,,,,,,,,
88320698,78342264,0,,,,,,,,
88320699,78342265,0,,,,,,,,
88320700,78342266,1,5,34,M,1,,,,
88320701,78342267,0,,,,,,,,
88320702,78342268,0,,,,,,,,
88320703,78342269,0,,,,,,,,
88320704,78342270,1,5,34,M,1,,,,
88320705,78342271,0,,,,,,,,
96023697,85143838,0,,,,,,,,
88320718,78343181,0,,,,,,,,
88320719,78343182,0,,,,,,,,
88320720,78343183,1,5,13,F,1,,,,
88320721,78343184,0,,,,,,,,
88320722,78343185,0,,,,,,,,
88320706,78342272,0,,,,,,,,
88320707,78342273,0,,,,,,,,
88320708,78342274,0,,,,,,,,
88320709,78342275,0,,,,,,,,
88320710,78342276,0,,,,,,,,
88320711,78342277,0,,,,,,,,
88320712,78342278,0,,,,,,,,
88320713,78342279,0,,,,,,,,
88320714,78342280,0,,,,,,,,
88320715,78342281,0,,,,,,,,
88320716,78342282,0,,,,,,,,
88320717,78342283,0,,,,,,,,
88320811,78343267,0,,,,,,,,
88320812,78343268,0,,,,,,,,
88320813,78343269,0,,,,,,,,
88320814,78343270,0,,,,,,,,
88320815,78343271,1,5,26,M,1,,,,
88320816,78343272,0,,,,,,,,
88320817,78343273,0,,,,,,,,
88320818,78343274,0,,,,,,,,
88320819,78343275,0,,,,,,,,
88320820,78343276,0,,,,,,,,
88320821,78343277,1,5,55,F,1,,,,
88320822,78343277,2,5,45,F,1,,,,
88320825,78343279,1,5,39,M,1,,,,
88320826,78343280,1,5,19,M,1,,,,
88320827,78343281,1,5,12,M,1,,,,
88320828,78343282,1,5,51,M,1,,,,
88320829,78343283,1,5,51,M,1,,,,
88320830,78343284,0,,,,,,,,
88320831,78343285,0,,,,,,,,
88320832,78343286,1,5,18,M,1,,,,
88320833,78343287,0,,,,,,,,
88320834,78343288,0,,,,,,,,
88320835,78343289,0,,,,,,,,
88320836,78343290,0,,,,,,,,
88320838,78343292,1,5,61,M,0,,,,
88320839,78343293,1,5,22,M,1,,,,
88320840,78343294,0,,,,,,,,
88320841,78343295,1,5,36,M,1,,,,
88320842,78343296,0,,,,,,,,
88320843,78343297,0,,,,,,,,
88320844,78343298,0,,,,,,,,
88320845,78343299,1,5,50,M,1,,,,
88320846,78343300,1,5,49,M,1,,,,
88320847,78343301,1,5,51,M,1,,,,
88320848,78343301,2,5,20,M,1,,,,
96024132,85143843,0,,,,,,,,
88320778,78343236,1,5,36,M,1,,,,
88320779,78343237,0,,,,,,,,
88320780,78343238,0,,,,,,,,
88320781,78343239,1,5,35,M,1,,,,
88320782,78343240,1,5,46,M,1,,,,
88320783,78343241,0,,,,,,,,
88320784,78343242,0,,,,,,,,
88320785,78343243,0,,,,,,,,
88320786,78343244,0,,,,,,,,
88320787,78343245,1,5,25,F,1,,,,
88320788,78343246,0,,,,,,,,
88320791,78343248,2,5,55,M,1,,,,
88320790,78343248,1,5,59,F,1,,,,
88320792,78343249,0,,,,,,,,
88320793,78343250,0,,,,,,,,
88320837,78343291,1,5,26,M,1,,,,
88320884,78343333,1,5,28,M,1,,,,
88320885,78343334,1,5,33,M,1,,,,
88320886,78343335,1,5,35,M,1,,,,
88320887,78343336,0,,,,,,,,
88320888,78343337,1,5,34,M,1,,,,
88320889,78343338,1,5,44,M,1,,,,
88320890,78343339,0,,,,,,,,
88320892,78343341,1,5,26,F,1,,,,
88320893,78343342,1,5,26,F,1,,,,
88320894,78343343,1,5,41,F,1,,,,
88320895,78343344,1,5,41,F,1,,,,
88320896,78343345,0,,,,,,,,
88320757,78343216,0,,,,,,,,
88320762,78343220,0,,,,,,,,
88320789,78343247,1,5,17,M,1,,,,
88320823,78343278,1,5,70,M,1,,,,
88320824,78343278,2,5,23,F,1,,,,
88320891,78343340,0,,,,,,,,
88320912,78343361,0,,,,,,,,
