"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,102188070,36,398,,108749409
2017,102188495,8,1020,,108750003
2017,102188495,25,420,,108750004
2017,102188495,6,3122,,108750002
2017,102188870,15,6000,,108750495
2017,102189292,20,2000,,108751022
2017,101476940,3,1,,107826445
2017,101476945,25,25,,107826453
2017,101478043,63,31,,107827754
2017,101478519,36,212,,107828346
2017,101478522,63,1,06-SEP-17,107828351
2017,101478519,63,216,,107828341
2017,101478522,7,500,06-SEP-17,107828354
2017,101478519,20,12,,107828349
2017,101478519,7,500,,107828343
2017,101479414,20,20,,107829425
2017,101479455,3,9000,,107829470
2017,101479452,3,9000,08-DEC-17,107829458
2017,101479492,3,200,,107829513
2017,101479589,63,4000,,107829627
2017,101479635,16,297,,107829689
2017,101480507,3,1000,,107830609
2017,101480501,3,1000,12-JAN-18,107830606
2017,101480604,51,0,,107830721
2017,101480660,63,533,,107830790
2017,101482685,11,1,,107833159
2017,101482745,9,0,,107833222
2017,101482745,47,0,,107833232
2017,101482745,25,1,,107833229
2017,101482745,20,3,,107833224
2017,101482770,36,3001,,107833266
2017,101482879,20,900,,107833407
2017,101482879,25,1,,107833411
2017,101482867,25,1,19-NOV-17,107833394
2017,101482965,20,1506,,107833508
2017,101483017,38,400,,107833573
2017,101483127,10,,,107833716
2017,101483135,38,1,,107833725
2017,101483156,24,2000,,107833751
2017,101483154,63,1,,107833749
2017,101483287,10,,,107833895
2017,101483330,20,519,,107833946
2017,101483330,11,1,,107833945
2017,101483330,10,,,107833942
2017,101483460,20,140,,107834119
2017,101483517,25,468,,107834172
2017,101483579,51,0,,107834262
2017,101483961,10,,,107834706
2017,101484059,36,150,,107834808
2017,101484066,63,2000,,107834812
2017,101487992,10,2,,107839606
2017,101488134,20,504,,107839773
2017,101488197,10,,,107839844
2017,101489001,19,72,,107840889
2017,101489345,3,1,,107841344
2017,102188821,16,135,,108750446
2017,101477047,63,1,,107826575
2017,101477085,31,1,,107826637
2017,101477109,38,2000,,107826665
2017,101477106,3,3000,,107826661
2017,101477865,61,350,,107827559
2017,101477920,35,600,,107827594
2017,101478002,19,53,,107827709
2017,101478428,36,343,,107828229
2017,101478428,63,129,,107828243
2017,101478428,17,175,,107828239
2017,101478428,20,30,,107828241
2017,101478565,20,626,,107828399
2017,101478611,63,100,,107828451
2017,101478635,20,500,,107828485
2017,101479039,63,750,,107828976
2017,101479089,63,121,,107829031
2017,101479256,63,50,,107829240
2017,101479269,26,200,,107829260
2017,101479269,9,0,,107829251
2017,101479621,11,1,,107829669
2017,101492735,3,1200,,107845472
2017,101492791,20,2,,107845537
2017,101492791,9,0,,107845542
2017,101492791,21,1,,107845534
2017,101492818,20,15,,107845574
2017,101492818,25,1,,107845572
2017,101492818,17,1,,107845573
2017,101492827,22,0,,107845586
2017,101492830,22,0,,107845592
2017,101493044,36,2850,,107845854
2017,101493421,9,0,,107846304
2017,101493421,20,700,,107846307
2017,101493421,25,100,,107846308
2017,101493549,29,10,,107846476
2017,101493892,10,,,107846902
2017,101493892,11,2,,107846905
2017,101494099,63,1,,107847147
2017,101494118,20,70,,107847169
2017,101494118,7,570,,107847167
2017,101494118,60,1750,,107847168
2017,101494147,36,1500,,107847202
2017,101494167,11,1,,107847221
2017,101494167,10,,,107847217
2017,101494932,20,50,,107848241
2017,101495493,10,,,107848911
2017,101495658,38,2,,107849135
2017,101495685,4,120,,107849171
