"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,4,96262947,8.88,1,7948798
2017,5,96265094,14,1,7949033
2017,5,96266043,42.6,1,7949131
2017,1,96268534,5.8,3,7949509
2017,4,96269811,250,9,7949611
2017,5,96270557,1,9,7949694
2017,5,96270997,4,1,7949734
2017,5,96279308,16.5,1,7950418
2017,5,96276067,1,9,7950174
2017,5,96277608,0.11,3,7950300
2017,2,95394236,4,1,7821388
2017,5,95394311,0.55,3,7821396
2017,2,95396473,6.5,1,7821635
2017,2,95399737,2.6,1,7822074
2017,2,95400014,1.1,1,7822133
2017,4,95400275,4,9,7822193
2017,4,95400519,17,9,7822243
2017,16,95400778,2,9,7822280
2017,4,95400778,50,9,7822281
2017,4,95402494,23.9,1,7822558
2017,5,95402592,1.5,1,7822589
2017,4,95402670,5,1,7822602
2017,5,95402782,0.9,3,7822627
2017,4,95402802,22,1,7822632
2017,4,95404128,2,9,7822820
2017,5,95407593,7.3,1,7823266
2017,5,95412843,19.6,1,7823783
2017,4,95417986,90.24,1,7824498
2017,1,95417986,1.1,1,7824499
2017,16,95418734,152,9,7824617
2017,8,95418734,5,9,7824618
2017,2,95418734,12.35,1,7824616
2017,5,95419127,4.366,7,7824660
2017,8,95419755,2,9,7824744
2017,1,96265944,0.5,1,7949119
2017,1,96267019,4.9,1,7949254
2017,5,96268134,25.5,1,7949443
2017,16,96270009,6,9,7949636
2017,1,96270617,2,8,7949709
2017,4,96272235,2,9,7949832
2017,4,96272774,1,1,7949877
2017,5,96273405,,,7949946
2017,5,96273453,,,7949951
2017,5,96273630,30.5,1,7949971
2017,4,96275360,1.6,1,7950116
2017,1,96276661,0.3,1,7950225
2017,5,96277605,3,3,7950299
2017,5,94836452,42.3,1,7739889
2017,8,94836529,2,9,7739904
2017,5,94836529,6.9,1,7739906
2017,5,94837172,4.7,1,7739973
2017,1,94837196,4.2,1,7739981
2017,10,94837196,1,9,7739980
2017,2,94839601,3.3,1,7740364
2017,1,94840360,6.7,1,7740593
2017,5,94840663,1.5,1,7740667
2017,2,94840733,28.4,1,7740684
2017,5,94841626,1.78,1,7740834
2017,4,94845971,7,9,7741438
2017,16,94846507,2,9,7741532
2017,5,94835524,0.05,3,7739746
2017,16,94838202,17,9,7740123
2017,16,94839901,,,7740442
2017,4,94840303,2.4,1,7740574
2017,5,94840552,3,1,7740636
2017,16,94841216,5,9,7740744
2017,5,94841507,17.69,1,7740805
2017,4,94846172,3,9,7741480
2017,5,97103705,8,1,8074436
2017,1,94845185,1,9,7741341
2017,2,94845553,1,9,7741386
2017,1,94846063,1.2,1,7741456
2017,5,94846063,0.8,1,7741457
2017,5,94847722,2.8,1,7741722
2017,5,95408443,8,1,7823350
2017,1,95412939,0.1,1,7823794
2017,1,95413011,3.7,1,7823801
2017,4,95413011,16,9,7823802
2017,5,95413011,2,1,7823803
2017,5,95419197,50.46,1,7824673
2017,5,95420738,17,1,7824927
2017,5,95422940,289.5,1,7825178
2017,1,95402482,0.3,1,7822556
2017,2,95404239,1,11,7822833
2017,5,95407438,1,1,7823253
2017,4,95411377,201.3,1,7823628
2017,2,95411377,284.3,1,7823627
2017,5,95411377,4.5,1,7823629
2017,11,95409907,10,9,7823517
2017,5,95412543,4,3,7823746
2017,8,95416025,1,9,7824166
2017,5,95416729,0.41,3,7824334
2017,8,95417110,325,9,7824395
2017,8,95418097,8.5,9,7824516
2017,4,95418097,9,1,7824515
2017,5,95418317,,,7824565
2017,1,95420112,2,1,7824800
2017,5,95420112,1,11,7824801
2017,2,95420189,1,1,7824828
2017,13,95421656,11,9,7825015
2017,5,95421656,6.9,1,7825016
2017,9,95421656,2,9,7825017
2017,4,97102782,4,9,8074303
2017,1,97104343,4,1,8074514
2017,4,97104609,5,9,8074548
2017,5,97117584,,,8075962
2017,5,97117135,0.14,3,8075887
2017,5,97117908,10.2,3,8076012
2017,5,97118641,1.1,1,8076090
2017,5,97123984,0.5,3,8076739
2017,1,97126975,0.16,1,8077370
2017,16,97127233,1,11,8077423
2017,1,97128515,0.7,1,8077722
2017,5,97129610,1.8,1,8077916
2017,1,97129610,0.3,1,8077915
2017,4,95422925,1.1,1,7825173
2017,1,97128128,0.026,1,8077625
2017,5,97128161,0.02,3,8077633
2017,1,97128161,1.5,1,8077631
2017,5,97128189,2,9,8077644
2017,1,97128189,1,11,8077643
2017,10,97128189,14,9,8077645
2017,2,97128346,1.9,1,8077684
2017,1,97129720,1,1,8077938
2017,5,96660969,9,1,8006539
2017,17,96661623,8,9,8006593
2017,5,96662399,2.2,1,8006657
2017,5,96662626,,,8006730
2017,5,96662695,0.23,1,8006752
2017,5,96664101,9.1,1,8006863
2017,5,96664227,0.5,1,8006869
2017,5,96664904,14.6,1,8006934
2017,1,96665474,0.4,1,8006988
2017,5,96665903,2.33,1,8007015
2017,1,96666896,0.1,1,8007099
2017,11,96670053,25,9,8007453
2017,11,96670190,1,9,8007472
2017,5,96670190,0.1,3,8007473
2017,1,96671233,1.5,1,8007546
2017,5,96672804,77.3,1,8007682
2017,8,96672905,1,9,8007693
2017,5,96672905,12.8,1,8007695
2017,15,96673353,25,9,8007745
2017,16,96673353,24,9,8007746
2017,1,96675946,1,1,8008194
2017,1,96676034,14.102,1,8008215
2017,4,96676034,8.1,1,8008219
2017,1,96676066,1.2,1,8008230
2017,5,96676091,1,1,8008235
2017,2,96676097,2.7,1,8008237
2017,5,96676132,5.6,1,8008240
2017,5,96676352,0.31,3,8008283
2017,16,96676524,1,1,8008315
2017,5,96676892,20.9,1,8008365
2017,5,96676925,1,1,8008370
2017,5,96679978,1,9,8008760
2017,2,96679978,0.09,1,8008761
2017,5,96680180,0.1,1,8008797
2017,15,96004646,7,9,7913140
2017,13,96004646,2,9,7913142
2017,5,95393752,28.8,1,7821320
2017,16,95395074,28,9,7821464
2017,8,95395074,7,9,7821463
2017,4,95395074,1.6,1,7821462
2017,1,95398809,4.6,1,7821920
2017,5,95400098,1,9,7822156
2017,8,95400715,0.14,9,7822266
2017,4,95400759,4.6,1,7822274
2017,4,95400827,3,1,7822296
2017,5,95401890,3.5,1,7822446
2017,5,95403578,36.8,1,7822729
2017,5,95408704,22.9,1,7823400
2017,8,95408815,268,9,7823408
2017,5,95409005,8.5,1,7823429
2017,1,95409005,2,1,7823430
2017,5,95409698,5.9,1,7823487
2017,4,95410933,1.2,1,7823604
2017,16,95412023,1,9,7823678
2017,2,95412073,30.4,1,7823688
2017,5,95412073,1.3,1,7823689
2017,5,95412023,17.5,1,7823677
2017,1,95412073,0.9,1,7823690
2017,5,95413769,1,9,7823872
2017,10,95414100,1,9,7823896
2017,5,95414632,9,1,7824012
2017,4,95415678,2,9,7824108
2017,5,95415826,1,9,7824129
2017,4,95415826,1,9,7824128
2017,1,95415826,0.1,9,7824130
2017,11,95416008,0.4,1,7824164
2017,8,95416128,0.001,1,7824180
2017,16,95418210,0.088,1,7824525
2017,15,95419763,21.5,9,7824747
2017,5,96004406,1,11,7913092
2017,4,98201466,10,5,8238079
2017,2,98201392,1,1,8238070
2017,5,96676009,7.1,1,8008210
2017,11,96676997,1,11,8008377
2017,15,96678941,2,9,8008625
2017,5,96679478,0.25,3,8008711
2017,5,96681263,7.5,1,8008951
2017,12,96681305,1,1,8008954
2017,16,96681594,0.1,1,8008988
2017,5,96681594,9.5,1,8008989
2017,5,96682163,8.8,1,8009042
2017,5,98202490,40,1,8238251
2017,16,98203098,14,9,8238348
2017,4,98206181,1,1,8238776
2017,5,98204986,58.9,1,8238583
2017,5,98208515,8,1,8239095
2017,5,98210820,2.58,3,8239380
2017,12,98210867,10,9,8239385
2017,10,98212364,2,9,8239605
2017,9,95399853,2,9,7822081
2017,4,95400583,1.9,1,7822248
2017,5,98885841,0.1,3,8329770
2017,5,98885984,1,1,8329804
2017,11,98886152,1,9,8329831
2017,5,95400986,2.5,1,7822327
2017,8,95402479,1.1,1,7822555
2017,11,95402547,0.2,1,7822577
2017,11,98886152,4.6,1,8329832
2017,8,95403023,3,9,7822666
2017,5,98886743,3.2,1,8329889
2017,5,95408538,1,1,7823370
2017,5,98887468,1,1,8329968
2017,5,95412206,22.9,1,7823699
2017,5,95412265,33.7,1,7823704
2017,2,95412265,0.9,1,7823706
2017,5,98888655,1,3,8330097
2017,5,95416863,1,1,7824365
