arrestee_id,weapon_id,nibrs_arrestee_weapon_id
2687579,1,2694053
2687195,1,2692476
2687538,1,2694012
2687318,1,2692998
2687317,1,2692997
2687316,1,2692996
2687315,1,2692995
2687314,1,2692994
2687313,1,2692993
2687193,1,2692474
2687342,1,2693220
2687491,1,2693766
2687572,1,2694046
2687558,1,2694032
2687520,1,2693795
2687431,7,2693507
2687424,1,2693500
2687397,7,2693275
2687295,8,2692975
2687277,7,2692957
2687276,1,2692956
2687273,1,2692953
2687266,1,2692745
2687254,1,2692733
2687231,1,2692710
2687229,1,2692708
2687227,1,2692706
2687226,1,2692705
2687203,1,2692682
2687202,1,2692482
2687201,1,2692481
2687198,7,3372417
2687521,1,2693796
2687434,1,2693510
2687433,1,2693509
2687577,1,2694051
2687573,1,2694047
2687571,1,2694045
2687570,1,2694044
2687569,1,2694043
2687568,1,2694042
2687564,1,2694038
2687560,1,2694034
2687554,1,2694028
2687547,1,2694021
2687536,1,2693810
2687528,1,2693803
2687525,1,2693800
2687518,1,2693793
2687509,1,2693784
2687497,1,2693772
2687481,1,2693756
2687472,1,2693747
2687471,1,2693746
2687467,1,2693542
2687451,1,2693527
2687446,3,2693522
2687445,3,2693521
2687429,1,2693505
2687425,1,2693501
2687422,1,2693498
2687416,1,2693492
2687409,1,2693485
2687391,1,2693269
2687390,1,2693268
2687387,1,2693265
2687367,1,2693245
2687366,1,2693244
2687347,1,2693225
2687346,1,2693224
2687338,1,2693216
2687336,1,2693214
2687333,1,2693012
2687328,1,2693008
2687323,1,2693003
2687309,1,2692989
2687300,1,2692980
2687297,1,2692977
2687296,8,2692976
2687283,1,2692963
2687269,1,2692949
2687251,1,2692730
2687247,1,2692726
2687238,1,2692717
2687236,7,2692715
2687230,1,2692709
2687225,1,2692704
2687224,1,2692703
2687215,1,2692694
2687210,1,2692689
2687562,3,2694036
2687550,1,2694024
2687533,7,2693807
2687527,7,2693802
2687526,7,2693801
2687516,1,2693791
2687514,3,2693789
2687510,7,2693785
2687494,1,2693769
2687474,8,2693749
2687464,1,2693540
2687428,3,2693504
2687388,7,2693266
2687371,7,2693249
2687359,7,2693237
2687339,7,2693217
2687332,7,2693011
2687326,1,2693006
2687294,7,2692974
2687287,7,2692967
2687246,6,2692725
2687244,7,2692723
2687233,7,2692712
2687223,1,2692702
2687218,7,2692697
2687217,7,2692696
2687411,1,2693487
2687410,1,2693486
2687512,1,2693787
2687495,1,2693770
2687268,1,2692747
2687206,1,2692685
2687372,1,2693250
2687413,1,2693489
2687469,1,2693544
2687466,1,3373414
2687480,1,2693755
2687395,1,2693273
2687263,1,2692742
2687482,1,2693757
2687457,1,2693533
2687456,1,2693532
2687443,1,2693519
2687544,1,2694018
2687522,1,2693797
2687379,1,2693257
2687253,1,2692732
2687199,1,2692479
2687288,1,2692968
2687531,1,2693806
2687530,1,2693805
2687470,1,2693745
2687412,1,2693488
2687385,1,2693263
2687265,1,2692744
2687264,1,2692743
2687196,1,2692477
2687415,1,2693491
2687327,1,2693007
2687325,1,2693005
2687324,1,2693004
2687250,1,2692729
2687515,1,2693790
2687284,7,2692964
2687432,1,2693508
2687513,1,2693788
2687524,1,2693799
2687308,1,2692988
2687580,1,2694054
2687556,1,2694030
2687551,1,2694025
2687549,1,2694023
2687501,1,2693776
2687440,1,2693516
2687438,1,2693514
2687406,1,2693482
2687384,1,2693262
2687374,1,2693252
2687362,1,2693240
2687360,1,2693238
2687306,1,2692986
2687305,1,2692985
2687304,1,2692984
2687190,1,2692471
2687209,7,2692688
2687335,1,2693014
2687532,1,3373418
2687398,1,3373412
2687331,1,3372419
2687567,1,2694041
2687566,1,2694040
2687561,1,2694035
2687555,1,2694029
2687545,1,2694019
2687504,1,2693779
2687493,1,2693768
2687465,1,2693541
2687396,7,2693274
2687393,1,2693271
2687361,7,2693239
2687351,7,2693229
2687330,1,2693010
2687321,1,2693001
2687320,1,2693000
2687301,7,2692981
2687274,8,2692954
2687272,3,2692952
2687219,1,2692698
2687216,7,2692695
2687192,1,2692473
2687189,7,2692470
2687475,1,2693750
2687539,1,2694013
2687534,1,2693808
2687507,1,2693782
2687460,1,2693536
2687435,1,2693511
2687381,1,2693259
2687358,1,2693236
2687341,1,2693219
2687208,1,2692687
2687329,1,2693009
2687496,1,2693771
2687442,7,2693518
2687441,7,2693517
2687400,1,2693277
2687378,1,2693256
2687377,1,2693255
2687463,1,2693539
2687461,1,2693537
2687459,1,2693535
2687458,1,2693534
2687450,1,2693526
2687448,1,2693524
2687447,1,2693523
2687444,1,2693520
2687430,1,2693506
2687423,1,2693499
2687421,1,2693497
2687407,1,2693483
2687401,1,2693278
2687399,1,2693276
2687392,1,2693270
2687383,1,2693261
2687376,1,2693254
2687373,1,2693251
2687370,1,2693248
2687353,1,2693231
2687352,1,2693230
2687350,1,2693228
2687349,1,2693227
2687344,1,2693222
2687340,1,2693218
2687334,1,2693013
2687322,1,2693002
2687310,1,2692990
2687307,1,2692987
2687299,1,2692979
2687290,1,2692970
2687281,1,2692961
2687280,1,2692960
2687279,1,2692959
2687278,1,2692958
2687275,1,2692955
2687261,1,2692740
2687259,1,2692738
2687252,1,2692731
2687248,1,2692727
2687242,1,2692721
2687237,1,2692716
2687235,1,2692714
2687221,1,2692700
2687207,1,2692686
2687204,1,2692683
2687200,1,2692480
2687191,1,2692472
2687578,1,2694052
2687565,1,2694039
2687559,1,2694033
2687552,1,2694026
2687548,1,2694022
2687541,1,2694015
2687540,1,2694014
2687537,1,2694011
2687535,1,2693809
2687523,1,2693798
2687517,1,2693792
2687511,1,2693786
2687506,1,2693781
2687505,1,2693780
2687492,1,2693767
2687490,1,2693765
2687483,1,2693758
2687478,1,2693753
