suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
1,15114215,4.5,1,808649
2,15114233,1,11,808659
5,15114272,1,11,808660
5,15102961,2,1,807149
5,15102072,1,1,807296
5,15102074,1,1,807297
5,15102110,2,1,807351
5,15102122,1,1,807352
5,15102148,1,11,807353
5,15102150,1,11,807354
5,15110716,2.15,1,807614
5,15108339,6,1,807616
5,15108366,1,1,807617
5,15110755,19.5,1,807620
1,15111971,1,11,807623
5,15108426,1,1,807625
2,15110941,1,1,807645
5,15110949,1,1,807648
5,15110970,3.5,1,807649
2,15109916,1,11,807675
5,15112319,1,1,807680
5,15109984,1,1,807684
5,15110006,2,1,807685
5,15110195,1,1,807719
1,15110223,1,11,807720
5,15111438,1,1,807721
1,15111443,1.5,1,807722
1,15110266,0.001,1,807731
5,15111696,1,1,807759
5,15111714,0.5,1,807775
1,15111788,3.2,1,807781
4,15111813,0.3,1,807782
5,15103448,1,1,807799
5,15103464,1,1,807800
5,15103470,2.37,1,807801
4,15104691,30,9,807803
5,15106111,1,1,807835
5,15104855,2,1,807845
4,15103680,1,11,807857
4,15103692,2,1,807858
5,15104921,1,1,807860
2,15107480,1,1,807868
2,15106307,12,9,807879
5,15106320,2.7,1,807880
4,15107489,1,1,807944
4,15107502,1,1,807945
1,15107547,2,1,807946
5,15104188,6,1,807959
5,15104200,1.005,1,807960
5,15104216,2,1,807970
5,15104234,1,1,807971
5,15104241,1,1,807972
5,15104359,4.34,1,807975
5,15105567,9,1,807995
2,15105568,2,1,807996
5,15105580,1,11,807997
2,15106853,2,1,807998
5,15107859,1.172,3,808000
5,15105632,2,1,808003
5,15105633,1,11,808004
1,15105646,30,1,808005
1,15105650,1,1,808006
5,15106903,1,1,808007
5,15108070,7,1,808013
5,15113335,1,11,808457
5,15113340,1,1,808458
5,15113588,1,1,808494
5,15113751,2,1,808519
5,15107480,1,1,1022280
2,15111696,1,1,1004392
5,15104691,1,11,1004394
17,15103680,1,11,1004397
4,15107480,20,1,1004398
2,15107502,1,1,1004401
5,15106853,1,1,1004404
5,15105646,1,1,1004405
5,15105650,0.5,1,1004406
2,15108070,1,1,1004407
